CABra ID  	 106
ANA ID    	 33321000
Longitude 	 -59.691   	 dd
Latitude  	 -7.1      	 dd
Area      	 5025.9576 	 km²
Elevation 	 172.3172  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.575	     21.646	     30.192	     83.638	      0.868	     18.298	    3.418	    4.648	    5.591	    4.406
 1980	     1	     2	    7.743	     22.094	     29.167	     82.803	      0.972	     14.019	    2.827	    3.677	    4.376	    3.355
 1980	     1	     3	   12.289	     21.762	     28.002	     89.031	      0.743	     10.953	    1.606	    2.925	    3.497	    2.575
 1980	     1	     4	    8.064	     22.094	     28.665	     86.381	      1.205	     12.770	    2.632	    3.417	    4.017	    3.037
 1980	     1	     5	    4.665	     21.991	     26.952	     90.793	      0.900	      9.884	    1.565	    2.651	    3.194	    2.302
 1980	     1	     6	    1.827	     21.337	     29.887	     84.081	      1.305	     15.486	    3.041	    4.160	    4.784	    3.703
 1980	     1	     7	    8.496	     22.195	     29.839	     84.988	      1.276	     14.027	    2.461	    3.804	    4.392	    3.385
 1980	     1	     8	    4.855	     21.325	     30.475	     83.659	      1.001	     17.974	    3.246	    4.652	    5.498	    4.326
 1980	     1	     9	    8.915	     22.182	     29.445	     84.934	      0.636	     16.083	    3.701	    4.064	    4.964	    3.864
 1980	     1	    10	   16.167	     22.036	     28.120	     87.648	      1.019	     10.650	    2.140	    2.911	    3.418	    2.515
 1980	     1	    11	    7.573	     21.913	     28.009	     88.605	      0.612	     11.565	    2.385	    3.025	    3.670	    2.725
 1980	     1	    12	    9.822	     21.541	     28.246	     87.641	      0.943	      9.792	    1.865	    2.755	    3.175	    2.302
 1980	     1	    13	   19.204	     21.638	     26.025	     93.280	      1.020	      7.619	    1.560	    2.158	    2.564	    1.747
 1980	     1	    14	   21.446	     21.356	     26.313	     93.604	      0.949	      8.683	    1.241	    2.397	    2.852	    1.991
 1980	     1	    15	    7.087	     20.887	     27.741	     87.355	      0.986	     12.896	    2.946	    3.380	    4.014	    2.992
 1980	     1	    16	    5.160	     21.398	     29.938	     82.395	      0.965	     18.595	    3.376	    4.717	    5.661	    4.452
 1980	     1	    17	    7.927	     21.514	     30.052	     84.989	      1.116	     15.992	    3.208	    4.224	    4.935	    3.839
 1980	     1	    18	    5.843	     21.178	     29.481	     82.676	      0.883	     15.770	    2.834	    4.081	    4.851	    3.746
 1980	     1	    19	    5.091	     21.085	     29.439	     83.032	      1.007	     18.014	    3.606	    4.569	    5.475	    4.273
 1980	     1	    20	    7.847	     21.751	     29.699	     86.399	      0.754	     14.845	    2.942	    3.856	    4.611	    3.559
 1980	     1	    21	    2.361	     22.177	     30.951	     81.185	      0.864	     19.073	    3.697	    4.866	    5.852	    4.661
