CABra ID  	 113
ANA ID    	 33520000
Longitude 	 -55.958   	 dd
Latitude  	 2.226     	 dd
Area      	 818.0882  	 km²
Elevation 	 434.1684  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    5.947	     21.723	     29.525	     86.150	      0.652	     14.583	    3.070	    3.762	    4.528	    3.488
 1980	     1	     2	   21.337	     22.211	     28.426	     85.993	      0.852	     12.157	    1.750	    3.204	    3.842	    2.888
 1980	     1	     3	    9.018	     21.864	     27.086	     89.043	      0.802	     11.801	    3.065	    3.039	    3.717	    2.747
 1980	     1	     4	   10.450	     22.014	     28.736	     88.499	      0.923	     13.555	    3.264	    3.536	    4.232	    3.224
 1980	     1	     5	   22.852	     21.118	     27.553	     88.474	      1.042	     10.410	    3.400	    2.865	    3.330	    2.417
 1980	     1	     6	    4.597	     21.836	     29.791	     81.734	      1.439	     15.409	    2.482	    4.130	    4.769	    3.702
 1980	     1	     7	    7.593	     22.394	     30.354	     81.613	      1.337	     16.418	    3.300	    4.344	    5.081	    3.995
 1980	     1	     8	    5.186	     21.886	     31.059	     78.460	      1.030	     19.681	    4.186	    5.048	    6.013	    4.799
 1980	     1	     9	    4.394	     21.964	     30.439	     81.026	      0.736	     19.350	    4.539	    4.849	    5.903	    4.689
 1980	     1	    10	   14.629	     21.527	     28.137	     90.237	      1.009	     11.447	    3.092	    3.095	    3.629	    2.688
 1980	     1	    11	    7.107	     21.695	     28.940	     87.417	      0.761	     13.516	    3.275	    3.524	    4.219	    3.210
 1980	     1	    12	    8.083	     21.234	     29.606	     81.888	      0.848	     13.866	    3.010	    3.684	    4.319	    3.301
 1980	     1	    13	   18.162	     21.842	     27.014	     92.788	      1.324	     10.532	    3.823	    2.836	    3.368	    2.450
 1980	     1	    14	   20.319	     21.743	     25.713	     93.053	      1.070	      8.645	    1.778	    2.332	    2.839	    1.978
 1980	     1	    15	   12.213	     21.086	     29.645	     84.700	      0.857	     16.368	    4.175	    4.213	    5.016	    3.892
 1980	     1	    16	    6.884	     21.403	     29.742	     83.346	      0.912	     18.287	    3.256	    4.621	    5.565	    4.369
 1980	     1	    17	    6.915	     20.642	     30.057	     83.662	      0.733	     17.669	    4.118	    4.495	    5.377	    4.200
 1980	     1	    18	    9.304	     21.539	     30.738	     79.628	      0.967	     19.202	    3.594	    4.916	    5.857	    4.647
 1980	     1	    19	    4.025	     20.668	     29.946	     81.399	      1.065	     15.734	    3.483	    4.184	    4.835	    3.736
 1980	     1	    20	    9.689	     21.674	     28.126	     90.264	      0.591	     12.598	    2.787	    3.247	    3.951	    2.963
 1980	     1	    21	    6.152	     22.071	     31.200	     80.239	      0.665	     20.780	    4.898	    5.203	    6.340	    5.086
 1980	     1	    22	    3.205	     21.877	     31.443	     81.130	      1.003	     20.334	    3.662	    5.222	    6.214	    4.980
 1980	     1	    23	    8.127	     22.275	     29.513	     85.275	      0.896	     16.508	    3.699	    4.199	    5.085	    3.973
 1980	     1	    24	    8.743	     21.421	     31.539	     78.496	      1.371	     22.525	    4.590	    5.801	    6.826	    5.494
 1980	     1	    25	    3.078	     21.492	     31.654	     76.972	      1.434	     22.690	    3.781	    5.864	    6.881	    5.547
 1980	     1	    26	    3.038	     21.333	     31.866	     76.766	      0.947	     23.405	    4.554	    5.913	    7.086	    5.724
 1980	     1	    27	    6.974	     22.269	     30.682	     82.945	      0.862	     17.525	    2.975	    4.511	    5.403	    4.274
 1980	     1	    28	    3.847	     22.099	     29.258	     86.487	      1.034	     15.935	    2.775	    4.089	    4.914	    3.816
 1980	     1	    29	    6.435	     22.584	     28.241	     88.881	      0.660	     11.793	    3.394	    3.073	    3.746	    2.807
 1980	     1	    30	    5.830	     21.936	     30.133	     84.041	      0.590	     17.328	    3.213	    4.369	    5.324	    4.184
 1980	     1	    31	   13.390	     22.755	     27.555	     90.016	      0.721	     11.643	    4.735	    3.000	    3.698	    2.755
 1980	     2	     1	   18.176	     22.220	     28.032	     88.068	      0.758	     14.963	    2.691	    3.743	    4.618	    3.537
 1980	     2	     2	    3.777	     22.178	     30.448	     83.482	      0.701	     16.134	    3.368	    4.159	    5.000	    3.920
 1980	     2	     3	    7.808	     22.307	     29.358	     86.404	      0.963	     14.012	    3.733	    3.681	    4.381	    3.368
 1980	     2	     4	   10.523	     22.458	     27.343	     92.838	      1.338	     11.281	    3.114	    2.980	    3.590	    2.653
 1980	     2	     5	   20.274	     22.721	     26.476	     94.843	      0.865	      7.453	    2.463	    2.084	    2.529	    1.741
 1980	     2	     6	   11.623	     21.709	     29.020	     85.085	      0.732	     13.557	    4.189	    3.533	    4.235	    3.223
 1980	     2	     7	    8.574	     22.040	     28.609	     89.534	      1.027	     13.162	    2.883	    3.464	    4.124	    3.127
 1980	     2	     8	    5.838	     22.385	     27.758	     91.121	      0.939	     11.747	    3.194	    3.074	    3.724	    2.774
 1980	     2	     9	   16.461	     22.613	     26.886	     85.605	      0.799	     11.342	    3.330	    2.906	    3.604	    2.659
 1980	     2	    10	   20.209	     22.126	     27.018	     91.767	      0.723	      9.052	    3.204	    2.456	    2.967	    2.113
 1980	     2	    11	   34.143	     21.877	     27.457	     90.351	      0.827	     11.421	    2.442	    2.993	    3.622	    2.672
 1980	     2	    12	   10.085	     21.804	     29.089	     86.249	      0.928	     15.182	    4.103	    3.913	    4.693	    3.617
 1980	     2	    13	   19.002	     22.086	     29.130	     88.673	      0.787	     16.143	    3.123	    4.081	    4.970	    3.860
 1980	     2	    14	   13.275	     21.475	     27.307	     89.793	      0.941	     11.394	    3.666	    3.008	    3.605	    2.648
 1980	     2	    15	   78.417	     21.629	     25.323	     94.726	      0.553	      7.178	    2.920	    1.983	    2.440	    1.632
 1980	     2	    16	   15.066	     21.623	     27.536	     90.499	      0.675	     12.150	    2.414	    3.135	    3.818	    2.836
 1980	     2	    17	   15.831	     21.738	     27.000	     91.617	      0.908	      9.879	    1.865	    2.663	    3.189	    2.295
 1980	     2	    18	   11.465	     21.558	     28.571	     87.556	      0.565	     13.346	    3.593	    3.429	    4.165	    3.151
 1980	     2	    19	    9.087	     21.388	     28.148	     88.035	      1.047	     12.969	    3.610	    3.419	    4.050	    3.041
 1980	     2	    20	    8.976	     21.995	     29.955	     86.252	      0.905	     18.213	    4.907	    4.607	    5.571	    4.391
 1980	     2	    21	   27.995	     21.543	     25.874	     95.772	      0.602	      9.031	    4.103	    2.393	    2.944	    2.065
 1980	     2	    22	   11.556	     21.405	     27.370	     90.408	      0.953	     11.651	    3.527	    3.069	    3.674	    2.707
 1980	     2	    23	   15.580	     21.519	     28.181	     88.357	      0.698	     12.209	    3.129	    3.195	    3.843	    2.869
 1980	     2	    24	    8.478	     21.074	     29.518	     86.167	      0.504	     15.946	    4.086	    4.025	    4.897	    3.785
 1980	     2	    25	   13.951	     21.500	     28.464	     89.501	      0.953	     14.562	    3.576	    3.748	    4.500	    3.432
 1980	     2	    26	   12.485	     21.572	     28.124	     88.770	      0.590	     14.543	    4.075	    3.656	    4.488	    3.416
 1980	     2	    27	    8.218	     21.456	     29.369	     86.398	      1.011	     18.151	    4.967	    4.574	    5.520	    4.320
 1980	     2	    28	   21.907	     21.521	     28.968	     88.753	      0.884	     15.810	    2.837	    4.033	    4.857	    3.748
 1980	     2	    29	   18.825	     21.419	     27.405	     88.446	      0.682	     12.126	    4.162	    3.127	    3.805	    2.819
 1980	     3	     1	    5.115	     21.440	     29.232	     86.597	      0.971	     14.541	    3.189	    3.816	    4.507	    3.455
 1980	     3	     2	    2.881	     21.206	     29.460	     83.847	      1.056	     15.988	    4.046	    4.161	    4.909	    3.798
 1980	     3	     3	    1.247	     21.301	     30.144	     83.751	      1.164	     19.129	    4.584	    4.891	    5.811	    4.586
 1980	     3	     4	    6.161	     21.623	     28.542	     89.527	      1.064	     13.678	    3.493	    3.588	    4.256	    3.231
 1980	     3	     5	   16.155	     21.273	     25.296	     94.833	      0.857	      9.111	    3.131	    2.402	    2.956	    2.062
 1980	     3	     6	   20.442	     21.288	     28.059	     90.649	      1.195	     13.270	    3.856	    3.497	    4.127	    3.105
 1980	     3	     7	   21.161	     21.298	     27.142	     90.737	      1.068	     10.744	    3.734	    2.889	    3.419	    2.487
 1980	     3	     8	   10.566	     20.537	     30.297	     82.528	      0.855	     21.596	    3.706	    5.366	    6.478	    5.140
 1980	     3	     9	    1.297	     21.404	     30.833	     82.427	      0.917	     21.617	    4.004	    5.417	    6.538	    5.229
 1980	     3	    10	    6.048	     21.499	     30.370	     84.841	      0.875	     18.764	    4.102	    4.765	    5.720	    4.520
 1980	     3	    11	    1.924	     21.858	     30.985	     81.745	      0.948	     21.510	    4.088	    5.406	    6.530	    5.239
 1980	     3	    12	    1.660	     21.737	     31.053	     83.933	      0.907	     21.288	    4.508	    5.360	    6.464	    5.182
 1980	     3	    13	    1.626	     22.106	     29.999	     83.955	      0.878	     19.785	    4.321	    4.926	    6.016	    4.779
 1980	     3	    14	    3.794	     22.083	     30.291	     84.920	      1.136	     16.137	    3.431	    4.252	    4.991	    3.909
 1980	     3	    15	    5.411	     22.289	     30.650	     83.350	      0.967	     18.252	    3.307	    4.679	    5.605	    4.451
 1980	     3	    16	    8.327	     21.913	     30.461	     84.638	      1.223	     17.335	    4.425	    4.545	    5.329	    4.200
 1980	     3	    17	    1.592	     21.643	     30.981	     82.152	      0.889	     20.751	    4.260	    5.237	    6.304	    5.042
 1980	     3	    18	    0.879	     21.107	     30.835	     77.054	      1.439	     22.639	    4.190	    5.751	    6.811	    5.458
 1980	     3	    19	    0.792	     20.887	     30.418	     79.362	      1.219	     19.618	    4.372	    5.048	    5.937	    4.695
 1980	     3	    20	    6.681	     21.970	     30.674	     83.173	      1.216	     19.261	    4.364	    4.956	    5.880	    4.681
 1980	     3	    21	    7.174	     21.636	     29.780	     86.706	      1.022	     17.846	    3.991	    4.543	    5.444	    4.277
 1980	     3	    22	    1.086	     21.842	     30.712	     84.068	      1.138	     18.599	    4.869	    4.812	    5.689	    4.515
 1980	     3	    23	    1.714	     22.182	     31.163	     77.021	      2.085	     22.352	    3.844	    5.796	    6.783	    5.475
 1980	     3	    24	    0.572	     22.902	     31.329	     77.563	      1.774	     20.931	    4.315	    5.432	    6.408	    5.178
 1980	     3	    25	    0.386	     22.000	     31.098	     75.664	      1.705	     22.069	    4.166	    5.675	    6.692	    5.391
 1980	     3	    26	    0.038	     21.869	     31.543	     72.964	      1.824	     23.649	    4.742	    6.092	    7.154	    5.797
 1980	     3	    27	    0.215	     21.860	     31.433	     73.595	      1.901	     22.517	    4.004	    5.866	    6.825	    5.512
 1980	     3	    28	    0.251	     21.651	     32.222	     73.526	      1.594	     23.747	    4.572	    6.183	    7.199	    5.851
 1980	     3	    29	    0.234	     22.378	     31.859	     72.221	      1.642	     21.089	    3.620	    5.556	    6.450	    5.218
 1980	     3	    30	    0.254	     22.184	     32.432	     72.771	      1.288	     21.292	    4.742	    5.596	    6.520	    5.290
 1980	     3	    31	    1.883	     20.851	     33.059	     71.954	      1.283	     24.429	    4.853	    6.388	    7.393	    6.022
 1980	     4	     1	    0.878	     22.102	     32.372	     74.730	      1.156	     21.781	    4.414	    5.654	    6.655	    5.403
 1980	     4	     2	    2.530	     22.783	     32.394	     75.576	      1.182	     21.760	    4.142	    5.630	    6.674	    5.440
 1980	     4	     3	    0.531	     22.535	     32.299	     76.009	      1.102	     19.425	    3.401	    5.115	    5.987	    4.838
 1980	     4	     4	    4.892	     22.718	     31.461	     81.666	      0.982	     17.881	    3.093	    4.660	    5.523	    4.421
 1980	     4	     5	    1.374	     22.466	     31.699	     80.398	      0.814	     19.739	    3.804	    5.041	    6.056	    4.881
 1980	     4	     6	    2.335	     22.769	     30.711	     82.315	      1.231	     17.078	    4.382	    4.469	    5.275	    4.190
 1980	     4	     7	    2.349	     22.655	     30.704	     82.966	      0.935	     16.217	    4.612	    4.228	    5.025	    3.973
 1980	     4	     8	   18.005	     22.258	     28.129	     91.418	      0.775	     10.595	    3.310	    2.838	    3.394	    2.509
 1980	     4	     9	    6.271	     21.135	     29.737	     85.484	      0.784	     14.201	    2.458	    3.739	    4.398	    3.382
 1980	     4	    10	    2.376	     21.418	     31.183	     81.878	      1.369	     21.018	    4.018	    5.431	    6.361	    5.106
 1980	     4	    11	    1.671	     21.224	     31.507	     82.812	      0.657	     20.753	    4.245	    5.213	    6.289	    5.048
 1980	     4	    12	    8.958	     22.157	     31.304	     82.671	      0.875	     19.121	    4.541	    4.894	    5.851	    4.690
 1980	     4	    13	    6.699	     22.001	     30.864	     84.051	      0.908	     18.229	    3.637	    4.678	    5.578	    4.441
 1980	     4	    14	    9.393	     21.878	     31.119	     83.718	      0.817	     19.635	    4.277	    4.976	    5.980	    4.791
 1980	     4	    15	    1.281	     21.724	     30.584	     84.286	      0.986	     17.782	    3.271	    4.586	    5.434	    4.305
 1980	     4	    16	    1.247	     21.742	     31.640	     81.907	      0.891	     19.506	    4.225	    5.020	    5.953	    4.780
 1980	     4	    17	    2.322	     22.306	     30.275	     77.270	      1.390	     19.299	    4.263	    4.915	    5.870	    4.687
 1980	     4	    18	    0.325	     19.591	     31.103	     73.379	      1.867	     23.594	    4.121	    6.159	    6.998	    5.607
 1980	     4	    19	    0.006	     21.343	     31.348	     71.707	      1.762	     22.340	    3.886	    5.811	    6.730	    5.432
 1980	     4	    20	    0.044	     21.576	     31.377	     69.584	      1.983	     20.395	    3.994	    5.471	    6.188	    4.974
