CABra ID  	 122
ANA ID    	 33780000
Longitude 	 -55.335   	 dd
Latitude  	 -13.557   	 dd
Area      	 10867.8587	 km²
Elevation 	 473.29    	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    2.711	     23.672	     32.510	     74.511	      1.221	     19.067	    3.427	    5.032	    5.899	    4.821
 1980	     1	     2	    2.529	     23.557	     32.813	     70.020	      1.489	     20.160	    2.984	    5.368	    6.222	    5.107
 1980	     1	     3	    5.462	     23.615	     31.768	     76.563	      1.515	     14.887	    2.122	    4.150	    4.669	    3.731
 1980	     1	     4	   11.558	     23.325	     31.945	     79.581	      1.520	     15.734	    2.391	    4.370	    4.910	    3.938
 1980	     1	     5	    8.166	     23.511	     31.543	     80.110	      1.258	     16.533	    2.068	    4.405	    5.137	    4.128
 1980	     1	     6	    4.473	     23.415	     31.981	     76.728	      1.177	     17.722	    3.506	    4.690	    5.488	    4.442
 1980	     1	     7	    6.323	     23.487	     31.974	     79.360	      1.507	     18.329	    3.182	    4.890	    5.666	    4.598
 1980	     1	     8	    4.854	     23.353	     32.134	     75.049	      1.259	     17.661	    3.643	    4.716	    5.472	    4.431
 1980	     1	     9	   13.133	     22.950	     30.960	     80.522	      0.793	     14.347	    2.925	    3.797	    4.486	    3.537
 1980	     1	    10	   10.958	     22.473	     27.232	     89.687	      0.983	      8.722	    1.491	    2.408	    2.859	    2.049
 1980	     1	    11	   18.595	     22.584	     29.468	     85.625	      1.161	     11.888	    2.694	    3.266	    3.762	    2.870
 1980	     1	    12	   15.723	     22.182	     30.488	     79.560	      1.075	     14.414	    2.412	    3.882	    4.481	    3.505
 1980	     1	    13	   14.550	     22.551	     28.880	     88.831	      1.334	     10.458	    2.872	    2.956	    3.355	    2.507
 1980	     1	    14	   18.340	     22.276	     26.657	     91.624	      0.944	      8.142	    1.892	    2.254	    2.695	    1.896
 1980	     1	    15	   12.483	     21.783	     28.620	     87.092	      0.961	     11.534	    1.993	    3.115	    3.639	    2.732
 1980	     1	    16	    7.187	     21.975	     30.403	     80.257	      1.025	     16.926	    2.201	    4.385	    5.182	    4.101
 1980	     1	    17	    5.668	     22.486	     31.249	     81.782	      1.363	     18.709	    4.072	    4.901	    5.725	    4.603
 1980	     1	    18	    7.910	     22.244	     30.716	     82.716	      1.124	     16.839	    3.706	    4.414	    5.173	    4.107
 1980	     1	    19	   18.958	     21.764	     29.939	     81.851	      1.217	     14.522	    4.342	    3.907	    4.492	    3.491
 1980	     1	    20	   18.307	     21.433	     29.843	     85.148	      0.707	     14.511	    3.078	    3.772	    4.479	    3.472
 1980	     1	    21	    2.569	     22.879	     31.689	     79.833	      0.950	     20.930	    4.060	    5.299	    6.388	    5.197
 1980	     1	    22	    6.839	     23.321	     31.716	     80.255	      1.707	     20.041	    3.698	    5.256	    6.149	    5.003
 1980	     1	    23	    7.107	     23.461	     31.524	     79.863	      1.527	     20.067	    4.016	    5.186	    6.155	    5.006
 1980	     1	    24	    1.951	     22.609	     31.507	     75.571	      1.871	     22.746	    3.652	    5.839	    6.892	    5.620
 1980	     1	    25	    0.039	     23.171	     32.288	     70.605	      2.296	     24.646	    4.055	    6.384	    7.494	    6.181
 1980	     1	    26	    0.732	     23.250	     31.960	     73.061	      2.058	     24.026	    3.726	    6.156	    7.305	    6.009
 1980	     1	    27	    1.816	     23.537	     31.715	     76.765	      1.704	     20.803	    3.038	    5.393	    6.377	    5.205
 1980	     1	    28	    6.332	     23.100	     31.103	     79.992	      1.723	     18.737	    3.156	    4.923	    5.750	    4.634
 1980	     1	    29	    8.454	     23.034	     30.791	     80.988	      1.032	     15.498	    3.250	    4.086	    4.817	    3.818
 1980	     1	    30	   10.112	     22.852	     31.170	     79.861	      0.818	     17.397	    2.840	    4.473	    5.362	    4.294
 1980	     1	    31	    4.070	     23.544	     31.496	     79.778	      1.184	     17.185	    3.636	    4.519	    5.328	    4.290
 1980	     2	     1	    9.022	     23.242	     30.447	     80.850	      1.015	     15.192	    2.006	    3.976	    4.728	    3.736
 1980	     2	     2	    2.698	     22.937	     32.103	     75.631	      1.047	     22.022	    3.673	    5.597	    6.721	    5.498
 1980	     2	     3	    2.395	     23.495	     31.371	     82.050	      1.124	     16.930	    3.491	    4.442	    5.251	    4.219
 1980	     2	     4	    3.406	     23.265	     31.037	     83.402	      1.703	     16.340	    3.013	    4.416	    5.068	    4.046
 1980	     2	     5	   10.929	     23.158	     30.351	     86.338	      0.856	     12.253	    3.315	    3.318	    3.889	    3.008
 1980	     2	     6	   15.560	     22.715	     29.402	     84.125	      0.581	     12.816	    3.889	    3.325	    4.027	    3.096
 1980	     2	     7	    8.245	     22.590	     29.102	     86.633	      1.071	     12.748	    2.403	    3.389	    4.001	    3.065
 1980	     2	     8	    9.025	     22.572	     30.302	     83.398	      1.383	     15.891	    2.371	    4.216	    4.907	    3.872
 1980	     2	     9	    6.093	     22.672	     30.740	     79.448	      1.644	     18.934	    3.987	    4.923	    5.785	    4.642
 1980	     2	    10	   18.647	     22.960	     28.496	     87.722	      0.977	     11.109	    3.152	    2.969	    3.542	    2.665
 1980	     2	    11	   25.879	     22.469	     28.557	     89.689	      1.283	     10.782	    2.483	    2.985	    3.444	    2.573
 1980	     2	    12	   10.575	     22.392	     29.379	     87.506	      1.231	     14.468	    2.828	    3.803	    4.484	    3.481
 1980	     2	    13	   10.813	     22.366	     29.993	     86.088	      1.046	     14.585	    2.898	    3.855	    4.528	    3.533
 1980	     2	    14	   11.204	     22.845	     29.794	     86.771	      1.283	     14.207	    2.990	    3.778	    4.428	    3.452
 1980	     2	    15	   31.544	     22.147	     25.778	     93.312	      0.761	      6.965	    1.617	    1.949	    2.372	    1.602
 1980	     2	    16	   10.779	     22.113	     29.059	     86.224	      0.881	     13.258	    2.947	    3.475	    4.135	    3.169
 1980	     2	    17	   26.046	     22.363	     28.389	     90.788	      0.711	     10.514	    2.110	    2.818	    3.367	    2.501
 1980	     2	    18	   33.785	     22.144	     27.104	     92.095	      0.987	      7.898	    2.090	    2.253	    2.633	    1.846
 1980	     2	    19	   14.824	     21.871	     29.419	     87.379	      1.043	     13.940	    3.811	    3.692	    4.326	    3.336
 1980	     2	    20	   23.176	     22.412	     28.984	     87.428	      1.216	     14.124	    3.263	    3.690	    4.381	    3.384
 1980	     2	    21	   18.593	     22.103	     28.111	     91.762	      0.815	     10.276	    2.537	    2.783	    3.295	    2.430
 1980	     2	    22	   34.057	     22.060	     26.708	     92.317	      0.921	      8.341	    1.886	    2.307	    2.751	    1.938
 1980	     2	    23	   22.326	     21.696	     28.094	     89.516	      0.844	     10.658	    2.499	    2.880	    3.394	    2.507
 1980	     2	    24	   14.985	     21.605	     28.532	     88.161	      0.525	     12.985	    3.286	    3.327	    4.042	    3.068
 1980	     2	    25	   13.397	     22.020	     28.339	     90.099	      0.812	     12.503	    3.488	    3.255	    3.912	    2.960
 1980	     2	    26	   19.529	     22.044	     28.104	     91.868	      0.638	     10.631	    2.787	    2.821	    3.392	    2.511
 1980	     2	    27	   21.961	     22.008	     29.325	     88.264	      1.053	     15.157	    3.248	    3.927	    4.667	    3.629
 1980	     2	    28	   16.941	     22.098	     29.267	     87.761	      0.884	     14.611	    3.516	    3.772	    4.515	    3.499
 1980	     2	    29	   43.868	     21.933	     26.872	     90.747	      0.641	      7.498	    1.608	    2.113	    2.521	    1.743
 1980	     3	     1	   12.935	     21.993	     29.319	     87.046	      0.664	     13.526	    3.183	    3.507	    4.211	    3.238
 1980	     3	     2	   14.553	     21.502	     29.982	     84.463	      0.628	     18.228	    4.758	    4.542	    5.527	    4.372
 1980	     3	     3	   10.056	     21.934	     28.659	     87.620	      1.043	     12.985	    3.200	    3.426	    4.049	    3.084
 1980	     3	     4	   13.544	     21.960	     29.114	     88.424	      1.168	     14.000	    3.430	    3.696	    4.339	    3.342
 1980	     3	     5	   28.817	     22.246	     27.552	     89.692	      0.826	     11.020	    3.685	    2.888	    3.495	    2.592
 1980	     3	     6	   33.871	     22.161	     27.359	     93.143	      0.711	      9.308	    2.263	    2.514	    3.022	    2.183
 1980	     3	     7	   29.269	     21.832	     27.844	     90.198	      1.055	     11.096	    3.232	    2.980	    3.512	    2.606
 1980	     3	     8	   13.334	     21.940	     29.932	     83.896	      0.855	     19.714	    3.562	    4.885	    5.955	    4.749
 1980	     3	     9	   22.315	     21.966	     30.053	     84.695	      0.926	     16.314	    3.381	    4.206	    5.005	    3.937
 1980	     3	    10	   10.897	     22.517	     30.902	     82.881	      1.144	     18.016	    3.903	    4.668	    5.523	    4.417
 1980	     3	    11	    3.325	     22.379	     30.922	     81.243	      1.052	     19.900	    3.673	    5.045	    6.054	    4.872
 1980	     3	    12	    6.340	     22.596	     30.526	     83.526	      1.027	     16.678	    3.848	    4.323	    5.135	    4.075
 1980	     3	    13	   24.232	     21.928	     29.540	     87.718	      0.887	     15.789	    3.429	    4.043	    4.844	    3.786
 1980	     3	    14	   16.016	     21.982	     29.580	     86.251	      1.143	     13.217	    3.113	    3.578	    4.128	    3.173
 1980	     3	    15	   18.212	     21.651	     30.673	     85.582	      1.112	     18.182	    4.068	    4.709	    5.536	    4.403
 1980	     3	    16	    7.416	     22.207	     30.938	     78.767	      1.463	     21.523	    4.562	    5.466	    6.508	    5.261
 1980	     3	    17	    3.367	     22.837	     30.922	     79.994	      1.326	     18.838	    3.554	    4.855	    5.765	    4.636
 1980	     3	    18	   12.596	     22.573	     30.415	     80.573	      0.908	     16.944	    3.828	    4.342	    5.206	    4.134
 1980	     3	    19	   17.542	     22.537	     30.105	     84.107	      0.973	     15.300	    3.388	    3.987	    4.733	    3.718
 1980	     3	    20	   37.514	     22.072	     29.263	     86.638	      0.820	     12.946	    2.457	    3.414	    4.047	    3.100
 1980	     3	    21	    7.856	     22.097	     30.301	     85.816	      0.972	     16.670	    3.585	    4.306	    5.112	    4.040
 1980	     3	    22	   11.987	     22.092	     30.207	     86.588	      1.104	     16.399	    3.898	    4.272	    5.032	    3.969
 1980	     3	    23	    2.858	     22.092	     31.218	     80.173	      1.921	     21.735	    4.342	    5.647	    6.571	    5.322
 1980	     3	    24	    5.619	     22.949	     31.011	     81.758	      1.313	     18.033	    3.614	    4.697	    5.539	    4.448
 1980	     3	    25	    5.797	     22.602	     30.993	     80.794	      1.178	     17.738	    3.815	    4.623	    5.445	    4.357
 1980	     3	    26	    5.423	     22.181	     31.516	     79.134	      1.512	     21.911	    3.954	    5.637	    6.634	    5.388
 1980	     3	    27	    2.852	     24.366	     31.481	     79.345	      1.674	     21.858	    4.130	    5.499	    6.700	    5.505
 1980	     3	    28	    3.440	     22.821	     31.668	     78.328	      1.466	     22.524	    4.370	    5.736	    6.839	    5.588
 1980	     3	    29	    2.354	     22.570	     31.560	     76.945	      1.364	     20.250	    4.008	    5.251	    6.174	    5.004
 1980	     3	    30	    1.759	     23.311	     31.697	     77.697	      1.086	     20.826	    4.342	    5.290	    6.370	    5.197
 1980	     3	    31	    1.738	     22.778	     31.877	     77.451	      1.433	     22.029	    4.050	    5.657	    6.701	    5.475
 1980	     4	     1	    0.124	     23.147	     32.167	     77.846	      1.713	     24.018	    4.435	    6.137	    7.300	    6.013
 1980	     4	     2	    0.316	     23.449	     31.927	     75.621	      1.845	     23.002	    4.066	    5.893	    7.008	    5.763
 1980	     4	     3	    1.959	     23.452	     31.824	     77.030	      1.539	     22.198	    3.952	    5.663	    6.772	    5.556
 1980	     4	     4	    9.521	     23.129	     31.039	     84.443	      1.019	     16.843	    3.672	    4.374	    5.201	    4.164
 1980	     4	     5	   28.435	     22.746	     30.310	     85.577	      0.811	     14.470	    4.171	    3.784	    4.503	    3.535
 1980	     4	     6	   11.943	     22.950	     29.958	     86.543	      1.249	     14.775	    3.707	    3.894	    4.585	    3.602
 1980	     4	     7	   16.152	     22.631	     30.207	     86.757	      0.733	     14.674	    3.799	    3.801	    4.554	    3.574
 1980	     4	     8	   10.424	     22.699	     28.924	     87.692	      0.561	     13.370	    3.845	    3.404	    4.165	    3.212
 1980	     4	     9	    9.970	     22.362	     30.450	     85.013	      0.855	     17.920	    3.953	    4.537	    5.466	    4.363
 1980	     4	    10	    3.503	     22.525	     30.995	     80.900	      1.252	     19.751	    4.027	    5.050	    6.006	    4.848
 1980	     4	    11	    3.476	     22.501	     31.319	     81.363	      1.145	     20.762	    4.114	    5.273	    6.302	    5.113
 1980	     4	    12	    5.862	     22.590	     31.170	     84.876	      1.015	     18.680	    4.241	    4.792	    5.707	    4.597
