CABra ID  	 179
ANA ID    	 45298000
Longitude 	 -48.11    	 dd
Latitude  	 -8.39     	 dd
Area      	 243388.8476	 km²
Elevation 	 504.8759  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   16.248	     19.918	     26.461	     87.264	      1.776	     13.188	    2.844	    3.518	    4.125	    2.985
 1980	     1	     2	   18.420	     19.007	     25.940	     82.768	      1.112	     15.039	    2.769	    3.781	    4.591	    3.338
 1980	     1	     3	    8.811	     18.669	     27.152	     81.250	      0.919	     18.085	    3.150	    4.478	    5.437	    4.050
 1980	     1	     4	    5.824	     18.541	     28.058	     79.873	      1.241	     22.884	    3.856	    5.584	    6.783	    5.180
 1980	     1	     5	    3.120	     18.733	     27.581	     77.232	      1.739	     22.085	    3.657	    5.415	    6.550	    4.978
 1980	     1	     6	    3.984	     18.261	     28.000	     78.355	      1.591	     22.974	    3.686	    5.649	    6.788	    5.174
 1980	     1	     7	    1.755	     18.701	     27.707	     80.204	      1.427	     20.921	    3.824	    5.181	    6.238	    4.729
 1980	     1	     8	    6.272	     19.220	     27.503	     80.617	      1.196	     17.586	    3.926	    4.444	    5.336	    3.993
 1980	     1	     9	    5.836	     19.262	     27.645	     78.524	      1.260	     19.410	    3.470	    4.838	    5.855	    4.432
 1980	     1	    10	    5.917	     19.591	     27.354	     80.546	      1.184	     17.489	    3.364	    4.406	    5.328	    3.997
 1980	     1	    11	   11.059	     19.430	     25.790	     88.343	      0.865	     12.945	    2.644	    3.314	    4.030	    2.882
 1980	     1	    12	   19.605	     19.056	     23.984	     90.359	      1.144	     11.110	    2.350	    2.834	    3.496	    2.405
 1980	     1	    13	   29.322	     18.952	     22.528	     93.614	      1.145	      8.478	    1.406	    2.229	    2.780	    1.800
 1980	     1	    14	   23.051	     19.006	     24.700	     92.016	      1.740	     10.007	    1.505	    2.768	    3.212	    2.184
 1980	     1	    15	   25.201	     19.468	     23.987	     92.113	      1.728	      8.888	    1.661	    2.446	    2.913	    1.935
 1980	     1	    16	   28.302	     19.266	     23.876	     91.279	      1.573	     10.094	    1.883	    2.659	    3.233	    2.197
 1980	     1	    17	   17.763	     19.289	     26.240	     86.890	      1.404	     15.423	    3.246	    3.929	    4.729	    3.476
 1980	     1	    18	   12.514	     19.288	     27.617	     84.069	      0.952	     18.281	    3.455	    4.574	    5.554	    4.189
 1980	     1	    19	    4.038	     18.803	     29.473	     80.452	      0.861	     23.346	    4.511	    5.758	    6.985	    5.402
 1980	     1	    20	    2.860	     19.528	     30.226	     78.951	      0.717	     24.455	    4.588	    6.021	    7.358	    5.754
 1980	     1	    21	    3.985	     19.802	     30.336	     80.434	      0.661	     22.895	    4.477	    5.684	    6.933	    5.411
 1980	     1	    22	    3.284	     20.067	     29.241	     80.639	      0.809	     21.744	    4.532	    5.373	    6.578	    5.091
 1980	     1	    23	    5.492	     19.938	     29.697	     79.835	      0.889	     22.512	    4.720	    5.596	    6.806	    5.291
 1980	     1	    24	    6.055	     19.931	     29.482	     81.146	      0.958	     21.544	    4.264	    5.388	    6.526	    5.052
 1980	     1	    25	   10.087	     19.999	     28.314	     84.133	      0.778	     18.167	    3.653	    4.545	    5.544	    4.207
 1980	     1	    26	   12.042	     20.060	     27.627	     86.405	      0.892	     15.691	    3.242	    4.000	    4.837	    3.602
 1980	     1	    27	    9.624	     20.060	     28.826	     83.714	      0.893	     18.805	    3.538	    4.740	    5.738	    4.381
 1980	     1	    28	   10.138	     20.228	     28.766	     84.826	      0.929	     18.308	    3.648	    4.631	    5.600	    4.265
 1980	     1	    29	   13.788	     20.136	     27.861	     86.415	      0.850	     16.122	    3.420	    4.094	    4.965	    3.714
 1980	     1	    30	   11.612	     20.240	     27.396	     86.680	      0.936	     15.404	    2.875	    3.921	    4.757	    3.531
 1980	     1	    31	    8.318	     20.068	     27.481	     86.025	      0.819	     15.400	    3.076	    3.906	    4.750	    3.524
 1980	     2	     1	   14.282	     20.393	     26.754	     89.338	      1.175	     13.666	    2.659	    3.535	    4.266	    3.116
 1980	     2	     2	   16.036	     20.627	     26.466	     89.745	      1.422	     11.177	    2.440	    3.030	    3.579	    2.545
 1980	     2	     3	   17.268	     20.703	     27.228	     87.298	      1.442	     12.737	    3.010	    3.419	    4.028	    2.935
 1980	     2	     4	    8.564	     20.056	     28.197	     84.788	      1.071	     18.547	    3.730	    4.655	    5.642	    4.281
 1980	     2	     5	    7.219	     19.742	     28.433	     81.943	      0.817	     19.607	    3.958	    4.862	    5.934	    4.522
 1980	     2	     6	    4.679	     20.086	     29.906	     80.029	      0.646	     21.465	    4.195	    5.326	    6.517	    5.058
 1980	     2	     7	    5.350	     20.707	     30.000	     81.987	      0.695	     20.627	    4.293	    5.170	    6.315	    4.913
 1980	     2	     8	    8.060	     20.740	     29.723	     81.995	      0.775	     18.907	    3.934	    4.798	    5.812	    4.486
 1980	     2	     9	    3.638	     20.151	     29.329	     77.792	      1.497	     23.444	    4.358	    5.831	    7.055	    5.497
 1980	     2	    10	    2.753	     20.463	     28.844	     77.460	      2.077	     21.813	    4.011	    5.487	    6.591	    5.106
 1980	     2	    11	    0.927	     19.388	     28.882	     74.403	      1.725	     23.001	    4.339	    5.747	    6.877	    5.317
 1980	     2	    12	    1.867	     19.259	     29.130	     77.566	      1.341	     21.631	    3.579	    5.455	    6.500	    5.007
 1980	     2	    13	    9.258	     19.883	     26.357	     87.498	      0.957	     12.053	    2.585	    3.173	    3.805	    2.724
 1980	     2	    14	   19.576	     18.800	     23.833	     88.070	      1.508	      9.118	    1.550	    2.487	    2.962	    1.973
 1980	     2	    15	   10.635	     18.232	     23.552	     86.874	      1.738	     10.623	    2.063	    2.786	    3.338	    2.265
 1980	     2	    16	   12.153	     18.148	     22.647	     89.666	      1.304	      9.263	    1.636	    2.427	    2.968	    1.952
 1980	     2	    17	   11.213	     17.916	     24.473	     88.946	      1.197	     12.465	    2.325	    3.204	    3.836	    2.683
 1980	     2	    18	   20.082	     18.722	     23.387	     92.925	      1.562	      9.425	    1.807	    2.508	    3.031	    2.021
 1980	     2	    19	   16.692	     19.335	     26.857	     85.236	      1.888	     16.114	    3.437	    4.161	    4.903	    3.630
 1980	     2	    20	    5.859	     18.159	     28.555	     80.053	      1.070	     22.542	    4.105	    5.543	    6.675	    5.115
 1980	     2	    21	    3.102	     18.622	     29.483	     78.754	      1.043	     22.747	    4.042	    5.675	    6.791	    5.248
 1980	     2	    22	    3.949	     19.507	     28.463	     79.609	      1.490	     19.402	    3.386	    4.947	    5.864	    4.475
 1980	     2	    23	    1.812	     18.976	     29.574	     74.972	      1.360	     23.588	    4.354	    5.904	    7.042	    5.469
 1980	     2	    24	    0.935	     18.899	     29.305	     73.733	      1.218	     24.369	    4.192	    6.001	    7.242	    5.627
 1980	     2	    25	    1.069	     18.942	     28.995	     75.526	      1.190	     22.690	    4.014	    5.625	    6.764	    5.223
 1980	     2	    26	    1.458	     19.162	     28.573	     77.702	      1.218	     21.807	    3.940	    5.395	    6.514	    5.010
 1980	     2	    27	    3.092	     19.229	     28.294	     78.581	      1.352	     19.287	    3.559	    4.886	    5.812	    4.424
 1980	     2	    28	    4.727	     19.544	     28.356	     79.392	      1.209	     19.063	    3.824	    4.808	    5.767	    4.397
 1980	     2	    29	    0.819	     19.257	     28.593	     75.901	      1.688	     24.496	    4.262	    5.979	    7.257	    5.633
 1980	     3	     1	    0.595	     18.450	     28.638	     73.003	      1.796	     23.908	    4.186	    5.932	    7.056	    5.445
 1980	     3	     2	    0.661	     18.993	     28.114	     73.943	      1.939	     21.859	    3.954	    5.447	    6.494	    4.980
 1980	     3	     3	    0.444	     19.192	     28.446	     74.578	      1.527	     20.496	    3.837	    5.160	    6.138	    4.698
 1980	     3	     4	    0.574	     18.939	     28.368	     74.650	      1.636	     21.559	    4.041	    5.387	    6.417	    4.923
 1980	     3	     5	    0.810	     18.316	     28.203	     74.284	      1.645	     21.565	    3.912	    5.400	    6.383	    4.875
 1980	     3	     6	    0.419	     18.290	     28.666	     70.094	      1.756	     23.803	    3.985	    5.911	    7.014	    5.412
 1980	     3	     7	    0.172	     17.923	     28.785	     69.614	      1.648	     23.431	    3.755	    5.855	    6.899	    5.310
 1980	     3	     8	    0.237	     17.881	     29.496	     71.210	      1.051	     23.592	    3.865	    5.845	    6.974	    5.393
 1980	     3	     9	    0.302	     18.189	     30.187	     70.217	      1.123	     24.514	    4.117	    6.117	    7.272	    5.670
 1980	     3	    10	    0.116	     18.040	     30.395	     66.496	      1.306	     25.919	    4.403	    6.487	    7.664	    5.999
 1980	     3	    11	    0.202	     18.086	     30.664	     66.982	      1.194	     23.869	    4.093	    6.079	    7.106	    5.545
 1980	     3	    12	    0.998	     18.861	     30.110	     69.834	      0.973	     21.788	    3.749	    5.507	    6.538	    5.079
 1980	     3	    13	    1.312	     19.323	     29.785	     73.456	      0.974	     20.296	    3.795	    5.160	    6.127	    4.739
 1980	     3	    14	    3.586	     19.499	     29.881	     76.976	      0.849	     18.971	    3.930	    4.852	    5.766	    4.446
 1980	     3	    15	    6.326	     19.755	     29.267	     78.753	      0.876	     18.388	    3.790	    4.684	    5.599	    4.300
 1980	     3	    16	    3.448	     19.567	     29.444	     74.395	      1.488	     21.604	    4.126	    5.485	    6.484	    5.038
 1980	     3	    17	    1.543	     19.200	     29.445	     74.827	      1.528	     20.222	    3.379	    5.239	    6.086	    4.700
 1980	     3	    18	    0.629	     19.086	     29.441	     69.328	      1.582	     22.883	    3.857	    5.772	    6.817	    5.307
 1980	     3	    19	    0.409	     18.521	     28.639	     69.360	      1.484	     20.609	    3.684	    5.231	    6.134	    4.703
 1980	     3	    20	    0.156	     18.275	     28.684	     70.186	      1.511	     21.608	    3.582	    5.432	    6.391	    4.911
 1980	     3	    21	    0.051	     17.491	     30.036	     67.058	      1.220	     23.842	    3.788	    6.006	    7.029	    5.461
 1980	     3	    22	    0.130	     17.920	     29.977	     67.073	      1.081	     22.332	    3.680	    5.639	    6.626	    5.134
 1980	     3	    23	    0.038	     18.058	     30.343	     64.297	      1.498	     23.579	    3.668	    6.063	    6.994	    5.458
 1980	     3	    24	    0.058	     18.038	     29.759	     65.246	      1.560	     23.175	    3.477	    5.917	    6.852	    5.324
 1980	     3	    25	    0.005	     17.148	     29.751	     65.295	      1.485	     23.422	    3.431	    5.977	    6.875	    5.320
 1980	     3	    26	    0.059	     17.654	     29.814	     67.761	      1.394	     21.919	    3.357	    5.650	    6.491	    5.019
 1980	     3	    27	    0.103	     17.463	     30.654	     66.087	      1.061	     23.151	    3.609	    5.888	    6.853	    5.339
 1980	     3	    28	    0.062	     17.251	     30.880	     64.431	      0.902	     23.156	    3.392	    5.852	    6.855	    5.343
 1980	     3	    29	    0.065	     17.598	     31.407	     63.882	      0.784	     22.305	    3.272	    5.674	    6.655	    5.202
 1980	     3	    30	    0.361	     17.693	     31.356	     63.738	      0.719	     21.426	    3.111	    5.450	    6.410	    4.998
 1980	     3	    31	    1.823	     18.794	     31.354	     68.791	      0.768	     20.038	    3.321	    5.164	    6.065	    4.738
 1980	     4	     1	    3.947	     19.450	     29.520	     75.211	      0.950	     17.357	    3.146	    4.496	    5.277	    4.046
 1980	     4	     2	    8.202	     19.356	     27.278	     82.866	      0.905	     13.228	    3.120	    3.480	    4.101	    3.016
 1980	     4	     3	   12.699	     19.518	     26.518	     84.191	      1.189	     12.360	    2.591	    3.292	    3.862	    2.807
 1980	     4	     4	    6.471	     19.296	     27.448	     80.437	      1.057	     15.332	    3.138	    3.946	    4.676	    3.502
 1980	     4	     5	    8.655	     19.217	     27.486	     81.033	      0.693	     14.842	    3.231	    3.767	    4.538	    3.386
 1980	     4	     6	    8.811	     19.643	     28.087	     83.250	      0.758	     15.570	    3.375	    3.954	    4.746	    3.577
 1980	     4	     7	   10.975	     19.691	     27.482	     85.163	      0.989	     15.227	    2.945	    3.875	    4.636	    3.473
 1980	     4	     8	    7.971	     19.480	     27.324	     86.102	      1.012	     13.384	    2.470	    3.509	    4.126	    3.039
 1980	     4	     9	    5.700	     19.627	     28.111	     84.904	      0.861	     15.162	    3.235	    3.892	    4.631	    3.484
 1980	     4	    10	    5.924	     19.675	     29.123	     82.169	      0.786	     16.781	    3.659	    4.285	    5.107	    3.911
 1980	     4	    11	    6.307	     19.595	     28.906	     82.700	      0.795	     16.782	    3.556	    4.276	    5.098	    3.899
 1980	     4	    12	    2.996	     19.596	     30.217	     79.256	      0.722	     19.288	    3.602	    4.878	    5.829	    4.548
 1980	     4	    13	    4.574	     19.630	     29.835	     79.432	      0.839	     17.510	    3.743	    4.515	    5.323	    4.113
 1980	     4	    14	   11.183	     19.556	     27.743	     83.598	      0.793	     14.163	    2.700	    3.643	    4.340	    3.237
 1980	     4	    15	    4.830	     19.316	     28.133	     83.818	      0.609	     14.237	    2.725	    3.650	    4.368	    3.267
 1980	     4	    16	    5.451	     19.160	     28.157	     84.075	      1.105	     14.899	    2.681	    3.919	    4.541	    3.412
 1980	     4	    17	    3.039	     19.705	     27.034	     81.599	      2.049	     15.053	    2.748	    3.950	    4.572	    3.428
 1980	     4	    18	    1.015	     19.018	     27.164	     78.210	      2.294	     16.466	    2.817	    4.318	    4.929	    3.718
 1980	     4	    19	    0.510	     18.364	     27.024	     75.310	      2.178	     17.802	    2.668	    4.536	    5.249	    3.969
 1980	     4	    20	    0.250	     16.911	     27.145	     76.025	      1.690	     18.733	    2.623	    4.724	    5.438	    4.103
 1980	     4	    21	    0.270	     17.365	     27.236	     76.377	      1.862	     18.091	    2.670	    4.658	    5.302	    4.007
 1980	     4	    22	    0.181	     17.506	     27.325	     74.902	      1.901	     18.714	    2.566	    4.778	    5.464	    4.144
 1980	     4	    23	    0.096	     16.669	     27.128	     74.119	      1.781	     18.285	    2.510	    4.703	    5.320	    4.009
 1980	     4	    24	    0.125	     16.913	     26.820	     72.546	      1.643	     18.088	    2.572	    4.560	    5.251	    3.949
 1980	     4	    25	    0.083	     15.720	     26.239	     72.381	      1.503	     18.260	    2.408	    4.557	    5.236	    3.908
 1980	     4	    26	    0.072	     15.997	     26.207	     70.692	      1.826	     18.183	    2.340	    4.595	    5.221	    3.902
 1980	     4	    27	    0.055	     15.904	     26.356	     72.613	      1.733	     17.277	    2.407	    4.441	    4.989	    3.711
 1980	     4	    28	    0.185	     15.946	     26.654	     74.581	      1.643	     17.712	    2.347	    4.526	    5.107	    3.815
 1980	     4	    29	    0.193	     15.845	     27.082	     74.467	      1.496	     17.842	    2.412	    4.573	    5.151	    3.862
 1980	     4	    30	    0.391	     15.795	     27.478	     74.958	      1.166	     19.064	    2.580	    4.757	    5.482	    4.147
 1980	     5	     1	    0.574	     15.717	     28.124	     76.649	      0.830	     18.600	    2.598	    4.618	    5.380	    4.076
 1980	     5	     2	    0.497	     16.579	     28.410	     77.090	      0.799	     16.708	    2.528	    4.254	    4.933	    3.726
 1980	     5	     3	    2.663	     18.217	     28.166	     79.724	      0.932	     14.734	    2.417	    3.870	    4.466	    3.364
 1980	     5	     4	    1.773	     17.610	     27.124	     78.667	      1.183	     14.124	    2.177	    3.733	    4.235	    3.137
 1980	     5	     5	    0.647	     16.322	     28.987	     75.805	      1.078	     18.712	    2.579	    4.786	    5.446	    4.169
 1980	     5	     6	    0.481	     17.807	     28.428	     75.430	      1.349	     17.403	    2.366	    4.479	    5.131	    3.920
 1980	     5	     7	    0.334	     17.319	     28.126	     76.530	      1.391	     16.585	    2.064	    4.317	    4.882	    3.694
 1980	     5	     8	    0.297	     17.357	     27.531	     76.577	      1.371	     17.179	    2.234	    4.373	    5.026	    3.809
 1980	     5	     9	    0.116	     16.469	     27.167	     75.051	      1.566	     17.550	    2.201	    4.506	    5.078	    3.831
 1980	     5	    10	    0.110	     15.829	     27.545	     74.018	      1.263	     17.630	    2.148	    4.509	    5.089	    3.839
 1980	     5	    11	    0.133	     15.790	     28.056	     74.093	      1.241	     18.367	    2.270	    4.698	    5.295	    4.022
 1980	     5	    12	    0.088	     16.031	     27.354	     72.508	      1.767	     17.541	    2.151	    4.615	    5.065	    3.822
 1980	     5	    13	    0.277	     16.785	     26.038	     73.130	      2.334	     15.156	    1.650	    4.066	    4.424	    3.272
 1980	     5	    14	    0.332	     16.202	     25.165	     74.364	      2.035	     14.392	    1.596	    3.789	    4.185	    3.049
 1980	     5	    15	    0.211	     16.429	     26.077	     75.386	      1.458	     15.016	    1.629	    3.877	    4.379	    3.233
 1980	     5	    16	    0.336	     15.861	     27.243	     75.758	      1.133	     16.739	    1.979	    4.259	    4.836	    3.631
 1980	     5	    17	    0.473	     16.022	     27.683	     76.121	      1.060	     15.954	    1.946	    4.132	    4.658	    3.494
