CABra ID  	 197
ANA ID    	 48590000
Longitude 	 -50.706   	 dd
Latitude  	 -15.537   	 dd
Area      	 5281.5843 	 km²
Elevation 	 456.1757  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.392	     20.442	     27.606	     83.244	      1.364	     14.235	    2.908	    3.748	    4.435	    3.289
 1980	     1	     2	   16.330	     19.879	     26.943	     82.570	      1.042	     13.797	    2.537	    3.574	    4.280	    3.130
 1980	     1	     3	   12.075	     19.593	     27.498	     82.329	      0.921	     15.799	    2.987	    4.010	    4.831	    3.587
 1980	     1	     4	   12.541	     19.593	     27.440	     83.215	      1.041	     17.368	    3.045	    4.347	    5.268	    3.947
 1980	     1	     5	   11.069	     19.413	     26.699	     81.655	      1.552	     16.478	    2.780	    4.171	    5.006	    3.711
 1980	     1	     6	    4.029	     19.213	     28.362	     78.095	      1.855	     20.928	    3.598	    5.285	    6.257	    4.784
 1980	     1	     7	    1.762	     19.472	     28.499	     76.182	      1.886	     21.711	    3.991	    5.447	    6.498	    5.001
 1980	     1	     8	    4.212	     19.818	     28.302	     75.733	      1.647	     19.574	    3.871	    4.955	    5.917	    4.526
 1980	     1	     9	    3.647	     19.712	     28.269	     74.983	      1.568	     20.537	    3.514	    5.141	    6.182	    4.743
 1980	     1	    10	    4.619	     19.964	     28.323	     77.354	      1.321	     19.241	    3.544	    4.854	    5.836	    4.464
 1980	     1	    11	   10.570	     19.856	     26.084	     86.205	      0.966	     12.724	    2.500	    3.288	    3.978	    2.865
 1980	     1	    12	   14.875	     19.657	     25.955	     86.215	      1.038	     13.042	    2.523	    3.349	    4.062	    2.934
 1980	     1	    13	   24.554	     19.671	     24.209	     90.877	      1.145	      9.299	    1.498	    2.491	    3.023	    2.045
 1980	     1	    14	   22.129	     19.659	     25.421	     89.921	      1.544	     10.592	    1.761	    2.884	    3.382	    2.356
 1980	     1	    15	   22.713	     19.853	     25.270	     89.330	      1.378	     10.438	    1.878	    2.806	    3.349	    2.334
 1980	     1	    16	   20.475	     19.667	     25.537	     87.581	      1.316	     12.735	    2.186	    3.280	    3.973	    2.854
 1980	     1	    17	   10.584	     19.892	     27.722	     82.168	      1.597	     18.713	    3.610	    4.723	    5.679	    4.323
 1980	     1	    18	    6.698	     19.614	     28.770	     78.528	      1.337	     22.110	    4.016	    5.487	    6.645	    5.145
 1980	     1	    19	    2.585	     19.538	     29.549	     76.418	      1.417	     23.419	    4.327	    5.829	    7.018	    5.465
 1980	     1	    20	    1.933	     19.851	     30.313	     74.426	      1.165	     25.266	    4.582	    6.248	    7.585	    5.972
 1980	     1	    21	    2.313	     19.686	     30.540	     74.723	      1.026	     24.643	    4.357	    6.140	    7.410	    5.828
 1980	     1	    22	    2.216	     20.079	     29.954	     75.095	      1.149	     23.519	    4.398	    5.871	    7.088	    5.554
 1980	     1	    23	    3.563	     20.311	     29.935	     76.411	      1.251	     23.010	    4.444	    5.757	    6.952	    5.445
 1980	     1	    24	    3.745	     20.205	     29.857	     76.925	      1.306	     22.804	    4.190	    5.724	    6.888	    5.387
 1980	     1	    25	    5.949	     20.231	     29.314	     78.073	      1.169	     20.967	    3.895	    5.268	    6.356	    4.932
 1980	     1	    26	    7.423	     20.191	     29.007	     79.803	      1.062	     19.460	    3.605	    4.923	    5.925	    4.564
 1980	     1	    27	    7.816	     20.265	     29.422	     79.624	      0.934	     19.812	    3.624	    4.993	    6.031	    4.661
 1980	     1	    28	   12.016	     20.622	     28.172	     84.407	      0.976	     16.001	    2.870	    4.101	    4.946	    3.730
 1980	     1	    29	   13.488	     20.422	     27.635	     85.458	      1.051	     15.057	    3.325	    3.872	    4.660	    3.472
 1980	     1	    30	   12.445	     20.511	     27.660	     85.424	      1.040	     15.237	    2.802	    3.907	    4.712	    3.519
 1980	     1	    31	   11.803	     20.535	     27.254	     86.853	      1.029	     13.593	    2.597	    3.531	    4.249	    3.123
 1980	     2	     1	   14.948	     20.625	     27.130	     87.267	      1.234	     12.986	    2.558	    3.427	    4.080	    2.982
 1980	     2	     2	   14.640	     20.774	     27.249	     86.967	      1.285	     12.667	    2.580	    3.373	    4.003	    2.929
 1980	     2	     3	   14.778	     20.831	     27.592	     85.445	      1.287	     13.234	    2.904	    3.517	    4.163	    3.067
 1980	     2	     4	   15.291	     20.528	     27.467	     86.697	      1.340	     14.879	    3.053	    3.854	    4.611	    3.429
 1980	     2	     5	   15.127	     20.424	     26.951	     85.365	      1.336	     14.104	    2.806	    3.644	    4.392	    3.233
 1980	     2	     6	    9.406	     20.525	     28.499	     82.816	      1.238	     17.033	    3.449	    4.361	    5.242	    3.981
 1980	     2	     7	   10.907	     20.866	     28.069	     85.760	      1.058	     15.598	    3.320	    4.007	    4.852	    3.658
 1980	     2	     8	   13.884	     20.728	     28.057	     85.927	      1.029	     15.021	    2.973	    3.888	    4.680	    3.510
 1980	     2	     9	   11.791	     20.452	     27.799	     83.949	      1.376	     17.110	    3.211	    4.370	    5.253	    3.976
 1980	     2	    10	    8.976	     20.528	     28.336	     80.588	      1.874	     18.952	    3.831	    4.819	    5.766	    4.418
 1980	     2	    11	    2.700	     19.956	     28.509	     75.991	      1.884	     21.848	    4.291	    5.434	    6.550	    5.061
 1980	     2	    12	    4.292	     19.846	     28.725	     78.845	      1.515	     20.880	    3.853	    5.239	    6.286	    4.845
 1980	     2	    13	    8.784	     20.176	     27.390	     83.751	      1.180	     15.042	    3.246	    3.878	    4.649	    3.464
 1980	     2	    14	   13.084	     19.683	     25.496	     84.683	      1.622	     12.179	    2.533	    3.203	    3.826	    2.740
 1980	     2	    15	   12.619	     19.312	     24.366	     86.987	      1.837	      9.996	    1.852	    2.696	    3.195	    2.183
 1980	     2	    16	   11.833	     18.942	     23.795	     87.858	      1.624	      9.711	    1.720	    2.598	    3.109	    2.102
 1980	     2	    17	   13.582	     18.983	     24.481	     88.507	      1.348	     10.888	    2.018	    2.865	    3.430	    2.374
 1980	     2	    18	   15.726	     19.355	     24.962	     90.052	      1.359	     11.040	    2.252	    2.914	    3.491	    2.443
 1980	     2	    19	   17.748	     19.903	     26.070	     87.649	      1.640	     13.305	    2.870	    3.456	    4.130	    2.994
 1980	     2	    20	    8.599	     19.202	     28.181	     82.427	      1.093	     19.615	    3.738	    4.882	    5.883	    4.480
 1980	     2	    21	    7.665	     19.478	     28.355	     82.842	      1.141	     19.005	    3.522	    4.782	    5.740	    4.374
 1980	     2	    22	    4.987	     19.770	     28.175	     79.937	      1.454	     18.618	    3.660	    4.725	    5.633	    4.290
 1980	     2	    23	    2.283	     19.506	     28.901	     77.231	      1.442	     21.833	    4.165	    5.448	    6.538	    5.055
 1980	     2	    24	    1.413	     19.319	     29.026	     75.155	      1.373	     23.715	    4.189	    5.821	    7.054	    5.485
 1980	     2	    25	    1.520	     19.297	     28.957	     75.727	      1.462	     22.708	    4.057	    5.635	    6.770	    5.246
 1980	     2	    26	    2.097	     19.465	     28.609	     77.273	      1.454	     21.860	    3.869	    5.413	    6.529	    5.042
 1980	     2	    27	    3.017	     19.583	     28.520	     78.578	      1.524	     20.123	    3.651	    5.066	    6.051	    4.646
 1980	     2	    28	    3.966	     19.866	     28.512	     78.907	      1.469	     19.743	    3.917	    4.967	    5.958	    4.577
 1980	     2	    29	    1.858	     19.430	     28.454	     76.192	      1.826	     23.458	    4.188	    5.752	    6.959	    5.395
 1980	     3	     1	    1.116	     18.779	     28.500	     74.321	      2.011	     22.718	    4.109	    5.687	    6.726	    5.185
 1980	     3	     2	    0.772	     19.564	     27.704	     75.366	      2.026	     19.449	    3.584	    4.895	    5.831	    4.441
 1980	     3	     3	    0.653	     19.577	     28.143	     75.198	      1.796	     19.743	    3.839	    4.979	    5.926	    4.532
 1980	     3	     4	    1.078	     19.237	     28.381	     75.666	      1.765	     21.316	    3.979	    5.330	    6.352	    4.885
 1980	     3	     5	    2.576	     19.199	     28.089	     75.954	      1.846	     20.107	    3.848	    5.068	    6.006	    4.589
 1980	     3	     6	    1.620	     19.282	     28.191	     74.475	      1.947	     20.753	    3.820	    5.215	    6.189	    4.746
 1980	     3	     7	    0.936	     19.050	     28.441	     72.375	      1.871	     22.003	    3.891	    5.487	    6.532	    5.033
 1980	     3	     8	    1.384	     18.942	     28.805	     74.665	      1.338	     21.731	    3.839	    5.399	    6.468	    4.988
 1980	     3	     9	    1.121	     18.944	     29.303	     73.458	      1.396	     22.840	    3.964	    5.685	    6.795	    5.276
 1980	     3	    10	    0.597	     18.798	     29.654	     69.239	      1.537	     24.082	    4.160	    6.023	    7.146	    5.576
 1980	     3	    11	    0.289	     18.698	     30.081	     69.167	      1.457	     23.624	    3.927	    5.975	    7.031	    5.490
 1980	     3	    12	    0.721	     19.111	     30.048	     69.742	      1.332	     22.967	    3.822	    5.794	    6.865	    5.364
 1980	     3	    13	    0.934	     19.325	     29.708	     72.227	      1.207	     21.814	    3.771	    5.493	    6.538	    5.088
 1980	     3	    14	    1.969	     19.444	     30.005	     74.668	      1.062	     21.048	    3.879	    5.327	    6.339	    4.933
 1980	     3	    15	    3.774	     19.756	     29.458	     75.591	      1.160	     19.343	    3.841	    4.948	    5.860	    4.527
 1980	     3	    16	    2.486	     19.702	     29.619	     72.967	      1.671	     21.971	    4.020	    5.597	    6.591	    5.141
 1980	     3	    17	    2.250	     19.809	     29.298	     74.845	      1.909	     20.345	    3.376	    5.251	    6.129	    4.752
 1980	     3	    18	    0.551	     19.336	     29.387	     67.425	      2.073	     23.266	    3.947	    5.896	    6.924	    5.407
