CABra ID  	 224
ANA ID    	 51440000
Longitude 	 -48.55    	 dd
Latitude  	 -6.401    	 dd
Area      	 370831.0689	 km²
Elevation 	 323.9986  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    6.197	     20.934	     28.517	     72.252	      1.292	     14.577	    2.677	    3.895	    4.540	    3.417
 1980	     1	     2	    9.579	     20.906	     28.571	     74.650	      0.965	     13.320	    2.713	    3.580	    4.193	    3.131
 1980	     1	     3	   20.778	     20.007	     27.258	     83.380	      1.044	     13.017	    2.740	    3.438	    4.061	    2.968
 1980	     1	     4	   18.866	     20.329	     26.225	     86.330	      1.114	     11.192	    1.873	    2.981	    3.553	    2.530
 1980	     1	     5	   20.895	     19.697	     25.283	     86.633	      1.325	     10.214	    1.865	    2.764	    3.266	    2.268
 1980	     1	     6	    3.937	     20.055	     26.325	     86.470	      2.679	     14.103	    1.915	    3.713	    4.339	    3.179
 1980	     1	     7	    1.470	     19.210	     27.983	     75.103	      2.602	     20.505	    3.602	    5.233	    6.110	    4.674
 1980	     1	     8	    2.264	     19.726	     27.240	     77.514	      2.578	     18.508	    3.144	    4.682	    5.555	    4.204
 1980	     1	     9	    2.707	     19.369	     27.416	     79.160	      2.206	     20.217	    3.364	    5.019	    6.016	    4.584
 1980	     1	    10	    4.101	     19.748	     28.103	     77.325	      1.697	     19.872	    3.466	    4.990	    5.964	    4.572
 1980	     1	    11	    4.693	     20.129	     27.738	     78.531	      1.458	     15.850	    3.045	    4.113	    4.859	    3.651
 1980	     1	    12	    6.746	     20.302	     27.982	     77.601	      1.294	     17.229	    3.046	    4.378	    5.251	    3.988
 1980	     1	    13	   11.377	     20.381	     27.472	     85.071	      1.232	     12.313	    2.012	    3.344	    3.889	    2.845
 1980	     1	    14	   11.435	     20.263	     26.471	     86.644	      1.137	     12.267	    2.216	    3.228	    3.858	    2.796
 1980	     1	    15	    6.328	     19.913	     27.980	     81.543	      1.019	     15.484	    3.046	    4.015	    4.775	    3.595
 1980	     1	    16	    4.966	     20.286	     28.514	     74.995	      1.787	     20.848	    3.782	    5.219	    6.272	    4.856
 1980	     1	    17	    1.445	     19.970	     28.730	     74.314	      2.431	     23.469	    3.686	    5.827	    6.987	    5.442
 1980	     1	    18	    1.020	     19.889	     29.045	     72.410	      2.389	     22.559	    3.427	    5.722	    6.744	    5.245
 1980	     1	    19	    2.479	     20.492	     28.940	     72.066	      2.394	     22.691	    4.063	    5.680	    6.807	    5.316
 1980	     1	    20	    1.463	     20.397	     29.274	     68.345	      1.829	     23.037	    4.086	    5.739	    6.906	    5.400
 1980	     1	    21	    1.116	     20.123	     30.546	     64.803	      1.586	     26.202	    3.983	    6.549	    7.846	    6.223
 1980	     1	    22	    3.092	     19.454	     30.335	     65.761	      1.746	     26.713	    3.923	    6.688	    7.948	    6.285
 1980	     1	    23	    0.741	     20.499	     29.842	     69.083	      2.127	     23.437	    3.819	    5.953	    7.049	    5.543
 1980	     1	    24	    1.315	     20.656	     29.507	     71.284	      1.895	     21.174	    3.163	    5.427	    6.410	    5.006
 1980	     1	    25	    3.769	     20.276	     29.851	     66.622	      1.915	     24.728	    3.682	    6.196	    7.407	    5.842
 1980	     1	    26	    2.379	     20.692	     29.996	     67.613	      1.535	     23.702	    3.679	    5.940	    7.143	    5.636
 1980	     1	    27	    2.159	     20.437	     29.741	     71.374	      1.378	     21.416	    3.216	    5.431	    6.477	    5.062
 1980	     1	    28	    5.286	     20.725	     29.998	     73.972	      1.137	     16.950	    2.781	    4.509	    5.246	    4.049
 1980	     1	    29	   16.257	     20.318	     28.483	     81.850	      1.221	     14.680	    3.280	    3.906	    4.552	    3.411
 1980	     1	    30	   16.294	     20.644	     28.550	     81.550	      1.377	     15.289	    2.324	    4.046	    4.731	    3.569
 1980	     1	    31	   14.230	     21.031	     27.560	     86.461	      1.336	     11.618	    1.866	    3.182	    3.701	    2.693
 1980	     2	     1	   20.534	     20.527	     27.373	     82.964	      1.610	     12.792	    2.724	    3.472	    4.013	    2.940
 1980	     2	     2	   10.679	     20.919	     29.454	     78.152	      1.028	     17.419	    3.559	    4.496	    5.361	    4.131
 1980	     2	     3	   12.135	     20.698	     27.959	     81.864	      1.273	     13.087	    2.755	    3.525	    4.107	    3.034
 1980	     2	     4	   11.556	     21.012	     26.239	     84.116	      2.179	     10.908	    2.005	    2.984	    3.487	    2.489
 1980	     2	     5	   10.569	     21.323	     26.253	     83.378	      2.308	      9.203	    1.482	    2.655	    3.026	    2.112
 1980	     2	     6	   12.613	     21.232	     26.537	     84.749	      2.164	      9.624	    1.598	    2.767	    3.141	    2.205
 1980	     2	     7	   23.325	     20.499	     25.410	     90.849	      1.142	     10.143	    1.879	    2.696	    3.261	    2.276
 1980	     2	     8	   29.006	     20.637	     25.426	     90.283	      1.549	     11.033	    1.925	    2.882	    3.506	    2.481
 1980	     2	     9	   38.201	     20.270	     25.794	     89.033	      1.442	     10.302	    1.949	    2.825	    3.307	    2.324
 1980	     2	    10	   10.342	     20.068	     26.892	     83.927	      2.171	     17.558	    4.029	    4.385	    5.297	    3.994
 1980	     2	    11	    5.621	     19.578	     27.327	     76.952	      2.097	     20.392	    4.347	    5.004	    6.065	    4.631
 1980	     2	    12	    3.855	     19.722	     27.602	     80.439	      1.702	     17.761	    3.643	    4.510	    5.360	    4.053
 1980	     2	    13	    4.126	     20.544	     28.092	     79.407	      1.963	     18.109	    3.360	    4.624	    5.500	    4.204
 1980	     2	    14	    3.565	     20.448	     26.178	     81.130	      2.305	     14.335	    2.898	    3.659	    4.408	    3.245
 1980	     2	    15	    8.943	     20.258	     24.150	     90.850	      1.978	      9.875	    2.071	    2.567	    3.167	    2.180
 1980	     2	    16	   10.256	     19.728	     24.202	     91.262	      2.028	      9.594	    1.782	    2.569	    3.084	    2.102
 1980	     2	    17	   10.456	     19.647	     24.520	     90.562	      1.660	      9.733	    1.874	    2.629	    3.128	    2.147
 1980	     2	    18	    7.390	     19.800	     27.349	     84.497	      0.983	     14.227	    3.029	    3.680	    4.389	    3.244
 1980	     2	    19	   16.605	     20.104	     25.082	     90.426	      0.975	      9.153	    1.543	    2.477	    2.982	    2.037
 1980	     2	    20	    9.764	     20.011	     28.269	     81.259	      1.334	     16.300	    2.867	    4.245	    4.983	    3.762
 1980	     2	    21	   10.765	     20.549	     26.448	     85.462	      1.362	     14.615	    3.710	    3.686	    4.497	    3.334
 1980	     2	    22	    3.806	     20.465	     27.989	     76.932	      2.195	     21.421	    3.812	    5.252	    6.408	    4.961
 1980	     2	    23	    4.382	     20.057	     27.774	     78.583	      2.126	     19.754	    3.778	    4.932	    5.924	    4.542
 1980	     2	    24	    2.643	     20.118	     27.696	     78.755	      2.018	     21.011	    3.776	    5.133	    6.265	    4.823
 1980	     2	    25	    2.583	     19.939	     27.783	     79.022	      1.995	     19.216	    3.591	    4.829	    5.770	    4.409
 1980	     2	    26	    5.517	     19.786	     27.775	     79.473	      1.837	     19.656	    3.785	    4.903	    5.883	    4.500
 1980	     2	    27	    3.094	     20.255	     28.016	     79.755	      2.016	     20.076	    3.665	    5.001	    6.023	    4.633
 1980	     2	    28	    2.940	     20.063	     27.464	     82.663	      2.418	     18.990	    3.757	    4.763	    5.701	    4.350
 1980	     2	    29	    2.709	     19.330	     26.508	     82.379	      2.434	     17.736	    2.541	    4.428	    5.297	    3.970
 1980	     3	     1	    3.455	     19.716	     26.414	     82.451	      2.520	     17.107	    3.695	    4.273	    5.139	    3.847
 1980	     3	     2	    2.358	     19.562	     26.366	     83.382	      2.669	     16.814	    3.159	    4.245	    5.056	    3.780
 1980	     3	     3	    2.893	     19.566	     26.728	     80.995	      2.423	     17.964	    3.734	    4.485	    5.374	    4.049
 1980	     3	     4	    2.070	     19.795	     27.263	     80.085	      2.461	     19.225	    3.884	    4.792	    5.743	    4.374
 1980	     3	     5	    3.597	     19.516	     26.452	     82.813	      2.546	     17.671	    3.324	    4.395	    5.282	    3.963
 1980	     3	     6	    4.017	     19.548	     26.526	     80.168	      2.754	     17.211	    3.894	    4.347	    5.165	    3.874
 1980	     3	     7	    2.570	     19.350	     26.439	     82.422	      2.433	     17.676	    3.375	    4.403	    5.278	    3.959
 1980	     3	     8	    3.658	     19.649	     26.877	     81.501	      2.077	     17.241	    3.419	    4.348	    5.184	    3.898
 1980	     3	     9	    1.926	     19.526	     26.821	     79.055	      2.028	     18.859	    3.558	    4.637	    5.616	    4.256
 1980	     3	    10	    1.421	     19.358	     27.266	     77.865	      1.973	     20.071	    3.418	    4.938	    5.954	    4.544
 1980	     3	    11	    0.759	     19.964	     28.081	     75.519	      1.978	     21.597	    3.728	    5.312	    6.426	    4.975
 1980	     3	    12	    0.785	     19.762	     27.915	     77.015	      1.960	     21.946	    3.650	    5.360	    6.506	    5.032
 1980	     3	    13	    1.227	     19.789	     27.968	     75.477	      1.602	     20.192	    3.669	    5.001	    6.027	    4.635
 1980	     3	    14	    1.364	     19.780	     28.796	     73.263	      1.765	     22.976	    3.808	    5.677	    6.826	    5.327
 1980	     3	    15	    1.076	     19.939	     28.056	     76.851	      1.939	     18.980	    3.291	    4.812	    5.698	    4.363
 1980	     3	    16	    2.400	     20.208	     27.921	     78.384	      2.268	     19.050	    3.265	    4.826	    5.725	    4.394
 1980	     3	    17	    2.425	     20.052	     27.651	     77.049	      2.823	     19.221	    3.176	    4.868	    5.760	    4.417
 1980	     3	    18	    1.214	     18.928	     27.046	     74.767	      2.867	     20.687	    3.265	    5.119	    6.089	    4.650
 1980	     3	    19	    1.560	     19.191	     26.742	     77.626	      2.199	     19.548	    3.356	    4.782	    5.778	    4.390
 1980	     3	    20	    2.332	     19.724	     26.942	     79.700	      2.536	     16.804	    3.173	    4.311	    5.060	    3.806
 1980	     3	    21	    0.923	     19.322	     26.576	     78.494	      2.490	     16.006	    3.027	    4.135	    4.818	    3.587
 1980	     3	    22	    0.804	     18.749	     26.581	     78.299	      2.147	     16.688	    3.049	    4.277	    4.985	    3.719
 1980	     3	    23	    0.977	     19.562	     27.614	     76.643	      2.837	     20.628	    3.644	    5.147	    6.111	    4.697
 1980	     3	    24	    1.701	     19.604	     27.351	     78.143	      2.589	     19.397	    3.376	    4.861	    5.772	    4.414
 1980	     3	    25	    0.503	     19.476	     27.607	     74.280	      2.601	     19.558	    3.071	    4.946	    5.814	    4.448
 1980	     3	    26	    1.123	     19.261	     27.674	     75.242	      2.666	     19.423	    3.362	    4.966	    5.772	    4.413
 1980	     3	    27	    0.892	     19.578	     27.444	     75.088	      2.236	     17.918	    3.206	    4.581	    5.370	    4.083
 1980	     3	    28	    0.175	     18.355	     28.190	     71.962	      2.142	     22.524	    3.664	    5.624	    6.594	    5.094
 1980	     3	    29	    0.252	     18.840	     27.980	     73.989	      1.848	     20.108	    3.457	    5.066	    5.948	    4.560
 1980	     3	    30	    0.002	     17.858	     28.434	     72.368	      1.469	     22.402	    3.770	    5.554	    6.547	    5.050
 1980	     3	    31	    0.002	     17.488	     29.161	     70.506	      1.386	     23.013	    3.612	    5.764	    6.727	    5.213
 1980	     4	     1	    0.160	     18.274	     29.627	     68.274	      1.347	     24.581	    3.874	    6.094	    7.214	    5.654
