CABra ID  	 225
ANA ID    	 51560000
Longitude 	 -48.2     	 dd
Latitude  	 -6.042    	 dd
Area      	 1515.2994 	 km²
Elevation 	 235.3434  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.693	     21.882	     30.190	     76.573	      1.478	     15.055	    2.450	    4.119	    4.678	    3.635
 1980	     1	     2	    6.801	     22.709	     30.098	     75.244	      1.049	     13.291	    2.958	    3.596	    4.194	    3.236
 1980	     1	     3	    4.929	     22.461	     28.708	     82.807	      1.084	     12.413	    2.332	    3.308	    3.921	    2.966
 1980	     1	     4	   21.549	     21.465	     26.500	     94.255	      1.412	      8.116	    2.118	    2.357	    2.697	    1.868
 1980	     1	     5	   34.562	     20.914	     25.398	     93.968	      1.103	      8.584	    1.969	    2.344	    2.809	    1.937
 1980	     1	     6	    8.296	     20.414	     26.959	     89.442	      2.217	     13.903	    2.994	    3.683	    4.257	    3.177
 1980	     1	     7	    7.460	     20.619	     28.441	     80.832	      1.744	     18.442	    3.543	    4.675	    5.541	    4.300
 1980	     1	     8	    3.551	     20.901	     27.972	     83.121	      1.957	     18.409	    4.448	    4.597	    5.527	    4.283
 1980	     1	     9	    5.468	     20.728	     27.565	     85.781	      1.855	     19.863	    4.604	    4.808	    5.906	    4.589
 1980	     1	    10	    5.588	     21.227	     29.333	     81.152	      1.430	     21.017	    4.557	    5.219	    6.307	    4.987
 1980	     1	    11	    2.071	     21.739	     29.823	     79.255	      1.440	     19.697	    3.154	    4.996	    5.972	    4.728
 1980	     1	    12	    2.446	     21.830	     29.669	     80.325	      0.956	     17.255	    3.679	    4.395	    5.284	    4.139
 1980	     1	    13	    3.211	     21.994	     29.606	     84.984	      1.306	     15.026	    2.863	    3.997	    4.661	    3.609
 1980	     1	    14	   17.631	     21.857	     28.696	     83.055	      1.312	     15.557	    4.030	    4.007	    4.786	    3.691
 1980	     1	    15	    1.594	     22.547	     29.819	     79.836	      1.319	     17.652	    3.334	    4.521	    5.421	    4.276
 1980	     1	    16	    2.303	     22.040	     30.255	     80.343	      1.700	     23.664	    4.706	    5.861	    7.120	    5.728
 1980	     1	    17	    3.463	     22.276	     29.303	     80.683	      2.010	     20.769	    3.340	    5.152	    6.276	    4.987
 1980	     1	    18	    1.596	     20.967	     29.655	     80.823	      1.703	     21.316	    3.512	    5.379	    6.392	    5.062
 1980	     1	    19	    1.302	     21.640	     29.963	     79.223	      1.910	     22.910	    4.052	    5.717	    6.878	    5.502
 1980	     1	    20	    0.383	     21.813	     30.136	     79.373	      1.255	     19.582	    4.057	    4.978	    5.952	    4.721
 1980	     1	    21	    0.083	     21.756	     31.153	     74.533	      1.319	     26.010	    4.557	    6.430	    7.812	    6.340
 1980	     1	    22	    0.284	     21.674	     31.032	     73.922	      1.691	     25.746	    4.217	    6.419	    7.727	    6.261
 1980	     1	    23	    0.018	     21.492	     31.257	     75.236	      1.804	     24.844	    4.101	    6.310	    7.472	    6.045
 1980	     1	    24	    0.911	     21.062	     30.321	     79.842	      1.766	     21.490	    3.206	    5.522	    6.468	    5.148
 1980	     1	    25	    0.675	     21.656	     31.110	     73.941	      1.775	     24.059	    3.974	    6.114	    7.250	    5.855
 1980	     1	    26	    0.794	     22.223	     30.762	     78.449	      1.618	     21.202	    3.521	    5.428	    6.446	    5.172
 1980	     1	    27	    0.983	     22.105	     31.267	     75.243	      1.393	     21.141	    3.628	    5.451	    6.442	    5.180
 1980	     1	    28	    0.942	     21.882	     31.832	     75.273	      1.535	     20.115	    3.907	    5.370	    6.158	    4.948
 1980	     1	    29	   16.872	     22.093	     28.304	     88.556	      1.136	     11.145	    2.924	    3.043	    3.555	    2.639
