CABra ID  	 232
ANA ID    	 54230000
Longitude 	 -51.461   	 dd
Latitude  	 3.042     	 dd
Area      	 513.9472  	 km²
Elevation 	 72.6469   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   15.082	     18.653	     25.401	     89.044	      2.075	     11.790	    3.092	    3.268	    3.721	    2.587
 1980	     1	     2	   25.730	     18.522	     23.359	     90.032	      0.946	     10.344	    1.890	    2.675	    3.298	    2.207
 1980	     1	     3	   14.254	     17.768	     24.591	     89.312	      1.132	     15.787	    3.066	    3.867	    4.751	    3.390
 1980	     1	     4	    3.132	     16.652	     24.501	     84.629	      1.584	     18.027	    3.429	    4.357	    5.302	    3.810
 1980	     1	     5	    1.660	     16.487	     24.009	     78.198	      2.206	     19.451	    3.392	    4.580	    5.651	    4.076
 1980	     1	     6	    1.413	     16.829	     24.162	     85.548	      1.926	     17.688	    3.235	    4.261	    5.206	    3.729
 1980	     1	     7	    2.835	     17.559	     25.832	     78.808	      1.630	     21.429	    4.507	    5.120	    6.295	    4.662
 1980	     1	     8	    2.491	     17.449	     24.937	     81.851	      1.545	     17.947	    3.898	    4.356	    5.325	    3.855
 1980	     1	     9	    0.227	     18.364	     26.908	     74.261	      1.536	     22.682	    4.242	    5.463	    6.715	    5.052
 1980	     1	    10	    0.865	     18.251	     26.974	     79.444	      1.187	     21.300	    4.138	    5.174	    6.335	    4.741
 1980	     1	    11	    5.069	     18.540	     25.666	     85.416	      0.855	     15.720	    3.916	    3.900	    4.785	    3.455
 1980	     1	    12	   15.552	     17.486	     21.882	     92.672	      1.143	      9.945	    2.213	    2.533	    3.149	    2.053
 1980	     1	    13	   19.366	     17.420	     20.452	     94.250	      1.009	      8.626	    1.627	    2.181	    2.787	    1.745
 1980	     1	    14	   25.419	     17.657	     22.538	     94.197	      1.199	      9.248	    2.162	    2.457	    2.982	    1.930
 1980	     1	    15	   27.156	     18.681	     22.461	     94.043	      1.082	      9.317	    2.294	    2.408	    3.016	    1.969
 1980	     1	    16	   23.020	     17.864	     22.103	     93.023	      1.115	      8.830	    2.277	    2.328	    2.870	    1.838
 1980	     1	    17	   11.914	     17.792	     25.608	     85.226	      1.529	     16.319	    3.661	    4.121	    4.922	    3.552
 1980	     1	    18	    2.406	     18.237	     27.342	     81.630	      1.283	     21.644	    4.123	    5.299	    6.442	    4.840
 1980	     1	    19	    1.741	     18.117	     28.155	     80.258	      1.045	     22.444	    4.404	    5.516	    6.689	    5.061
 1980	     1	    20	    0.848	     18.012	     29.065	     79.301	      0.712	     24.372	    4.446	    5.935	    7.257	    5.549
 1980	     1	    21	    1.148	     18.719	     29.485	     78.361	      0.913	     23.280	    5.065	    5.788	    7.003	    5.374
 1980	     1	    22	    1.386	     19.470	     29.345	     77.191	      1.145	     24.380	    5.569	    6.027	    7.339	    5.668
 1980	     1	    23	    5.433	     18.427	     28.506	     79.703	      1.305	     23.769	    4.626	    5.857	    7.083	    5.403
 1980	     1	    24	    6.230	     18.881	     28.406	     81.743	      1.005	     21.598	    4.498	    5.347	    6.496	    4.931
 1980	     1	    25	   12.904	     18.315	     27.395	     84.876	      0.732	     18.631	    3.996	    4.610	    5.620	    4.173
 1980	     1	    26	    8.861	     18.686	     26.919	     85.880	      1.029	     16.584	    3.593	    4.202	    5.056	    3.709
 1980	     1	    27	   13.638	     18.950	     26.951	     85.877	      0.938	     17.456	    3.193	    4.356	    5.304	    3.918
 1980	     1	    28	   16.894	     18.655	     27.693	     87.034	      0.885	     17.976	    3.883	    4.525	    5.459	    4.056
 1980	     1	    29	   18.483	     18.650	     26.346	     88.614	      0.753	     15.133	    3.132	    3.815	    4.643	    3.358
 1980	     1	    30	   17.651	     18.557	     25.384	     86.589	      1.438	     15.540	    3.960	    3.893	    4.726	    3.404
 1980	     1	    31	    5.766	     18.477	     26.116	     82.133	      1.184	     16.519	    4.072	    4.137	    5.008	    3.648
 1980	     2	     1	    6.459	     18.951	     26.453	     88.215	      1.108	     15.886	    3.081	    4.019	    4.858	    3.544
 1980	     2	     2	   17.593	     19.252	     24.241	     92.540	      1.339	     10.823	    2.406	    2.831	    3.449	    2.357
 1980	     2	     3	   15.286	     20.080	     25.646	     90.023	      1.119	     10.747	    2.735	    2.881	    3.464	    2.407
 1980	     2	     4	   10.086	     18.567	     27.330	     84.880	      1.180	     19.618	    3.932	    4.867	    5.893	    4.402
 1980	     2	     5	    0.108	     17.461	     28.114	     76.859	      1.021	     21.499	    3.556	    5.327	    6.393	    4.806
 1980	     2	     6	    0.279	     18.234	     29.342	     74.943	      0.852	     25.532	    4.895	    6.223	    7.595	    5.848
 1980	     2	     7	    0.823	     19.127	     28.534	     79.349	      1.112	     23.091	    4.397	    5.669	    6.920	    5.295
 1980	     2	     8	    1.280	     18.683	     29.372	     75.568	      1.277	     23.070	    4.293	    5.808	    6.929	    5.315
 1980	     2	     9	    1.805	     17.515	     27.071	     80.002	      1.819	     22.674	    4.002	    5.548	    6.669	    5.007
 1980	     2	    10	    5.149	     18.740	     26.959	     74.535	      2.114	     22.505	    3.869	    5.448	    6.674	    5.040
 1980	     2	    11	    0.579	     18.187	     27.445	     72.353	      1.666	     24.819	    4.257	    5.957	    7.302	    5.553
 1980	     2	    12	    0.228	     16.949	     28.047	     74.607	      1.196	     24.640	    3.883	    5.984	    7.220	    5.469
 1980	     2	    13	    1.681	     18.469	     26.133	     82.454	      1.058	     14.862	    3.644	    3.795	    4.554	    3.283
 1980	     2	    14	   12.796	     16.963	     23.753	     85.968	      1.330	      9.817	    1.943	    2.723	    3.129	    2.064
 1980	     2	    15	    7.629	     17.269	     23.245	     87.286	      1.518	     10.471	    1.973	    2.796	    3.297	    2.195
 1980	     2	    16	    4.986	     17.090	     22.008	     90.971	      1.397	      9.638	    2.222	    2.518	    3.057	    1.983
 1980	     2	    17	   14.307	     16.622	     23.520	     87.157	      1.122	     13.367	    2.576	    3.342	    4.040	    2.789
 1980	     2	    18	   10.343	     17.856	     20.986	     95.480	      1.396	      8.434	    2.253	    2.155	    2.745	    1.729
 1980	     2	    19	   25.345	     18.881	     26.751	     85.876	      1.997	     15.996	    3.982	    4.194	    4.886	    3.578
 1980	     2	    20	    6.426	     17.432	     28.176	     78.949	      1.397	     23.147	    4.403	    5.730	    6.835	    5.177
 1980	     2	    21	    2.647	     16.993	     26.971	     86.058	      0.973	     17.337	    3.795	    4.385	    5.195	    3.799
 1980	     2	    22	    8.897	     18.504	     27.116	     78.875	      1.564	     21.366	    4.817	    5.223	    6.349	    4.780
 1980	     2	    23	    0.601	     18.298	     27.224	     75.468	      1.543	     23.002	    3.913	    5.556	    6.790	    5.140
 1980	     2	    24	    0.303	     16.770	     26.428	     76.193	      1.432	     23.570	    3.729	    5.599	    6.833	    5.115
 1980	     2	    25	    0.351	     17.406	     26.762	     76.254	      1.345	     20.995	    3.555	    5.124	    6.185	    4.612
 1980	     2	    26	    0.441	     17.608	     27.302	     77.135	      1.290	     21.306	    3.632	    5.234	    6.298	    4.724
 1980	     2	    27	    0.998	     17.713	     26.933	     78.823	      1.790	     22.523	    4.004	    5.474	    6.616	    4.978
 1980	     2	    28	    1.204	     18.111	     26.878	     81.550	      1.785	     20.142	    4.756	    5.001	    5.984	    4.470
 1980	     2	    29	    0.756	     17.883	     25.940	     75.598	      1.874	     23.403	    4.352	    5.471	    6.814	    5.119
 1980	     3	     1	    0.733	     16.880	     26.021	     77.318	      1.987	     22.593	    3.906	    5.404	    6.552	    4.885
 1980	     3	     2	    1.310	     17.899	     25.327	     79.583	      2.157	     20.292	    4.031	    4.822	    5.953	    4.405
 1980	     3	     3	    0.753	     17.774	     25.830	     78.682	      2.049	     21.165	    3.376	    5.063	    6.200	    4.616
 1980	     3	     4	    0.543	     17.724	     26.038	     73.852	      2.109	     23.569	    4.069	    5.532	    6.849	    5.150
 1980	     3	     5	    0.262	     17.671	     26.032	     73.961	      1.750	     22.132	    4.200	    5.257	    6.460	    4.833
 1980	     3	     6	    0.386	     16.836	     25.851	     75.321	      1.788	     22.709	    4.014	    5.380	    6.566	    4.897
 1980	     3	     7	    0.091	     16.429	     25.912	     73.284	      1.533	     23.867	    3.865	    5.593	    6.853	    5.122
 1980	     3	     8	    0.036	     16.214	     27.273	     72.444	      1.149	     24.079	    3.789	    5.767	    6.964	    5.244
