CABra ID  	 233
ANA ID    	 54260000
Longitude 	 -51.362   	 dd
Latitude  	 2.698     	 dd
Area      	 281.249   	 km²
Elevation 	 88.3368   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   14.246	     18.936	     25.441	     89.333	      2.049	     11.719	    3.183	    3.231	    3.702	    2.581
 1980	     1	     2	   26.156	     18.717	     23.053	     91.498	      1.035	      9.883	    1.874	    2.555	    3.170	    2.106
 1980	     1	     3	   15.005	     17.878	     24.592	     90.097	      1.180	     15.432	    2.838	    3.794	    4.653	    3.320
 1980	     1	     4	    3.639	     16.869	     24.477	     85.085	      1.598	     17.321	    3.243	    4.210	    5.114	    3.669
 1980	     1	     5	    1.298	     16.608	     24.068	     79.302	      2.237	     18.438	    3.301	    4.403	    5.383	    3.872
 1980	     1	     6	    1.844	     17.104	     24.280	     85.664	      1.961	     16.344	    2.540	    4.022	    4.858	    3.463
 1980	     1	     7	    3.890	     17.678	     25.959	     79.429	      1.605	     21.095	    4.556	    5.062	    6.205	    4.603
 1980	     1	     8	    2.834	     17.678	     25.161	     81.389	      1.606	     18.246	    3.996	    4.427	    5.412	    3.942
 1980	     1	     9	    0.221	     18.414	     27.032	     73.849	      1.600	     23.090	    4.243	    5.554	    6.824	    5.154
 1980	     1	    10	    0.760	     18.331	     27.070	     79.702	      1.254	     21.982	    4.087	    5.317	    6.518	    4.904
 1980	     1	    11	    3.826	     18.657	     25.791	     84.962	      0.870	     16.067	    4.039	    3.973	    4.878	    3.542
 1980	     1	    12	   13.870	     17.787	     22.581	     92.382	      1.057	     10.170	    2.312	    2.612	    3.220	    2.128
 1980	     1	    13	   17.906	     17.544	     20.850	     93.360	      1.083	      9.175	    1.899	    2.302	    2.931	    1.871
 1980	     1	    14	   24.005	     18.071	     22.828	     94.091	      1.238	      9.367	    2.317	    2.482	    3.019	    1.973
 1980	     1	    15	   23.729	     18.871	     22.646	     93.582	      1.181	      9.843	    2.579	    2.510	    3.155	    2.091
 1980	     1	    16	   18.530	     18.209	     22.569	     91.607	      1.107	      8.830	    2.108	    2.346	    2.877	    1.858
 1980	     1	    17	   10.561	     18.002	     26.058	     84.895	      1.618	     17.226	    3.850	    4.343	    5.179	    3.782
 1980	     1	    18	    2.053	     18.476	     27.684	     80.681	      1.416	     22.465	    4.140	    5.503	    6.682	    5.060
 1980	     1	    19	    1.077	     18.436	     28.290	     80.278	      1.088	     22.451	    4.249	    5.526	    6.700	    5.090
 1980	     1	    20	    0.623	     17.951	     29.424	     79.556	      0.770	     24.680	    4.565	    6.040	    7.345	    5.640
 1980	     1	    21	    1.035	     18.916	     29.863	     77.596	      0.915	     23.682	    5.341	    5.900	    7.130	    5.504
 1980	     1	    22	    1.736	     19.614	     29.458	     76.300	      1.191	     24.652	    5.370	    6.092	    7.416	    5.749
 1980	     1	    23	    3.693	     18.828	     28.793	     79.029	      1.346	     23.990	    4.405	    5.924	    7.165	    5.499
 1980	     1	    24	    4.656	     19.200	     28.774	     80.974	      1.079	     22.149	    4.576	    5.497	    6.668	    5.100
 1980	     1	    25	   10.936	     18.714	     27.910	     83.771	      0.742	     19.261	    4.239	    4.772	    5.816	    4.364
 1980	     1	    26	    9.754	     18.852	     27.334	     86.200	      1.091	     16.254	    3.683	    4.178	    4.974	    3.661
 1980	     1	    27	   12.897	     19.173	     27.262	     85.991	      0.911	     17.033	    3.261	    4.282	    5.195	    3.848
 1980	     1	    28	   16.075	     18.990	     27.820	     87.536	      0.933	     17.538	    3.865	    4.443	    5.344	    3.979
 1980	     1	    29	   19.059	     18.967	     26.625	     88.650	      0.710	     14.951	    3.179	    3.779	    4.601	    3.342
 1980	     1	    30	   16.656	     18.607	     25.341	     87.337	      1.517	     15.190	    3.952	    3.821	    4.624	    3.328
 1980	     1	    31	    6.205	     18.727	     26.343	     82.049	      1.238	     16.806	    4.327	    4.208	    5.092	    3.734
 1980	     2	     1	    6.171	     19.413	     26.978	     86.867	      1.156	     16.130	    3.200	    4.103	    4.945	    3.643
 1980	     2	     2	   16.742	     19.659	     25.356	     91.243	      1.342	     11.158	    2.639	    2.980	    3.559	    2.478
 1980	     2	     3	   18.385	     20.190	     25.564	     90.138	      1.219	     10.932	    3.119	    2.910	    3.509	    2.449
 1980	     2	     4	   10.816	     18.813	     27.400	     85.006	      1.110	     19.346	    4.096	    4.795	    5.820	    4.357
 1980	     2	     5	    0.180	     17.717	     28.423	     76.962	      1.000	     21.714	    3.647	    5.387	    6.465	    4.888
 1980	     2	     6	    0.439	     18.566	     29.362	     75.731	      0.885	     25.151	    4.726	    6.143	    7.495	    5.785
 1980	     2	     7	    0.961	     19.244	     28.662	     79.453	      1.130	     23.070	    4.812	    5.672	    6.915	    5.305
 1980	     2	     8	    1.551	     18.811	     29.248	     75.549	      1.277	     23.590	    4.303	    5.886	    7.065	    5.435
 1980	     2	     9	    1.615	     17.790	     27.359	     80.255	      1.830	     22.603	    3.954	    5.560	    6.665	    5.026
 1980	     2	    10	    3.819	     18.905	     27.375	     74.071	      2.159	     23.168	    3.903	    5.627	    6.871	    5.226
 1980	     2	    11	    0.460	     18.410	     27.745	     72.508	      1.654	     25.295	    4.394	    6.075	    7.447	    5.696
 1980	     2	    12	    0.316	     17.285	     28.190	     74.798	      1.213	     24.516	    3.744	    5.966	    7.198	    5.474
 1980	     2	    13	    1.346	     18.669	     26.342	     82.353	      1.186	     15.053	    3.807	    3.861	    4.609	    3.342
 1980	     2	    14	   11.274	     17.318	     24.097	     86.144	      1.324	     10.090	    2.194	    2.783	    3.208	    2.141
 1980	     2	    15	    7.374	     17.563	     23.724	     86.821	      1.518	     10.996	    2.149	    2.921	    3.444	    2.329
 1980	     2	    16	    4.831	     17.355	     22.399	     90.950	      1.402	      9.689	    2.225	    2.547	    3.076	    2.011
 1980	     2	    17	   12.689	     17.018	     23.717	     87.493	      1.148	     13.296	    2.733	    3.330	    4.030	    2.795
 1980	     2	    18	    9.916	     17.941	     21.353	     94.788	      1.408	      8.792	    2.326	    2.246	    2.839	    1.814
 1980	     2	    19	   21.923	     19.096	     26.702	     86.570	      2.033	     15.639	    3.923	    4.104	    4.786	    3.505
 1980	     2	    20	    5.368	     17.682	     28.360	     79.177	      1.471	     23.351	    4.471	    5.793	    6.900	    5.251
 1980	     2	    21	    3.378	     17.161	     26.910	     86.343	      1.010	     16.975	    3.682	    4.308	    5.093	    3.725
 1980	     2	    22	    9.771	     18.766	     27.279	     79.069	      1.557	     21.728	    4.911	    5.295	    6.456	    4.887
 1980	     2	    23	    0.430	     18.474	     27.424	     75.495	      1.510	     23.350	    4.004	    5.633	    6.892	    5.242
 1980	     2	    24	    0.358	     17.060	     26.552	     76.737	      1.454	     23.658	    3.846	    5.618	    6.866	    5.161
 1980	     2	    25	    0.372	     17.576	     27.057	     75.811	      1.331	     21.666	    3.768	    5.274	    6.376	    4.788
 1980	     2	    26	    0.377	     17.812	     27.302	     77.310	      1.315	     21.464	    3.701	    5.255	    6.340	    4.771
 1980	     2	    27	    0.906	     18.103	     27.293	     78.856	      1.754	     22.683	    4.171	    5.528	    6.683	    5.060
 1980	     2	    28	    1.277	     18.297	     27.030	     82.752	      1.787	     19.996	    4.785	    4.980	    5.948	    4.456
 1980	     2	    29	    0.702	     18.022	     26.058	     76.103	      1.821	     23.301	    4.690	    5.455	    6.787	    5.113
 1980	     3	     1	    0.870	     17.130	     26.225	     78.084	      1.953	     22.165	    3.852	    5.336	    6.448	    4.820
 1980	     3	     2	    1.563	     18.100	     25.336	     80.496	      2.173	     19.742	    4.021	    4.707	    5.806	    4.297
 1980	     3	     3	    1.290	     17.917	     25.961	     79.221	      2.089	     20.886	    3.432	    5.022	    6.127	    4.571
 1980	     3	     4	    0.928	     17.885	     25.931	     75.715	      2.120	     22.924	    3.865	    5.381	    6.668	    5.013
 1980	     3	     5	    0.485	     17.765	     26.080	     75.131	      1.759	     21.603	    3.931	    5.157	    6.315	    4.726
 1980	     3	     6	    0.340	     17.011	     26.108	     75.744	      1.803	     22.565	    4.004	    5.381	    6.538	    4.893
