CABra ID  	 235
ANA ID    	 54390000
Longitude 	 -51.705   	 dd
Latitude  	 0.986     	 dd
Area      	 10211.326 	 km²
Elevation 	 156.231   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   13.750	     19.213	     25.542	     89.845	      1.900	     11.492	    3.101	    3.159	    3.642	    2.543
 1980	     1	     2	   25.731	     18.847	     23.115	     92.339	      1.059	      9.765	    2.043	    2.529	    3.137	    2.086
 1980	     1	     3	   15.822	     18.170	     24.957	     90.242	      1.148	     15.348	    2.699	    3.793	    4.642	    3.330
 1980	     1	     4	    3.722	     17.292	     24.706	     85.311	      1.576	     16.523	    3.122	    4.062	    4.915	    3.527
 1980	     1	     5	    2.336	     16.957	     24.493	     79.810	      2.184	     17.755	    3.279	    4.316	    5.220	    3.763
 1980	     1	     6	    2.603	     17.494	     24.732	     85.382	      1.914	     15.886	    2.582	    3.968	    4.754	    3.402
 1980	     1	     7	    4.435	     17.924	     26.263	     80.054	      1.551	     20.872	    4.401	    5.038	    6.157	    4.586
 1980	     1	     8	    2.701	     18.052	     25.757	     80.794	      1.600	     18.580	    4.141	    4.543	    5.528	    4.066
 1980	     1	     9	    0.353	     18.601	     27.389	     73.728	      1.607	     23.383	    4.183	    5.647	    6.918	    5.255
 1980	     1	    10	    0.651	     18.577	     27.425	     79.659	      1.294	     22.592	    4.063	    5.470	    6.702	    5.080
 1980	     1	    11	    2.964	     18.911	     26.289	     84.701	      0.870	     16.407	    4.114	    4.072	    4.985	    3.653
 1980	     1	    12	   12.936	     18.175	     23.262	     91.747	      0.961	     10.418	    2.504	    2.685	    3.298	    2.212
 1980	     1	    13	   17.340	     17.784	     21.329	     92.614	      1.096	      9.555	    2.038	    2.396	    3.035	    1.968
 1980	     1	    14	   22.557	     18.473	     23.066	     94.156	      1.209	      9.300	    2.437	    2.464	    3.006	    1.975
 1980	     1	    15	   23.090	     19.191	     22.857	     93.542	      1.187	      9.880	    2.574	    2.514	    3.168	    2.113
 1980	     1	    16	   15.322	     18.503	     23.192	     90.536	      1.082	      9.025	    2.108	    2.413	    2.936	    1.923
 1980	     1	    17	   10.152	     18.337	     26.627	     84.011	      1.618	     18.109	    3.989	    4.561	    5.442	    4.025
 1980	     1	    18	    1.622	     18.813	     28.119	     79.668	      1.460	     23.222	    4.331	    5.695	    6.915	    5.283
 1980	     1	    19	    0.828	     18.760	     28.594	     79.952	      1.083	     22.277	    4.124	    5.508	    6.668	    5.089
 1980	     1	    20	    0.475	     18.059	     29.780	     79.064	      0.783	     24.999	    4.550	    6.136	    7.445	    5.746
 1980	     1	    21	    1.243	     19.012	     30.243	     77.312	      0.934	     23.953	    5.421	    5.994	    7.217	    5.599
