CABra ID  	 236
ANA ID    	 54500000
Longitude 	 -52.016   	 dd
Latitude  	 0.901     	 dd
Area      	 10769.273 	 km²
Elevation 	 181.6647  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   13.105	     19.518	     25.767	     89.721	      1.804	     11.351	    2.969	    3.121	    3.609	    2.528
 1980	     1	     2	   23.740	     19.021	     23.154	     92.898	      1.096	      9.661	    2.036	    2.503	    3.109	    2.069
 1980	     1	     3	   15.650	     18.431	     25.188	     90.835	      1.159	     14.952	    2.486	    3.728	    4.544	    3.263
 1980	     1	     4	    3.496	     17.667	     24.880	     85.638	      1.579	     15.740	    3.062	    3.915	    4.718	    3.381
 1980	     1	     5	    3.145	     17.255	     24.889	     80.370	      2.189	     17.291	    3.404	    4.273	    5.115	    3.696
 1980	     1	     6	    3.971	     17.857	     25.193	     85.198	      1.887	     15.541	    2.571	    3.940	    4.681	    3.362
 1980	     1	     7	    5.042	     18.238	     26.661	     80.685	      1.485	     20.833	    4.399	    5.058	    6.168	    4.618
 1980	     1	     8	    2.492	     18.387	     26.396	     80.509	      1.584	     18.902	    4.166	    4.665	    5.644	    4.189
 1980	     1	     9	    0.486	     18.772	     27.695	     73.965	      1.577	     23.507	    4.096	    5.699	    6.966	    5.314
 1980	     1	    10	    0.580	     18.820	     27.832	     79.601	      1.289	     23.132	    4.058	    5.615	    6.873	    5.244
 1980	     1	    11	    2.406	     19.146	     26.811	     84.565	      0.853	     16.894	    4.304	    4.203	    5.136	    3.798
 1980	     1	    12	   11.990	     18.529	     23.851	     91.164	      0.904	     10.628	    2.697	    2.749	    3.367	    2.286
 1980	     1	    13	   16.625	     18.031	     21.884	     91.681	      1.094	      9.921	    2.213	    2.496	    3.141	    2.066
 1980	     1	    14	   20.786	     18.792	     23.266	     94.101	      1.153	      9.169	    2.284	    2.434	    2.976	    1.960
 1980	     1	    15	   22.470	     19.482	     23.111	     93.506	      1.142	      9.840	    2.496	    2.511	    3.162	    2.119
 1980	     1	    16	   12.626	     18.706	     23.894	     89.504	      1.023	      9.439	    2.184	    2.528	    3.056	    2.037
 1980	     1	    17	    9.535	     18.677	     27.227	     83.398	      1.590	     18.901	    3.994	    4.767	    5.686	    4.254
 1980	     1	    18	    1.250	     19.127	     28.554	     78.916	      1.444	     23.692	    4.481	    5.828	    7.072	    5.440
 1980	     1	    19	    0.669	     19.022	     28.833	     79.969	      1.029	     22.215	    4.182	    5.500	    6.665	    5.105
 1980	     1	    20	    0.374	     18.206	     30.136	     78.602	      0.762	     25.330	    4.706	    6.227	    7.555	    5.858
 1980	     1	    21	    1.548	     19.065	     30.499	     77.550	      0.923	     24.140	    5.423	    6.051	    7.276	    5.663
 1980	     1	    22	    3.072	     19.839	     30.207	     75.975	      1.188	     24.942	    5.413	    6.225	    7.525	    5.884
 1980	     1	    23	    3.880	     19.556	     29.614	     78.055	      1.332	     24.641	    4.415	    6.124	    7.401	    5.756
 1980	     1	    24	    2.711	     19.622	     29.426	     80.003	      1.093	     22.806	    4.888	    5.684	    6.880	    5.319
 1980	     1	    25	    8.320	     19.304	     29.061	     80.817	      0.788	     20.607	    4.744	    5.143	    6.240	    4.773
 1980	     1	    26	    8.005	     19.488	     27.807	     86.668	      1.154	     15.402	    3.487	    4.032	    4.754	    3.513
 1980	     1	    27	   14.528	     19.736	     28.092	     86.024	      0.843	     16.415	    3.295	    4.187	    5.049	    3.769
 1980	     1	    28	   15.751	     19.839	     28.304	     87.607	      0.957	     17.260	    3.957	    4.401	    5.293	    3.979
 1980	     1	    29	   20.047	     19.580	     27.377	     88.610	      0.638	     14.554	    3.329	    3.714	    4.512	    3.307
 1980	     1	    30	   18.602	     19.270	     25.831	     88.278	      1.462	     14.722	    3.744	    3.738	    4.515	    3.271
 1980	     1	    31	    5.484	     19.311	     27.111	     82.412	      1.163	     17.413	    4.397	    4.366	    5.286	    3.935
 1980	     2	     1	    5.250	     20.134	     27.700	     86.127	      1.189	     16.424	    3.389	    4.202	    5.054	    3.775
 1980	     2	     2	   15.017	     20.402	     26.865	     90.217	      1.286	     11.304	    2.741	    3.098	    3.624	    2.581
 1980	     2	     3	   19.886	     20.510	     25.883	     90.176	      1.199	     10.638	    3.054	    2.857	    3.430	    2.401
 1980	     2	     4	    9.926	     19.599	     28.153	     84.961	      0.971	     18.334	    4.184	    4.603	    5.574	    4.203
 1980	     2	     5	    0.978	     18.668	     29.225	     77.745	      0.883	     22.189	    4.218	    5.508	    6.653	    5.104
 1980	     2	     6	    1.454	     19.420	     29.851	     76.812	      0.920	     23.502	    4.597	    5.832	    7.071	    5.485
 1980	     2	     7	    2.193	     19.855	     29.533	     79.644	      1.091	     22.942	    4.642	    5.710	    6.924	    5.369
 1980	     2	     8	    1.491	     19.408	     29.750	     75.322	      1.224	     24.105	    4.440	    6.013	    7.242	    5.628
 1980	     2	     9	    1.502	     18.560	     28.061	     79.864	      1.766	     22.504	    4.044	    5.588	    6.684	    5.095
 1980	     2	    10	    2.430	     19.504	     28.208	     73.463	      2.161	     24.104	    4.240	    5.897	    7.178	    5.535
 1980	     2	    11	    0.709	     18.844	     28.584	     73.039	      1.533	     25.562	    4.689	    6.205	    7.565	    5.846
 1980	     2	    12	    1.077	     18.063	     28.866	     75.368	      1.184	     24.635	    3.840	    6.037	    7.283	    5.600
 1980	     2	    13	    1.023	     19.343	     27.324	     82.097	      1.265	     15.853	    4.162	    4.098	    4.861	    3.596
 1980	     2	    14	    7.603	     18.279	     25.181	     86.092	      1.242	     10.672	    2.272	    2.925	    3.389	    2.328
 1980	     2	    15	    5.847	     18.457	     24.771	     86.367	      1.424	     11.486	    2.241	    3.050	    3.601	    2.496
 1980	     2	    16	    5.613	     18.163	     23.285	     91.086	      1.326	      9.903	    2.293	    2.614	    3.152	    2.103
 1980	     2	    17	   10.492	     17.888	     24.466	     87.486	      1.135	     13.049	    2.766	    3.308	    3.993	    2.801
 1980	     2	    18	    8.776	     18.408	     22.740	     93.643	      1.296	      9.832	    2.711	    2.530	    3.132	    2.084
 1980	     2	    19	   19.529	     19.496	     26.683	     87.779	      1.929	     14.637	    3.826	    3.864	    4.511	    3.295
 1980	     2	    20	    5.782	     18.669	     29.137	     79.739	      1.420	     23.474	    4.750	    5.862	    6.995	    5.393
 1980	     2	    21	    6.886	     18.094	     27.608	     86.407	      1.100	     17.069	    3.829	    4.377	    5.156	    3.823
 1980	     2	    22	    8.701	     19.377	     28.050	     78.963	      1.468	     22.502	    4.654	    5.504	    6.713	    5.150
 1980	     2	    23	    0.324	     19.003	     28.277	     75.185	      1.431	     23.776	    4.198	    5.791	    7.055	    5.429
 1980	     2	    24	    0.475	     17.925	     27.490	     76.824	      1.453	     23.520	    3.833	    5.677	    6.895	    5.247
 1980	     2	    25	    0.354	     18.312	     27.911	     74.968	      1.242	     22.783	    4.042	    5.550	    6.735	    5.139
 1980	     2	    26	    0.308	     18.540	     28.007	     77.403	      1.297	     22.029	    3.961	    5.414	    6.540	    4.986
 1980	     2	    27	    1.032	     19.097	     28.325	     78.298	      1.587	     23.073	    4.396	    5.673	    6.863	    5.278
 1980	     2	    28	    1.494	     18.942	     27.806	     83.208	      1.698	     20.199	    4.823	    5.072	    6.044	    4.583
 1980	     2	    29	    0.998	     18.455	     26.873	     77.041	      1.728	     22.582	    4.627	    5.405	    6.631	    5.030
