CABra ID  	 243
ANA ID    	 55340000
Longitude 	 -46.316   	 dd
Latitude  	 -1.8      	 dd
Area      	 33160.6696	 km²
Elevation 	 136.029   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.319	     21.681	     27.671	     80.081	      2.478	     12.337	    2.811	    3.432	    3.902	    2.891
 1980	     1	     2	    8.956	     21.617	     27.825	     86.437	      1.793	      9.406	    1.667	    2.818	    3.086	    2.204
 1980	     1	     3	   26.675	     20.383	     25.222	     93.586	      1.421	      7.743	    2.379	    2.248	    2.597	    1.731
 1980	     1	     4	   16.062	     19.607	     23.518	     91.898	      1.514	      9.101	    1.640	    2.384	    2.932	    1.974
 1980	     1	     5	   12.399	     19.223	     23.186	     93.479	      1.334	      8.854	    2.600	    2.325	    2.857	    1.903
 1980	     1	     6	   36.484	     19.403	     25.741	     87.248	      1.506	     14.904	    3.410	    3.721	    4.508	    3.313
 1980	     1	     7	    9.628	     19.119	     27.585	     85.445	      1.347	     18.096	    4.409	    4.546	    5.413	    4.101
 1980	     1	     8	    4.987	     19.572	     27.696	     85.623	      1.455	     19.475	    4.172	    4.819	    5.808	    4.444
 1980	     1	     9	    3.897	     19.464	     27.570	     84.213	      1.452	     22.696	    4.220	    5.423	    6.677	    5.164
 1980	     1	    10	    2.403	     19.885	     28.241	     83.622	      1.663	     22.660	    4.423	    5.511	    6.714	    5.224
 1980	     1	    11	    1.283	     20.180	     29.320	     82.377	      1.904	     21.217	    4.156	    5.423	    6.369	    4.973
 1980	     1	    12	    3.645	     21.880	     29.119	     82.330	      1.545	     15.879	    3.259	    4.179	    4.923	    3.788
 1980	     1	    13	    5.011	     21.664	     27.504	     88.510	      1.580	     10.494	    2.709	    2.946	    3.385	    2.450
 1980	     1	    14	   19.673	     20.501	     26.886	     90.092	      1.366	     10.401	    2.121	    2.913	    3.335	    2.377
 1980	     1	    15	    8.381	     21.685	     27.514	     87.563	      1.271	     11.464	    2.628	    3.092	    3.655	    2.679
 1980	     1	    16	    3.021	     21.465	     28.969	     83.218	      1.552	     20.383	    4.090	    5.073	    6.172	    4.830
 1980	     1	    17	    2.709	     21.802	     28.030	     84.689	      2.203	     20.988	    4.137	    5.048	    6.320	    4.938
 1980	     1	    18	    5.660	     21.433	     29.431	     80.305	      1.951	     22.203	    4.295	    5.540	    6.698	    5.287
 1980	     1	    19	    0.071	     20.643	     30.693	     77.482	      1.830	     26.339	    4.467	    6.597	    7.885	    6.306
 1980	     1	    20	    0.089	     21.395	     31.297	     76.250	      1.845	     26.941	    4.671	    6.776	    8.123	    6.551
 1980	     1	    21	    0.005	     21.382	     31.323	     75.364	      1.661	     24.947	    4.443	    6.351	    7.552	    6.068
 1980	     1	    22	    0.163	     21.809	     29.887	     78.909	      1.933	     23.075	    4.194	    5.754	    6.977	    5.547
 1980	     1	    23	    1.013	     21.782	     30.132	     79.532	      2.267	     24.205	    4.001	    6.049	    7.307	    5.834
 1980	     1	    24	    0.397	     21.763	     30.606	     80.024	      2.211	     24.937	    4.119	    6.277	    7.534	    6.041
 1980	     1	    25	    0.231	     21.171	     30.748	     73.054	      2.459	     25.460	    4.463	    6.490	    7.662	    6.137
 1980	     1	    26	    0.726	     21.077	     31.040	     74.787	      2.339	     23.908	    4.269	    6.246	    7.229	    5.776
