CABra ID  	 276
ANA ID    	 56775000
Longitude 	 -43.9     	 dd
Latitude  	 -6.002    	 dd
Area      	 2327.6683 	 km²
Elevation 	 317.193   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   22.059	     19.437	     26.771	     88.676	      1.989	     10.067	    2.235	    3.055	    3.275	    2.268
 1980	     1	     2	   18.879	     19.073	     26.416	     83.872	      0.905	     15.780	    3.668	    3.956	    4.825	    3.525
 1980	     1	     3	    6.867	     17.943	     25.214	     87.590	      1.230	     15.980	    1.914	    3.959	    4.811	    3.465
 1980	     1	     4	    0.750	     17.749	     27.064	     82.298	      1.340	     22.087	    3.929	    5.362	    6.514	    4.892
 1980	     1	     5	    0.844	     17.958	     26.263	     75.708	      1.819	     23.979	    3.929	    5.629	    6.999	    5.271
 1980	     1	     6	    1.365	     15.963	     26.144	     82.270	      1.812	     23.255	    3.785	    5.581	    6.702	    4.976
 1980	     1	     7	    1.076	     18.267	     26.997	     78.970	      1.613	     21.257	    4.064	    5.204	    6.307	    4.733
 1980	     1	     8	    0.676	     19.070	     25.598	     81.808	      1.404	     18.245	    4.816	    4.396	    5.469	    4.034
 1980	     1	     9	    0.998	     18.800	     27.333	     76.977	      1.463	     21.289	    4.456	    5.216	    6.351	    4.793
 1980	     1	    10	    1.483	     19.126	     27.896	     80.557	      1.121	     18.389	    3.786	    4.652	    5.583	    4.184
 1980	     1	    11	   12.382	     19.090	     26.787	     86.955	      0.685	     15.677	    4.359	    3.934	    4.805	    3.519
 1980	     1	    12	   25.598	     18.396	     23.735	     91.953	      1.243	     10.972	    3.095	    2.845	    3.456	    2.348
 1980	     1	    13	   26.061	     18.233	     21.809	     94.558	      0.645	      8.969	    2.108	    2.303	    2.899	    1.869
