CABra ID  	 316
ANA ID    	 58060000
Longitude 	 -42.246   	 dd
Latitude  	 -8.356    	 dd
Area      	 15909.3819	 km²
Elevation 	 424.5846  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   26.886	     16.033	     20.897	     87.380	      1.792	      7.270	    2.331	    2.086	    2.419	    1.452
 1980	     1	     2	    2.068	     15.248	     20.457	     81.503	      1.511	     25.043	    4.228	    5.079	    6.821	    4.918
 1980	     1	     3	    1.475	     15.016	     20.886	     83.997	      1.160	     28.283	    4.901	    5.771	    7.639	    5.569
 1980	     1	     4	    0.291	     14.205	     21.609	     88.231	      0.852	     29.171	    5.108	    6.075	    7.854	    5.737
 1980	     1	     5	    0.194	     15.977	     22.126	     83.522	      1.693	     28.251	    5.144	    5.820	    7.776	    5.734
 1980	     1	     6	    0.603	     15.666	     23.909	     85.090	      1.672	     31.460	    5.499	    6.680	    8.699	    6.513
 1980	     1	     7	    0.048	     17.871	     26.427	     74.763	      1.088	     27.504	    5.574	    6.310	    7.954	    6.052
 1980	     1	     8	    8.610	     20.009	     25.160	     78.498	      0.592	     21.904	    4.888	    5.077	    6.481	    4.872
 1980	     1	     9	   16.145	     20.111	     23.197	     89.020	      0.812	      9.829	    2.614	    2.497	    3.175	    2.136
 1980	     1	    10	   11.224	     19.788	     23.410	     86.220	      1.276	     12.547	    3.288	    3.037	    3.899	    2.723
 1980	     1	    11	   27.285	     19.341	     23.963	     84.736	      0.555	     18.581	    4.638	    4.320	    5.512	    4.038
 1980	     1	    12	   38.738	     18.351	     22.141	     93.094	      0.893	     11.685	    3.641	    2.838	    3.612	    2.449
 1980	     1	    13	   15.675	     17.304	     22.043	     93.391	      1.743	     15.947	    4.538	    3.617	    4.683	    3.292
 1980	     1	    14	    6.289	     16.647	     20.816	     89.005	      1.794	     22.388	    4.881	    4.575	    6.248	    4.505
 1980	     1	    15	   10.801	     16.981	     22.258	     90.871	      1.844	     18.966	    4.475	    4.181	    5.456	    3.909
 1980	     1	    16	    3.324	     16.730	     21.566	     93.549	      1.178	     18.853	    4.050	    4.140	    5.388	    3.837
 1980	     1	    17	   13.556	     19.140	     23.612	     89.474	      1.099	     14.446	    3.481	    3.452	    4.391	    3.117
 1980	     1	    18	   14.226	     19.847	     24.476	     86.421	      1.056	     14.367	    3.722	    3.490	    4.410	    3.162
 1980	     1	    19	    5.280	     19.711	     25.344	     83.206	      1.676	     18.383	    4.236	    4.354	    5.517	    4.083
 1980	     1	    20	    3.267	     20.351	     27.612	     77.969	      1.184	     26.141	    6.120	    6.135	    7.770	    6.016
 1980	     1	    21	   12.053	     20.633	     25.229	     81.511	      0.680	     17.587	    4.918	    4.185	    5.327	    3.946
 1980	     1	    22	    1.786	     19.542	     24.658	     84.976	      0.839	     12.555	    2.122	    3.154	    3.918	    2.759
 1980	     1	    23	    0.704	     19.971	     27.462	     73.138	      1.326	     24.772	    5.322	    5.852	    7.363	    5.665
 1980	     1	    24	    3.305	     21.392	     27.521	     74.928	      1.598	     21.127	    4.708	    5.079	    6.409	    4.917
 1980	     1	    25	   20.977	     20.642	     25.954	     83.776	      0.648	     17.275	    4.360	    4.172	    5.262	    3.911
 1980	     1	    26	   20.726	     20.088	     24.489	     87.349	      0.321	     13.386	    3.490	    3.291	    4.149	    2.956
 1980	     1	    27	   12.416	     19.835	     22.705	     91.119	      1.341	     16.300	    3.956	    3.655	    4.874	    3.508
 1980	     1	    28	   11.455	     18.701	     22.605	     93.021	      1.265	     17.929	    4.458	    4.005	    5.261	    3.797
