CABra ID  	 323
ANA ID    	 58270000
Longitude 	 -41.959   	 dd
Latitude  	 -5.8      	 dd
Area      	 5228.147  	 km²
Elevation 	 412.4737  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   22.134	     17.584	     26.604	     89.189	      1.155	      7.874	    1.272	    2.534	    2.626	    1.730
 1980	     1	     2	    5.417	     16.977	     23.484	     76.999	      1.610	     15.999	    2.851	    3.804	    4.685	    3.351
 1980	     1	     3	    0.473	     16.034	     26.305	     73.994	      1.302	     25.114	    4.018	    5.839	    7.136	    5.391
 1980	     1	     4	    0.028	     15.723	     27.498	     75.786	      1.223	     26.481	    4.121	    6.252	    7.544	    5.748
 1980	     1	     5	    0.089	     15.730	     26.956	     73.916	      1.439	     26.794	    4.751	    6.268	    7.597	    5.777
 1980	     1	     6	    0.037	     16.670	     28.940	     68.152	      1.386	     30.442	    5.250	    7.221	    8.749	    6.808
 1980	     1	     7	    0.165	     16.545	     29.677	     73.479	      1.647	     23.627	    4.124	    6.117	    6.928	    5.324
 1980	     1	     8	    4.455	     19.357	     27.877	     78.167	      1.233	     16.294	    3.889	    4.219	    4.965	    3.717
 1980	     1	     9	    7.452	     19.933	     27.501	     81.542	      1.289	     12.449	    2.492	    3.407	    3.915	    2.847
 1980	     1	    10	    7.169	     19.880	     26.998	     83.727	      1.644	     14.594	    3.770	    3.824	    4.492	    3.315
 1980	     1	    11	   12.604	     19.565	     27.591	     84.317	      1.276	     14.137	    3.210	    3.764	    4.371	    3.222
 1980	     1	    12	   15.065	     18.621	     26.341	     85.941	      0.689	     14.126	    3.218	    3.568	    4.317	    3.134
 1980	     1	    13	   11.219	     19.289	     23.782	     90.245	      1.146	     10.954	    2.282	    2.773	    3.436	    2.373
 1980	     1	    14	    5.705	     18.137	     23.973	     84.911	      1.941	     16.431	    3.152	    3.880	    4.850	    3.517
 1980	     1	    15	    3.543	     17.925	     25.718	     83.586	      1.444	     17.550	    4.027	    4.305	    5.193	    3.830
 1980	     1	    16	    6.133	     18.591	     24.460	     90.781	      1.319	      9.810	    1.777	    2.676	    3.131	    2.125
 1980	     1	    17	   15.266	     18.457	     23.650	     93.460	      1.219	      9.290	    1.665	    2.498	    2.981	    1.988
 1980	     1	    18	   13.899	     18.544	     25.773	     88.455	      1.037	     12.114	    2.916	    3.195	    3.763	    2.666
 1980	     1	    19	    3.311	     19.752	     27.073	     81.776	      1.325	     14.992	    3.432	    3.870	    4.597	    3.403
 1980	     1	    20	    4.079	     19.773	     31.285	     75.757	      1.153	     21.812	    5.317	    5.676	    6.623	    5.205
 1980	     1	    21	   15.499	     19.353	     28.756	     83.341	      0.766	     17.644	    4.380	    4.465	    5.358	    4.068
 1980	     1	    22	    6.164	     19.000	     27.832	     84.897	      1.116	     15.563	    3.177	    4.058	    4.750	    3.533
 1980	     1	    23	    1.817	     18.099	     31.044	     77.492	      1.340	     22.085	    4.782	    5.834	    6.622	    5.154
 1980	     1	    24	    3.136	     19.724	     31.935	     75.205	      1.289	     21.043	    4.517	    5.648	    6.423	    5.057
 1980	     1	    25	    6.049	     21.255	     29.112	     82.064	      1.413	     16.209	    3.919	    4.274	    5.021	    3.838
 1980	     1	    26	   12.547	     21.042	     28.506	     83.075	      0.923	     13.127	    3.139	    3.501	    4.138	    3.078
 1980	     1	    27	    9.784	     20.988	     27.879	     87.333	      1.037	     15.360	    2.596	    3.923	    4.747	    3.573
 1980	     1	    28	    7.933	     18.358	     26.684	     87.422	      1.227	     16.716	    3.241	    4.209	    5.010	    3.712
 1980	     1	    29	    4.930	     19.128	     27.269	     82.068	      1.780	     20.267	    4.471	    4.988	    6.017	    4.577
 1980	     1	    30	    0.351	     16.818	     26.964	     79.888	      1.178	     24.417	    4.057	    5.752	    7.015	    5.338
 1980	     1	    31	    0.340	     18.711	     29.004	     79.049	      1.160	     23.794	    5.043	    5.833	    7.035	    5.460
 1980	     2	     1	   13.913	     19.752	     28.013	     85.558	      1.083	     14.593	    2.965	    3.841	    4.504	    3.350
 1980	     2	     2	   10.779	     21.318	     27.565	     90.110	      1.050	     11.895	    2.724	    3.180	    3.783	    2.768
 1980	     2	     3	    8.590	     20.361	     26.413	     86.253	      1.953	     16.614	    3.109	    4.103	    5.034	    3.769
 1980	     2	     4	    5.702	     19.192	     26.603	     81.405	      1.337	     23.076	    4.493	    5.388	    6.750	    5.173
 1980	     2	     5	    0.272	     17.769	     27.977	     74.172	      1.140	     27.281	    4.881	    6.403	    7.883	    6.112
