CABra ID  	 367
ANA ID    	 58960000
Longitude 	 -37.52    	 dd
Latitude  	 -5.445    	 dd
Area      	 8008.4294 	 km²
Elevation 	 242.7718  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   11.810	     20.106	     27.036	     88.191	      1.295	     11.202	    2.490	    3.084	    3.559	    2.552
 1980	     1	     2	   35.258	     18.003	     22.133	     86.590	      1.221	      8.425	    1.415	    2.221	    2.722	    1.756
 1980	     1	     3	    4.209	     17.807	     26.006	     80.672	      0.821	     17.502	    2.164	    4.239	    5.172	    3.829
 1980	     1	     4	    0.368	     16.704	     27.133	     78.841	      0.886	     23.547	    3.884	    5.552	    6.775	    5.152
 1980	     1	     5	    0.082	     17.123	     27.450	     75.667	      1.309	     26.740	    4.235	    6.258	    7.665	    5.902
 1980	     1	     6	    0.577	     14.687	     26.916	     79.687	      0.828	     25.176	    3.706	    5.844	    7.088	    5.356
 1980	     1	     7	    0.606	     18.261	     29.543	     79.954	      1.259	     24.594	    4.238	    6.086	    7.249	    5.652
 1980	     1	     8	    1.020	     19.480	     28.730	     78.867	      1.401	     19.350	    3.557	    4.939	    5.824	    4.473
 1980	     1	     9	    0.770	     19.462	     29.228	     78.302	      1.295	     23.846	    4.007	    5.864	    7.084	    5.537
 1980	     1	    10	    0.199	     19.718	     29.081	     77.448	      1.440	     20.609	    4.053	    5.220	    6.191	    4.793
 1980	     1	    11	    5.330	     21.318	     29.061	     80.733	      1.109	     16.287	    3.949	    4.212	    5.033	    3.857
