CABra ID  	 36
ANA ID    	 17093000
Longitude 	 -65.889   	 dd
Latitude  	 -8.77     	 dd
Area      	 17667.8084	 km²
Elevation 	 147.5649  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.761	     18.648	     28.142	     72.750	      1.335	     22.179	    3.801	    5.425	    6.535	    5.030
 1980	     1	     2	    0.671	     18.907	     29.609	     77.402	      0.619	     23.561	    4.135	    5.714	    6.990	    5.458
 1980	     1	     3	    3.927	     20.004	     30.986	     78.482	      0.870	     23.499	    3.800	    5.886	    7.080	    5.603
 1980	     1	     4	    7.587	     20.868	     31.455	     80.327	      0.720	     20.987	    4.169	    5.337	    6.417	    5.082
 1980	     1	     5	   10.540	     21.721	     30.734	     79.814	      0.897	     17.365	    4.531	    4.532	    5.387	    4.211
 1980	     1	     6	    8.081	     21.397	     28.904	     82.041	      1.374	     14.665	    3.242	    3.913	    4.573	    3.470
 1980	     1	     7	    3.689	     21.798	     29.378	     83.622	      1.296	     16.294	    4.155	    4.259	    5.052	    3.894
 1980	     1	     8	   10.476	     21.165	     28.385	     86.572	      0.720	     15.953	    3.483	    4.023	    4.917	    3.742
 1980	     1	     9	    7.358	     21.823	     30.459	     80.227	      0.752	     17.075	    5.231	    4.409	    5.300	    4.133
 1980	     1	    10	   21.056	     21.837	     29.345	     88.645	      0.779	     14.391	    3.309	    3.762	    4.515	    3.440
 1980	     1	    11	   23.515	     21.531	     27.355	     87.925	      0.893	      9.757	    3.155	    2.690	    3.184	    2.270
 1980	     1	    12	   20.473	     21.738	     28.985	     89.222	      1.048	     13.571	    3.387	    3.622	    4.275	    3.228
 1980	     1	    13	   10.383	     21.488	     29.529	     83.810	      1.266	     16.807	    3.653	    4.392	    5.193	    4.010
 1980	     1	    14	    3.699	     21.112	     30.559	     80.169	      0.950	     20.710	    4.075	    5.254	    6.317	    4.977
 1980	     1	    15	    6.032	     21.533	     30.729	     83.306	      0.931	     19.323	    4.846	    4.963	    5.941	    4.675
 1980	     1	    16	    6.214	     21.456	     30.316	     85.005	      0.831	     17.806	    3.909	    4.584	    5.495	    4.285
 1980	     1	    17	    7.858	     21.640	     29.894	     85.627	      0.976	     15.330	    3.309	    4.056	    4.786	    3.679
 1980	     1	    18	    4.816	     21.572	     29.531	     85.729	      1.422	     16.696	    4.803	    4.395	    5.164	    3.987
 1980	     1	    19	   10.645	     21.286	     30.263	     87.482	      1.416	     18.693	    3.797	    4.904	    5.742	    4.487
 1980	     1	    20	   12.776	     21.783	     30.265	     83.484	      1.277	     17.754	    4.000	    4.655	    5.488	    4.286
 1980	     1	    21	    3.603	     21.334	     30.924	     81.458	      0.462	     19.978	    4.701	    4.999	    6.127	    4.834
