CABra ID  	 375
ANA ID    	 59380000
Longitude 	 -37.606   	 dd
Latitude  	 -6.58     	 dd
Area      	 17832.1827	 km²
Elevation 	 386.483   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   30.466	     18.454	     22.655	     84.662	      2.148	      8.393	    2.331	    2.328	    2.804	    1.773
 1980	     1	     2	    2.445	     18.025	     21.262	     79.868	      1.864	     24.839	    4.228	    5.067	    7.080	    5.123
 1980	     1	     3	    0.914	     17.828	     21.521	     83.607	      1.465	     28.573	    4.901	    5.887	    8.059	    5.898
 1980	     1	     4	    0.347	     19.184	     21.682	     84.664	      0.961	     29.129	    5.108	    6.172	    8.301	    6.134
 1980	     1	     5	    0.303	     18.854	     22.299	     85.770	      1.678	     29.250	    5.144	    6.032	    8.350	    6.183
 1980	     1	     6	    0.105	     20.062	     23.627	     84.345	      1.988	     31.664	    5.499	    6.550	    9.162	    6.914
 1980	     1	     7	    0.488	     21.177	     26.300	     83.279	      1.116	     27.699	    5.574	    6.361	    8.290	    6.337
 1980	     1	     8	    8.749	     22.935	     25.728	     83.316	      0.140	     21.880	    4.888	    5.284	    6.702	    5.077
 1980	     1	     9	   30.843	     22.532	     25.647	     87.474	      0.583	     10.394	    2.614	    2.719	    3.440	    2.398
 1980	     1	    10	   18.168	     22.044	     25.417	     87.042	      0.944	     11.927	    3.288	    3.034	    3.861	    2.728
 1980	     1	    11	   47.993	     21.429	     25.457	     85.359	      0.098	     17.901	    4.638	    4.370	    5.520	    4.066
 1980	     1	    12	   58.212	     20.483	     22.649	     92.746	      1.037	     10.456	    3.641	    2.587	    3.387	    2.267
 1980	     1	    13	   23.877	     19.483	     22.478	     93.139	      1.859	     15.907	    4.538	    3.567	    4.826	    3.398
 1980	     1	    14	    9.852	     18.974	     21.516	     90.060	      1.408	     22.535	    4.881	    4.764	    6.531	    4.722
 1980	     1	    15	   16.839	     19.396	     23.143	     88.562	      1.863	     20.549	    4.475	    4.506	    6.091	    4.422
 1980	     1	    16	    1.632	     19.547	     22.290	     92.040	      0.991	     18.694	    4.050	    4.201	    5.566	    3.987
 1980	     1	    17	   24.897	     21.363	     25.194	     88.225	      1.304	     14.072	    3.481	    3.468	    4.442	    3.184
 1980	     1	    18	   38.508	     22.541	     25.905	     87.133	      1.184	     14.794	    3.722	    3.629	    4.686	    3.424
 1980	     1	    19	    8.662	     22.646	     26.822	     84.251	      1.042	     18.268	    4.236	    4.439	    5.697	    4.280
 1980	     1	    20	   41.015	     23.245	     27.775	     83.546	      0.663	     26.267	    6.120	    6.266	    8.051	    6.266
 1980	     1	    21	   42.411	     22.918	     26.115	     83.817	      0.398	     18.262	    4.918	    4.451	    5.683	    4.256
 1980	     1	    22	   16.558	     22.400	     25.525	     88.796	      0.673	     12.953	    2.122	    3.254	    4.155	    2.980
 1980	     1	    23	    1.583	     21.785	     27.747	     82.384	      0.855	     25.242	    5.322	    6.026	    7.687	    5.918
 1980	     1	    24	    5.300	     23.942	     28.770	     79.155	      0.965	     21.621	    4.708	    5.298	    6.766	    5.258
 1980	     1	    25	   29.766	     23.599	     27.074	     84.522	      0.019	     16.757	    4.360	    4.200	    5.295	    3.981
 1980	     1	    26	   34.338	     22.526	     25.837	     87.779	      0.663	     13.656	    3.490	    3.419	    4.360	    3.158
 1980	     1	    27	   11.357	     21.856	     24.115	     93.718	      1.616	     17.387	    3.956	    3.930	    5.345	    3.906
 1980	     1	    28	   20.302	     20.835	     24.284	     90.524	      1.303	     19.300	    4.458	    4.423	    5.843	    4.290
 1980	     1	    29	    3.731	     20.531	     22.207	     90.427	      1.612	     21.717	    4.234	    4.577	    6.407	    4.685
 1980	     1	    30	    1.130	     20.657	     22.902	     86.390	      1.425	     23.660	    4.514	    5.079	    6.968	    5.158
 1980	     1	    31	    0.057	     21.522	     25.241	     86.187	      1.988	     28.008	    5.996	    6.065	    8.324	    6.353
 1980	     2	     1	   63.295	     22.443	     25.998	     92.215	      0.592	     19.757	    4.701	    4.736	    6.082	    4.573
 1980	     2	     2	   54.932	     21.573	     23.439	     93.897	      2.426	     10.272	    3.027	    2.440	    3.360	    2.280
 1980	     2	     3	   28.272	     20.705	     22.768	     94.328	      1.930	     15.107	    4.241	    3.355	    4.645	    3.290
 1980	     2	     4	    8.199	     20.129	     22.977	     91.675	      1.241	     23.903	    5.355	    5.198	    7.007	    5.181
 1980	     2	     5	    0.063	     20.918	     24.079	     84.673	      0.887	     29.096	    6.122	    6.440	    8.520	    6.458
 1980	     2	     6	    0.182	     22.054	     26.029	     83.092	      1.100	     28.019	    5.112	    6.368	    8.392	    6.457
 1980	     2	     7	    1.083	     23.202	     27.028	     88.264	      0.836	     26.389	    5.219	    6.181	    8.036	    6.238
 1980	     2	     8	    0.422	     22.691	     25.307	     89.817	      0.833	     24.509	    4.697	    5.626	    7.399	    5.643
 1980	     2	     9	    0.866	     22.164	     25.198	     87.537	      1.404	     20.499	    3.691	    4.685	    6.247	    4.684
 1980	     2	    10	   13.916	     23.854	     28.044	     85.783	      0.641	     25.789	    5.181	    6.175	    7.937	    6.214
 1980	     2	    11	   17.278	     24.098	     29.080	     81.527	      0.373	     23.771	    5.626	    5.836	    7.400	    5.812
 1980	     2	    12	   16.007	     24.726	     27.341	     85.509	      0.171	     16.674	    2.835	    4.178	    5.295	    4.026
 1980	     2	    13	   24.386	     23.718	     27.134	     85.498	      0.207	     17.090	    4.556	    4.252	    5.385	    4.069
 1980	     2	    14	   12.964	     21.506	     25.703	     91.908	      0.390	     23.589	    5.443	    5.559	    7.099	    5.380
 1980	     2	    15	   20.067	     21.452	     24.955	     95.643	      0.340	     24.067	    5.094	    5.624	    7.195	    5.435
 1980	     2	    16	    4.503	     22.370	     25.191	     91.367	      0.604	     14.692	    3.134	    3.599	    4.623	    3.365
 1980	     2	    17	    2.895	     21.843	     25.095	     82.148	      1.004	      9.792	    2.518	    2.571	    3.244	    2.226
 1980	     2	    18	   63.161	     21.434	     24.295	     90.197	      0.530	     12.496	    3.623	    3.110	    3.974	    2.799
 1980	     2	    19	   35.633	     20.525	     23.785	     91.540	      0.968	     14.532	    3.639	    3.475	    4.499	    3.198
 1980	     2	    20	   32.822	     21.763	     24.412	     82.476	      1.440	     14.263	    3.699	    3.378	    4.469	    3.212
 1980	     2	    21	    2.373	     21.150	     24.486	     83.826	      0.561	     25.279	    5.039	    5.780	    7.485	    5.656
 1980	     2	    22	   23.707	     21.820	     25.776	     85.136	      0.605	     17.415	    4.417	    4.214	    5.380	    3.990
 1980	     2	    23	    9.221	     21.607	     26.124	     92.127	      0.304	     23.929	    5.423	    5.666	    7.205	    5.492
 1980	     2	    24	    6.437	     23.304	     26.040	     90.491	      0.348	     23.390	    4.594	    5.559	    7.122	    5.472
 1980	     2	    25	    9.186	     23.496	     26.406	     89.389	      0.968	     25.497	    5.508	    5.877	    7.744	    6.004
 1980	     2	    26	   17.187	     23.084	     26.948	     84.471	      0.324	     20.336	    4.744	    4.938	    6.277	    4.796
 1980	     2	    27	   33.518	     22.447	     26.500	     85.129	      0.356	     18.286	    4.314	    4.458	    5.659	    4.258
 1980	     2	    28	   15.388	     22.607	     27.854	     84.448	      0.625	     23.432	    5.234	    5.635	    7.174	    5.554
 1980	     2	    29	    1.002	     22.472	     27.873	     90.335	      0.886	     24.754	    4.612	    5.895	    7.545	    5.859
 1980	     3	     1	    0.596	     24.722	     27.954	     82.802	      0.897	     26.114	    4.783	    6.158	    8.041	    6.349
 1980	     3	     2	    0.448	     24.091	     27.772	     84.475	      1.115	     26.870	    4.821	    6.262	    8.220	    6.472
 1980	     3	     3	    0.168	     23.621	     26.981	     86.315	      0.629	     25.443	    4.450	    5.994	    7.749	    6.040
 1980	     3	     4	    1.731	     22.747	     26.182	     85.582	      1.106	     24.983	    4.545	    5.719	    7.539	    5.816
 1980	     3	     5	    0.872	     22.962	     26.084	     86.155	      1.158	     24.195	    4.253	    5.528	    7.321	    5.640
 1980	     3	     6	    1.365	     23.613	     27.096	     83.555	      0.711	     25.602	    4.514	    6.014	    7.794	    6.085
 1980	     3	     7	    0.991	     23.900	     27.443	     81.488	      0.526	     24.694	    4.303	    5.884	    7.560	    5.913
 1980	     3	     8	    2.364	     23.082	     26.773	     85.476	      0.485	     23.174	    4.153	    5.509	    7.061	    5.454
 1980	     3	     9	    7.142	     22.648	     26.078	     91.147	      0.438	     21.856	    5.107	    5.184	    6.641	    5.076
 1980	     3	    10	   17.099	     23.696	     26.817	     87.261	      0.385	     22.535	    5.259	    5.394	    6.902	    5.344
 1980	     3	    11	    7.721	     23.399	     26.075	     88.629	      0.149	     20.705	    4.755	    4.999	    6.341	    4.851
 1980	     3	    12	   15.001	     23.220	     25.307	     90.498	      0.561	     18.990	    4.365	    4.492	    5.824	    4.400
 1980	     3	    13	   25.864	     23.087	     27.804	     84.650	      0.503	     22.417	    5.097	    5.404	    6.877	    5.340
 1980	     3	    14	   46.800	     21.587	     24.439	     94.635	      0.823	     15.576	    4.397	    3.700	    4.800	    3.501
 1980	     3	    15	   11.934	     21.728	     23.813	     91.800	      1.152	     11.070	    3.278	    2.707	    3.556	    2.474
 1980	     3	    16	   22.735	     22.229	     25.442	     91.250	      0.713	     18.178	    4.490	    4.309	    5.563	    4.169
 1980	     3	    17	    2.168	     21.590	     26.204	     91.554	      0.129	     23.112	    5.170	    5.486	    6.937	    5.308
 1980	     3	    18	    0.068	     22.630	     24.872	     89.023	      0.667	     21.715	    4.973	    5.004	    6.535	    4.970
 1980	     3	    19	    0.460	     22.361	     24.615	     86.739	      0.866	     22.500	    3.932	    5.093	    6.728	    5.117
