CABra ID  	 394
ANA ID    	 60653000
Longitude 	 -35.233   	 dd
Latitude  	 -7.15     	 dd
Area      	 767.1298  	 km²
Elevation 	 145.5509  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.493	     19.163	     24.109	     88.557	      1.852	     10.204	    1.397	    2.741	    3.282	    2.216
 1980	     1	     2	    8.200	     19.270	     25.357	     81.207	      1.190	     14.754	    1.925	    3.686	    4.535	    3.260
 1980	     1	     3	    1.519	     18.212	     27.083	     74.662	      1.022	     20.487	    3.551	    5.006	    6.113	    4.564
 1980	     1	     4	    1.315	     16.524	     29.485	     69.399	      0.920	     26.413	    4.425	    6.456	    7.767	    5.936
 1980	     1	     5	    1.046	     18.773	     29.358	     70.670	      1.881	     25.288	    4.524	    6.357	    7.562	    5.831
 1980	     1	     6	    1.422	     19.285	     28.226	     77.278	      1.833	     22.275	    4.097	    5.558	    6.694	    5.098
 1980	     1	     7	   11.663	     18.374	     27.682	     83.867	      0.851	     19.005	    3.905	    4.733	    5.734	    4.274
 1980	     1	     8	   22.043	     18.883	     25.078	     86.367	      0.968	     10.469	    1.818	    2.818	    3.362	    2.294
 1980	     1	     9	   14.905	     19.186	     27.718	     81.390	      1.211	     15.994	    2.982	    4.178	    4.930	    3.634
 1980	     1	    10	   26.963	     19.655	     24.543	     84.568	      1.426	     12.733	    2.472	    3.205	    3.979	    2.798
 1980	     1	    11	   10.060	     18.826	     26.207	     84.940	      1.292	     15.265	    3.268	    3.904	    4.682	    3.390
 1980	     1	    12	   14.675	     19.350	     23.637	     89.359	      0.950	      9.464	    1.846	    2.493	    3.080	    2.048
 1980	     1	    13	   31.891	     18.342	     23.991	     91.978	      1.370	     10.467	    1.311	    2.796	    3.335	    2.247
 1980	     1	    14	   14.863	     18.999	     25.940	     87.174	      0.632	     14.915	    2.940	    3.722	    4.585	    3.308
 1980	     1	    15	   18.484	     19.651	     25.407	     89.868	      1.120	     12.308	    2.321	    3.191	    3.880	    2.734
 1980	     1	    16	   21.166	     19.279	     24.049	     91.028	      1.434	     11.833	    2.243	    3.005	    3.719	    2.572
 1980	     1	    17	   31.450	     19.340	     25.174	     87.012	      1.982	     12.872	    2.695	    3.360	    4.021	    2.840
 1980	     1	    18	    8.959	     18.439	     26.560	     81.388	      1.229	     15.901	    2.992	    4.073	    4.852	    3.529
 1980	     1	    19	   12.303	     18.490	     27.925	     79.066	      0.769	     21.261	    3.880	    5.196	    6.367	    4.802
 1980	     1	    20	    4.613	     18.372	     29.258	     80.300	      0.731	     21.637	    4.542	    5.382	    6.517	    4.959
 1980	     1	    21	   10.191	     18.513	     29.551	     79.812	      0.714	     21.628	    3.749	    5.399	    6.531	    4.983
 1980	     1	    22	    9.347	     19.626	     29.826	     78.347	      0.749	     20.041	    4.383	    5.084	    6.136	    4.694
 1980	     1	    23	    8.358	     20.215	     28.471	     82.308	      0.989	     17.404	    4.150	    4.454	    5.371	    4.040
