CABra ID  	 405
ANA ID    	 60785005
Longitude 	 -35.452   	 dd
Latitude  	 -7.88     	 dd
Area      	 5856.2141 	 km²
Elevation 	 496.1003  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    4.572	     17.445	     23.940	     81.530	      1.433	     14.392	    1.975	    3.564	    4.339	    3.051
 1980	     1	     2	    0.002	     16.240	     25.431	     72.087	      1.123	     19.448	    2.019	    4.684	    5.675	    4.138
 1980	     1	     3	    0.085	     15.294	     27.428	     73.129	      0.654	     22.806	    2.637	    5.443	    6.607	    4.919
 1980	     1	     4	    0.564	     16.357	     28.934	     68.505	      0.814	     26.376	    3.641	    6.347	    7.698	    5.876
 1980	     1	     5	    1.577	     18.378	     29.747	     67.350	      1.506	     26.523	    4.128	    6.599	    7.887	    6.116
 1980	     1	     6	    5.388	     19.397	     26.720	     79.801	      1.776	     20.227	    4.327	    4.918	    6.058	    4.552
 1980	     1	     7	    2.499	     19.576	     27.708	     80.323	      1.276	     18.112	    3.737	    4.582	    5.515	    4.134
 1980	     1	     8	   13.333	     19.626	     24.864	     87.315	      1.323	     14.868	    3.066	    3.637	    4.550	    3.279
 1980	     1	     9	   14.480	     19.381	     27.717	     84.742	      1.265	     18.561	    3.276	    4.679	    5.632	    4.227
 1980	     1	    10	   21.485	     19.503	     27.252	     84.221	      1.710	     17.629	    3.410	    4.492	    5.365	    3.998
 1980	     1	    11	    9.622	     19.973	     26.610	     85.978	      1.668	     16.048	    3.316	    4.068	    4.926	    3.632
 1980	     1	    12	    9.364	     19.583	     25.487	     89.840	      1.193	     12.405	    2.218	    3.220	    3.895	    2.756
 1980	     1	    13	   10.416	     18.613	     27.287	     83.862	      0.919	     19.143	    2.995	    4.722	    5.751	    4.297
 1980	     1	    14	    2.981	     19.298	     28.220	     84.163	      1.188	     19.017	    3.481	    4.816	    5.771	    4.353
 1980	     1	    15	    6.032	     19.612	     27.585	     85.224	      1.160	     16.832	    3.424	    4.295	    5.157	    3.838
 1980	     1	    16	    5.738	     19.633	     27.791	     82.787	      1.071	     18.093	    3.777	    4.554	    5.512	    4.137
 1980	     1	    17	    7.557	     20.164	     26.929	     83.747	      2.016	     16.690	    2.884	    4.248	    5.116	    3.801
 1980	     1	    18	    6.382	     20.177	     25.036	     85.738	      2.346	     13.364	    2.678	    3.359	    4.160	    2.974
 1980	     1	    19	    7.812	     19.573	     26.360	     83.844	      1.315	     13.848	    2.372	    3.602	    4.305	    3.109
 1980	     1	    20	    4.276	     19.270	     29.955	     78.397	      1.128	     23.395	    4.721	    5.886	    7.057	    5.465
 1980	     1	    21	    9.315	     19.015	     29.232	     79.221	      0.721	     19.526	    3.892	    4.919	    5.934	    4.509
 1980	     1	    22	    1.583	     19.424	     30.391	     77.642	      1.157	     24.267	    4.254	    6.119	    7.328	    5.708
 1980	     1	    23	    3.788	     20.404	     29.220	     79.160	      1.719	     18.615	    3.438	    4.900	    5.724	    4.369
 1980	     1	    24	    2.601	     20.094	     29.727	     76.179	      1.983	     23.770	    4.114	    6.047	    7.188	    5.592
 1980	     1	    25	    6.790	     20.797	     28.164	     79.262	      1.842	     17.895	    3.355	    4.595	    5.503	    4.167
 1980	     1	    26	    2.515	     19.674	     29.554	     78.330	      1.167	     21.503	    4.396	    5.449	    6.523	    5.023
 1980	     1	    27	    3.737	     20.859	     29.269	     75.461	      0.991	     21.380	    4.495	    5.325	    6.524	    5.048
 1980	     1	    28	    3.012	     19.775	     28.371	     79.067	      0.894	     18.379	    3.603	    4.631	    5.611	    4.239
 1980	     1	    29	    7.962	     20.342	     27.793	     85.140	      0.742	     16.118	    2.719	    4.077	    4.982	    3.717
 1980	     1	    30	   17.378	     20.456	     26.935	     89.111	      0.734	     13.559	    2.556	    3.482	    4.255	    3.099
 1980	     1	    31	   13.654	     20.291	     28.071	     84.913	      1.110	     17.391	    3.341	    4.419	    5.342	    4.021
 1980	     2	     1	   12.071	     20.669	     28.618	     84.151	      1.472	     17.075	    3.162	    4.454	    5.279	    3.992
 1980	     2	     2	    8.658	     20.663	     27.169	     85.668	      1.341	     13.826	    3.090	    3.625	    4.337	    3.177
 1980	     2	     3	   22.337	     20.494	     28.967	     83.679	      0.986	     17.863	    3.742	    4.574	    5.504	    4.185
 1980	     2	     4	    0.602	     18.982	     29.277	     76.375	      0.896	     22.738	    3.889	    5.629	    6.827	    5.251
 1980	     2	     5	    0.342	     18.698	     29.328	     76.441	      0.462	     24.522	    3.990	    5.912	    7.314	    5.648
 1980	     2	     6	    2.488	     19.562	     30.796	     77.062	      0.909	     24.852	    4.461	    6.217	    7.512	    5.883
 1980	     2	     7	    6.610	     21.032	     30.183	     81.715	      1.059	     21.108	    3.879	    5.366	    6.480	    5.047
 1980	     2	     8	   10.864	     19.710	     28.840	     83.403	      0.622	     17.807	    3.208	    4.490	    5.459	    4.127
 1980	     2	     9	    8.514	     20.560	     28.220	     82.500	      1.386	     17.859	    3.385	    4.553	    5.482	    4.150
