CABra ID  	 410
ANA ID    	 60850000
Longitude 	 -35.101   	 dd
Latitude  	 -8.119    	 dd
Area      	 96.6519   	 km²
Elevation 	 235.4905  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.015	     18.257	     24.182	     84.505	      1.861	     14.916	    2.084	    3.653	    4.493	    3.206
 1980	     1	     2	    0.012	     14.812	     25.563	     76.322	      1.133	     20.748	    2.568	    4.968	    5.941	    4.341
 1980	     1	     3	    0.133	     15.728	     27.652	     73.538	      0.848	     25.680	    3.397	    6.068	    7.386	    5.586
 1980	     1	     4	    0.000	     15.871	     29.525	     69.438	      1.061	     27.197	    3.962	    6.640	    7.904	    6.067
 1980	     1	     5	    0.134	     18.711	     29.340	     68.973	      2.005	     26.409	    4.122	    6.567	    7.829	    6.084
 1980	     1	     6	    0.436	     19.869	     29.708	     70.858	      1.955	     26.620	    4.650	    6.594	    7.965	    6.245
 1980	     1	     7	    0.632	     19.932	     28.256	     80.026	      1.688	     19.709	    4.403	    4.993	    5.971	    4.548
 1980	     1	     8	   22.160	     19.440	     24.846	     88.471	      1.556	     11.762	    1.740	    3.063	    3.696	    2.588
 1980	     1	     9	   11.091	     19.831	     25.577	     89.910	      1.833	     12.861	    2.209	    3.349	    4.015	    2.869
 1980	     1	    10	    8.079	     20.590	     28.000	     83.171	      2.552	     20.821	    3.690	    5.184	    6.297	    4.828
 1980	     1	    11	    7.407	     20.028	     27.018	     86.522	      1.886	     17.038	    3.034	    4.318	    5.196	    3.878
 1980	     1	    12	   11.760	     19.117	     26.549	     87.166	      1.385	     12.775	    2.371	    3.446	    3.993	    2.859
 1980	     1	    13	   10.086	     18.932	     26.643	     87.052	      1.612	     18.871	    3.133	    4.657	    5.649	    4.219
