CABra ID  	 412
ANA ID    	 60870000
Longitude 	 -35.285   	 dd
Latitude  	 -8.225    	 dd
Area      	 50.235    	 km²
Elevation 	 349.0251  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.971	     17.896	     24.501	     78.200	      1.605	     17.860	    2.225	    4.217	    5.235	    3.836
 1980	     1	     2	    0.002	     16.604	     26.367	     70.886	      0.986	     20.854	    2.242	    4.985	    6.043	    4.512
 1980	     1	     3	    0.004	     16.490	     28.391	     69.855	      0.639	     25.539	    3.235	    6.032	    7.382	    5.661
 1980	     1	     4	    0.000	     17.342	     29.953	     64.314	      0.961	     29.458	    4.261	    7.070	    8.583	    6.725
 1980	     1	     5	    0.933	     18.203	     30.547	     68.367	      1.527	     27.935	    4.400	    6.972	    8.244	    6.489
 1980	     1	     6	    1.378	     20.400	     28.554	     76.687	      1.913	     23.587	    4.888	    5.750	    7.045	    5.492
 1980	     1	     7	    5.268	     20.196	     28.696	     80.989	      1.210	     18.760	    4.415	    4.756	    5.697	    4.365
 1980	     1	     8	   11.855	     20.354	     26.657	     84.591	      1.336	     17.191	    3.942	    4.219	    5.208	    3.911
 1980	     1	     9	   10.656	     20.296	     28.451	     85.486	      1.251	     19.154	    3.878	    4.809	    5.802	    4.449
 1980	     1	    10	   13.506	     20.311	     28.436	     83.053	      1.584	     20.098	    3.813	    5.036	    6.064	    4.668
 1980	     1	    11	   11.562	     20.297	     27.730	     84.770	      1.556	     16.610	    3.687	    4.263	    5.076	    3.825
 1980	     1	    12	   15.208	     19.986	     26.823	     87.493	      1.172	     13.869	    3.003	    3.591	    4.293	    3.148
 1980	     1	    13	   12.305	     19.207	     28.051	     83.132	      1.156	     20.780	    3.573	    5.113	    6.197	    4.742
 1980	     1	    14	    3.006	     19.271	     28.757	     82.741	      1.342	     21.484	    3.889	    5.366	    6.420	    4.948
 1980	     1	    15	    7.550	     20.294	     28.188	     83.160	      1.433	     19.720	    3.867	    4.911	    5.950	    4.566
 1980	     1	    16	   14.552	     20.264	     28.498	     82.523	      0.937	     17.903	    3.505	    4.511	    5.453	    4.159
 1980	     1	    17	    8.330	     20.642	     28.171	     82.059	      1.718	     18.290	    3.427	    4.644	    5.564	    4.252
