CABra ID  	 41
ANA ID    	 17345000
Longitude 	 -67.313   	 dd
Latitude  	 0.372     	 dd
Area      	 127540.9125	 km²
Elevation 	 184.3109  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.738	     20.558	     28.853	     85.099	      0.768	     12.955	    3.195	    3.462	    4.075	    3.033
 1980	     1	     2	   25.936	     20.654	     28.917	     87.609	      0.593	     19.187	    2.821	    4.727	    5.816	    4.500
 1980	     1	     3	   38.491	     20.512	     29.221	     86.858	      0.873	     18.034	    3.612	    4.570	    5.499	    4.238
 1980	     1	     4	   15.612	     20.913	     30.175	     87.645	      0.968	     19.291	    4.252	    4.929	    5.894	    4.606
 1980	     1	     5	   20.990	     21.111	     30.096	     85.629	      1.137	     18.694	    5.133	    4.830	    5.729	    4.469
 1980	     1	     6	   25.186	     20.911	     29.269	     85.056	      0.927	     16.323	    4.396	    4.221	    5.033	    3.856
 1980	     1	     7	   12.593	     21.104	     28.605	     85.673	      1.040	     15.897	    4.185	    4.087	    4.903	    3.735
 1980	     1	     8	    8.937	     20.934	     28.286	     89.382	      0.705	     13.417	    4.268	    3.493	    4.202	    3.134
 1980	     1	     9	   13.652	     21.185	     29.307	     86.212	      0.972	     15.129	    3.576	    3.978	    4.706	    3.587
 1980	     1	    10	   32.922	     21.003	     27.636	     92.055	      0.874	     10.883	    4.418	    2.958	    3.491	    2.525
 1980	     1	    11	   16.267	     20.662	     26.486	     92.123	      0.998	      8.967	    2.159	    2.524	    2.948	    2.043
 1980	     1	    12	   15.109	     20.688	     27.531	     92.490	      1.309	     10.861	    3.985	    3.047	    3.479	    2.507
 1980	     1	    13	   22.797	     20.605	     27.811	     89.656	      1.322	     11.379	    2.826	    3.185	    3.624	    2.633
 1980	     1	    14	    2.261	     20.430	     27.809	     82.935	      1.471	     13.807	    3.064	    3.698	    4.290	    3.188
 1980	     1	    15	    7.988	     20.872	     28.034	     90.995	      1.529	     13.206	    2.817	    3.589	    4.138	    3.073
 1980	     1	    16	   15.802	     20.648	     28.792	     88.670	      1.336	     15.872	    3.571	    4.180	    4.889	    3.717
 1980	     1	    17	   19.574	     20.706	     28.878	     90.045	      0.915	     13.055	    3.638	    3.519	    4.107	    3.063
 1980	     1	    18	   14.696	     20.717	     28.889	     87.693	      0.952	     14.648	    3.932	    3.856	    4.552	    3.437
 1980	     1	    19	    5.747	     21.079	     29.628	     85.132	      1.186	     15.306	    4.868	    4.102	    4.760	    3.638
 1980	     1	    20	    9.291	     21.027	     30.451	     82.120	      0.830	     21.727	    5.588	    5.431	    6.599	    5.210
 1980	     1	    21	    5.622	     20.985	     30.104	     82.692	      0.765	     18.856	    4.359	    4.781	    5.772	    4.502
 1980	     1	    22	   10.948	     21.323	     30.632	     84.747	      1.233	     20.127	    4.379	    5.198	    6.161	    4.853
 1980	     1	    23	    5.994	     21.370	     30.072	     86.085	      1.233	     17.298	    3.898	    4.552	    5.342	    4.146
 1980	     1	    24	    7.895	     21.326	     30.871	     84.369	      1.045	     20.776	    3.703	    5.316	    6.354	    5.023
 1980	     1	    25	    6.702	     21.380	     30.815	     83.410	      1.189	     16.530	    5.586	    4.464	    5.141	    3.997
 1980	     1	    26	    6.085	     21.118	     31.577	     81.700	      0.883	     19.577	    5.497	    5.094	    6.026	    4.760
 1980	     1	    27	   12.037	     21.680	     30.607	     82.322	      1.128	     17.541	    4.701	    4.621	    5.434	    4.246
 1980	     1	    28	   12.388	     21.543	     28.442	     90.209	      0.791	     11.741	    3.261	    3.155	    3.749	    2.767
 1980	     1	    29	   12.398	     21.111	     28.790	     88.812	      0.870	     14.112	    3.329	    3.705	    4.409	    3.323
 1980	     1	    30	    3.722	     21.563	     29.006	     87.667	      1.021	     12.759	    4.322	    3.459	    4.043	    3.028
 1980	     1	    31	   20.099	     21.641	     29.958	     88.398	      1.050	     15.859	    6.025	    4.189	    4.938	    3.809
 1980	     2	     1	   14.542	     21.289	     29.387	     89.346	      1.150	     12.846	    3.777	    3.557	    4.068	    3.052
 1980	     2	     2	    7.708	     21.591	     29.048	     91.142	      1.106	     12.781	    3.396	    3.485	    4.050	    3.036
 1980	     2	     3	    8.233	     21.364	     31.301	     83.425	      0.882	     20.013	    5.549	    5.154	    6.151	    4.865
 1980	     2	     4	   34.956	     21.413	     29.204	     88.272	      1.505	     13.520	    4.077	    3.749	    4.257	    3.210
 1980	     2	     5	   10.289	     21.587	     29.577	     86.955	      1.235	     13.891	    3.728	    3.793	    4.372	    3.319
 1980	     2	     6	    9.269	     21.301	     30.975	     84.043	      1.072	     18.546	    4.643	    4.869	    5.719	    4.488
 1980	     2	     7	   18.057	     21.806	     30.090	     82.700	      0.717	     16.437	    3.659	    4.237	    5.109	    3.961
 1980	     2	     8	   17.230	     21.442	     28.657	     89.061	      0.807	     12.513	    4.390	    3.337	    3.966	    2.953
 1980	     2	     9	   19.877	     21.576	     28.423	     90.490	      0.890	     12.747	    3.410	    3.380	    4.030	    3.005
 1980	     2	    10	    9.979	     21.891	     30.383	     86.021	      1.038	     17.357	    4.297	    4.529	    5.381	    4.200
 1980	     2	    11	   12.589	     21.231	     28.303	     90.354	      0.850	     12.232	    3.609	    3.270	    3.878	    2.868
 1980	     2	    12	    7.708	     21.623	     29.155	     87.123	      1.205	     12.546	    3.860	    3.467	    3.986	    2.985
 1980	     2	    13	   23.709	     21.521	     27.922	     89.205	      0.826	     11.472	    3.511	    3.070	    3.666	    2.687
 1980	     2	    14	   20.922	     21.095	     26.518	     90.911	      0.973	     11.922	    3.942	    3.091	    3.762	    2.732
 1980	     2	    15	   16.112	     21.108	     27.068	     88.803	      1.209	     10.845	    3.698	    2.955	    3.475	    2.502
 1980	     2	    16	   16.195	     20.877	     26.004	     95.720	      1.359	      7.205	    1.980	    2.181	    2.466	    1.637
 1980	     2	    17	   24.321	     21.063	     28.079	     90.687	      0.978	     10.349	    2.684	    2.902	    3.348	    2.415
 1980	     2	    18	   16.566	     21.159	     28.292	     90.732	      1.209	     12.541	    3.496	    3.408	    3.962	    2.938
 1980	     2	    19	   16.240	     20.957	     29.533	     87.849	      1.180	     15.230	    3.970	    4.080	    4.733	    3.611
 1980	     2	    20	   21.827	     21.237	     29.790	     86.773	      1.061	     17.776	    3.692	    4.587	    5.464	    4.241
 1980	     2	    21	   14.776	     20.907	     29.083	     87.211	      0.600	     15.417	    4.387	    3.940	    4.774	    3.634
 1980	     2	    22	   25.841	     20.941	     27.878	     90.925	      0.940	     13.617	    3.356	    3.547	    4.249	    3.166
 1980	     2	    23	   19.763	     21.066	     26.659	     92.038	      1.080	     10.455	    3.201	    2.824	    3.361	    2.399
 1980	     2	    24	   16.352	     20.801	     29.247	     85.469	      0.889	     14.007	    4.057	    3.734	    4.379	    3.304
 1980	     2	    25	    9.353	     20.890	     28.179	     87.480	      0.853	     13.448	    3.355	    3.522	    4.206	    3.136
 1980	     2	    26	    4.338	     20.916	     28.409	     85.574	      1.211	     13.417	    4.278	    3.607	    4.201	    3.138
 1980	     2	    27	   17.381	     21.335	     27.530	     88.382	      1.066	     13.584	    4.426	    3.510	    4.240	    3.160
 1980	     2	    28	   10.781	     21.080	     28.146	     89.500	      0.946	     14.404	    3.872	    3.724	    4.474	    3.365
 1980	     2	    29	    7.762	     21.294	     28.482	     84.613	      1.260	     15.335	    4.802	    3.986	    4.745	    3.606
 1980	     3	     1	   27.413	     21.043	     27.486	     89.110	      1.286	     13.286	    3.959	    3.490	    4.150	    3.078
 1980	     3	     2	   19.871	     20.689	     27.236	     89.988	      1.291	     12.681	    3.875	    3.367	    3.971	    2.917
 1980	     3	     3	    6.382	     20.523	     28.998	     82.384	      1.506	     18.329	    6.135	    4.725	    5.570	    4.297
 1980	     3	     4	    1.970	     21.415	     28.943	     82.594	      0.849	     15.918	    4.572	    4.073	    4.921	    3.768
 1980	     3	     5	   12.774	     20.656	     28.975	     86.676	      1.088	     16.226	    4.387	    4.214	    4.987	    3.809
 1980	     3	     6	   13.907	     21.013	     27.168	     89.307	      1.043	     14.475	    4.192	    3.666	    4.469	    3.340
 1980	     3	     7	   16.748	     20.839	     26.819	     92.574	      1.114	     12.291	    3.550	    3.215	    3.859	    2.818
 1980	     3	     8	   23.379	     20.759	     27.184	     89.407	      1.121	     12.548	    4.380	    3.305	    3.933	    2.887
 1980	     3	     9	    9.568	     20.586	     29.801	     85.433	      1.190	     16.319	    4.889	    4.346	    5.029	    3.864
 1980	     3	    10	   12.920	     20.775	     29.321	     87.753	      1.131	     16.107	    4.402	    4.228	    4.963	    3.801
 1980	     3	    11	    8.781	     21.030	     29.606	     85.012	      1.118	     17.210	    4.517	    4.467	    5.286	    4.087
 1980	     3	    12	    4.564	     20.386	     30.474	     86.324	      1.134	     21.543	    5.050	    5.476	    6.511	    5.130
 1980	     3	    13	    4.088	     20.660	     31.110	     81.914	      1.056	     21.305	    5.020	    5.469	    6.477	    5.126
 1980	     3	    14	    8.065	     21.261	     30.372	     84.675	      0.814	     17.660	    3.674	    4.549	    5.439	    4.243
 1980	     3	    15	    3.258	     21.196	     29.938	     87.903	      0.786	     18.780	    4.262	    4.743	    5.741	    4.486
 1980	     3	    16	   12.809	     20.866	     29.540	     85.987	      1.066	     15.016	    3.473	    4.006	    4.661	    3.557
 1980	     3	    17	   18.706	     20.918	     28.162	     89.270	      0.914	     12.884	    3.719	    3.411	    4.042	    3.005
 1980	     3	    18	   23.871	     21.039	     27.695	     90.050	      0.728	     13.320	    3.830	    3.427	    4.156	    3.094
 1980	     3	    19	   11.951	     21.198	     29.518	     86.132	      0.849	     16.488	    3.790	    4.240	    5.081	    3.919
 1980	     3	    20	    2.067	     20.682	     29.863	     81.825	      1.512	     21.455	    4.262	    5.443	    6.469	    5.090
 1980	     3	    21	    2.190	     20.413	     29.308	     86.827	      0.965	     20.520	    4.066	    5.097	    6.176	    4.822
 1980	     3	    22	    4.068	     20.447	     30.025	     82.271	      1.155	     19.234	    4.493	    4.952	    5.841	    4.559
 1980	     3	    23	    1.729	     20.545	     30.856	     82.396	      1.261	     19.913	    4.602	    5.211	    6.062	    4.771
 1980	     3	    24	    2.544	     21.552	     31.549	     82.012	      1.101	     21.090	    4.068	    5.448	    6.456	    5.152
 1980	     3	    25	    1.945	     21.393	     31.322	     78.040	      1.138	     19.763	    4.230	    5.162	    6.062	    4.807
 1980	     3	    26	    0.756	     21.550	     31.815	     79.089	      1.341	     22.488	    4.140	    5.833	    6.865	    5.510
 1980	     3	    27	    0.732	     21.581	     31.716	     80.323	      0.898	     15.628	    3.926	    4.244	    4.890	    3.826
 1980	     3	    28	    0.470	     21.680	     31.595	     77.920	      1.221	     21.561	    4.235	    5.575	    6.594	    5.277
 1980	     3	    29	    1.978	     21.631	     31.979	     77.119	      1.128	     21.294	    3.909	    5.541	    6.528	    5.232
 1980	     3	    30	    1.177	     21.012	     31.424	     76.477	      0.990	     20.424	    4.085	    5.278	    6.236	    4.952
 1980	     3	    31	    2.133	     21.414	     31.576	     81.197	      0.961	     17.495	    3.804	    4.654	    5.416	    4.269
 1980	     4	     1	    6.045	     21.656	     30.322	     84.457	      0.709	     16.543	    4.623	    4.262	    5.119	    3.990
 1980	     4	     2	   11.462	     21.349	     30.315	     84.586	      0.837	     13.843	    3.873	    3.737	    4.347	    3.327
 1980	     4	     3	   13.648	     20.936	     28.494	     88.136	      0.655	     11.491	    4.795	    3.079	    3.652	    2.691
 1980	     4	     4	   23.080	     21.019	     29.548	     86.756	      0.464	     15.222	    6.429	    3.873	    4.711	    3.612
 1980	     4	     5	   15.501	     21.344	     29.812	     87.394	      0.559	     16.428	    4.256	    4.167	    5.063	    3.925
 1980	     4	     6	   23.185	     21.538	     29.572	     89.225	      0.342	     13.458	    4.941	    3.454	    4.227	    3.214
 1980	     4	     7	    6.578	     21.011	     28.782	     87.862	      0.808	     17.068	    4.478	    4.284	    5.204	    4.014
 1980	     4	     8	   13.773	     20.928	     27.928	     88.382	      1.087	     14.086	    3.771	    3.654	    4.355	    3.276
 1980	     4	     9	    8.474	     21.148	     27.253	     89.263	      1.144	     12.405	    3.054	    3.253	    3.885	    2.870
 1980	     4	    10	    6.560	     20.847	     29.082	     84.455	      1.378	     16.405	    4.235	    4.295	    5.019	    3.864
 1980	     4	    11	    7.196	     21.343	     29.920	     81.664	      1.022	     17.544	    4.864	    4.516	    5.374	    4.197
 1980	     4	    12	    5.927	     21.075	     30.797	     82.456	      0.646	     19.081	    4.702	    4.823	    5.824	    4.597
 1980	     4	    13	    5.384	     20.755	     30.121	     84.164	      0.636	     17.102	    3.705	    4.354	    5.236	    4.073
