CABra ID  	 425
ANA ID    	 61045000
Longitude 	 -35.916   	 dd
Latitude  	 -8.497    	 dd
Area      	 2731.7121 	 km²
Elevation 	 632.07    	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   31.371	     15.975	     23.725	     96.568	      1.038	      8.758	    1.641	    2.534	    2.867	    1.816
 1980	     1	     2	   12.488	     15.111	     21.708	     81.118	      1.924	     13.651	    2.004	    3.359	    4.071	    2.723
 1980	     1	     3	    1.291	     13.920	     24.329	     77.028	      1.516	     22.633	    3.233	    5.299	    6.426	    4.603
 1980	     1	     4	    0.119	     13.337	     26.210	     76.420	      1.190	     24.810	    3.726	    5.904	    7.058	    5.134
 1980	     1	     5	    0.298	     14.317	     25.611	     73.364	      1.740	     27.844	    4.932	    6.429	    7.877	    5.791
 1980	     1	     6	    0.323	     13.560	     26.546	     72.957	      1.378	     29.815	    4.880	    6.908	    8.406	    6.216
 1980	     1	     7	    0.881	     14.836	     26.859	     76.266	      1.641	     22.941	    3.833	    5.704	    6.672	    4.883
 1980	     1	     8	    5.716	     17.105	     25.548	     80.537	      1.477	     15.546	    3.400	    4.020	    4.730	    3.350
 1980	     1	     9	   10.624	     17.452	     25.110	     83.150	      1.497	     13.125	    2.594	    3.500	    4.079	    2.826
 1980	     1	    10	    7.783	     17.685	     24.259	     87.331	      1.925	     13.995	    2.994	    3.586	    4.298	    2.989
 1980	     1	    11	   12.316	     17.663	     25.008	     86.622	      2.004	     13.538	    3.016	    3.617	    4.192	    2.918
 1980	     1	    12	   37.888	     16.875	     23.373	     87.812	      0.816	     12.389	    2.516	    3.132	    3.831	    2.588
 1980	     1	    13	   28.823	     16.996	     22.175	     91.880	      1.625	     10.591	    2.153	    2.744	    3.340	    2.181
 1980	     1	    14	    5.295	     15.822	     23.149	     87.081	      2.829	     16.919	    3.149	    4.115	    4.977	    3.474
 1980	     1	    15	    2.495	     15.659	     24.066	     84.788	      2.240	     17.404	    3.403	    4.329	    5.128	    3.610
 1980	     1	    16	    7.444	     16.640	     21.626	     93.288	      1.432	      8.959	    1.624	    2.405	    2.901	    1.823
 1980	     1	    17	   20.403	     17.169	     22.120	     94.421	      1.483	      8.837	    1.559	    2.405	    2.885	    1.823
 1980	     1	    18	   26.555	     17.470	     23.479	     92.095	      1.802	     11.821	    2.755	    3.098	    3.696	    2.492
 1980	     1	    19	   12.044	     17.810	     25.442	     83.957	      2.066	     16.936	    3.796	    4.287	    5.122	    3.679
 1980	     1	    20	    2.536	     17.800	     28.402	     79.487	      1.625	     21.832	    4.642	    5.579	    6.564	    4.918
 1980	     1	    21	    6.954	     17.589	     27.716	     82.040	      1.327	     19.119	    4.328	    4.909	    5.780	    4.260
 1980	     1	    22	    7.977	     17.223	     26.257	     84.961	      1.342	     16.238	    2.970	    4.202	    4.937	    3.537
 1980	     1	    23	    7.688	     16.432	     28.165	     80.615	      1.506	     22.474	    4.557	    5.705	    6.671	    4.964
 1980	     1	    24	    2.942	     18.084	     28.802	     78.554	      1.709	     20.192	    3.729	    5.322	    6.132	    4.587
 1980	     1	    25	    8.500	     18.884	     25.945	     88.471	      1.648	     14.602	    2.964	    3.806	    4.530	    3.235
 1980	     1	    26	   12.114	     18.017	     26.021	     86.873	      1.734	     13.410	    2.981	    3.662	    4.184	    2.942
 1980	     1	    27	   16.756	     18.557	     25.959	     89.210	      1.075	     15.408	    2.526	    3.912	    4.741	    3.400
 1980	     1	    28	   17.706	     17.526	     26.237	     87.270	      1.312	     16.761	    3.208	    4.280	    5.085	    3.664
 1980	     1	    29	    8.791	     17.590	     25.439	     84.273	      2.167	     18.593	    3.747	    4.605	    5.557	    4.026
 1980	     1	    30	    0.231	     14.175	     26.073	     80.023	      1.688	     27.270	    4.691	    6.392	    7.732	    5.696
 1980	     1	    31	    0.122	     16.591	     27.552	     79.620	      0.913	     22.601	    4.871	    5.512	    6.682	    4.963
 1980	     2	     1	   15.703	     18.185	     25.827	     87.894	      1.516	     14.061	    2.552	    3.715	    4.359	    3.083
 1980	     2	     2	   16.016	     19.111	     26.342	     90.511	      1.082	     14.287	    3.201	    3.702	    4.455	    3.189
 1980	     2	     3	    6.793	     17.936	     25.792	     85.529	      2.759	     20.161	    4.063	    4.948	    6.004	    4.404
 1980	     2	     4	    2.730	     16.921	     25.531	     80.988	      2.052	     23.746	    4.010	    5.575	    6.913	    5.104
 1980	     2	     5	    0.169	     15.268	     27.074	     73.867	      1.649	     28.137	    4.712	    6.667	    8.081	    6.040
 1980	     2	     6	    0.034	     16.107	     29.371	     74.364	      0.641	     26.276	    4.657	    6.361	    7.747	    5.867
 1980	     2	     7	    2.604	     17.796	     29.687	     74.458	      0.813	     24.289	    4.803	    6.028	    7.292	    5.558
 1980	     2	     8	    2.689	     17.822	     28.319	     78.443	      1.319	     22.689	    4.401	    5.666	    6.788	    5.108
 1980	     2	     9	    1.038	     17.143	     28.035	     75.948	      1.340	     24.946	    4.811	    6.095	    7.365	    5.550
 1980	     2	    10	    0.498	     18.425	     28.084	     76.076	      2.201	     21.443	    4.015	    5.505	    6.457	    4.849
 1980	     2	    11	    0.139	     17.394	     28.594	     73.124	      1.671	     22.574	    4.270	    5.771	    6.746	    5.072
 1980	     2	    12	    0.939	     17.618	     28.103	     71.874	      1.708	     19.259	    3.353	    5.061	    5.820	    4.314
 1980	     2	    13	    4.271	     18.382	     25.901	     84.911	      1.130	     11.180	    2.111	    3.086	    3.576	    2.460
 1980	     2	    14	    4.823	     16.444	     26.100	     77.163	      1.391	     18.158	    3.360	    4.583	    5.409	    3.908
 1980	     2	    15	    1.333	     14.992	     25.746	     76.243	      1.683	     21.292	    3.751	    5.226	    6.168	    4.476
 1980	     2	    16	    5.930	     16.087	     24.163	     85.310	      1.213	     11.846	    1.546	    3.172	    3.673	    2.474
 1980	     2	    17	   13.741	     16.374	     24.629	     85.396	      1.284	     13.935	    2.554	    3.608	    4.239	    2.940
 1980	     2	    18	   12.087	     17.114	     23.618	     88.625	      1.799	     13.118	    3.275	    3.362	    4.019	    2.758
 1980	     2	    19	   21.935	     17.089	     25.295	     83.963	      1.490	     17.105	    3.692	    4.268	    5.120	    3.674
 1980	     2	    20	   14.833	     15.780	     25.117	     86.739	      1.012	     17.222	    3.506	    4.247	    5.098	    3.628
 1980	     2	    21	   10.691	     16.580	     26.096	     83.837	      1.282	     17.243	    3.543	    4.378	    5.162	    3.717
 1980	     2	    22	    8.080	     18.130	     25.756	     86.987	      1.620	     14.958	    2.960	    3.883	    4.585	    3.275
 1980	     2	    23	    7.970	     16.572	     27.561	     82.589	      1.016	     19.666	    3.897	    4.941	    5.863	    4.318
 1980	     2	    24	    1.902	     16.653	     27.418	     76.016	      0.972	     21.647	    3.694	    5.304	    6.397	    4.750
 1980	     2	    25	    2.859	     17.214	     27.413	     79.012	      1.182	     21.654	    4.065	    5.334	    6.421	    4.784
 1980	     2	    26	    8.015	     17.507	     26.863	     80.853	      1.247	     17.470	    3.520	    4.460	    5.274	    3.848
 1980	     2	    27	    5.878	     16.650	     26.721	     80.274	      1.432	     19.395	    3.941	    4.881	    5.757	    4.219
 1980	     2	    28	    3.292	     17.299	     27.319	     76.713	      1.439	     22.347	    4.410	    5.493	    6.606	    4.937
 1980	     2	    29	    0.308	     17.794	     27.948	     74.410	      1.589	     25.118	    4.497	    6.112	    7.414	    5.627
 1980	     3	     1	    0.068	     17.448	     28.411	     74.133	      1.209	     24.083	    4.267	    5.923	    7.133	    5.403
 1980	     3	     2	    0.077	     17.729	     27.384	     74.775	      1.264	     22.099	    3.869	    5.408	    6.555	    4.912
 1980	     3	     3	    0.108	     16.973	     27.587	     75.930	      1.075	     21.180	    3.662	    5.238	    6.279	    4.676
 1980	     3	     4	    0.544	     16.997	     26.886	     74.980	      1.232	     21.858	    3.490	    5.317	    6.434	    4.785
 1980	     3	     5	    0.343	     16.491	     27.017	     74.738	      1.088	     22.670	    3.747	    5.477	    6.633	    4.939
 1980	     3	     6	    0.185	     16.663	     27.528	     72.851	      1.254	     23.881	    3.892	    5.797	    6.990	    5.248
 1980	     3	     7	    0.041	     15.838	     28.184	     70.684	      1.101	     24.275	    3.690	    5.937	    7.086	    5.323
 1980	     3	     8	    0.119	     16.154	     28.909	     70.498	      1.016	     23.621	    3.720	    5.863	    6.956	    5.248
 1980	     3	     9	    0.455	     16.371	     29.392	     73.965	      0.817	     23.074	    4.090	    5.732	    6.836	    5.170
 1980	     3	    10	    6.376	     17.333	     28.954	     75.734	      1.096	     20.223	    3.747	    5.185	    6.073	    4.561
 1980	     3	    11	    8.633	     17.571	     27.573	     81.827	      0.875	     17.099	    3.948	    4.356	    5.178	    3.803
 1980	     3	    12	   13.180	     17.429	     26.601	     84.746	      1.370	     15.950	    3.047	    4.153	    4.833	    3.498
 1980	     3	    13	   12.114	     18.343	     26.864	     84.541	      1.757	     16.413	    3.413	    4.290	    4.993	    3.653
 1980	     3	    14	   17.933	     17.293	     27.148	     84.327	      1.109	     15.871	    3.898	    4.138	    4.820	    3.499
 1980	     3	    15	   29.046	     18.270	     25.891	     87.358	      1.132	     12.303	    2.305	    3.291	    3.852	    2.702
 1980	     3	    16	   11.936	     18.451	     27.329	     79.411	      1.631	     18.762	    4.190	    4.767	    5.646	    4.205
 1980	     3	    17	    1.044	     16.824	     27.107	     77.635	      1.004	     20.374	    3.233	    5.000	    6.011	    4.463
 1980	     3	    18	    0.808	     17.359	     27.221	     80.433	      1.301	     18.386	    3.072	    4.673	    5.498	    4.060
 1980	     3	    19	    1.243	     17.191	     26.317	     78.134	      1.324	     20.326	    3.339	    4.944	    5.978	    4.428
 1980	     3	    20	    0.047	     15.905	     26.951	     73.596	      0.829	     22.200	    3.531	    5.313	    6.447	    4.797
 1980	     3	    21	    0.006	     15.074	     28.021	     70.976	      0.611	     22.025	    3.388	    5.311	    6.407	    4.773
 1980	     3	    22	    0.000	     15.475	     28.596	     72.701	      0.667	     22.417	    3.572	    5.457	    6.554	    4.918
 1980	     3	    23	    0.012	     15.911	     28.813	     71.987	      0.665	     22.500	    3.509	    5.489	    6.604	    4.977
 1980	     3	    24	    0.034	     16.057	     28.566	     70.609	      0.681	     20.564	    3.214	    5.080	    6.074	    4.544
 1980	     3	    25	    0.001	     16.421	     28.520	     71.444	      0.909	     22.006	    3.523	    5.435	    6.475	    4.881
 1980	     3	    26	    0.003	     16.174	     28.612	     68.501	      1.085	     22.498	    3.549	    5.598	    6.599	    4.981
 1980	     3	    27	    0.013	     15.925	     28.658	     69.734	      0.683	     21.148	    3.080	    5.202	    6.223	    4.670
 1980	     3	    28	    0.003	     16.010	     29.029	     67.646	      0.533	     20.273	    3.065	    4.993	    6.002	    4.503
 1980	     3	    29	    0.111	     15.938	     28.483	     72.462	      1.246	     19.570	    2.905	    5.069	    5.786	    4.313
 1980	     3	    30	    5.396	     16.320	     27.256	     80.512	      0.607	     16.343	    2.777	    4.095	    4.891	    3.564
 1980	     3	    31	   14.515	     16.571	     24.600	     88.482	      1.787	     14.026	    2.772	    3.654	    4.213	    2.966
 1980	     4	     1	    6.895	     15.633	     24.143	     82.387	      1.727	     15.627	    2.630	    3.921	    4.583	    3.243
 1980	     4	     2	    6.498	     14.575	     24.280	     86.819	      1.154	     12.314	    2.622	    3.282	    3.706	    2.524
 1980	     4	     3	   12.782	     16.930	     22.155	     94.698	      1.204	      7.100	    1.535	    2.054	    2.390	    1.461
 1980	     4	     4	   20.770	     17.836	     22.694	     92.437	      1.603	      8.159	    2.360	    2.275	    2.678	    1.711
 1980	     4	     5	   27.363	     17.125	     22.766	     90.851	      1.193	      9.722	    2.874	    2.567	    3.068	    2.021
 1980	     4	     6	   29.912	     16.593	     22.589	     90.987	      1.207	      9.148	    1.748	    2.473	    2.908	    1.884
 1980	     4	     7	    3.192	     16.345	     23.557	     86.613	      1.637	     11.997	    2.539	    3.149	    3.646	    2.494
 1980	     4	     8	    4.011	     17.381	     24.535	     88.231	      1.112	     11.936	    2.749	    3.107	    3.673	    2.548
 1980	     4	     9	    4.097	     16.904	     26.206	     86.606	      0.912	     15.091	    2.836	    3.830	    4.527	    3.271
