CABra ID  	 429
ANA ID    	 61078000
Longitude 	 -35.49    	 dd
Latitude  	 -8.748    	 dd
Area      	 189.9137  	 km²
Elevation 	 176.9544  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   29.933	     17.067	     24.136	     92.902	      2.003	      9.903	    2.037	    2.898	    3.192	    2.095
 1980	     1	     2	   10.915	     15.372	     23.776	     78.446	      1.756	     15.716	    2.194	    3.962	    4.670	    3.235
 1980	     1	     3	    0.888	     14.254	     25.165	     74.212	      1.305	     23.419	    3.391	    5.516	    6.688	    4.838
 1980	     1	     4	    0.092	     12.905	     26.913	     74.601	      1.282	     25.262	    3.668	    6.110	    7.189	    5.247
 1980	     1	     5	    0.313	     14.137	     26.631	     70.968	      2.016	     28.673	    4.941	    6.791	    8.145	    6.030
 1980	     1	     6	    0.392	     12.781	     27.042	     71.672	      1.625	     29.510	    4.780	    6.991	    8.306	    6.130
 1980	     1	     7	    2.134	     14.026	     26.713	     78.600	      1.347	     22.648	    3.746	    5.588	    6.547	    4.761
 1980	     1	     8	   16.075	     16.592	     24.843	     84.415	      1.111	     15.765	    3.540	    3.951	    4.753	    3.345
 1980	     1	     9	   15.253	     17.269	     24.699	     85.817	      1.120	     13.049	    2.733	    3.395	    4.044	    2.788
 1980	     1	    10	    9.555	     17.603	     23.713	     90.118	      1.494	     13.603	    2.803	    3.420	    4.178	    2.882
 1980	     1	    11	   19.941	     17.107	     24.574	     88.534	      1.478	     14.763	    3.511	    3.759	    4.494	    3.142
 1980	     1	    12	   30.065	     16.758	     23.251	     88.488	      0.923	     11.578	    2.504	    2.983	    3.612	    2.411
 1980	     1	    13	   18.917	     17.147	     23.110	     88.917	      1.250	     10.718	    2.056	    2.828	    3.392	    2.239
 1980	     1	    14	    4.176	     15.805	     24.744	     81.881	      2.842	     17.822	    3.162	    4.569	    5.267	    3.738
 1980	     1	    15	    1.385	     15.505	     25.032	     80.936	      2.236	     16.968	    3.143	    4.424	    5.040	    3.558
 1980	     1	    16	   10.718	     16.867	     21.470	     91.295	      1.798	      8.997	    1.600	    2.401	    2.912	    1.832
 1980	     1	    17	   28.152	     17.334	     22.430	     93.246	      1.574	      9.652	    1.928	    2.579	    3.104	    2.003
 1980	     1	    18	   29.177	     17.747	     23.605	     92.406	      1.559	     10.762	    2.413	    2.881	    3.423	    2.281
 1980	     1	    19	   14.600	     17.552	     25.915	     85.959	      1.465	     16.457	    3.782	    4.209	    4.997	    3.584
 1980	     1	    20	    2.106	     17.340	     28.392	     80.967	      1.190	     21.892	    4.676	    5.513	    6.560	    4.903
 1980	     1	    21	    7.307	     17.205	     27.796	     83.636	      1.102	     18.907	    4.188	    4.836	    5.710	    4.197
 1980	     1	    22	    5.448	     16.520	     26.380	     86.329	      0.838	     16.293	    3.163	    4.138	    4.932	    3.522
 1980	     1	    23	   11.722	     16.422	     28.031	     82.657	      0.945	     22.922	    4.609	    5.639	    6.787	    5.053
 1980	     1	    24	    2.843	     17.551	     28.405	     80.222	      1.109	     19.798	    3.692	    5.069	    5.988	    4.447
 1980	     1	    25	   14.577	     18.619	     26.358	     88.740	      1.301	     12.925	    2.561	    3.497	    4.072	    2.868
 1980	     1	    26	   16.854	     16.980	     26.117	     86.844	      1.409	     12.792	    2.721	    3.556	    3.993	    2.773
 1980	     1	    27	   12.416	     18.201	     26.988	     86.661	      1.423	     16.666	    2.771	    4.333	    5.101	    3.708
 1980	     1	    28	    2.259	     17.819	     27.810	     82.992	      1.172	     17.893	    3.659	    4.632	    5.450	    4.003
 1980	     1	    29	    4.972	     17.839	     26.378	     81.005	      1.839	     19.375	    3.563	    4.846	    5.810	    4.259
 1980	     1	    30	    0.039	     14.419	     27.785	     74.729	      1.723	     28.544	    4.866	    6.903	    8.186	    6.116
 1980	     1	    31	    0.140	     16.500	     27.812	     79.379	      1.109	     23.154	    4.911	    5.695	    6.840	    5.096
 1980	     2	     1	   26.311	     18.311	     25.701	     90.077	      1.093	     13.048	    2.642	    3.434	    4.083	    2.861
 1980	     2	     2	   13.844	     18.896	     27.459	     88.878	      0.669	     14.454	    3.276	    3.753	    4.519	    3.262
 1980	     2	     3	    7.097	     16.934	     27.593	     81.004	      2.117	     21.569	    4.080	    5.541	    6.415	    4.760
 1980	     2	     4	    0.609	     16.773	     26.838	     77.400	      1.906	     24.170	    4.051	    5.868	    7.081	    5.273
 1980	     2	     5	    0.284	     14.986	     28.374	     69.968	      1.358	     28.260	    4.670	    6.844	    8.173	    6.145
 1980	     2	     6	    0.025	     16.329	     29.273	     75.196	      0.593	     26.543	    4.502	    6.395	    7.827	    5.936
 1980	     2	     7	    2.042	     17.570	     30.165	     74.806	      0.905	     24.949	    4.879	    6.241	    7.487	    5.726
 1980	     2	     8	    1.837	     17.827	     28.523	     77.281	      1.435	     21.693	    4.209	    5.520	    6.519	    4.896
 1980	     2	     9	    0.839	     17.165	     28.422	     74.281	      1.601	     25.326	    4.780	    6.269	    7.489	    5.663
 1980	     2	    10	    0.776	     18.455	     27.951	     76.494	      1.938	     20.271	    3.779	    5.222	    6.127	    4.578
 1980	     2	    11	    0.368	     17.169	     28.381	     73.972	      1.201	     22.487	    4.360	    5.627	    6.703	    5.026
 1980	     2	    12	    2.178	     17.102	     27.868	     73.615	      1.189	     18.362	    3.188	    4.753	    5.547	    4.074
 1980	     2	    13	    5.166	     18.073	     25.646	     85.808	      0.992	     11.570	    2.226	    3.126	    3.671	    2.527
 1980	     2	    14	    4.574	     16.549	     25.453	     78.160	      1.295	     17.493	    2.889	    4.360	    5.214	    3.739
 1980	     2	    15	    0.339	     14.894	     26.271	     76.636	      1.841	     21.619	    3.439	    5.397	    6.272	    4.571
 1980	     2	    16	    4.813	     15.558	     24.020	     82.489	      1.485	     12.583	    1.887	    3.370	    3.849	    2.605
 1980	     2	    17	   14.682	     16.141	     24.349	     85.876	      1.277	     13.856	    2.338	    3.574	    4.204	    2.904
 1980	     2	    18	   15.413	     16.926	     23.740	     89.517	      1.449	     12.749	    3.229	    3.288	    3.919	    2.678
 1980	     2	    19	   23.535	     17.137	     25.179	     83.897	      1.410	     16.061	    3.357	    4.049	    4.839	    3.446
 1980	     2	    20	    8.937	     15.587	     25.293	     84.926	      1.247	     17.429	    3.526	    4.354	    5.151	    3.671
 1980	     2	    21	    8.371	     16.274	     26.608	     82.541	      1.244	     18.066	    3.821	    4.595	    5.388	    3.905
 1980	     2	    22	   11.999	     17.812	     25.806	     87.217	      1.150	     13.958	    2.372	    3.643	    4.307	    3.045
 1980	     2	    23	    8.764	     16.075	     27.949	     82.937	      1.012	     20.278	    4.180	    5.111	    6.023	    4.447
 1980	     2	    24	    4.004	     16.348	     27.469	     77.809	      0.919	     21.290	    3.832	    5.232	    6.289	    4.657
 1980	     2	    25	    2.757	     16.639	     27.362	     79.974	      0.995	     22.009	    3.920	    5.375	    6.490	    4.825
 1980	     2	    26	    8.093	     17.613	     26.603	     82.422	      0.861	     16.426	    3.287	    4.148	    4.986	    3.611
 1980	     2	    27	    1.655	     16.546	     26.408	     82.426	      0.947	     18.262	    3.546	    4.534	    5.437	    3.951
 1980	     2	    28	    2.755	     17.036	     26.949	     77.976	      1.235	     20.730	    4.086	    5.112	    6.140	    4.544
 1980	     2	    29	    0.439	     17.034	     27.631	     75.385	      1.534	     24.612	    4.193	    5.992	    7.222	    5.440
 1980	     3	     1	    0.040	     16.404	     28.444	     72.951	      1.339	     24.184	    4.004	    6.006	    7.112	    5.358
 1980	     3	     2	    0.078	     16.661	     27.461	     75.253	      1.410	     23.547	    4.098	    5.757	    6.904	    5.170
 1980	     3	     3	    0.126	     16.185	     27.771	     76.631	      1.163	     20.798	    3.514	    5.226	    6.150	    4.557
 1980	     3	     4	    1.175	     16.853	     27.258	     75.987	      1.338	     22.233	    3.601	    5.458	    6.544	    4.881
 1980	     3	     5	    0.242	     16.287	     27.172	     73.501	      1.227	     23.492	    3.840	    5.684	    6.852	    5.115
 1980	     3	     6	    0.286	     16.418	     27.203	     74.318	      1.254	     23.666	    3.713	    5.721	    6.905	    5.163
 1980	     3	     7	    0.126	     15.062	     28.071	     71.724	      0.991	     24.057	    3.605	    5.863	    6.983	    5.216
 1980	     3	     8	    0.110	     14.984	     28.475	     72.444	      1.018	     23.582	    3.763	    5.824	    6.869	    5.134
 1980	     3	     9	    0.221	     15.175	     29.399	     74.368	      0.819	     23.772	    3.948	    5.884	    6.971	    5.249
 1980	     3	    10	    3.202	     16.776	     29.449	     75.121	      0.844	     21.923	    4.202	    5.508	    6.538	    4.940
 1980	     3	    11	    6.568	     17.673	     27.455	     82.495	      0.502	     16.985	    4.122	    4.224	    5.147	    3.776
 1980	     3	    12	   16.948	     17.186	     26.086	     86.064	      0.835	     15.116	    2.814	    3.837	    4.588	    3.283
 1980	     3	    13	   11.915	     17.930	     26.147	     86.835	      1.206	     16.020	    3.361	    4.063	    4.853	    3.515
 1980	     3	    14	   15.947	     17.238	     26.748	     85.927	      0.868	     15.494	    3.681	    3.969	    4.705	    3.396
 1980	     3	    15	   11.047	     17.823	     25.803	     86.501	      1.169	     13.310	    2.559	    3.504	    4.110	    2.904
 1980	     3	    16	    6.210	     18.075	     26.743	     82.537	      1.397	     18.091	    3.673	    4.548	    5.431	    4.007
 1980	     3	    17	    1.403	     16.222	     27.029	     77.582	      0.906	     20.449	    3.340	    4.996	    6.004	    4.441
 1980	     3	    18	    0.384	     16.812	     28.147	     76.605	      1.241	     19.545	    3.459	    5.010	    5.824	    4.336
 1980	     3	    19	    2.171	     17.045	     26.962	     77.500	      1.429	     20.627	    3.340	    5.103	    6.079	    4.522
 1980	     3	    20	    0.107	     15.983	     26.745	     74.014	      0.935	     21.866	    3.381	    5.250	    6.353	    4.717
 1980	     3	    21	    0.002	     14.296	     27.875	     72.554	      0.519	     21.697	    3.213	    5.197	    6.279	    4.647
 1980	     3	    22	    0.000	     15.219	     28.657	     71.327	      0.615	     22.766	    3.683	    5.514	    6.640	    4.983
 1980	     3	    23	    0.003	     15.472	     28.622	     71.910	      0.694	     22.951	    3.617	    5.575	    6.697	    5.037
 1980	     3	    24	    0.071	     15.276	     28.377	     70.589	      0.708	     20.768	    3.328	    5.120	    6.089	    4.533
 1980	     3	    25	    0.015	     16.104	     28.512	     72.612	      0.645	     22.390	    3.660	    5.432	    6.565	    4.946
 1980	     3	    26	    0.000	     15.244	     28.559	     69.834	      0.678	     22.862	    3.624	    5.542	    6.652	    4.999
 1980	     3	    27	    0.027	     14.996	     28.749	     71.891	      0.459	     22.006	    3.291	    5.294	    6.418	    4.809
 1980	     3	    28	    0.014	     14.829	     28.704	     72.018	      0.400	     20.102	    2.926	    4.872	    5.896	    4.381
 1980	     3	    29	    0.081	     15.341	     28.273	     72.168	      1.007	     20.105	    2.995	    5.082	    5.898	    4.386
 1980	     3	    30	    2.581	     15.140	     25.875	     81.663	      0.629	     16.724	    2.949	    4.091	    4.910	    3.529
 1980	     3	    31	    8.334	     16.173	     26.377	     85.318	      1.461	     15.424	    3.027	    4.088	    4.616	    3.320
 1980	     4	     1	    1.871	     15.503	     25.523	     78.390	      1.645	     16.706	    2.552	    4.289	    4.902	    3.526
 1980	     4	     2	    6.575	     15.090	     24.736	     85.335	      1.461	     12.495	    2.655	    3.419	    3.777	    2.596
 1980	     4	     3	   16.784	     17.238	     22.252	     94.459	      1.353	      6.283	    1.519	    1.915	    2.186	    1.299
