CABra ID  	 433
ANA ID    	 61105000
Longitude 	 -35.407   	 dd
Latitude  	 -9.049    	 dd
Area      	 363.3948  	 km²
Elevation 	 128.2308  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   18.549	     16.857	     23.832	     91.837	      2.148	      9.755	    1.911	    2.866	    3.135	    2.050
 1980	     1	     2	   16.882	     15.668	     21.413	     83.145	      1.960	     12.061	    1.705	    3.006	    3.660	    2.414
 1980	     1	     3	    0.397	     14.828	     24.273	     76.179	      1.631	     19.310	    2.977	    4.666	    5.584	    3.973
 1980	     1	     4	    0.137	     14.114	     25.383	     78.317	      1.336	     21.297	    3.536	    5.150	    6.115	    4.404
 1980	     1	     5	    0.238	     14.661	     25.264	     74.348	      2.019	     26.710	    5.011	    6.162	    7.553	    5.556
 1980	     1	     6	    0.274	     13.017	     25.675	     75.174	      1.841	     28.871	    4.922	    6.657	    8.039	    5.907
 1980	     1	     7	    1.613	     15.828	     26.046	     78.472	      1.949	     22.820	    3.713	    5.546	    6.627	    4.869
 1980	     1	     8	    3.988	     17.580	     25.617	     81.049	      1.796	     15.683	    3.309	    4.064	    4.768	    3.403
 1980	     1	     9	    2.554	     17.778	     26.252	     80.836	      1.716	     15.306	    2.693	    4.055	    4.688	    3.357
 1980	     1	    10	    2.885	     17.402	     23.921	     86.286	      1.815	     13.462	    2.700	    3.447	    4.127	    2.852
 1980	     1	    11	    3.714	     17.116	     26.608	     86.563	      1.645	     13.963	    3.019	    3.879	    4.314	    3.050
 1980	     1	    12	   18.004	     16.947	     22.664	     87.891	      1.111	     12.716	    2.697	    3.149	    3.889	    2.634
 1980	     1	    13	   31.236	     16.710	     20.586	     91.962	      1.250	      9.297	    1.759	    2.353	    2.962	    1.866
 1980	     1	    14	   16.157	     16.100	     23.779	     86.987	      2.692	     15.777	    3.189	    4.001	    4.692	    3.280
 1980	     1	    15	    6.014	     15.851	     22.237	     89.708	      2.132	     11.422	    2.033	    3.008	    3.518	    2.318
 1980	     1	    16	   18.923	     16.850	     19.982	     96.490	      1.712	      7.597	    1.190	    1.985	    2.523	    1.515
 1980	     1	    17	   29.781	     17.691	     23.180	     92.356	      1.759	     10.660	    2.207	    2.827	    3.377	    2.245
 1980	     1	    18	   20.228	     17.839	     23.108	     91.711	      1.481	     10.264	    2.231	    2.717	    3.274	    2.164
 1980	     1	    19	   11.258	     17.101	     26.459	     82.650	      1.737	     20.188	    4.391	    5.031	    5.991	    4.401
 1980	     1	    20	    3.688	     17.772	     28.405	     81.953	      1.536	     21.312	    4.362	    5.451	    6.399	    4.800
 1980	     1	    21	    3.309	     17.377	     27.929	     83.830	      1.277	     21.281	    4.548	    5.344	    6.356	    4.742
 1980	     1	    22	    8.117	     17.083	     26.669	     86.284	      1.015	     16.727	    2.858	    4.267	    5.060	    3.655
 1980	     1	    23	   16.720	     16.623	     27.720	     82.723	      1.354	     20.508	    4.397	    5.213	    6.105	    4.515
