CABra ID  	 434
ANA ID    	 61107000
Longitude 	 -35.539   	 dd
Latitude  	 -9.16     	 dd
Area      	 846.595   	 km²
Elevation 	 253.9897  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   19.505	     16.707	     23.798	     92.250	      2.110	      9.700	    2.102	    2.861	    3.122	    2.033
 1980	     1	     2	   17.694	     15.766	     21.118	     83.332	      1.907	     11.518	    1.676	    2.871	    3.523	    2.300
 1980	     1	     3	    0.377	     14.883	     24.182	     76.920	      1.603	     18.809	    2.429	    4.564	    5.461	    3.868
 1980	     1	     4	    0.179	     14.206	     25.201	     79.264	      1.302	     21.076	    3.324	    5.084	    6.064	    4.354
 1980	     1	     5	    0.161	     14.628	     25.133	     74.852	      1.994	     26.419	    4.560	    6.096	    7.479	    5.483
 1980	     1	     6	    0.147	     12.958	     25.633	     75.603	      1.811	     28.749	    4.637	    6.635	    8.013	    5.874
 1980	     1	     7	    1.778	     15.762	     26.009	     78.988	      1.927	     22.754	    3.852	    5.534	    6.615	    4.848
 1980	     1	     8	    3.426	     17.605	     25.560	     81.410	      1.811	     15.565	    3.324	    4.038	    4.742	    3.376
 1980	     1	     9	    2.339	     17.836	     26.265	     80.831	      1.774	     15.746	    2.960	    4.147	    4.817	    3.456
 1980	     1	    10	    2.313	     17.376	     24.101	     85.416	      1.791	     13.831	    2.763	    3.540	    4.235	    2.936
 1980	     1	    11	    4.394	     17.144	     26.579	     86.788	      1.611	     14.007	    3.166	    3.877	    4.332	    3.060
 1980	     1	    12	   18.156	     16.999	     22.628	     87.968	      1.066	     12.670	    2.892	    3.138	    3.884	    2.625
 1980	     1	    13	   34.495	     16.690	     20.346	     92.740	      1.232	      9.117	    1.689	    2.304	    2.916	    1.824
 1980	     1	    14	   18.035	     16.155	     23.719	     87.395	      2.555	     15.606	    3.091	    3.950	    4.655	    3.244
 1980	     1	    15	    5.659	     15.890	     22.269	     89.635	      2.095	     11.493	    2.153	    3.021	    3.543	    2.335
 1980	     1	    16	   18.709	     16.879	     19.913	     96.558	      1.626	      7.521	    1.256	    1.967	    2.507	    1.500
 1980	     1	    17	   29.540	     17.795	     23.143	     92.665	      1.667	     10.776	    2.523	    2.833	    3.414	    2.271
 1980	     1	    18	   21.065	     17.919	     23.212	     91.198	      1.407	     10.176	    2.137	    2.704	    3.259	    2.150
 1980	     1	    19	    9.962	     17.115	     26.622	     82.206	      1.742	     20.448	    4.685	    5.109	    6.077	    4.468
 1980	     1	    20	    3.731	     17.956	     28.560	     81.187	      1.544	     21.348	    4.580	    5.477	    6.431	    4.828
 1980	     1	    21	    3.401	     17.657	     28.049	     83.151	      1.300	     21.249	    4.651	    5.352	    6.372	    4.758
 1980	     1	    22	    8.249	     17.214	     26.865	     85.783	      1.039	     16.963	    3.200	    4.339	    5.142	    3.723
 1980	     1	    23	   16.097	     16.671	     27.715	     82.808	      1.361	     20.448	    4.573	    5.205	    6.099	    4.504
 1980	     1	    24	    8.092	     17.813	     28.137	     81.777	      1.582	     18.511	    3.917	    4.885	    5.624	    4.157
 1980	     1	    25	    9.370	     18.378	     25.849	     87.451	      1.576	     14.826	    2.988	    3.856	    4.568	    3.259
 1980	     1	    26	   16.904	     18.054	     26.026	     85.886	      1.948	     15.240	    3.581	    4.028	    4.675	    3.344
 1980	     1	    27	   13.159	     18.463	     26.089	     88.546	      1.526	     14.902	    2.618	    3.887	    4.595	    3.289
 1980	     1	    28	   11.248	     18.566	     27.908	     84.600	      1.345	     17.099	    3.253	    4.489	    5.249	    3.865
 1980	     1	    29	    4.897	     18.465	     25.238	     87.356	      2.270	     15.365	    3.126	    3.929	    4.699	    3.356
 1980	     1	    30	    2.805	     14.977	     25.393	     77.411	      1.778	     24.208	    4.237	    5.710	    6.921	    5.065
 1980	     1	    31	    0.319	     16.092	     26.676	     82.467	      1.160	     20.752	    4.029	    5.111	    6.113	    4.479
 1980	     2	     1	    7.713	     18.205	     26.590	     86.307	      1.526	     15.819	    2.971	    4.136	    4.849	    3.503
 1980	     2	     2	   22.264	     18.603	     26.593	     88.901	      1.052	     13.518	    3.113	    3.583	    4.229	    3.008
 1980	     2	     3	    4.602	     18.875	     27.205	     81.741	      2.972	     19.115	    3.661	    4.967	    5.793	    4.300
 1980	     2	     4	    0.421	     16.606	     25.698	     77.688	      2.018	     23.955	    3.877	    5.650	    6.949	    5.140
 1980	     2	     5	    0.017	     14.591	     27.451	     74.039	      1.627	     28.633	    4.892	    6.829	    8.181	    6.122
 1980	     2	     6	    0.007	     16.504	     28.797	     74.216	      0.610	     26.398	    4.577	    6.322	    7.760	    5.882
 1980	     2	     7	    0.823	     18.362	     30.346	     72.858	      1.046	     25.618	    4.771	    6.421	    7.712	    5.948
 1980	     2	     8	    1.520	     18.468	     28.319	     76.318	      1.519	     23.271	    4.383	    5.782	    6.967	    5.280
 1980	     2	     9	    1.387	     17.066	     26.796	     77.393	      1.881	     23.616	    4.264	    5.731	    6.928	    5.168
 1980	     2	    10	    1.057	     18.204	     26.746	     75.861	      2.222	     21.720	    4.094	    5.334	    6.461	    4.818
 1980	     2	    11	    0.129	     17.202	     27.510	     74.226	      2.000	     22.770	    4.152	    5.700	    6.735	    5.036
 1980	     2	    12	    1.217	     17.125	     28.322	     71.480	      1.645	     22.922	    3.908	    5.797	    6.807	    5.116
 1980	     2	    13	    5.495	     17.445	     25.583	     84.958	      1.147	     11.804	    2.452	    3.222	    3.714	    2.556
 1980	     2	    14	    4.147	     16.151	     25.357	     77.617	      1.699	     15.790	    3.066	    4.116	    4.736	    3.353
 1980	     2	    15	    5.142	     15.122	     24.801	     81.959	      1.742	     19.183	    3.564	    4.709	    5.571	    3.990
 1980	     2	    16	    8.953	     16.059	     23.637	     88.003	      1.415	     10.388	    1.961	    2.889	    3.276	    2.154
 1980	     2	    17	   10.585	     15.845	     23.836	     85.960	      1.427	     13.074	    2.343	    3.409	    3.973	    2.710
 1980	     2	    18	    7.496	     16.506	     23.441	     87.760	      2.009	     12.582	    2.760	    3.304	    3.852	    2.618
 1980	     2	    19	    8.491	     16.611	     24.770	     84.897	      1.572	     15.481	    3.280	    3.935	    4.649	    3.282
 1980	     2	    20	    9.934	     15.920	     25.026	     82.872	      1.402	     17.906	    3.609	    4.419	    5.272	    3.775
 1980	     2	    21	   10.198	     17.817	     27.125	     82.484	      1.803	     17.434	    3.534	    4.574	    5.279	    3.867
 1980	     2	    22	    7.891	     18.025	     25.756	     84.594	      2.070	     14.878	    3.262	    3.930	    4.554	    3.253
 1980	     2	    23	    4.552	     16.592	     27.147	     81.643	      1.320	     20.456	    3.997	    5.113	    6.053	    4.470
 1980	     2	    24	    0.612	     17.416	     26.759	     78.296	      1.330	     21.888	    3.772	    5.312	    6.458	    4.809
 1980	     2	    25	    1.276	     17.559	     26.875	     80.748	      1.484	     21.342	    3.922	    5.235	    6.320	    4.704
 1980	     2	    26	    1.944	     17.190	     27.107	     78.965	      1.416	     20.936	    3.952	    5.193	    6.202	    4.607
 1980	     2	    27	    1.162	     17.088	     26.720	     77.755	      1.835	     21.326	    3.964	    5.278	    6.286	    4.664
 1980	     2	    28	    0.555	     17.217	     26.847	     76.953	      1.825	     23.293	    4.448	    5.650	    6.828	    5.110
 1980	     2	    29	    0.229	     17.709	     27.003	     77.455	      1.880	     24.610	    4.484	    5.896	    7.214	    5.443
 1980	     3	     1	    0.101	     17.162	     27.581	     77.054	      1.607	     24.171	    4.612	    5.900	    7.094	    5.348
 1980	     3	     2	    0.307	     17.895	     25.890	     78.595	      1.534	     19.949	    3.729	    4.826	    5.910	    4.361
 1980	     3	     3	    0.190	     17.409	     26.546	     78.572	      1.380	     20.109	    3.770	    4.944	    5.958	    4.406
 1980	     3	     4	    1.490	     17.036	     26.178	     77.239	      1.480	     20.396	    3.566	    4.979	    6.004	    4.427
 1980	     3	     5	    0.645	     16.695	     25.936	     77.713	      1.593	     21.423	    4.040	    5.164	    6.252	    4.616
 1980	     3	     6	    0.038	     16.691	     26.859	     73.047	      1.705	     24.766	    4.353	    5.928	    7.188	    5.398
 1980	     3	     7	    0.174	     15.988	     27.151	     73.761	      1.402	     23.914	    3.720	    5.792	    6.936	    5.186
 1980	     3	     8	    0.001	     15.727	     28.749	     69.209	      1.292	     24.074	    3.815	    6.018	    7.042	    5.309
 1980	     3	     9	    0.138	     16.448	     28.855	     71.767	      1.225	     24.243	    4.039	    6.025	    7.126	    5.402
 1980	     3	    10	    0.876	     16.988	     28.730	     72.375	      1.283	     22.532	    4.003	    5.673	    6.676	    5.046
 1980	     3	    11	    2.413	     17.077	     28.345	     75.398	      1.201	     20.428	    4.706	    5.189	    6.087	    4.558
 1980	     3	    12	   12.402	     17.971	     26.966	     80.385	      1.301	     16.415	    3.504	    4.241	    4.980	    3.641
 1980	     3	    13	    7.737	     18.090	     26.356	     83.975	      1.685	     15.401	    3.409	    4.036	    4.690	    3.395
 1980	     3	    14	   13.839	     17.468	     26.976	     82.130	      1.567	     16.807	    4.115	    4.393	    5.067	    3.705
 1980	     3	    15	   15.247	     18.014	     26.184	     84.846	      1.294	     13.863	    2.892	    3.659	    4.266	    3.046
 1980	     3	    16	    7.735	     17.719	     26.405	     78.966	      1.889	     20.860	    4.473	    5.094	    6.145	    4.580
 1980	     3	    17	    0.142	     16.181	     26.380	     78.330	      1.377	     19.663	    2.948	    4.871	    5.759	    4.232
 1980	     3	    18	    1.494	     16.537	     26.074	     82.216	      1.330	     17.801	    2.823	    4.461	    5.266	    3.834
 1980	     3	    19	    1.086	     16.458	     25.885	     79.230	      1.491	     19.025	    3.456	    4.695	    5.578	    4.084
 1980	     3	    20	    0.063	     15.056	     26.305	     73.962	      1.308	     22.518	    3.546	    5.411	    6.452	    4.773
 1980	     3	    21	    0.000	     15.791	     27.548	     70.750	      1.044	     22.391	    3.544	    5.458	    6.509	    4.868
 1980	     3	    22	    0.003	     16.029	     28.240	     70.809	      0.980	     23.001	    3.796	    5.630	    6.713	    5.059
 1980	     3	    23	    0.003	     16.706	     27.982	     72.130	      1.122	     22.385	    3.557	    5.503	    6.564	    4.950
 1980	     3	    24	    0.009	     16.453	     27.500	     72.100	      1.223	     19.860	    3.140	    4.989	    5.851	    4.351
 1980	     3	    25	    0.000	     15.934	     27.524	     69.724	      1.425	     23.579	    3.851	    5.759	    6.822	    5.134
 1980	     3	    26	    0.000	     15.928	     27.791	     69.921	      1.430	     22.791	    3.493	    5.648	    6.621	    4.979
 1980	     3	    27	    0.007	     16.242	     28.169	     68.658	      0.925	     21.616	    3.407	    5.322	    6.335	    4.763
 1980	     3	    28	    0.001	     16.369	     28.322	     66.839	      0.987	     20.667	    3.224	    5.165	    6.088	    4.570
 1980	     3	    29	    0.030	     15.936	     28.344	     70.383	      1.459	     19.779	    2.903	    5.160	    5.830	    4.351
 1980	     3	    30	    2.584	     16.153	     28.123	     76.230	      1.015	     18.118	    3.264	    4.658	    5.382	    3.985
 1980	     3	    31	    6.535	     16.009	     25.865	     86.390	      1.758	     14.879	    2.696	    4.003	    4.447	    3.175
 1980	     4	     1	    2.075	     15.110	     24.415	     80.217	      1.682	     14.935	    2.263	    3.856	    4.391	    3.090
 1980	     4	     2	    3.523	     15.612	     23.842	     87.406	      1.561	     11.176	    2.616	    3.075	    3.428	    2.310
 1980	     4	     3	   18.332	     16.464	     22.456	     91.241	      1.388	      8.522	    2.059	    2.381	    2.745	    1.749
 1980	     4	     4	   11.538	     16.743	     24.030	     88.889	      1.585	     10.153	    2.359	    2.846	    3.190	    2.136
 1980	     4	     5	   28.291	     16.647	     22.138	     90.368	      1.572	      8.642	    2.535	    2.377	    2.771	    1.770
 1980	     4	     6	   13.953	     15.911	     21.806	     90.178	      1.070	      9.767	    2.353	    2.532	    3.034	    1.972
 1980	     4	     7	    6.915	     16.019	     23.207	     88.019	      1.815	     12.234	    2.680	    3.189	    3.686	    2.521
 1980	     4	     8	    3.480	     16.848	     24.295	     90.447	      1.376	     10.343	    2.375	    2.860	    3.240	    2.186
 1980	     4	     9	    9.994	     16.526	     26.618	     85.845	      0.870	     14.497	    2.974	    3.745	    4.365	    3.144
 1980	     4	    10	    6.515	     17.083	     26.591	     86.237	      1.251	     13.505	    3.161	    3.639	    4.115	    2.949
 1980	     4	    11	    3.702	     18.070	     26.657	     85.831	      1.440	     13.569	    2.957	    3.652	    4.157	    3.002
 1980	     4	    12	    2.516	     17.437	     27.232	     83.257	      1.603	     16.760	    3.518	    4.389	    5.005	    3.705
 1980	     4	    13	    5.024	     17.942	     26.145	     85.715	      1.309	     13.685	    3.570	    3.594	    4.169	    3.003
 1980	     4	    14	    7.594	     17.165	     25.923	     85.883	      1.180	     13.201	    2.649	    3.488	    4.014	    2.861
 1980	     4	    15	    6.506	     17.348	     25.694	     85.433	      1.585	     12.789	    2.774	    3.463	    3.903	    2.770
 1980	     4	    16	    3.277	     16.389	     21.530	     90.903	      1.729	      9.150	    1.916	    2.418	    2.870	    1.853
 1980	     4	    17	    0.572	     16.161	     21.097	     88.373	      2.399	     11.540	    2.551	    2.793	    3.448	    2.316
 1980	     4	    18	    2.008	     16.131	     22.202	     86.542	      2.509	     11.866	    2.556	    3.023	    3.552	    2.416
 1980	     4	    19	    0.153	     14.903	     23.149	     79.547	      1.746	     19.507	    3.306	    4.451	    5.447	    3.957
 1980	     4	    20	    0.019	     13.889	     24.053	     82.060	      1.252	     18.531	    2.963	    4.380	    5.195	    3.753
 1980	     4	    21	    0.019	     13.949	     23.486	     81.199	      1.472	     16.037	    2.119	    3.917	    4.554	    3.226
 1980	     4	    22	    0.051	     13.903	     23.962	     81.747	      1.772	     18.566	    2.523	    4.458	    5.195	    3.756
 1980	     4	    23	    0.379	     14.425	     23.394	     79.910	      1.847	     16.677	    2.081	    4.042	    4.721	    3.372
 1980	     4	    24	    0.250	     12.735	     22.543	     82.600	      1.515	     15.298	    1.655	    3.733	    4.288	    2.986
 1980	     4	    25	    0.207	     13.409	     21.433	     82.694	      1.738	     15.075	    1.884	    3.552	    4.218	    2.924
 1980	     4	    26	    0.115	     13.025	     21.796	     79.915	      1.741	     16.183	    1.990	    3.797	    4.480	    3.138
 1980	     4	    27	    0.406	     14.608	     23.569	     80.601	      1.750	     14.930	    2.270	    3.744	    4.289	    3.034
 1980	     4	    28	    0.103	     14.448	     22.887	     81.694	      1.605	     17.179	    2.746	    4.017	    4.813	    3.451
 1980	     4	    29	    0.317	     14.404	     22.788	     85.168	      1.619	     11.878	    1.574	    3.121	    3.503	    2.381
 1980	     4	    30	    2.449	     14.752	     24.220	     83.119	      1.259	     15.539	    2.247	    3.826	    4.459	    3.191
 1980	     5	     1	    0.369	     12.820	     24.576	     82.744	      1.382	     16.698	    2.237	    4.169	    4.686	    3.357
 1980	     5	     2	    1.741	     15.015	     25.371	     83.775	      1.559	     11.977	    1.932	    3.392	    3.596	    2.506
 1980	     5	     3	    1.825	     16.169	     22.822	     87.392	      1.548	      8.904	    1.794	    2.497	    2.800	    1.829
