CABra ID  	 435
ANA ID    	 61115000
Longitude 	 -36.218   	 dd
Latitude  	 -9.169    	 dd
Area      	 802.3866  	 km²
Elevation 	 625.547   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   13.903	     17.690	     23.706	     90.788	      2.280	     10.586	    2.516	    2.927	    3.365	    2.245
 1980	     1	     2	   19.888	     16.174	     21.586	     84.520	      1.688	     10.669	    1.437	    2.741	    3.317	    2.156
 1980	     1	     3	    0.467	     15.282	     24.157	     78.918	      1.561	     17.089	    1.800	    4.222	    5.015	    3.532
 1980	     1	     4	    0.191	     14.450	     25.319	     80.717	      1.295	     20.976	    3.172	    5.063	    6.039	    4.354
 1980	     1	     5	    0.037	     14.800	     25.304	     75.384	      1.931	     25.673	    4.066	    5.971	    7.284	    5.352
 1980	     1	     6	    0.011	     13.523	     25.990	     74.638	      1.791	     27.937	    4.348	    6.521	    7.840	    5.779
 1980	     1	     7	    1.275	     16.111	     26.171	     78.774	      1.846	     22.623	    4.077	    5.499	    6.588	    4.852
 1980	     1	     8	    2.920	     17.541	     25.619	     82.247	      1.682	     15.822	    3.554	    4.074	    4.800	    3.432
 1980	     1	     9	    1.381	     17.927	     26.377	     81.101	      1.774	     17.271	    3.563	    4.434	    5.226	    3.801
 1980	     1	    10	    2.364	     17.664	     24.334	     84.486	      1.636	     13.625	    2.635	    3.494	    4.183	    2.912
 1980	     1	    11	    5.025	     16.993	     26.520	     87.578	      1.423	     14.327	    3.292	    3.888	    4.403	    3.121
 1980	     1	    12	   16.516	     17.235	     22.805	     88.436	      1.037	     13.115	    3.221	    3.220	    4.001	    2.732
 1980	     1	    13	   33.953	     16.908	     20.572	     93.168	      0.993	      8.434	    1.378	    2.184	    2.742	    1.697
 1980	     1	    14	   22.911	     16.565	     23.705	     87.645	      2.324	     14.380	    2.566	    3.681	    4.335	    3.005
 1980	     1	    15	    4.350	     16.300	     22.457	     90.150	      2.029	     10.698	    2.107	    2.869	    3.343	    2.191
 1980	     1	    16	   17.499	     17.174	     20.086	     96.707	      1.659	      7.559	    1.297	    1.965	    2.517	    1.517
 1980	     1	    17	   32.027	     18.005	     23.477	     91.496	      1.581	     11.311	    2.887	    2.944	    3.558	    2.401
 1980	     1	    18	   21.309	     18.084	     23.389	     90.757	      1.221	      9.820	    1.943	    2.626	    3.163	    2.084
 1980	     1	    19	    9.590	     17.232	     26.856	     82.411	      1.562	     21.048	    4.837	    5.214	    6.240	    4.619
 1980	     1	    20	    4.361	     17.842	     28.706	     81.767	      1.453	     21.484	    4.677	    5.501	    6.456	    4.860
 1980	     1	    21	    4.455	     17.483	     28.295	     84.215	      1.180	     21.741	    4.790	    5.450	    6.496	    4.873
 1980	     1	    22	    5.943	     17.568	     27.240	     85.248	      0.858	     18.041	    3.764	    4.530	    5.447	    3.995
 1980	     1	    23	   16.538	     17.026	     27.900	     82.590	      1.214	     20.358	    4.676	    5.154	    6.082	    4.515
 1980	     1	    24	    8.733	     17.876	     28.105	     82.901	      1.480	     18.676	    4.054	    4.879	    5.658	    4.196
 1980	     1	    25	    6.219	     18.167	     26.018	     88.719	      1.526	     15.318	    3.239	    3.969	    4.689	    3.366
 1980	     1	    26	   15.318	     18.291	     26.431	     85.144	      1.843	     15.497	    3.668	    4.095	    4.751	    3.428
 1980	     1	    27	    9.971	     18.767	     26.311	     88.384	      1.489	     14.474	    2.343	    3.803	    4.482	    3.216
 1980	     1	    28	   11.073	     18.694	     28.236	     84.526	      1.247	     17.950	    3.620	    4.661	    5.487	    4.080
 1980	     1	    29	    5.404	     18.656	     25.681	     88.195	      2.140	     16.136	    3.334	    4.105	    4.915	    3.552
 1980	     1	    30	    2.860	     15.539	     25.509	     79.472	      1.785	     22.000	    3.468	    5.300	    6.357	    4.644
 1980	     1	    31	    1.574	     16.241	     26.804	     83.152	      1.047	     20.383	    3.783	    5.018	    6.011	    4.415
 1980	     2	     1	    8.560	     18.314	     26.824	     85.958	      1.431	     16.408	    3.245	    4.249	    5.009	    3.649
 1980	     2	     2	   20.478	     18.687	     26.874	     88.974	      0.872	     14.141	    3.542	    3.686	    4.398	    3.161
 1980	     2	     3	    5.918	     19.205	     27.708	     80.030	      2.749	     19.002	    4.053	    4.984	    5.777	    4.318
 1980	     2	     4	    0.122	     16.948	     26.000	     77.510	      1.846	     23.855	    3.828	    5.642	    6.937	    5.160
 1980	     2	     5	    0.074	     15.173	     27.770	     73.937	      1.497	     28.651	    4.974	    6.832	    8.222	    6.197
 1980	     2	     6	    0.007	     16.191	     29.024	     75.028	      0.619	     26.266	    4.377	    6.303	    7.702	    5.846
 1980	     2	     7	    0.892	     18.282	     30.563	     73.766	      0.985	     25.934	    4.801	    6.486	    7.791	    6.031
 1980	     2	     8	    1.666	     18.752	     28.682	     76.408	      1.475	     22.977	    4.489	    5.747	    6.898	    5.254
 1980	     2	     9	    2.147	     17.324	     27.025	     77.958	      1.872	     23.100	    4.130	    5.649	    6.795	    5.086
 1980	     2	    10	    0.842	     18.388	     26.945	     75.806	      2.154	     21.998	    4.276	    5.392	    6.539	    4.903
 1980	     2	    11	    0.159	     17.081	     27.485	     75.014	      1.940	     22.370	    3.957	    5.612	    6.604	    4.939
 1980	     2	    12	    0.971	     16.990	     28.425	     72.526	      1.499	     23.248	    4.006	    5.840	    6.880	    5.187
 1980	     2	    13	    7.363	     17.558	     26.006	     84.948	      0.975	     12.705	    2.996	    3.385	    3.958	    2.770
