CABra ID  	 43
ANA ID    	 17730000
Longitude 	 -68.538   	 dd
Latitude  	 0.13      	 dd
Area      	 45937.3986	 km²
Elevation 	 197.8982  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   16.277	     20.655	     28.562	     83.301	      0.893	     15.688	    3.736	    4.005	    4.795	    3.655
 1980	     1	     2	    9.407	     20.860	     29.825	     83.022	      0.649	     20.101	    4.194	    4.968	    6.068	    4.767
 1980	     1	     3	   10.307	     21.079	     30.192	     84.388	      0.681	     19.185	    4.361	    4.814	    5.838	    4.588
 1980	     1	     4	   12.756	     21.505	     30.897	     83.664	      0.741	     18.547	    4.039	    4.736	    5.695	    4.499
 1980	     1	     5	   14.804	     21.798	     30.228	     84.178	      0.944	     16.844	    5.085	    4.365	    5.198	    4.065
 1980	     1	     6	   13.302	     21.496	     29.767	     83.626	      1.042	     16.461	    4.180	    4.278	    5.069	    3.939
 1980	     1	     7	    7.912	     21.792	     29.383	     85.766	      0.989	     15.229	    3.959	    3.965	    4.723	    3.640
 1980	     1	     8	   12.733	     21.557	     29.373	     85.861	      0.608	     16.163	    4.294	    4.087	    4.979	    3.855
 1980	     1	     9	   14.365	     21.943	     29.861	     84.174	      0.686	     15.186	    4.345	    3.931	    4.729	    3.660
 1980	     1	    10	   25.340	     21.750	     28.527	     90.057	      0.731	     12.232	    4.369	    3.235	    3.872	    2.897
 1980	     1	    11	   17.604	     21.536	     27.725	     89.384	      0.795	     10.159	    3.218	    2.769	    3.279	    2.377
 1980	     1	    12	   18.750	     21.645	     28.682	     90.771	      0.913	     12.450	    3.773	    3.332	    3.930	    2.950
 1980	     1	    13	   18.300	     21.612	     29.132	     87.107	      0.953	     14.428	    4.054	    3.787	    4.491	    3.435
 1980	     1	    14	    7.697	     21.365	     30.006	     82.259	      0.957	     17.225	    4.017	    4.449	    5.292	    4.131
 1980	     1	    15	   10.738	     21.684	     29.781	     86.328	      1.053	     16.363	    3.943	    4.261	    5.053	    3.930
 1980	     1	    16	   10.245	     21.549	     29.590	     87.221	      0.895	     16.207	    3.721	    4.180	    4.999	    3.875
 1980	     1	    17	   12.340	     21.650	     29.674	     87.135	      0.920	     14.908	    3.615	    3.921	    4.636	    3.571
 1980	     1	    18	    9.449	     21.657	     29.850	     85.967	      1.104	     16.254	    4.494	    4.251	    5.019	    3.902
 1980	     1	    19	    7.540	     21.860	     29.896	     87.335	      1.073	     15.265	    4.109	    4.042	    4.747	    3.672
 1980	     1	    20	   11.623	     21.733	     30.420	     83.542	      0.993	     18.591	    4.438	    4.766	    5.697	    4.494
 1980	     1	    21	    5.648	     21.699	     31.048	     82.529	      0.649	     19.746	    4.607	    4.975	    6.043	    4.806
 1980	     1	    22	    5.411	     21.923	     31.652	     82.951	      1.156	     21.116	    5.090	    5.462	    6.464	    5.188
 1980	     1	    23	    7.811	     22.158	     30.519	     83.248	      1.171	     17.987	    4.215	    4.679	    5.546	    4.379
 1980	     1	    24	    7.618	     22.038	     31.030	     84.624	      1.110	     19.318	    4.163	    4.997	    5.936	    4.722
 1980	     1	    25	   13.564	     21.998	     30.888	     83.156	      0.838	     17.072	    5.181	    4.439	    5.283	    4.161
 1980	     1	    26	    6.038	     21.891	     32.012	     79.682	      0.739	     19.359	    5.035	    4.992	    5.966	    4.773
 1980	     1	    27	    9.833	     22.440	     31.063	     83.542	      0.869	     17.195	    4.080	    4.474	    5.335	    4.220
 1980	     1	    28	   18.851	     22.140	     29.896	     86.438	      0.725	     14.167	    4.850	    3.710	    4.442	    3.420
 1980	     1	    29	   12.508	     21.873	     29.683	     88.076	      0.782	     15.140	    4.024	    3.927	    4.708	    3.637
 1980	     1	    30	   15.553	     22.226	     28.715	     88.778	      0.911	     12.608	    4.038	    3.337	    3.984	    3.006
 1980	     1	    31	   11.434	     22.120	     29.953	     86.737	      1.024	     14.680	    4.720	    3.895	    4.586	    3.545
 1980	     2	     1	   19.955	     21.920	     29.798	     87.338	      0.830	     13.972	    4.784	    3.701	    4.380	    3.361
 1980	     2	     2	    8.769	     22.258	     30.408	     87.526	      0.962	     14.163	    3.851	    3.812	    4.451	    3.444
 1980	     2	     3	    8.107	     22.179	     30.799	     86.598	      0.907	     17.469	    4.553	    4.528	    5.400	    4.263
 1980	     2	     4	   13.578	     22.343	     29.825	     87.892	      1.182	     14.433	    4.236	    3.877	    4.523	    3.493
 1980	     2	     5	    9.370	     22.245	     30.177	     84.198	      1.161	     15.781	    4.205	    4.173	    4.908	    3.829
 1980	     2	     6	    7.121	     22.171	     31.800	     81.613	      1.055	     20.751	    5.021	    5.347	    6.368	    5.120
 1980	     2	     7	   13.472	     22.311	     30.558	     81.997	      0.827	     18.238	    4.909	    4.645	    5.620	    4.450
 1980	     2	     8	   18.107	     22.246	     30.312	     84.384	      0.761	     16.040	    5.317	    4.150	    4.987	    3.902
 1980	     2	     9	   14.105	     22.476	     29.900	     85.805	      0.828	     14.870	    4.017	    3.878	    4.648	    3.605
 1980	     2	    10	    5.282	     22.566	     31.601	     82.819	      1.154	     18.253	    4.445	    4.818	    5.655	    4.513
 1980	     2	    11	   13.427	     22.218	     30.027	     85.509	      0.855	     16.142	    4.089	    4.170	    5.007	    3.909
 1980	     2	    12	   10.443	     22.517	     29.546	     87.331	      1.237	     14.087	    3.898	    3.761	    4.419	    3.403
 1980	     2	    13	   18.510	     22.328	     28.650	     89.006	      0.880	     12.837	    4.406	    3.371	    4.049	    3.064
