CABra ID  	 451
ANA ID    	 61800500
Longitude 	 -45.078   	 dd
Latitude  	 -16.657   	 dd
Area      	 107832.3303	 km²
Elevation 	 795.3797  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   16.715	     17.261	     22.045	     91.152	      2.102	     12.393	    2.623	    3.035	    3.812	    2.556
 1980	     1	     2	    0.354	     13.450	     23.404	     71.593	      1.221	     23.095	    4.019	    5.242	    6.472	    4.608
 1980	     1	     3	    0.324	     11.889	     23.837	     71.213	      1.144	     25.535	    3.771	    5.743	    7.026	    5.016
 1980	     1	     4	    0.024	     12.044	     25.683	     69.156	      1.124	     26.847	    4.037	    6.210	    7.479	    5.422
 1980	     1	     5	    0.001	     15.080	     26.469	     67.987	      1.710	     25.973	    4.128	    6.199	    7.471	    5.518
 1980	     1	     6	    0.000	     14.281	     25.711	     67.294	      2.292	     28.623	    4.856	    6.627	    8.081	    5.959
 1980	     1	     7	    0.329	     15.039	     25.655	     75.492	      2.119	     20.370	    4.172	    5.132	    5.943	    4.280
 1980	     1	     8	   10.816	     16.609	     24.200	     85.256	      1.356	     14.681	    3.278	    3.711	    4.447	    3.089
 1980	     1	     9	   17.283	     16.649	     22.930	     90.122	      1.417	     11.765	    3.039	    3.044	    3.651	    2.436
 1980	     1	    10	   23.308	     17.268	     22.553	     91.302	      2.083	     13.430	    3.454	    3.283	    4.094	    2.790
 1980	     1	    11	   35.715	     16.821	     23.696	     88.660	      1.465	     14.271	    3.393	    3.580	    4.331	    2.992
 1980	     1	    12	   18.886	     15.977	     23.451	     86.490	      0.884	     14.031	    3.368	    3.483	    4.237	    2.899
 1980	     1	    13	    8.922	     16.087	     23.306	     86.300	      1.583	     16.233	    3.832	    3.935	    4.811	    3.353
 1980	     1	    14	    6.499	     14.954	     23.652	     82.206	      2.507	     18.491	    3.457	    4.517	    5.367	    3.779
 1980	     1	    15	    2.151	     14.114	     23.796	     78.630	      2.089	     18.082	    2.844	    4.490	    5.233	    3.661
 1980	     1	    16	   10.764	     15.927	     23.512	     87.209	      2.140	     13.345	    3.165	    3.518	    4.057	    2.758
 1980	     1	    17	   17.671	     16.754	     21.524	     93.887	      1.385	      9.043	    1.725	    2.402	    2.921	    1.840
 1980	     1	    18	   32.803	     17.124	     21.442	     92.989	      1.766	     10.280	    2.568	    2.599	    3.246	    2.100
 1980	     1	    19	   11.902	     16.835	     22.513	     87.543	      1.754	     15.589	    3.871	    3.681	    4.641	    3.218
 1980	     1	    20	    4.141	     16.964	     25.839	     82.059	      1.454	     23.032	    5.188	    5.463	    6.744	    4.973
 1980	     1	    21	   11.821	     16.703	     26.350	     86.948	      0.969	     16.281	    3.863	    4.159	    4.932	    3.527
 1980	     1	    22	   14.051	     16.545	     23.786	     85.492	      1.117	     13.759	    2.978	    3.469	    4.188	    2.877
 1980	     1	    23	   15.129	     15.611	     25.395	     81.786	      1.204	     23.914	    5.192	    5.589	    6.890	    5.045
 1980	     1	    24	   15.669	     17.695	     26.316	     83.714	      1.094	     18.018	    4.305	    4.491	    5.434	    3.950
 1980	     1	    25	   22.965	     18.045	     25.180	     88.748	      1.112	     13.390	    3.159	    3.468	    4.160	    2.907
 1980	     1	    26	   18.226	     17.510	     24.339	     90.305	      1.202	     12.816	    3.059	    3.313	    3.975	    2.734
 1980	     1	    27	   13.203	     17.783	     24.934	     87.578	      1.566	     16.683	    2.559	    4.126	    5.032	    3.598
 1980	     1	    28	    1.667	     17.645	     26.380	     82.764	      1.064	     20.219	    4.805	    4.926	    6.031	    4.434
