CABra ID  	 460
ANA ID    	 61912000
Longitude 	 -45.416   	 dd
Latitude  	 -16.283   	 dd
Area      	 24014.674 	 km²
Elevation 	 737.141   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.316	     17.883	     23.696	     85.302	      1.704	     14.137	    2.340	    3.480	    4.280	    3.013
 1980	     1	     2	    0.316	     15.038	     24.895	     68.458	      1.475	     24.926	    4.445	    5.686	    7.019	    5.183
 1980	     1	     3	    0.013	     13.306	     26.065	     67.242	      1.541	     27.761	    4.237	    6.433	    7.721	    5.734
 1980	     1	     4	    0.009	     13.694	     27.888	     63.925	      1.280	     26.798	    4.105	    6.465	    7.601	    5.698
 1980	     1	     5	    0.023	     17.036	     28.475	     63.795	      1.694	     25.735	    4.319	    6.338	    7.531	    5.751
 1980	     1	     6	    0.044	     17.170	     28.355	     61.388	      2.102	     27.946	    4.917	    6.780	    8.132	    6.242
 1980	     1	     7	    0.273	     17.454	     27.084	     72.075	      2.051	     19.681	    4.389	    5.034	    5.842	    4.341
 1980	     1	     8	    9.525	     18.320	     26.014	     79.786	      1.491	     15.270	    2.645	    3.927	    4.647	    3.361
 1980	     1	     9	    6.917	     18.608	     24.682	     87.741	      1.515	     12.997	    2.788	    3.330	    4.014	    2.824
 1980	     1	    10	   16.203	     19.290	     25.511	     85.192	      2.206	     16.543	    3.313	    4.091	    5.012	    3.672
 1980	     1	    11	   14.619	     18.748	     26.334	     84.511	      1.613	     16.866	    3.300	    4.263	    5.105	    3.754
 1980	     1	    12	   14.852	     17.825	     25.717	     83.113	      1.149	     16.182	    3.294	    4.040	    4.869	    3.528
 1980	     1	    13	    6.759	     17.489	     25.682	     80.475	      2.157	     20.446	    4.049	    4.949	    6.003	    4.447
 1980	     1	    14	    3.163	     16.958	     25.869	     74.581	      2.977	     21.394	    3.769	    5.251	    6.237	    4.629
 1980	     1	    15	    2.417	     16.244	     26.060	     73.965	      2.400	     19.920	    2.971	    5.043	    5.819	    4.276
 1980	     1	    16	    5.822	     17.320	     25.965	     81.125	      2.072	     16.453	    3.343	    4.290	    4.934	    3.579
 1980	     1	    17	    8.457	     18.763	     24.389	     89.433	      1.250	     12.318	    2.063	    3.146	    3.836	    2.683
 1980	     1	    18	   29.225	     18.831	     23.350	     89.717	      2.140	     11.065	    2.345	    2.824	    3.479	    2.372
 1980	     1	    19	   12.096	     18.618	     25.098	     84.180	      2.059	     17.227	    3.784	    4.191	    5.156	    3.767
 1980	     1	    20	    2.796	     18.906	     28.064	     79.918	      1.599	     23.324	    4.935	    5.715	    6.934	    5.303
 1980	     1	    21	   10.433	     18.901	     26.742	     86.152	      0.946	     15.261	    3.080	    3.887	    4.677	    3.414
 1980	     1	    22	   10.701	     18.494	     26.285	     82.478	      1.288	     16.183	    3.032	    4.092	    4.903	    3.583
 1980	     1	    23	    3.668	     17.785	     28.654	     75.932	      1.490	     24.717	    5.134	    6.103	    7.289	    5.583
 1980	     1	    24	    8.045	     19.560	     28.147	     78.635	      1.611	     20.067	    4.086	    5.070	    6.065	    4.610
 1980	     1	    25	   23.038	     19.403	     26.666	     86.713	      1.464	     14.447	    3.163	    3.780	    4.466	    3.252
 1980	     1	    26	   17.804	     19.495	     26.270	     87.462	      1.286	     12.990	    2.723	    3.428	    4.061	    2.913
 1980	     1	    27	   15.593	     19.515	     26.887	     85.866	      1.383	     15.851	    2.617	    4.059	    4.856	    3.579
 1980	     1	    28	    1.655	     18.953	     27.967	     81.571	      0.998	     20.564	    4.524	    5.071	    6.168	    4.675
 1980	     1	    29	    1.574	     18.216	     27.514	     75.105	      1.470	     23.615	    4.331	    5.703	    6.953	    5.288
 1980	     1	    30	    1.111	     17.510	     28.056	     72.138	      1.360	     24.445	    4.453	    5.948	    7.168	    5.459
 1980	     1	    31	    4.733	     19.307	     27.554	     80.976	      1.772	     18.999	    4.022	    4.802	    5.728	    4.306
 1980	     2	     1	   11.935	     19.493	     27.539	     85.077	      1.257	     16.924	    3.108	    4.332	    5.171	    3.859
 1980	     2	     2	    7.253	     19.889	     27.228	     82.848	      2.015	     17.575	    3.906	    4.468	    5.349	    4.003
 1980	     2	     3	    0.518	     18.441	     27.847	     74.934	      2.927	     22.994	    4.284	    5.781	    6.807	    5.189
 1980	     2	     4	    0.446	     17.413	     28.051	     73.914	      1.715	     24.524	    4.190	    6.023	    7.185	    5.477
 1980	     2	     5	    1.156	     18.024	     28.775	     71.090	      0.992	     25.398	    4.343	    6.147	    7.487	    5.764
 1980	     2	     6	    0.132	     18.630	     29.484	     71.732	      0.881	     24.984	    4.539	    6.105	    7.433	    5.758
 1980	     2	     7	    1.114	     19.030	     30.515	     72.052	      1.099	     24.204	    4.774	    6.110	    7.282	    5.679
 1980	     2	     8	    5.956	     19.886	     29.187	     79.077	      1.313	     17.798	    4.033	    4.673	    5.464	    4.151
 1980	     2	     9	    7.954	     20.098	     27.678	     78.302	      1.564	     15.542	    2.536	    4.072	    4.796	    3.561
 1980	     2	    10	    4.204	     19.879	     28.780	     74.770	      1.933	     21.110	    4.188	    5.372	    6.377	    4.900
 1980	     2	    11	   13.969	     20.122	     28.461	     78.006	      1.669	     19.672	    4.143	    4.999	    5.972	    4.562
 1980	     2	    12	   17.433	     19.752	     24.731	     88.701	      1.585	      8.469	    1.039	    2.411	    2.812	    1.867
 1980	     2	    13	   19.575	     19.034	     24.741	     85.592	      1.704	     12.113	    2.592	    3.150	    3.775	    2.643
 1980	     2	    14	    4.982	     18.095	     27.067	     77.053	      1.740	     23.147	    4.521	    5.571	    6.788	    5.150
 1980	     2	    15	    0.703	     16.116	     26.241	     72.657	      2.316	     22.010	    4.238	    5.417	    6.352	    4.723
 1980	     2	    16	    6.264	     17.706	     25.472	     74.225	      1.990	     15.452	    2.221	    3.981	    4.648	    3.354
 1980	     2	    17	    8.270	     17.737	     25.548	     81.498	      1.762	     18.549	    3.783	    4.526	    5.478	    4.037
 1980	     2	    18	   30.999	     17.701	     24.780	     88.198	      1.287	     14.125	    2.934	    3.565	    4.277	    3.041
 1980	     2	    19	   13.875	     17.148	     23.787	     84.362	      1.566	     15.279	    3.086	    3.714	    4.535	    3.221
 1980	     2	    20	    1.980	     15.957	     24.747	     78.252	      1.409	     18.556	    3.342	    4.467	    5.378	    3.906
 1980	     2	    21	    0.131	     14.037	     26.869	     74.240	      0.783	     21.392	    4.087	    5.143	    6.118	    4.514
 1980	     2	    22	    2.399	     17.922	     28.021	     78.121	      1.622	     20.827	    4.032	    5.261	    6.183	    4.682
 1980	     2	    23	   13.264	     18.278	     27.524	     80.508	      0.950	     18.161	    3.970	    4.540	    5.449	    4.071
 1980	     2	    24	    9.776	     18.302	     27.119	     80.528	      0.669	     17.505	    3.498	    4.312	    5.255	    3.902
 1980	     2	    25	    7.623	     17.596	     27.215	     80.774	      1.057	     18.942	    4.345	    4.703	    5.623	    4.192
 1980	     2	    26	    7.338	     17.893	     25.264	     84.497	      1.084	     13.391	    3.048	    3.435	    4.092	    2.904
 1980	     2	    27	   12.302	     18.458	     23.261	     90.121	      1.256	      8.498	    1.337	    2.320	    2.780	    1.809
 1980	     2	    28	   11.914	     18.807	     25.236	     84.937	      1.714	     12.500	    2.283	    3.299	    3.876	    2.745
 1980	     2	    29	    3.638	     19.129	     28.081	     77.781	      1.539	     21.958	    4.216	    5.402	    6.528	    5.001
 1980	     3	     1	    0.281	     18.073	     28.927	     71.031	      1.162	     24.315	    4.368	    5.958	    7.170	    5.533
 1980	     3	     2	    0.038	     18.768	     29.515	     68.405	      1.496	     24.391	    4.150	    6.094	    7.250	    5.635
 1980	     3	     3	    0.322	     18.545	     28.863	     72.139	      0.786	     21.437	    3.783	    5.278	    6.395	    4.905
 1980	     3	     4	    0.883	     18.287	     28.620	     73.343	      1.063	     22.285	    4.180	    5.489	    6.605	    5.067
 1980	     3	     5	    0.917	     18.687	     28.630	     70.547	      1.173	     23.557	    4.176	    5.751	    6.971	    5.382
 1980	     3	     6	    0.159	     18.001	     28.753	     70.415	      1.058	     22.972	    4.055	    5.645	    6.782	    5.212
 1980	     3	     7	    0.340	     18.039	     29.199	     67.429	      0.834	     23.039	    3.951	    5.650	    6.822	    5.260
 1980	     3	     8	    1.805	     18.474	     29.627	     69.429	      0.515	     22.242	    4.159	    5.427	    6.636	    5.130
 1980	     3	     9	    2.735	     18.697	     30.227	     70.127	      0.687	     22.174	    4.546	    5.513	    6.649	    5.164
 1980	     3	    10	    3.830	     18.626	     30.131	     74.913	      0.643	     21.473	    4.332	    5.345	    6.449	    4.997
 1980	     3	    11	    6.809	     18.952	     29.413	     77.694	      0.569	     20.588	    4.327	    5.079	    6.187	    4.769
 1980	     3	    12	    8.914	     18.658	     28.423	     82.195	      1.133	     19.424	    4.077	    4.899	    5.818	    4.431
 1980	     3	    13	    7.234	     18.833	     28.308	     84.349	      1.186	     18.851	    4.105	    4.773	    5.659	    4.298
 1980	     3	    14	   18.397	     18.629	     26.724	     84.944	      0.580	     14.972	    3.006	    3.740	    4.553	    3.344
 1980	     3	    15	   10.043	     18.686	     24.640	     90.029	      1.044	     10.066	    1.760	    2.686	    3.200	    2.187
 1980	     3	    16	   11.339	     18.645	     26.692	     84.723	      0.803	     14.731	    2.547	    3.724	    4.483	    3.285
 1980	     3	    17	    4.205	     18.750	     28.501	     76.817	      0.870	     20.696	    3.935	    5.091	    6.161	    4.724
 1980	     3	    18	    0.787	     18.505	     28.780	     77.853	      0.942	     19.611	    3.728	    4.917	    5.861	    4.477
 1980	     3	    19	    2.834	     18.104	     28.845	     76.948	      0.794	     21.396	    3.959	    5.253	    6.337	    4.868
 1980	     3	    20	    1.171	     18.562	     28.076	     73.480	      1.066	     21.263	    3.685	    5.198	    6.286	    4.819
