CABra ID  	 470
ANA ID    	 63900001
Longitude 	 -43.308   	 dd
Latitude  	 -15.75    	 dd
Area      	 1964.1238 	 km²
Elevation 	 767.5437  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.021	     14.808	     24.767	     66.692	      1.742	     30.643	    4.769	    6.648	    8.409	    6.344
 1980	     1	     2	    0.180	     14.408	     27.041	     64.677	      1.068	     29.250	    4.408	    6.703	    8.173	    6.206
 1980	     1	     3	    0.000	     16.322	     29.262	     61.842	      0.920	     28.084	    4.301	    6.712	    8.116	    6.279
 1980	     1	     4	    0.000	     17.466	     30.268	     57.890	      1.331	     28.851	    4.500	    7.088	    8.449	    6.621
 1980	     1	     5	    0.539	     19.138	     30.898	     59.416	      1.664	     26.551	    4.239	    6.753	    7.930	    6.262
 1980	     1	     6	    7.136	     20.409	     29.688	     72.330	      1.922	     20.709	    4.510	    5.393	    6.288	    4.888
 1980	     1	     7	   13.687	     20.362	     28.087	     82.044	      1.562	     17.157	    3.426	    4.415	    5.244	    3.971
 1980	     1	     8	   12.567	     20.607	     27.639	     84.012	      1.147	     18.084	    4.206	    4.482	    5.496	    4.176
 1980	     1	     9	    9.444	     20.688	     28.303	     86.214	      1.282	     19.203	    3.814	    4.790	    5.830	    4.474
 1980	     1	    10	    3.897	     20.553	     29.706	     80.998	      1.568	     23.458	    3.744	    5.865	    7.069	    5.547
 1980	     1	    11	    7.787	     19.951	     29.214	     80.246	      1.231	     25.026	    4.276	    6.089	    7.460	    5.842
 1980	     1	    12	    3.317	     20.134	     29.871	     77.769	      0.955	     25.516	    4.397	    6.224	    7.637	    6.016
 1980	     1	    13	    1.533	     19.767	     29.397	     74.831	      1.574	     25.705	    4.198	    6.300	    7.650	    6.001
 1980	     1	    14	    0.468	     20.008	     29.111	     72.048	      2.402	     25.042	    4.183	    6.198	    7.462	    5.843
 1980	     1	    15	    0.757	     20.434	     29.315	     73.086	      2.110	     24.605	    4.243	    6.093	    7.369	    5.783
 1980	     1	    16	    2.380	     20.542	     29.912	     76.128	      1.800	     24.190	    4.466	    6.073	    7.283	    5.733
 1980	     1	    17	    7.127	     19.090	     30.084	     78.770	      1.043	     22.784	    4.423	    5.728	    6.831	    5.319
 1980	     1	    18	   12.420	     20.248	     28.434	     82.177	      1.496	     20.670	    4.071	    5.140	    6.225	    4.798
