CABra ID  	 474
ANA ID    	 64362000
Longitude 	 -43.17    	 dd
Latitude  	 -15.983   	 dd
Area      	 279.2305  	 km²
Elevation 	 863.0718  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.808	     13.230	     25.002	     61.731	      1.726	     26.458	    3.737	    6.044	    7.297	    5.377
 1980	     1	     2	    0.077	     15.013	     25.962	     62.330	      1.277	     26.177	    3.690	    6.042	    7.389	    5.525
 1980	     1	     3	    0.005	     15.722	     28.275	     57.544	      1.054	     27.700	    4.182	    6.587	    7.964	    6.076
 1980	     1	     4	    0.057	     14.817	     29.376	     52.227	      1.029	     29.892	    4.682	    7.151	    8.566	    6.573
 1980	     1	     5	    0.062	     15.290	     29.051	     55.063	      2.252	     28.783	    4.204	    7.205	    8.272	    6.335
 1980	     1	     6	    2.084	     16.681	     29.519	     66.743	      1.701	     24.070	    4.208	    6.207	    7.090	    5.424
 1980	     1	     7	   24.528	     17.753	     26.706	     80.588	      0.781	     17.741	    4.317	    4.371	    5.305	    3.913
 1980	     1	     8	   15.333	     18.580	     25.221	     87.786	      0.707	     13.274	    2.678	    3.342	    4.089	    2.902
 1980	     1	     9	   13.714	     19.248	     26.614	     85.365	      0.913	     15.286	    2.600	    3.861	    4.683	    3.430
 1980	     1	    10	   12.579	     19.245	     27.556	     80.136	      1.362	     19.660	    3.249	    4.881	    5.907	    4.460
 1980	     1	    11	    2.364	     18.015	     28.349	     77.302	      0.688	     24.719	    4.454	    5.906	    7.277	    5.580
 1980	     1	    12	    2.877	     18.127	     27.453	     74.586	      1.436	     23.948	    4.210	    5.752	    7.028	    5.353
 1980	     1	    13	    1.752	     16.551	     26.552	     66.548	      2.988	     25.287	    4.070	    6.070	    7.263	    5.477
 1980	     1	    14	    0.188	     17.104	     27.182	     63.307	      3.515	     26.926	    4.374	    6.476	    7.769	    5.925
 1980	     1	    15	    1.084	     16.498	     26.313	     69.359	      2.969	     20.579	    2.713	    5.254	    6.002	    4.449
 1980	     1	    16	    1.098	     17.390	     27.688	     71.136	      2.077	     24.430	    4.200	    5.994	    7.134	    5.428
 1980	     1	    17	    5.899	     18.700	     27.901	     78.117	      1.240	     18.587	    3.319	    4.719	    5.603	    4.209
 1980	     1	    18	    7.147	     19.057	     26.436	     85.641	      0.799	     15.424	    3.600	    3.862	    4.708	    3.445
 1980	     1	    19	    5.057	     18.761	     27.538	     82.140	      1.477	     19.473	    3.700	    4.881	    5.835	    4.390
 1980	     1	    20	    5.311	     19.464	     27.728	     82.665	      1.213	     16.905	    3.051	    4.330	    5.160	    3.856
 1980	     1	    21	    6.723	     17.840	     28.065	     79.640	      0.783	     22.271	    3.931	    5.396	    6.581	    4.996
 1980	     1	    22	    4.193	     17.614	     28.481	     79.931	      0.912	     24.105	    4.063	    5.833	    7.090	    5.421
 1980	     1	    23	    7.431	     19.297	     26.788	     86.556	      1.313	     16.450	    3.469	    4.161	    5.005	    3.706
 1980	     1	    24	   39.126	     19.399	     25.507	     88.211	      1.264	     10.802	    2.909	    2.923	    3.445	    2.399
 1980	     1	    25	   26.647	     19.259	     24.048	     90.188	      1.610	     10.358	    2.957	    2.727	    3.301	    2.254
 1980	     1	    26	   29.522	     18.467	     25.421	     88.350	      0.875	     11.887	    1.801	    3.108	    3.717	    2.607
 1980	     1	    27	    4.469	     19.092	     28.002	     79.226	      0.416	     19.083	    3.608	    4.653	    5.753	    4.347
 1980	     1	    28	    2.081	     19.104	     27.370	     85.638	      0.537	     19.146	    3.695	    4.646	    5.748	    4.327
 1980	     1	    29	    3.183	     18.601	     26.719	     74.834	      1.912	     22.018	    4.266	    5.291	    6.486	    4.908
 1980	     1	    30	    0.436	     16.746	     27.637	     71.134	      1.383	     24.290	    4.182	    5.877	    7.051	    5.346
 1980	     1	    31	    1.890	     18.168	     27.155	     82.831	      0.671	     17.351	    3.707	    4.296	    5.220	    3.871
 1980	     2	     1	    6.029	     19.907	     27.954	     83.471	      0.737	     18.210	    3.486	    4.517	    5.535	    4.186
 1980	     2	     2	    1.298	     18.683	     27.926	     73.722	      2.291	     23.830	    4.672	    5.857	    7.035	    5.398
 1980	     2	     3	    0.667	     18.157	     27.677	     69.905	      2.176	     23.013	    3.400	    5.690	    6.775	    5.163
 1980	     2	     4	    0.202	     16.432	     27.957	     67.913	      1.756	     27.778	    4.626	    6.650	    7.989	    6.121
 1980	     2	     5	    0.180	     17.561	     28.983	     69.553	      0.915	     25.830	    4.156	    6.231	    7.575	    5.845
 1980	     2	     6	    0.125	     18.692	     30.346	     71.765	      0.856	     25.287	    4.560	    6.239	    7.546	    5.894
 1980	     2	     7	    4.283	     19.723	     28.331	     82.344	      0.784	     17.395	    3.801	    4.387	    5.309	    4.007
 1980	     2	     8	    8.519	     19.222	     29.085	     75.625	      1.205	     22.112	    4.397	    5.518	    6.627	    5.111
 1980	     2	     9	    5.504	     19.422	     28.961	     78.654	      1.974	     20.858	    4.392	    5.391	    6.280	    4.823
 1980	     2	    10	   16.096	     20.257	     26.744	     87.198	      1.282	     12.409	    2.236	    3.303	    3.910	    2.824
 1980	     2	    11	   18.573	     20.565	     27.301	     87.503	      1.092	     14.303	    2.965	    3.690	    4.448	    3.287
 1980	     2	    12	   14.986	     20.518	     27.013	     87.885	      1.320	     13.703	    2.639	    3.577	    4.275	    3.135
 1980	     2	    13	   16.170	     19.782	     28.048	     82.990	      1.088	     17.542	    2.999	    4.442	    5.338	    4.027
 1980	     2	    14	    2.269	     19.338	     28.084	     75.847	      2.251	     23.439	    4.037	    5.754	    6.952	    5.360
 1980	     2	    15	    1.806	     19.656	     27.391	     74.388	      1.869	     22.851	    4.562	    5.475	    6.774	    5.203
 1980	     2	    16	    2.045	     17.446	     26.933	     76.362	      1.482	     21.892	    3.857	    5.306	    6.394	    4.823
 1980	     2	    17	    5.462	     17.835	     25.735	     82.400	      0.907	     16.300	    4.020	    4.009	    4.870	    3.555
 1980	     2	    18	   11.518	     17.864	     25.614	     83.147	      1.148	     14.999	    2.868	    3.782	    4.521	    3.268
 1980	     2	    19	    1.391	     16.118	     25.266	     74.502	      1.684	     20.968	    3.416	    4.983	    6.014	    4.448
 1980	     2	    20	    0.257	     13.217	     26.725	     70.736	      0.770	     25.845	    4.190	    5.950	    7.198	    5.376
 1980	     2	    21	    0.418	     15.819	     27.575	     72.122	      0.647	     21.953	    3.233	    5.248	    6.359	    4.780
 1980	     2	    22	    0.729	     17.862	     28.830	     71.917	      0.616	     21.713	    4.126	    5.286	    6.433	    4.920
 1980	     2	    23	    6.245	     18.847	     27.997	     81.337	      0.570	     18.652	    3.962	    4.578	    5.602	    4.234
 1980	     2	    24	    7.458	     19.193	     25.432	     83.611	      1.210	     12.706	    1.750	    3.271	    3.935	    2.809
 1980	     2	    25	    6.886	     18.111	     24.034	     89.263	      1.332	     11.787	    2.810	    3.026	    3.637	    2.523
 1980	     2	    26	   14.589	     18.275	     21.557	     92.803	      1.481	      8.486	    1.693	    2.172	    2.744	    1.764
 1980	     2	    27	   41.595	     19.266	     21.918	     94.407	      1.966	      6.722	    1.708	    1.822	    2.306	    1.422
 1980	     2	    28	   37.965	     18.882	     23.545	     91.820	      1.840	      7.894	    1.817	    2.258	    2.622	    1.698
 1980	     2	    29	   24.798	     19.561	     25.631	     90.160	      1.752	     11.526	    2.544	    3.110	    3.627	    2.570
 1980	     3	     1	   11.627	     19.117	     28.940	     81.380	      0.856	     21.687	    4.390	    5.329	    6.473	    4.997
 1980	     3	     2	    1.733	     18.841	     29.798	     76.204	      1.019	     24.116	    4.360	    5.957	    7.170	    5.597
 1980	     3	     3	    0.871	     19.491	     30.009	     76.951	      0.708	     21.687	    4.210	    5.386	    6.528	    5.085
 1980	     3	     4	    0.397	     18.088	     29.322	     70.189	      1.033	     25.311	    4.600	    6.157	    7.436	    5.786
 1980	     3	     5	    1.223	     18.589	     29.513	     77.107	      1.043	     22.653	    4.138	    5.636	    6.733	    5.221
 1980	     3	     6	    1.521	     18.789	     29.240	     76.575	      0.788	     22.698	    4.760	    5.549	    6.743	    5.230
 1980	     3	     7	    0.775	     18.676	     29.584	     77.702	      0.722	     22.232	    4.566	    5.469	    6.621	    5.136
 1980	     3	     8	    2.692	     18.958	     29.720	     77.342	      0.621	     20.864	    4.484	    5.162	    6.258	    4.845
 1980	     3	     9	    1.632	     18.763	     29.984	     74.376	      0.452	     21.648	    4.678	    5.294	    6.476	    5.030
 1980	     3	    10	    3.684	     18.771	     29.898	     77.777	      0.544	     21.187	    4.252	    5.218	    6.343	    4.919
 1980	     3	    11	    1.811	     19.099	     29.703	     79.445	      0.567	     18.230	    4.161	    4.588	    5.527	    4.240
 1980	     3	    12	    6.336	     19.598	     29.131	     79.908	      0.754	     17.213	    3.636	    4.384	    5.243	    4.000
 1980	     3	    13	   10.481	     19.055	     25.631	     88.161	      1.064	     13.345	    2.605	    3.385	    4.086	    2.952
 1980	     3	    14	    6.549	     19.129	     25.492	     85.994	      1.088	     12.417	    2.596	    3.192	    3.836	    2.744
 1980	     3	    15	   10.520	     17.496	     21.969	     87.164	      2.227	      9.585	    2.786	    2.477	    3.001	    1.982
 1980	     3	    16	   27.985	     18.264	     26.266	     82.284	      1.430	     13.962	    3.220	    3.662	    4.240	    3.081
 1980	     3	    17	    6.794	     19.009	     27.205	     83.243	      1.059	     16.263	    2.779	    4.100	    4.901	    3.664
 1980	     3	    18	    0.226	     18.940	     29.498	     78.760	      0.648	     20.736	    3.939	    5.115	    6.195	    4.801
 1980	     3	    19	    1.395	     19.554	     28.810	     79.956	      1.238	     20.783	    4.195	    5.176	    6.203	    4.807
 1980	     3	    20	    0.268	     18.159	     29.013	     71.868	      1.026	     23.246	    4.018	    5.681	    6.825	    5.299
