CABra ID  	 48
ANA ID    	 18460000
Longitude 	 -67.009   	 dd
Latitude  	 -0.246    	 dd
Area      	 13564.2435	 km²
Elevation 	 97.9117   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   14.450	     20.767	     28.660	     85.328	      0.977	     13.535	    3.712	    3.600	    4.218	    3.170
 1980	     1	     2	   10.505	     20.877	     29.376	     81.501	      0.754	     19.471	    4.235	    4.835	    5.899	    4.609
 1980	     1	     3	   18.186	     20.690	     30.056	     81.984	      0.627	     19.230	    4.848	    4.809	    5.842	    4.574
 1980	     1	     4	   10.329	     21.020	     30.609	     84.018	      0.624	     18.997	    3.945	    4.786	    5.806	    4.567
 1980	     1	     5	   10.847	     21.179	     30.064	     84.215	      0.957	     17.366	    4.430	    4.495	    5.334	    4.156
 1980	     1	     6	   15.863	     21.200	     29.497	     85.561	      0.892	     15.921	    4.769	    4.126	    4.911	    3.784
 1980	     1	     7	    9.522	     21.241	     29.480	     85.484	      0.969	     16.240	    4.004	    4.207	    5.002	    3.861
 1980	     1	     8	    9.122	     21.345	     28.718	     88.845	      0.737	     13.751	    4.304	    3.575	    4.293	    3.245
 1980	     1	     9	   15.440	     21.607	     30.155	     83.721	      0.724	     17.109	    4.132	    4.378	    5.276	    4.119
 1980	     1	    10	   17.980	     21.403	     28.016	     90.659	      0.862	     12.526	    4.962	    3.297	    3.947	    2.940
 1980	     1	    11	   22.642	     21.205	     26.982	     91.917	      0.893	      9.185	    2.947	    2.553	    3.006	    2.121
 1980	     1	    12	   21.404	     21.142	     26.771	     94.340	      1.031	      8.594	    2.963	    2.442	    2.840	    1.978
 1980	     1	    13	   20.476	     21.050	     28.008	     90.183	      1.057	     11.498	    3.233	    3.133	    3.655	    2.686
 1980	     1	    14	    9.094	     20.942	     28.802	     84.592	      1.120	     14.769	    3.701	    3.878	    4.572	    3.476
 1980	     1	    15	   11.537	     21.164	     28.313	     89.849	      1.215	     13.389	    3.425	    3.565	    4.182	    3.139
 1980	     1	    16	   11.961	     21.291	     28.986	     88.021	      1.170	     15.292	    4.110	    4.005	    4.726	    3.617
 1980	     1	    17	   19.992	     21.268	     28.260	     90.018	      1.032	     12.243	    3.704	    3.297	    3.864	    2.871
 1980	     1	    18	   11.443	     21.214	     28.451	     88.995	      1.003	     13.707	    3.486	    3.608	    4.273	    3.220
 1980	     1	    19	    5.620	     21.416	     30.062	     84.904	      1.097	     15.869	    4.358	    4.212	    4.916	    3.807
 1980	     1	    20	    9.383	     21.279	     31.124	     82.691	      0.927	     20.809	    4.994	    5.306	    6.343	    5.045
 1980	     1	    21	    6.685	     21.294	     31.066	     81.913	      0.680	     19.909	    4.589	    5.034	    6.085	    4.825
 1980	     1	    22	    2.878	     21.411	     31.907	     81.220	      0.969	     21.826	    4.978	    5.611	    6.669	    5.349
 1980	     1	    23	    8.053	     21.979	     30.761	     84.116	      0.961	     18.193	    3.944	    4.711	    5.612	    4.431
 1980	     1	    24	    4.744	     21.712	     31.058	     84.633	      0.844	     20.157	    4.379	    5.129	    6.170	    4.907
 1980	     1	    25	   13.850	     21.792	     30.236	     84.876	      0.752	     14.871	    4.459	    3.905	    4.644	    3.588
 1980	     1	    26	    7.406	     21.699	     31.824	     81.196	      0.646	     19.067	    4.909	    4.890	    5.877	    4.680
 1980	     1	    27	    5.460	     21.826	     31.682	     81.577	      0.835	     18.745	    4.874	    4.878	    5.790	    4.605
 1980	     1	    28	   11.796	     21.806	     29.218	     88.548	      0.624	     12.074	    3.465	    3.206	    3.840	    2.882
 1980	     1	    29	   11.102	     21.587	     29.388	     88.978	      0.771	     15.087	    3.768	    3.904	    4.687	    3.601
 1980	     1	    30	   10.197	     21.841	     28.644	     90.219	      0.883	     12.643	    3.804	    3.354	    3.991	    2.998
 1980	     1	    31	   11.093	     21.872	     29.653	     88.003	      1.180	     14.270	    4.955	    3.843	    4.465	    3.424
 1980	     2	     1	   21.472	     21.811	     28.580	     91.547	      1.020	     11.527	    3.594	    3.146	    3.678	    2.731
 1980	     2	     2	   10.916	     22.172	     29.597	     89.551	      0.949	     13.250	    3.677	    3.556	    4.181	    3.188
 1980	     2	     3	    5.589	     21.789	     30.700	     86.685	      0.843	     16.348	    4.172	    4.288	    5.076	    3.970
 1980	     2	     4	   15.324	     21.872	     29.141	     89.475	      1.359	     13.426	    4.099	    3.659	    4.223	    3.207
 1980	     2	     5	   11.901	     21.951	     29.444	     86.932	      1.230	     13.585	    3.675	    3.685	    4.270	    3.255
 1980	     2	     6	   12.659	     21.804	     31.183	     83.677	      1.023	     18.028	    4.741	    4.730	    5.567	    4.401
 1980	     2	     7	   15.198	     21.957	     29.589	     86.657	      0.684	     14.886	    4.043	    3.842	    4.641	    3.574
 1980	     2	     8	   17.304	     21.929	     28.586	     89.357	      0.804	     12.206	    3.603	    3.230	    3.869	    2.895
 1980	     2	     9	   13.963	     21.942	     28.611	     91.386	      0.864	     12.214	    3.327	    3.251	    3.873	    2.900
 1980	     2	    10	    9.410	     22.123	     30.015	     88.157	      0.772	     15.491	    3.776	    4.021	    4.824	    3.745
 1980	     2	    11	   14.159	     21.723	     29.253	     87.505	      0.781	     13.826	    4.000	    3.623	    4.331	    3.298
 1980	     2	    12	   12.560	     21.874	     28.234	     90.702	      0.997	     11.678	    3.875	    3.142	    3.716	    2.758
 1980	     2	    13	   17.486	     21.835	     28.160	     90.474	      0.683	     11.996	    4.210	    3.147	    3.802	    2.829
 1980	     2	    14	   20.818	     21.595	     26.559	     92.899	      1.046	     11.192	    4.101	    2.922	    3.554	    2.583
 1980	     2	    15	   27.701	     21.386	     25.983	     93.823	      1.216	      9.533	    3.687	    2.573	    3.092	    2.181
 1980	     2	    16	   28.479	     21.284	     26.338	     94.164	      1.426	      8.459	    3.241	    2.426	    2.799	    1.939
 1980	     2	    17	   20.704	     21.215	     28.125	     91.566	      1.120	     11.428	    3.729	    3.152	    3.632	    2.675
 1980	     2	    18	   13.927	     21.647	     28.938	     88.293	      1.236	     12.866	    4.149	    3.508	    4.052	    3.055
 1980	     2	    19	   15.783	     21.245	     29.133	     88.068	      1.298	     13.978	    3.894	    3.784	    4.360	    3.313
 1980	     2	    20	    7.948	     21.423	     30.091	     84.971	      1.051	     17.682	    3.827	    4.573	    5.424	    4.243
 1980	     2	    21	   12.202	     21.218	     29.829	     86.417	      0.595	     15.682	    4.675	    4.011	    4.849	    3.743
 1980	     2	    22	   13.188	     21.384	     28.172	     90.737	      0.707	     13.024	    4.054	    3.368	    4.078	    3.056
 1980	     2	    23	   23.582	     21.295	     27.599	     90.752	      1.078	     10.978	    3.996	    2.991	    3.502	    2.556
 1980	     2	    24	   16.397	     21.123	     28.739	     86.827	      0.901	     13.442	    3.903	    3.551	    4.198	    3.166
