CABra ID  	 50
ANA ID    	 18850000
Longitude 	 -63.99    	 dd
Latitude  	 0.229     	 dd
Area      	 6378.2503 	 km²
Elevation 	 199.4907  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   12.164	     21.372	     29.143	     86.289	      0.901	     14.491	    3.772	    3.790	    4.500	    3.441
 1980	     1	     2	   12.375	     21.389	     29.092	     86.457	      0.712	     17.234	    4.110	    4.321	    5.269	    4.090
 1980	     1	     3	   15.919	     21.296	     29.616	     85.426	      0.699	     16.850	    4.576	    4.273	    5.169	    4.015
 1980	     1	     4	   10.575	     21.540	     29.390	     87.830	      0.821	     15.926	    3.410	    4.073	    4.919	    3.804
 1980	     1	     5	   12.123	     21.576	     29.347	     87.485	      1.068	     15.574	    4.337	    4.057	    4.815	    3.715
 1980	     1	     6	   13.474	     21.438	     29.518	     86.773	      0.834	     16.084	    4.864	    4.133	    4.953	    3.834
 1980	     1	     7	    9.587	     21.555	     29.182	     87.357	      0.972	     15.459	    3.803	    4.001	    4.775	    3.676
 1980	     1	     8	    8.386	     21.591	     28.942	     89.183	      0.716	     13.816	    3.904	    3.586	    4.311	    3.278
 1980	     1	     9	   19.572	     21.817	     29.113	     87.448	      0.767	     14.373	    4.254	    3.725	    4.483	    3.433
 1980	     1	    10	   18.737	     21.541	     27.194	     92.278	      0.830	     10.441	    3.960	    2.799	    3.356	    2.433
 1980	     1	    11	   21.000	     21.416	     27.029	     92.578	      0.830	      9.602	    3.306	    2.618	    3.117	    2.225
 1980	     1	    12	   23.056	     21.349	     26.737	     94.089	      0.960	      9.167	    3.405	    2.532	    2.993	    2.114
