CABra ID  	 521
ANA ID    	 65945000
Longitude 	 -39.224   	 dd
Latitude  	 -11       	 dd
Area      	 18784.4896	 km²
Elevation 	 465.4306  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.428	     10.696	     22.201	     67.003	      2.333	     30.657	    4.546	    6.355	    8.007	    5.783
 1980	     1	     2	    0.078	      9.685	     25.264	     62.548	      1.138	     31.627	    4.641	    6.951	    8.401	    6.145
 1980	     1	     3	    0.000	     12.311	     27.655	     60.900	      0.962	     28.921	    4.163	    6.745	    8.066	    6.019
 1980	     1	     4	    0.016	     15.595	     27.737	     65.745	      1.110	     25.860	    4.170	    6.189	    7.456	    5.621
 1980	     1	     5	    0.171	     17.171	     28.417	     62.801	      2.489	     26.865	    4.614	    6.661	    7.850	    6.007
 1980	     1	     6	    2.756	     17.618	     27.906	     72.545	      3.004	     21.083	    3.359	    5.583	    6.267	    4.710
 1980	     1	     7	   18.392	     18.170	     26.721	     79.350	      1.871	     19.117	    2.361	    4.802	    5.710	    4.238
 1980	     1	     8	    5.094	     18.216	     24.203	     88.145	      1.592	     13.674	    2.072	    3.430	    4.177	    2.938
 1980	     1	     9	   10.343	     17.828	     26.592	     81.430	      1.001	     20.433	    4.062	    4.941	    6.048	    4.503
 1980	     1	    10	    1.988	     16.284	     26.071	     76.020	      1.833	     25.457	    4.303	    5.952	    7.296	    5.465
 1980	     1	    11	    0.001	     15.027	     27.726	     68.894	      1.779	     28.715	    4.847	    6.868	    8.184	    6.196
 1980	     1	    12	    0.015	     15.657	     28.468	     63.930	      1.475	     28.905	    4.710	    6.946	    8.318	    6.346
 1980	     1	    13	    0.098	     16.059	     28.234	     59.758	      2.678	     29.635	    5.051	    7.213	    8.525	    6.521
 1980	     1	    14	    0.000	     15.875	     27.815	     63.610	      2.828	     28.711	    4.497	    6.992	    8.238	    6.269
 1980	     1	    15	    0.072	     15.526	     27.176	     68.405	      2.925	     26.328	    4.470	    6.488	    7.543	    5.678
 1980	     1	    16	    1.052	     16.370	     27.068	     72.798	      2.319	     23.694	    3.985	    5.866	    6.877	    5.157
 1980	     1	    17	    2.713	     18.397	     29.282	     73.127	      1.840	     24.106	    5.084	    6.122	    7.187	    5.529
 1980	     1	    18	   13.258	     17.492	     28.617	     74.424	      1.099	     25.335	    4.683	    6.155	    7.452	    5.701
 1980	     1	    19	    6.034	     17.558	     29.059	     81.197	      1.375	     23.657	    4.847	    5.940	    7.013	    5.357
 1980	     1	    20	    8.231	     17.451	     28.637	     71.114	      1.202	     25.192	    4.028	    6.149	    7.410	    5.667
 1980	     1	    21	    0.095	     15.954	     28.167	     66.781	      1.094	     28.378	    5.129	    6.717	    8.169	    6.230
 1980	     1	    22	    0.103	     15.078	     27.547	     69.116	      1.607	     25.868	    4.468	    6.280	    7.411	    5.573
 1980	     1	    23	    1.822	     18.303	     27.687	     80.986	      2.244	     16.447	    3.399	    4.518	    5.010	    3.696
 1980	     1	    24	   45.823	     18.023	     24.710	     83.680	      2.604	     11.470	    2.173	    3.223	    3.593	    2.474
 1980	     1	    25	   30.247	     15.861	     26.337	     73.941	      2.063	     19.829	    2.752	    5.049	    5.788	    4.249
 1980	     1	    26	    1.612	     16.067	     28.081	     74.340	      1.382	     21.797	    3.857	    5.505	    6.392	    4.787
 1980	     1	    27	    1.049	     18.055	     28.588	     72.411	      0.997	     23.834	    2.981	    5.816	    7.059	    5.398
 1980	     1	    28	    6.206	     17.996	     29.044	     75.500	      1.223	     24.885	    4.676	    6.127	    7.366	    5.664
 1980	     1	    29	    1.332	     18.003	     28.770	     71.423	      2.173	     25.714	    4.766	    6.409	    7.581	    5.833
 1980	     1	    30	    2.532	     17.697	     27.459	     75.152	      2.059	     21.560	    3.880	    5.418	    6.370	    4.795
 1980	     1	    31	   17.557	     19.486	     24.363	     87.240	      1.390	     11.257	    2.057	    2.904	    3.557	    2.463
 1980	     2	     1	   14.147	     17.900	     27.003	     77.188	      1.789	     22.167	    4.157	    5.405	    6.523	    4.915
 1980	     2	     2	    0.151	     17.066	     28.630	     71.550	      2.199	     24.486	    4.570	    6.226	    7.187	    5.482
 1980	     2	     3	    0.101	     18.254	     28.798	     68.481	      1.712	     26.939	    4.483	    6.559	    7.929	    6.132
 1980	     2	     4	    0.001	     17.296	     29.114	     66.362	      1.630	     27.644	    4.926	    6.773	    8.087	    6.244
 1980	     2	     5	    0.110	     18.410	     28.347	     68.964	      2.280	     23.248	    4.443	    5.860	    6.895	    5.273
