CABra ID  	 524
ANA ID    	 65979000
Longitude 	 -37.938   	 dd
Latitude  	 -11.665   	 dd
Area      	 36118.7943	 km²
Elevation 	 394.192   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.119	     12.077	     23.402	     65.568	      2.008	     30.944	    4.394	    6.550	    8.216	    6.057
 1980	     1	     2	    0.000	     11.496	     26.302	     64.356	      0.991	     30.043	    4.295	    6.752	    8.157	    6.073
 1980	     1	     3	    0.001	     13.979	     28.326	     60.818	      0.691	     27.664	    3.898	    6.467	    7.833	    5.935
 1980	     1	     4	    0.009	     16.188	     28.961	     64.711	      0.934	     26.619	    4.130	    6.406	    7.715	    5.919
 1980	     1	     5	    0.000	     17.501	     29.668	     60.010	      2.140	     29.023	    4.839	    7.204	    8.486	    6.615
 1980	     1	     6	    4.928	     19.285	     28.236	     72.774	      2.517	     19.708	    3.591	    5.149	    5.933	    4.511
 1980	     1	     7	   19.231	     19.130	     26.988	     83.599	      1.593	     18.734	    3.197	    4.658	    5.618	    4.216
 1980	     1	     8	    7.459	     19.194	     24.739	     88.020	      1.536	     12.713	    2.924	    3.236	    3.934	    2.785
 1980	     1	     9	   22.004	     19.295	     27.497	     83.821	      1.062	     23.724	    4.467	    5.636	    7.010	    5.383
 1980	     1	    10	    0.972	     18.371	     27.962	     74.408	      1.588	     27.009	    4.379	    6.404	    7.885	    6.094
 1980	     1	    11	    0.039	     16.442	     28.741	     68.660	      1.472	     27.419	    4.231	    6.656	    7.932	    6.100
 1980	     1	    12	    0.478	     17.290	     29.363	     67.271	      1.327	     27.252	    5.099	    6.659	    7.967	    6.173
 1980	     1	    13	    2.693	     17.623	     28.882	     62.896	      1.997	     29.210	    4.950	    7.053	    8.496	    6.605
 1980	     1	    14	    0.032	     16.721	     28.381	     61.705	      2.243	     28.476	    4.362	    6.909	    8.213	    6.329
 1980	     1	    15	    0.479	     16.821	     28.366	     67.269	      2.127	     27.042	    5.134	    6.626	    7.828	    6.016
 1980	     1	    16	    1.123	     18.156	     29.230	     70.043	      1.678	     25.698	    4.236	    6.377	    7.576	    5.873
 1980	     1	    17	    2.491	     19.348	     29.775	     73.520	      1.313	     24.801	    4.690	    6.161	    7.410	    5.787
 1980	     1	    18	    4.915	     19.009	     28.924	     75.927	      0.739	     24.251	    4.541	    5.854	    7.202	    5.579
 1980	     1	    19	    2.160	     19.103	     29.396	     79.980	      1.035	     23.831	    5.189	    5.872	    7.110	    5.520
 1980	     1	    20	    5.980	     19.316	     29.447	     75.475	      0.733	     20.759	    3.235	    5.172	    6.263	    4.823
 1980	     1	    21	    0.015	     17.174	     29.624	     68.921	      0.879	     26.603	    4.593	    6.449	    7.791	    6.037
