CABra ID  	 527
ANA ID    	 70100000
Longitude 	 -37.754   	 dd
Latitude  	 -12.053   	 dd
Area      	 4535.43   	 km²
Elevation 	 240.8984  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.064	     10.697	     20.365	     69.313	      2.625	     28.854	    4.312	    5.824	    7.624	    5.297
 1980	     1	     2	    0.000	      6.425	     21.187	     69.052	      1.271	     30.628	    4.246	    6.312	    7.786	    5.332
 1980	     1	     3	    0.143	     10.048	     24.582	     70.421	      0.663	     29.004	    4.617	    6.422	    7.909	    5.610
 1980	     1	     4	    1.338	     13.041	     23.671	     75.083	      0.789	     23.487	    3.911	    5.352	    6.630	    4.677
 1980	     1	     5	    3.203	     12.624	     22.686	     79.312	      1.600	     23.129	    3.190	    5.242	    6.465	    4.517
 1980	     1	     6	    0.331	     11.810	     23.759	     75.622	      2.921	     24.639	    5.132	    5.830	    6.861	    4.829
 1980	     1	     7	   11.182	     14.940	     23.260	     83.381	      1.977	     16.945	    4.104	    4.179	    5.003	    3.444
 1980	     1	     8	   10.021	     15.165	     24.910	     81.713	      0.693	     19.000	    4.808	    4.577	    5.610	    3.960
 1980	     1	     9	   31.197	     14.680	     21.213	     88.314	      1.143	     10.949	    2.282	    2.818	    3.393	    2.156
 1980	     1	    10	   12.044	     15.953	     23.702	     84.888	      1.628	     18.998	    4.250	    4.524	    5.595	    3.937
 1980	     1	    11	    2.273	     11.520	     23.885	     71.242	      0.784	     26.397	    4.473	    5.906	    7.295	    5.162
 1980	     1	    12	    0.390	     12.297	     23.543	     75.132	      1.171	     26.402	    4.292	    5.909	    7.323	    5.194
 1980	     1	    13	    0.860	     11.675	     22.315	     76.131	      2.238	     28.394	    4.729	    6.101	    7.708	    5.442
 1980	     1	    14	    0.728	     11.577	     20.986	     78.321	      2.356	     25.195	    3.664	    5.354	    6.821	    4.730
 1980	     1	    15	    0.920	     11.856	     21.843	     79.907	      2.350	     23.053	    3.829	    5.159	    6.354	    4.400
 1980	     1	    16	    4.602	     12.283	     22.053	     90.238	      1.660	     17.549	    3.839	    4.217	    5.006	    3.380
 1980	     1	    17	    6.150	     14.324	     23.927	     85.340	      1.309	     21.059	    5.240	    4.962	    6.071	    4.283
 1980	     1	    18	   15.470	     13.679	     23.881	     86.575	      0.875	     18.735	    5.119	    4.479	    5.436	    3.775
