CABra ID  	 528
ANA ID    	 70200000
Longitude 	 -37.94    	 dd
Latitude  	 -12.129   	 dd
Area      	 1225.2161 	 km²
Elevation 	 196.948   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.235	     10.326	     19.419	     68.886	      2.664	     27.036	    3.975	    5.351	    7.039	    4.872
 1980	     1	     2	    0.120	      7.533	     21.361	     68.229	      1.201	     30.855	    4.285	    6.334	    7.872	    5.480
 1980	     1	     3	    0.050	     10.116	     24.674	     70.546	      0.620	     29.493	    4.636	    6.471	    7.981	    5.717
 1980	     1	     4	    0.648	     13.207	     24.185	     74.620	      0.875	     25.057	    4.245	    5.673	    7.019	    5.038
 1980	     1	     5	    2.942	     12.918	     23.592	     77.920	      1.515	     23.352	    3.227	    5.362	    6.535	    4.638
 1980	     1	     6	    0.238	     12.471	     24.788	     73.776	      2.764	     24.956	    4.761	    6.002	    6.984	    5.008
 1980	     1	     7	   11.790	     15.661	     24.087	     81.339	      1.923	     17.391	    3.770	    4.305	    5.138	    3.611
 1980	     1	     8	    6.708	     15.388	     25.253	     82.862	      0.715	     18.524	    4.516	    4.487	    5.466	    3.890
 1980	     1	     9	   20.637	     15.533	     21.557	     88.332	      1.249	     12.745	    2.590	    3.127	    3.854	    2.553
 1980	     1	    10	   11.759	     16.012	     22.660	     86.311	      1.555	     17.789	    3.988	    4.143	    5.204	    3.640
 1980	     1	    11	    1.913	     11.858	     24.370	     72.217	      0.696	     26.752	    4.580	    5.973	    7.380	    5.292
 1980	     1	    12	    0.572	     12.635	     24.001	     76.741	      1.238	     26.051	    4.205	    5.870	    7.226	    5.182
 1980	     1	    13	    0.376	     12.374	     23.141	     75.704	      2.360	     28.630	    4.695	    6.231	    7.809	    5.608
 1980	     1	    14	    0.630	     12.399	     21.911	     77.398	      2.501	     26.213	    3.683	    5.607	    7.126	    5.048
 1980	     1	    15	    0.560	     12.333	     22.634	     78.996	      2.485	     23.864	    3.777	    5.383	    6.576	    4.639
 1980	     1	    16	    5.446	     12.991	     22.890	     88.194	      1.715	     19.056	    4.110	    4.541	    5.410	    3.754
 1980	     1	    17	    6.460	     14.757	     24.783	     84.423	      1.347	     21.982	    4.899	    5.202	    6.326	    4.550
 1980	     1	    18	   12.604	     14.694	     24.467	     85.942	      0.794	     19.130	    5.365	    4.555	    5.563	    3.939
 1980	     1	    19	   12.851	     14.976	     25.598	     77.976	      1.741	     23.517	    4.777	    5.632	    6.778	    4.933
 1980	     1	    20	    2.263	     15.318	     24.860	     72.547	      1.846	     26.244	    4.391	    5.993	    7.476	    5.477
