CABra ID  	 52
ANA ID    	 19150000
Longitude 	 -62.763   	 dd
Latitude  	 -0.3      	 dd
Area      	 23499.3763	 km²
Elevation 	 173.5023  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    6.636	     22.302	     30.071	     83.064	      1.808	     17.707	    4.647	    4.643	    5.415	    4.292
 1980	     1	     2	    6.130	     21.994	     29.870	     84.661	      1.654	     17.462	    4.328	    4.566	    5.334	    4.211
 1980	     1	     3	    8.513	     21.996	     29.029	     88.067	      1.650	     15.029	    3.512	    3.974	    4.633	    3.590
 1980	     1	     4	    2.357	     22.335	     28.879	     85.073	      1.826	     14.975	    3.542	    3.936	    4.619	    3.581
 1980	     1	     5	    6.065	     22.096	     29.316	     81.477	      2.187	     15.681	    3.799	    4.212	    4.820	    3.758
 1980	     1	     6	    7.508	     22.012	     29.569	     84.199	      1.636	     15.827	    5.280	    4.197	    4.867	    3.802
 1980	     1	     7	   11.880	     21.950	     28.139	     87.400	      1.937	     12.230	    4.791	    3.359	    3.836	    2.887
 1980	     1	     8	   10.177	     21.823	     29.059	     84.682	      1.418	     14.000	    3.782	    3.745	    4.340	    3.335
 1980	     1	     9	    6.106	     21.961	     28.085	     86.780	      1.524	     11.311	    2.993	    3.117	    3.585	    2.672
 1980	     1	    10	    3.366	     21.757	     27.997	     86.173	      1.500	     12.004	    3.054	    3.251	    3.769	    2.823
 1980	     1	    11	    3.562	     21.761	     28.790	     82.274	      1.345	     14.215	    3.896	    3.746	    4.393	    3.371
 1980	     1	    12	    4.163	     21.946	     27.752	     82.300	      1.187	     11.776	    3.767	    3.124	    3.707	    2.767
 1980	     1	    13	    4.469	     22.014	     28.352	     84.662	      1.328	     12.374	    4.124	    3.318	    3.881	    2.929
 1980	     1	    14	   12.273	     21.443	     28.558	     82.391	      1.574	     13.468	    6.424	    3.638	    4.176	    3.175
 1980	     1	    15	    2.348	     21.470	     29.685	     80.087	      1.445	     15.940	    4.291	    4.237	    4.889	    3.809
 1980	     1	    16	    5.218	     21.476	     30.021	     79.986	      1.428	     18.643	    4.247	    4.811	    5.654	    4.472
 1980	     1	    17	    1.769	     22.164	     30.538	     81.044	      1.512	     18.532	    3.539	    4.831	    5.660	    4.507
 1980	     1	    18	    2.164	     22.270	     30.475	     79.290	      1.448	     18.587	    4.025	    4.816	    5.677	    4.522
 1980	     1	    19	    5.862	     22.363	     28.618	     85.771	      1.143	     12.720	    4.011	    3.366	    3.991	    3.034
 1980	     1	    20	    7.428	     21.574	     29.870	     84.369	      1.155	     16.153	    4.793	    4.229	    4.956	    3.873
 1980	     1	    21	   10.140	     22.059	     29.653	     84.422	      1.251	     16.050	    9.161	    4.182	    4.936	    3.860
 1980	     1	    22	   12.041	     21.817	     29.838	     84.814	      1.540	     17.390	    7.074	    4.540	    5.309	    4.179
 1980	     1	    23	    4.266	     22.499	     28.988	     86.429	      1.680	     14.743	    3.482	    3.880	    4.567	    3.536
 1980	     1	    24	    5.333	     22.520	     30.102	     81.982	      2.090	     17.362	    4.996	    4.612	    5.331	    4.219
 1980	     1	    25	    3.676	     22.638	     30.203	     81.167	      2.102	     19.125	    4.631	    4.959	    5.838	    4.660
 1980	     1	    26	    7.476	     22.359	     29.698	     83.356	      1.925	     17.942	    5.374	    4.650	    5.482	    4.335
 1980	     1	    27	    5.081	     22.367	     30.214	     82.027	      1.804	     18.486	    4.632	    4.815	    5.648	    4.490
