CABra ID  	 53
ANA ID    	 20050000
Longitude 	 -64.442   	 dd
Latitude  	 4.004     	 dd
Area      	 1050.4779 	 km²
Elevation 	 1091.8025 	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   18.731	     18.539	     23.231	     90.329	      1.702	      8.783	    1.516	    2.412	    2.874	    1.871
 1980	     1	     2	   19.716	     18.535	     23.827	     88.933	      1.284	     10.812	    1.911	    2.819	    3.419	    2.321
 1980	     1	     3	   12.005	     17.858	     26.168	     81.392	      0.484	     18.010	    3.626	    4.349	    5.381	    3.951
 1980	     1	     4	    4.092	     17.681	     28.518	     75.555	      0.778	     25.070	    4.575	    6.024	    7.388	    5.648
 1980	     1	     5	    2.369	     17.680	     28.007	     73.874	      1.843	     23.200	    4.170	    5.786	    6.854	    5.197
 1980	     1	     6	    3.579	     18.376	     27.174	     78.213	      1.488	     19.553	    3.290	    4.882	    5.851	    4.369
 1980	     1	     7	    3.842	     17.938	     26.651	     83.203	      0.860	     17.797	    3.795	    4.396	    5.341	    3.930
 1980	     1	     8	   12.575	     18.128	     25.350	     84.844	      1.020	     12.936	    2.927	    3.353	    4.003	    2.817
 1980	     1	     9	   15.724	     18.371	     26.423	     82.710	      1.060	     15.288	    3.010	    3.906	    4.669	    3.386
 1980	     1	    10	   17.980	     18.684	     24.232	     85.219	      1.134	     11.461	    2.625	    2.958	    3.601	    2.479
 1980	     1	    11	   11.777	     18.104	     25.907	     83.895	      0.934	     14.579	    3.173	    3.707	    4.456	    3.197
 1980	     1	    12	   14.813	     18.088	     23.267	     89.483	      1.096	     11.651	    2.692	    2.935	    3.620	    2.470
 1980	     1	    13	   52.679	     18.240	     21.418	     95.207	      1.231	      7.419	    1.277	    1.987	    2.493	    1.538
 1980	     1	    14	   24.892	     18.656	     24.878	     90.368	      1.196	     12.608	    2.655	    3.247	    3.918	    2.748
 1980	     1	    15	   16.583	     18.856	     23.797	     91.930	      1.103	     10.150	    2.091	    2.662	    3.248	    2.187
 1980	     1	    16	   18.994	     18.724	     22.628	     93.547	      1.185	      9.218	    1.790	    2.396	    2.983	    1.953
 1980	     1	    17	   19.993	     18.766	     24.287	     88.405	      1.297	     12.134	    2.776	    3.099	    3.782	    2.628
 1980	     1	    18	    9.521	     18.467	     26.327	     83.354	      0.721	     14.453	    2.817	    3.669	    4.442	    3.200
 1980	     1	    19	    2.231	     17.894	     28.529	     76.552	      0.721	     23.126	    4.499	    5.616	    6.863	    5.224
 1980	     1	    20	    4.100	     18.457	     28.486	     77.963	      0.776	     21.177	    4.729	    5.219	    6.347	    4.814
 1980	     1	    21	   10.397	     18.867	     28.624	     80.213	      0.750	     20.567	    4.169	    5.095	    6.199	    4.706
 1980	     1	    22	    4.243	     18.767	     28.623	     78.103	      0.835	     19.611	    4.437	    4.918	    5.930	    4.482
 1980	     1	    23	    4.449	     19.218	     27.215	     80.841	      0.937	     17.232	    4.344	    4.317	    5.244	    3.893
 1980	     1	    24	    5.802	     18.837	     27.387	     84.017	      0.667	     18.413	    3.405	    4.536	    5.561	    4.150
 1980	     1	    25	    6.468	     19.251	     27.716	     80.775	      0.886	     16.385	    3.419	    4.181	    5.026	    3.728
 1980	     1	    26	    5.074	     19.431	     27.363	     80.877	      0.645	     17.920	    3.953	    4.422	    5.445	    4.068
 1980	     1	    27	    7.064	     18.923	     28.029	     79.127	      0.850	     21.269	    4.186	    5.202	    6.372	    4.836
