CABra ID  	 561
ANA ID    	 74470000
Longitude 	 -41.606   	 dd
Latitude  	 -13.653   	 dd
Area      	 2311.6998 	 km²
Elevation 	 1026.8374 	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.029	     11.002	     22.542	     66.291	      1.866	     30.820	    4.259	    6.372	    7.999	    5.869
 1980	     1	     2	    0.000	     11.184	     25.330	     61.662	      1.552	     31.721	    4.313	    6.987	    8.446	    6.300
 1980	     1	     3	    0.000	     12.957	     28.430	     58.766	      0.812	     31.535	    4.610	    7.238	    8.755	    6.686
 1980	     1	     4	    0.054	     16.987	     29.076	     61.536	      1.518	     27.153	    4.005	    6.633	    7.879	    6.107
 1980	     1	     5	    0.174	     18.350	     29.763	     63.272	      2.196	     25.425	    3.937	    6.498	    7.511	    5.862
 1980	     1	     6	    7.629	     19.278	     29.104	     71.166	      2.612	     20.420	    3.478	    5.454	    6.136	    4.723
 1980	     1	     7	   30.493	     19.019	     28.247	     78.645	      1.363	     21.353	    2.707	    5.287	    6.352	    4.873
 1980	     1	     8	   11.633	     18.935	     26.448	     82.534	      1.183	     15.942	    2.712	    4.005	    4.816	    3.555
 1980	     1	     9	    9.326	     18.409	     26.337	     81.651	      1.393	     19.155	    3.113	    4.653	    5.660	    4.239
 1980	     1	    10	    3.330	     17.586	     26.521	     71.746	      2.118	     24.435	    4.013	    5.748	    7.044	    5.364
 1980	     1	    11	    0.031	     15.970	     28.747	     66.741	      1.234	     28.511	    4.449	    6.806	    8.166	    6.306
 1980	     1	    12	    0.640	     16.811	     29.854	     64.403	      1.424	     29.424	    4.743	    7.171	    8.530	    6.666
 1980	     1	    13	    0.006	     18.208	     29.973	     59.444	      2.271	     29.436	    4.987	    7.298	    8.622	    6.792
 1980	     1	    14	    0.000	     17.547	     28.994	     61.258	      2.825	     30.557	    4.906	    7.404	    8.831	    6.913
 1980	     1	    15	    0.025	     17.128	     28.181	     63.692	      2.799	     28.920	    4.752	    6.961	    8.310	    6.443
 1980	     1	    16	    0.198	     17.899	     28.635	     69.338	      2.156	     26.289	    4.242	    6.459	    7.664	    5.947
 1980	     1	    17	    0.590	     19.241	     30.457	     72.240	      1.812	     27.177	    5.272	    6.817	    8.074	    6.384
 1980	     1	    18	    2.649	     18.524	     30.596	     69.930	      1.082	     28.616	    5.096	    6.991	    8.445	    6.677
 1980	     1	    19	    3.691	     19.508	     30.775	     74.901	      1.356	     24.703	    4.887	    6.265	    7.405	    5.843
 1980	     1	    20	    3.877	     18.974	     29.861	     61.383	      1.832	     28.607	    4.797	    7.001	    8.425	    6.652
 1980	     1	    21	    0.000	     15.625	     29.482	     58.002	      1.153	     29.157	    4.768	    7.013	    8.357	    6.481
 1980	     1	    22	    0.000	     17.488	     31.229	     57.501	      1.546	     27.901	    4.843	    7.097	    8.219	    6.479
 1980	     1	    23	   11.699	     19.698	     28.751	     74.254	      2.298	     17.146	    3.603	    4.686	    5.225	    3.969
 1980	     1	    24	   73.623	     17.233	     22.890	     88.584	      1.285	      8.127	    0.799	    2.291	    2.646	    1.695
 1980	     1	    25	    7.613	     14.105	     25.798	     65.220	      2.905	     27.117	    3.977	    6.364	    7.499	    5.638
 1980	     1	    26	    0.007	     15.652	     29.033	     68.098	      1.319	     27.630	    4.341	    6.699	    7.916	    6.109
 1980	     1	    27	    0.005	     17.854	     30.436	     69.126	      0.716	     27.040	    4.488	    6.552	    7.954	    6.247
 1980	     1	    28	    0.084	     18.531	     29.961	     68.811	      1.560	     27.914	    5.167	    6.857	    8.207	    6.465
 1980	     1	    29	    0.489	     18.675	     30.511	     68.023	      2.005	     27.357	    4.482	    6.930	    8.088	    6.388
 1980	     1	    30	    1.857	     20.325	     29.021	     74.753	      1.943	     19.764	    3.987	    5.103	    5.978	    4.623
 1980	     1	    31	   17.353	     20.537	     26.260	     86.067	      1.140	     15.171	    2.704	    3.754	    4.638	    3.442
 1980	     2	     1	    6.908	     19.191	     27.631	     77.305	      2.639	     23.281	    4.168	    5.652	    6.846	    5.284
 1980	     2	     2	    0.725	     17.323	     29.432	     70.429	      2.560	     25.804	    4.457	    6.643	    7.528	    5.852
 1980	     2	     3	    0.139	     20.059	     30.230	     67.384	      1.636	     27.520	    4.935	    6.763	    8.187	    6.510
 1980	     2	     4	    0.073	     19.610	     30.124	     66.940	      1.762	     24.891	    4.419	    6.279	    7.421	    5.850
 1980	     2	     5	    5.759	     20.435	     29.242	     71.088	      2.071	     18.511	    3.771	    4.910	    5.634	    4.347
 1980	     2	     6	    7.715	     20.139	     27.978	     77.604	      1.693	     20.832	    2.876	    5.117	    6.224	    4.803
 1980	     2	     7	    0.020	     18.902	     28.952	     68.973	      1.255	     26.501	    4.384	    6.360	    7.771	    6.090
