CABra ID  	 611
ANA ID    	 86745000
Longitude 	 -41.029   	 dd
Latitude  	 -16.623   	 dd
Area      	 1945.623  	 km²
Elevation 	 638.9283  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.130	     10.235	     19.027	     72.052	      1.868	     24.676	    2.818	    4.869	    6.278	    4.408
 1980	     1	     2	    0.018	     10.412	     23.222	     65.472	      1.375	     31.034	    4.281	    6.532	    8.087	    5.917
 1980	     1	     3	    0.017	     11.708	     26.987	     62.392	      0.771	     30.958	    4.308	    6.942	    8.442	    6.334
 1980	     1	     4	    0.123	     14.691	     26.598	     63.907	      1.776	     27.843	    3.846	    6.497	    7.810	    5.896
 1980	     1	     5	    0.966	     15.324	     28.537	     66.651	      1.937	     25.533	    3.956	    6.432	    7.344	    5.588
 1980	     1	     6	    4.011	     16.948	     27.963	     73.921	      3.072	     23.511	    4.219	    6.069	    6.855	    5.213
 1980	     1	     7	   11.767	     17.617	     26.574	     77.568	      1.889	     19.140	    3.467	    4.802	    5.651	    4.206
 1980	     1	     8	    5.323	     17.770	     26.244	     84.133	      1.093	     15.639	    3.697	    3.967	    4.708	    3.429
 1980	     1	     9	   15.700	     16.997	     23.613	     85.431	      1.877	     16.224	    3.828	    3.880	    4.760	    3.405
 1980	     1	    10	    4.989	     17.247	     23.429	     83.563	      1.726	     18.367	    3.025	    4.206	    5.317	    3.858
 1980	     1	    11	    0.360	     14.731	     27.213	     70.619	      0.924	     28.677	    5.339	    6.595	    8.066	    6.124
 1980	     1	    12	    1.594	     15.412	     27.085	     76.962	      1.585	     26.833	    4.107	    6.339	    7.613	    5.771
 1980	     1	    13	    0.096	     15.888	     27.273	     67.927	      2.234	     28.632	    4.250	    6.757	    8.128	    6.211
 1980	     1	    14	    0.001	     15.407	     26.538	     66.154	      2.601	     29.763	    4.426	    6.856	    8.349	    6.356
 1980	     1	    15	    0.669	     15.090	     26.710	     66.839	      2.315	     29.048	    4.431	    6.768	    8.152	    6.192
 1980	     1	    16	    1.717	     16.205	     27.488	     75.163	      2.079	     24.963	    5.310	    6.114	    7.179	    5.451
 1980	     1	    17	    7.877	     17.565	     28.612	     76.101	      1.806	     25.774	    5.388	    6.337	    7.526	    5.805
 1980	     1	    18	    4.799	     17.315	     27.845	     78.397	      0.942	     24.704	    4.866	    5.881	    7.183	    5.494
 1980	     1	    19	    9.351	     17.832	     27.678	     78.969	      1.696	     24.175	    5.162	    5.854	    7.057	    5.400
