CABra ID  	 616
ANA ID    	 88575000
Longitude 	 -39.537   	 dd
Latitude  	 -16.616   	 dd
Area      	 771.8984  	 km²
Elevation 	 239.68    	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.108	     10.786	     21.695	     63.545	      2.620	     22.276	    2.031	    4.953	    5.840	    4.177
 1980	     1	     2	    0.107	     11.407	     25.161	     64.484	      0.946	     31.061	    4.062	    6.711	    8.228	    6.173
 1980	     1	     3	    0.001	     13.889	     28.218	     59.376	      0.981	     29.378	    3.715	    6.822	    8.186	    6.287
 1980	     1	     4	    0.346	     16.975	     28.433	     59.831	      2.034	     28.002	    3.714	    6.747	    8.025	    6.247
 1980	     1	     5	    0.065	     16.927	     28.231	     67.713	      4.181	     25.863	    3.733	    6.653	    7.436	    5.752
 1980	     1	     6	   16.378	     18.977	     28.111	     73.862	      1.730	     15.659	    4.048	    4.245	    4.756	    3.566
 1980	     1	     7	    5.953	     19.367	     30.349	     69.604	      1.944	     27.639	    5.459	    6.883	    8.164	    6.494
 1980	     1	     8	    3.596	     20.668	     30.570	     73.244	      1.523	     20.716	    3.861	    5.408	    6.286	    4.955
 1980	     1	     9	    0.004	     17.859	     28.202	     72.717	      2.193	     24.068	    4.373	    5.965	    6.998	    5.413
 1980	     1	    10	    1.058	     17.669	     28.657	     67.322	      1.862	     27.179	    4.545	    6.571	    7.852	    6.132
 1980	     1	    11	    0.280	     17.184	     28.796	     63.878	      1.654	     29.859	    4.602	    7.080	    8.556	    6.709
 1980	     1	    12	    0.204	     17.165	     27.470	     67.869	      2.514	     26.569	    3.579	    6.345	    7.594	    5.871
 1980	     1	    13	    0.783	     18.166	     28.355	     69.349	      3.412	     26.807	    3.737	    6.587	    7.760	    6.063
 1980	     1	    14	    0.009	     18.469	     30.187	     63.050	      3.959	     30.044	    4.573	    7.659	    8.768	    6.972
 1980	     1	    15	    0.013	     17.924	     28.295	     66.006	      3.777	     26.100	    3.108	    6.522	    7.551	    5.881
 1980	     1	    16	    0.348	     19.210	     29.555	     67.852	      3.465	     26.695	    3.696	    6.766	    7.847	    6.203
 1980	     1	    17	    7.364	     19.639	     30.904	     72.020	      2.368	     25.269	    5.144	    6.610	    7.535	    5.995
 1980	     1	    18	    7.256	     19.824	     30.255	     74.909	      1.032	     24.156	    5.086	    5.975	    7.202	    5.700
 1980	     1	    19	    2.643	     18.965	     31.024	     62.005	      2.058	     27.702	    5.879	    7.069	    8.188	    6.530
 1980	     1	    20	    0.393	     16.527	     26.709	     67.154	      2.663	     25.593	    3.440	    6.078	    7.252	    5.557
 1980	     1	    21	    0.001	     15.932	     30.013	     56.420	      0.743	     29.240	    4.435	    6.927	    8.378	    6.567
 1980	     1	    22	    0.000	     18.787	     33.493	     47.271	      2.197	     28.633	    4.535	    7.807	    8.569	    6.930
 1980	     1	    23	    1.865	     24.449	     34.516	     50.963	      3.860	     22.592	    4.075	    6.710	    7.088	    5.884
 1980	     1	    24	    7.670	     17.362	     26.294	     58.101	      2.999	     17.911	    3.662	    4.686	    5.246	    3.910
 1980	     1	    25	    0.000	     11.174	     24.849	     58.554	      2.000	     29.312	    3.633	    6.530	    7.738	    5.782
