CABra ID  	 638
ANA ID    	 40185000
Longitude 	 -40.415   	 dd
Latitude  	 -18.7     	 dd
Area      	 4299.2533 	 km²
Elevation 	 368.08    	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   27.462	     19.125	     25.761	     88.978	      2.020	     11.491	    2.420	    3.212	    3.646	    2.547
 1980	     1	     2	   10.273	     16.503	     26.711	     78.014	      0.895	     15.918	    2.160	    4.082	    4.793	    3.455
 1980	     1	     3	    1.040	     16.741	     26.433	     76.016	      1.335	     21.272	    3.576	    5.165	    6.225	    4.614
 1980	     1	     4	    0.197	     15.236	     27.710	     76.868	      1.299	     25.236	    3.637	    6.119	    7.272	    5.459
 1980	     1	     5	    0.118	     15.987	     27.627	     73.140	      1.555	     25.828	    4.048	    6.248	    7.467	    5.634
 1980	     1	     6	    0.082	     15.206	     27.941	     72.128	      1.621	     28.768	    4.512	    6.882	    8.229	    6.239
 1980	     1	     7	    0.668	     16.865	     27.316	     78.547	      1.518	     21.077	    4.014	    5.272	    6.214	    4.631
 1980	     1	     8	    5.680	     18.025	     26.486	     83.445	      1.288	     17.744	    4.196	    4.443	    5.328	    3.915
 1980	     1	     9	    4.654	     18.071	     25.622	     84.019	      1.250	     15.931	    3.547	    3.993	    4.815	    3.479
 1980	     1	    10	   11.255	     18.614	     24.419	     89.614	      1.493	     10.752	    1.568	    2.885	    3.416	    2.329
 1980	     1	    11	   13.434	     18.370	     25.178	     89.359	      1.154	     13.986	    3.485	    3.550	    4.290	    3.049
 1980	     1	    12	   22.464	     17.872	     23.370	     89.356	      1.472	     14.651	    3.741	    3.525	    4.406	    3.100
 1980	     1	    13	   28.678	     18.300	     22.591	     90.359	      0.965	      8.135	    1.328	    2.203	    2.694	    1.714
 1980	     1	    14	   14.699	     17.834	     24.670	     87.127	      2.218	     13.016	    2.333	    3.461	    4.005	    2.800
 1980	     1	    15	    8.740	     17.649	     24.310	     87.750	      2.336	     11.268	    2.327	    3.135	    3.531	    2.407
 1980	     1	    16	   29.070	     18.588	     21.468	     94.573	      1.535	      7.495	    1.295	    1.984	    2.518	    1.562
 1980	     1	    17	   30.346	     18.397	     23.834	     90.795	      1.733	     11.935	    2.909	    3.066	    3.714	    2.558
 1980	     1	    18	   19.611	     18.769	     24.306	     92.880	      1.384	     10.297	    2.136	    2.767	    3.294	    2.231
 1980	     1	    19	    8.517	     18.322	     27.818	     84.798	      1.160	     20.677	    4.805	    5.132	    6.182	    4.655
 1980	     1	    20	   10.480	     18.364	     29.012	     84.323	      0.730	     22.383	    4.683	    5.506	    6.700	    5.115
 1980	     1	    21	    4.532	     18.752	     29.191	     83.937	      0.660	     21.696	    4.483	    5.358	    6.532	    4.992
 1980	     1	    22	    4.023	     18.505	     27.825	     84.718	      0.504	     18.048	    3.873	    4.461	    5.465	    4.073
 1980	     1	    23	   18.817	     18.522	     28.419	     83.061	      0.910	     21.365	    4.914	    5.279	    6.400	    4.857
 1980	     1	    24	    7.151	     19.262	     28.333	     82.847	      1.388	     18.921	    4.053	    4.849	    5.747	    4.335
 1980	     1	    25	   12.557	     19.678	     26.606	     87.133	      1.165	     14.414	    2.839	    3.715	    4.469	    3.250
 1980	     1	    26	   26.492	     19.066	     26.608	     87.655	      1.061	     14.774	    3.327	    3.797	    4.551	    3.307
