CABra ID  	 651
ANA ID    	 40850000
Longitude 	 -42.673   	 dd
Latitude  	 -20.7     	 dd
Area      	 534.8555  	 km²
Elevation 	 868.84    	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   21.432	     18.801	     24.840	     89.772	      2.273	     10.964	    2.281	    3.049	    3.497	    2.392
 1980	     1	     2	   14.889	     17.390	     24.696	     82.562	      1.031	     14.362	    2.556	    3.620	    4.381	    3.089
 1980	     1	     3	    1.318	     16.298	     25.461	     80.434	      1.372	     18.432	    2.901	    4.553	    5.442	    3.934
 1980	     1	     4	    0.376	     15.062	     27.184	     79.622	      1.290	     23.868	    3.722	    5.813	    6.904	    5.123
 1980	     1	     5	    0.218	     15.997	     26.741	     74.930	      1.617	     24.968	    4.083	    5.976	    7.219	    5.386
 1980	     1	     6	    0.706	     15.215	     27.349	     74.418	      1.636	     27.523	    4.460	    6.576	    7.893	    5.925
 1980	     1	     7	    0.980	     16.853	     27.202	     78.655	      1.477	     22.237	    4.067	    5.482	    6.547	    4.878
 1980	     1	     8	    2.672	     18.023	     26.222	     82.703	      1.277	     17.345	    4.063	    4.348	    5.233	    3.816
 1980	     1	     9	    2.113	     18.104	     26.984	     80.682	      1.362	     18.829	    3.981	    4.730	    5.663	    4.184
 1980	     1	    10	    4.775	     18.469	     25.794	     82.642	      1.265	     13.985	    2.710	    3.632	    4.324	    3.078
 1980	     1	    11	   11.369	     17.873	     25.772	     87.441	      0.986	     14.601	    3.523	    3.734	    4.473	    3.187
 1980	     1	    12	   25.037	     18.095	     23.231	     88.759	      1.221	     13.718	    3.378	    3.333	    4.182	    2.906
 1980	     1	    13	   30.012	     17.930	     21.717	     93.255	      0.655	      8.393	    1.348	    2.205	    2.757	    1.740
 1980	     1	    14	   12.977	     17.630	     24.098	     88.890	      1.793	     11.511	    1.549	    3.094	    3.604	    2.450
 1980	     1	    15	    9.303	     17.814	     23.905	     89.221	      1.939	     10.868	    2.306	    2.958	    3.438	    2.318
 1980	     1	    16	   22.413	     18.507	     21.261	     94.480	      1.385	      8.191	    1.515	    2.107	    2.707	    1.702
 1980	     1	    17	   25.703	     18.515	     24.105	     90.201	      1.472	     12.329	    3.052	    3.156	    3.842	    2.656
 1980	     1	    18	   24.365	     18.524	     24.456	     89.956	      0.982	     10.340	    2.032	    2.764	    3.318	    2.240
 1980	     1	    19	    8.826	     17.660	     28.052	     84.228	      1.170	     21.917	    4.917	    5.435	    6.528	    4.909
 1980	     1	    20	    5.073	     18.282	     29.169	     83.124	      0.880	     22.858	    4.923	    5.673	    6.861	    5.229
 1980	     1	    21	    6.514	     18.518	     29.638	     83.830	      0.640	     22.594	    4.661	    5.591	    6.815	    5.212
 1980	     1	    22	    5.961	     18.461	     28.051	     83.954	      0.597	     19.539	    4.334	    4.823	    5.904	    4.420
 1980	     1	    23	   10.168	     18.385	     28.407	     82.221	      0.808	     21.124	    4.913	    5.227	    6.352	    4.795
 1980	     1	    24	    7.985	     18.727	     28.119	     83.846	      1.255	     18.490	    3.789	    4.749	    5.623	    4.198
 1980	     1	    25	    8.317	     19.100	     26.637	     88.523	      1.137	     15.685	    3.157	    4.001	    4.820	    3.514
 1980	     1	    26	   17.368	     19.071	     26.920	     87.232	      1.115	     15.131	    3.240	    3.914	    4.673	    3.399
 1980	     1	    27	   16.935	     19.271	     26.762	     89.498	      1.176	     14.723	    2.232	    3.821	    4.563	    3.310
 1980	     1	    28	    8.676	     18.872	     28.833	     85.023	      0.725	     19.814	    3.976	    4.962	    6.019	    4.547
 1980	     1	    29	    7.059	     19.088	     27.603	     85.167	      1.555	     18.571	    3.508	    4.729	    5.642	    4.211
 1980	     1	    30	    3.567	     17.719	     27.208	     80.885	      1.370	     21.995	    3.971	    5.379	    6.515	    4.883
 1980	     1	    31	    3.019	     17.579	     27.804	     83.096	      0.709	     20.236	    4.022	    4.975	    6.048	    4.512
 1980	     2	     1	    7.199	     19.336	     26.735	     87.520	      1.125	     14.949	    2.551	    3.851	    4.624	    3.360
 1980	     2	     2	   13.037	     19.701	     26.784	     89.653	      0.768	     13.648	    3.400	    3.523	    4.275	    3.084
 1980	     2	     3	   10.016	     19.849	     28.300	     81.198	      1.868	     17.545	    4.453	    4.621	    5.397	    4.045
 1980	     2	     4	    0.158	     17.555	     27.844	     78.172	      1.726	     25.025	    4.395	    6.100	    7.360	    5.586
 1980	     2	     5	    0.063	     16.849	     28.895	     74.873	      1.089	     28.289	    4.870	    6.795	    8.268	    6.337
 1980	     2	     6	    0.013	     16.619	     30.306	     74.240	      0.517	     26.522	    4.496	    6.424	    7.844	    6.028
 1980	     2	     7	    1.301	     18.589	     31.216	     74.821	      0.632	     25.954	    4.875	    6.433	    7.826	    6.104
 1980	     2	     8	    6.938	     19.494	     29.654	     79.378	      1.036	     21.180	    4.603	    5.374	    6.445	    4.940
 1980	     2	     9	    3.890	     18.311	     28.211	     77.480	      1.682	     24.316	    4.236	    5.979	    7.215	    5.502
 1980	     2	    10	    0.572	     19.137	     27.648	     76.874	      2.015	     22.874	    4.569	    5.602	    6.827	    5.190
 1980	     2	    11	    0.318	     17.247	     27.893	     75.041	      1.756	     22.218	    4.116	    5.599	    6.573	    4.940
 1980	     2	    12	    0.515	     17.117	     28.883	     75.353	      1.280	     23.205	    3.667	    5.828	    6.878	    5.214
 1980	     2	    13	    5.500	     18.499	     26.237	     84.543	      0.653	     13.962	    3.460	    3.557	    4.317	    3.090
 1980	     2	    14	    9.528	     17.787	     24.271	     83.284	      1.102	     11.338	    1.936	    2.984	    3.557	    2.424
 1980	     2	    15	    3.519	     16.762	     25.135	     82.994	      1.381	     13.966	    2.593	    3.647	    4.242	    2.977
 1980	     2	    16	    5.548	     17.187	     23.288	     87.884	      1.365	     10.624	    2.171	    2.812	    3.339	    2.227
 1980	     2	    17	    7.080	     16.767	     24.799	     86.611	      1.103	     14.495	    2.441	    3.668	    4.376	    3.082
 1980	     2	    18	   16.483	     17.606	     22.129	     92.422	      1.533	      9.533	    1.812	    2.487	    3.044	    1.978
 1980	     2	    19	   14.283	     17.577	     25.731	     85.783	      1.612	     16.175	    3.180	    4.124	    4.870	    3.516
 1980	     2	    20	    4.585	     16.166	     25.791	     83.009	      1.062	     18.686	    3.635	    4.570	    5.489	    3.992
 1980	     2	    21	    7.931	     16.995	     27.863	     81.724	      1.219	     20.183	    3.830	    5.093	    5.998	    4.473
 1980	     2	    22	    5.496	     18.627	     27.031	     82.485	      1.550	     16.656	    3.526	    4.310	    5.068	    3.730
 1980	     2	    23	    4.527	     16.844	     28.798	     81.062	      1.007	     23.175	    4.362	    5.737	    6.845	    5.188
 1980	     2	    24	    1.677	     16.788	     28.001	     78.628	      1.017	     23.037	    3.865	    5.624	    6.767	    5.101
 1980	     2	    25	    2.588	     17.134	     27.285	     80.992	      1.061	     21.803	    4.045	    5.302	    6.416	    4.805
 1980	     2	    26	    2.179	     17.161	     27.732	     79.509	      1.110	     22.620	    4.324	    5.523	    6.656	    5.015
 1980	     2	    27	    0.806	     17.497	     27.673	     78.100	      1.322	     21.270	    4.234	    5.282	    6.300	    4.731
 1980	     2	    28	    0.363	     17.573	     27.822	     77.575	      1.520	     22.247	    4.695	    5.521	    6.574	    4.961
 1980	     2	    29	    0.368	     17.510	     27.933	     77.802	      1.637	     24.586	    4.144	    6.003	    7.213	    5.488
 1980	     3	     1	    0.114	     17.111	     27.962	     75.571	      1.617	     24.468	    4.451	    5.997	    7.161	    5.436
 1980	     3	     2	    0.193	     17.234	     27.181	     78.566	      1.579	     20.615	    3.824	    5.148	    6.088	    4.545
 1980	     3	     3	    0.237	     17.161	     27.831	     77.643	      1.329	     21.854	    3.973	    5.425	    6.445	    4.852
 1980	     3	     4	    0.528	     16.964	     27.487	     75.594	      1.360	     21.968	    4.080	    5.414	    6.451	    4.844
 1980	     3	     5	    0.157	     15.919	     27.563	     74.938	      1.548	     22.613	    3.864	    5.626	    6.579	    4.926
