CABra ID  	 668
ANA ID    	 42435000
Longitude 	 -43.019   	 dd
Latitude  	 -19.232   	 dd
Area      	 4154.126  	 km²
Elevation 	 780.526   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    5.278	     19.872	     25.357	     88.596	      2.022	     12.887	    3.048	    3.327	    4.009	    2.869
 1980	     1	     2	   17.182	     19.136	     26.137	     83.817	      1.284	     15.182	    1.968	    3.841	    4.629	    3.382
 1980	     1	     3	    0.212	     18.534	     27.384	     80.138	      0.751	     18.486	    2.875	    4.550	    5.543	    4.150
 1980	     1	     4	    0.160	     18.661	     29.126	     74.030	      0.927	     26.571	    4.551	    6.388	    7.842	    6.102
 1980	     1	     5	    0.846	     19.358	     27.910	     77.577	      1.760	     22.611	    3.557	    5.528	    6.725	    5.160
 1980	     1	     6	    2.182	     18.660	     28.355	     80.098	      1.557	     23.990	    4.057	    5.872	    7.093	    5.459
 1980	     1	     7	    2.935	     19.357	     26.058	     85.466	      1.265	     16.077	    3.450	    3.991	    4.875	    3.587
 1980	     1	     8	   12.525	     19.450	     26.515	     83.491	      1.134	     15.204	    3.370	    3.851	    4.653	    3.416
 1980	     1	     9	   12.826	     18.823	     26.501	     84.528	      1.158	     16.570	    2.701	    4.145	    5.005	    3.693
 1980	     1	    10	   13.088	     19.777	     25.619	     85.956	      1.162	     12.028	    2.525	    3.133	    3.779	    2.683
 1980	     1	    11	   13.545	     19.221	     25.612	     88.367	      0.910	     12.707	    2.373	    3.260	    3.950	    2.815
 1980	     1	    12	   21.682	     18.566	     23.614	     90.404	      1.068	      9.987	    2.049	    2.615	    3.179	    2.140
 1980	     1	    13	   40.015	     18.608	     21.481	     96.590	      1.362	      7.366	    1.147	    1.950	    2.469	    1.535
 1980	     1	    14	   47.948	     18.859	     24.611	     92.932	      1.497	     10.245	    1.192	    2.784	    3.267	    2.231
 1980	     1	    15	   38.437	     19.522	     23.795	     93.406	      1.285	      8.637	    1.658	    2.340	    2.839	    1.877
 1980	     1	    16	   28.664	     19.257	     23.110	     93.542	      1.346	      9.872	    2.110	    2.522	    3.152	    2.120
 1980	     1	    17	   18.162	     19.380	     25.871	     88.961	      1.331	     12.589	    2.939	    3.308	    3.926	    2.804
 1980	     1	    18	    7.298	     19.366	     26.563	     87.208	      0.761	     14.046	    2.928	    3.573	    4.335	    3.154
 1980	     1	    19	    5.358	     18.799	     28.509	     83.622	      0.720	     20.023	    3.898	    4.945	    6.010	    4.572
 1980	     1	    20	    3.891	     19.819	     29.456	     81.442	      0.644	     22.341	    4.576	    5.480	    6.730	    5.222
 1980	     1	    21	    2.472	     20.031	     30.099	     80.930	      0.666	     22.772	    4.205	    5.627	    6.885	    5.376
 1980	     1	    22	    1.571	     19.951	     29.652	     79.223	      0.844	     21.140	    4.181	    5.287	    6.405	    4.961
 1980	     1	    23	    4.598	     20.904	     29.373	     79.895	      0.809	     21.297	    4.608	    5.270	    6.475	    5.037
 1980	     1	    24	    6.532	     19.993	     28.807	     83.028	      0.556	     20.851	    4.373	    5.098	    6.294	    4.847
 1980	     1	    25	   13.183	     20.235	     28.221	     81.640	      0.889	     18.395	    3.661	    4.591	    5.599	    4.258
 1980	     1	    26	    9.414	     19.997	     27.840	     84.971	      0.602	     16.874	    3.260	    4.203	    5.158	    3.877
 1980	     1	    27	    8.216	     19.780	     28.810	     82.563	      0.773	     19.940	    3.961	    4.949	    6.032	    4.623
 1980	     1	    28	    7.515	     20.175	     28.718	     83.641	      0.964	     18.899	    3.980	    4.752	    5.752	    4.398
 1980	     1	    29	   16.571	     20.074	     29.138	     86.443	      0.757	     19.326	    4.150	    4.840	    5.881	    4.515
 1980	     1	    30	   11.006	     20.439	     27.743	     86.473	      0.885	     13.263	    2.507	    3.492	    4.166	    3.060
 1980	     1	    31	   13.325	     20.351	     27.387	     85.336	      0.750	     15.104	    3.110	    3.822	    4.666	    3.467
 1980	     2	     1	   23.233	     20.163	     27.097	     88.152	      1.374	     14.462	    2.994	    3.762	    4.478	    3.300
 1980	     2	     2	   27.638	     20.394	     25.978	     86.329	      1.750	     10.843	    2.306	    2.965	    3.471	    2.448
 1980	     2	     3	    8.943	     20.914	     27.301	     87.844	      1.613	     12.935	    2.726	    3.468	    4.076	    2.985
 1980	     2	     4	    3.916	     20.575	     27.727	     87.429	      0.982	     14.266	    2.641	    3.706	    4.446	    3.297
 1980	     2	     5	   11.634	     20.108	     27.579	     84.282	      0.667	     15.141	    3.944	    3.833	    4.673	    3.473
 1980	     2	     6	    6.926	     20.538	     29.752	     81.283	      0.540	     21.063	    4.348	    5.201	    6.404	    4.982
 1980	     2	     7	    3.724	     20.902	     28.934	     85.766	      0.688	     16.583	    3.222	    4.218	    5.128	    3.902
 1980	     2	     8	   10.811	     20.772	     28.903	     84.657	      0.671	     16.465	    3.637	    4.188	    5.090	    3.867
 1980	     2	     9	    3.294	     20.616	     28.668	     81.172	      1.199	     20.177	    4.359	    5.025	    6.119	    4.717
 1980	     2	    10	    3.284	     20.798	     28.220	     81.094	      1.742	     19.715	    3.685	    4.924	    5.981	    4.595
 1980	     2	    11	    0.618	     20.371	     28.288	     75.603	      2.293	     20.887	    4.521	    5.237	    6.293	    4.847
 1980	     2	    12	    2.823	     20.107	     27.785	     81.452	      1.484	     17.190	    2.818	    4.389	    5.242	    3.953
 1980	     2	    13	   22.880	     20.218	     23.706	     93.583	      1.095	      8.777	    1.772	    2.307	    2.880	    1.923
 1980	     2	    14	   43.144	     18.430	     21.200	     93.570	      2.057	      7.003	    1.009	    1.863	    2.366	    1.451
 1980	     2	    15	   17.293	     17.388	     20.849	     91.593	      2.089	      9.094	    1.627	    2.262	    2.877	    1.849
 1980	     2	    16	   10.711	     17.053	     20.842	     90.361	      1.683	      8.646	    1.343	    2.212	    2.758	    1.750
 1980	     2	    17	    8.552	     17.121	     21.925	     94.727	      1.123	      8.468	    1.301	    2.260	    2.730	    1.741
 1980	     2	    18	   31.055	     18.061	     23.547	     93.272	      1.800	      8.694	    1.319	    2.469	    2.824	    1.848
 1980	     2	    19	    6.198	     18.866	     27.154	     81.112	      1.579	     17.458	    3.536	    4.443	    5.253	    3.924
 1980	     2	    20	    1.190	     18.129	     29.881	     74.425	      1.022	     25.309	    4.359	    6.232	    7.484	    5.828
 1980	     2	    21	    0.300	     18.924	     29.462	     73.671	      0.848	     24.627	    4.436	    5.994	    7.313	    5.696
 1980	     2	    22	    2.348	     19.987	     27.145	     83.315	      1.677	     14.619	    2.120	    3.844	    4.509	    3.331
 1980	     2	    23	    1.602	     18.998	     29.248	     75.973	      1.293	     22.730	    4.097	    5.677	    6.778	    5.249
 1980	     2	    24	    0.711	     19.690	     29.947	     74.262	      1.256	     23.261	    4.357	    5.839	    6.985	    5.461
 1980	     2	    25	    2.455	     19.201	     29.105	     74.826	      1.179	     22.860	    4.471	    5.654	    6.816	    5.283
 1980	     2	    26	    0.888	     19.441	     28.139	     80.097	      1.069	     16.991	    3.263	    4.346	    5.168	    3.893
 1980	     2	    27	    4.344	     19.643	     27.378	     83.158	      1.022	     15.586	    3.047	    3.974	    4.767	    3.546
 1980	     2	    28	   13.605	     19.078	     26.762	     84.692	      0.953	     13.597	    2.477	    3.530	    4.196	    3.048
 1980	     2	    29	    1.462	     19.261	     28.078	     82.685	      1.216	     22.130	    4.049	    5.385	    6.570	    5.055
 1980	     3	     1	    1.080	     17.843	     28.681	     77.379	      1.696	     23.839	    4.192	    5.935	    6.999	    5.391
 1980	     3	     2	    0.679	     18.886	     28.207	     77.437	      1.739	     22.876	    4.219	    5.629	    6.762	    5.210
 1980	     3	     3	    1.037	     19.416	     28.356	     74.066	      1.499	     20.085	    3.990	    5.054	    6.021	    4.611
 1980	     3	     4	    1.496	     19.295	     27.649	     81.626	      1.514	     18.247	    3.747	    4.615	    5.488	    4.148
 1980	     3	     5	    2.394	     18.769	     28.040	     77.777	      1.390	     17.815	    3.374	    4.586	    5.363	    4.044
 1980	     3	     6	    0.201	     18.301	     28.430	     74.004	      1.801	     22.591	    3.791	    5.653	    6.663	    5.122
 1980	     3	     7	    0.019	     17.689	     28.109	     72.586	      1.538	     21.428	    3.229	    5.368	    6.305	    4.804
 1980	     3	     8	    0.235	     17.754	     27.250	     74.663	      0.905	     20.891	    3.376	    5.036	    6.127	    4.638
 1980	     3	     9	    0.399	     17.922	     29.345	     73.851	      1.021	     22.962	    3.741	    5.688	    6.783	    5.240
 1980	     3	    10	    0.000	     18.506	     30.185	     66.289	      1.165	     25.416	    4.668	    6.303	    7.526	    5.900
 1980	     3	    11	    0.000	     18.687	     30.333	     63.804	      1.227	     24.715	    4.366	    6.193	    7.345	    5.759
 1980	     3	    12	    0.000	     17.875	     31.263	     68.247	      0.745	     24.256	    3.956	    6.055	    7.221	    5.660
 1980	     3	    13	    0.062	     19.594	     31.356	     71.341	      0.879	     20.282	    3.936	    5.262	    6.176	    4.834
 1980	     3	    14	   11.219	     19.926	     28.873	     80.096	      0.713	     15.959	    3.740	    4.089	    4.902	    3.710
 1980	     3	    15	    5.516	     19.588	     28.853	     81.291	      0.694	     17.927	    4.387	    4.497	    5.435	    4.149
 1980	     3	    16	    2.020	     19.584	     29.440	     80.170	      0.998	     19.495	    4.223	    4.946	    5.887	    4.544
 1980	     3	    17	    1.817	     19.158	     29.273	     77.589	      1.127	     21.486	    3.391	    5.372	    6.416	    4.972
 1980	     3	    18	    0.763	     19.957	     29.191	     75.347	      1.421	     22.202	    4.017	    5.528	    6.643	    5.182
 1980	     3	    19	    0.000	     18.542	     29.277	     69.608	      1.184	     22.914	    4.322	    5.687	    6.780	    5.264
 1980	     3	    20	    0.105	     18.256	     28.579	     73.029	      1.426	     21.442	    3.610	    5.372	    6.334	    4.868
 1980	     3	    21	    0.110	     18.211	     29.815	     69.181	      0.982	     23.073	    3.765	    5.733	    6.830	    5.314
 1980	     3	    22	    0.000	     18.649	     30.010	     68.069	      0.899	     20.623	    3.907	    5.220	    6.177	    4.786
 1980	     3	    23	    0.000	     18.219	     30.030	     65.032	      1.415	     23.598	    3.816	    5.987	    6.981	    5.450
 1980	     3	    24	    0.000	     18.691	     29.567	     63.417	      1.674	     22.993	    3.628	    5.843	    6.813	    5.310
 1980	     3	    25	    0.000	     17.113	     29.821	     65.819	      1.226	     23.409	    3.680	    5.899	    6.865	    5.321
 1980	     3	    26	    0.001	     17.329	     29.842	     67.637	      1.312	     21.046	    3.519	    5.464	    6.228	    4.797
 1980	     3	    27	    0.000	     17.120	     30.704	     66.695	      1.007	     23.581	    3.842	    5.960	    6.949	    5.418
 1980	     3	    28	    0.000	     18.395	     31.331	     61.878	      0.897	     23.845	    3.784	    6.010	    7.108	    5.603
 1980	     3	    29	    0.416	     17.760	     31.206	     64.914	      0.715	     20.911	    3.161	    5.324	    6.256	    4.870
 1980	     3	    30	    0.000	     17.763	     31.907	     66.147	      0.585	     21.245	    3.205	    5.387	    6.374	    4.989
 1980	     3	    31	    0.656	     20.175	     32.049	     68.901	      0.886	     19.914	    3.689	    5.222	    6.092	    4.817
 1980	     4	     1	    5.968	     20.109	     29.317	     77.849	      0.991	     16.815	    3.647	    4.355	    5.134	    3.937
 1980	     4	     2	   20.861	     19.319	     25.984	     87.987	      0.680	     12.018	    3.145	    3.081	    3.731	    2.678
 1980	     4	     3	   13.617	     20.192	     25.540	     88.101	      1.019	     10.448	    2.553	    2.754	    3.319	    2.340
 1980	     4	     4	   10.475	     18.801	     26.098	     85.675	      0.666	     12.935	    2.870	    3.278	    3.963	    2.868
 1980	     4	     5	   16.939	     19.918	     27.692	     87.236	      0.530	     14.496	    4.060	    3.647	    4.445	    3.322
 1980	     4	     6	   14.061	     19.906	     28.279	     86.248	      0.746	     16.439	    3.692	    4.131	    4.989	    3.793
 1980	     4	     7	    9.192	     19.470	     27.942	     85.005	      0.899	     17.932	    3.641	    4.444	    5.371	    4.099
 1980	     4	     8	    7.579	     19.838	     27.538	     88.667	      1.193	     13.974	    2.631	    3.664	    4.293	    3.193
 1980	     4	     9	   11.229	     19.567	     27.853	     86.020	      0.725	     16.550	    3.523	    4.119	    4.993	    3.784
 1980	     4	    10	    8.521	     20.249	     29.869	     82.111	      0.683	     18.638	    4.318	    4.681	    5.648	    4.400
 1980	     4	    11	   10.596	     19.495	     28.679	     85.013	      0.590	     16.155	    3.451	    4.063	    4.902	    3.727
 1980	     4	    12	    3.622	     20.740	     29.791	     81.868	      0.675	     18.592	    3.640	    4.655	    5.646	    4.410
 1980	     4	    13	    1.766	     20.329	     29.889	     81.073	      0.591	     16.465	    3.902	    4.196	    5.041	    3.892
 1980	     4	    14	   18.783	     19.857	     28.079	     83.564	      0.898	     15.166	    3.091	    3.882	    4.622	    3.489
 1980	     4	    15	    7.782	     19.928	     27.199	     87.360	      0.401	     10.966	    1.990	    2.852	    3.465	    2.499
 1980	     4	    16	    7.983	     19.319	     27.325	     85.113	      0.858	     12.409	    2.249	    3.277	    3.843	    2.810
 1980	     4	    17	    2.934	     19.687	     27.201	     87.023	      2.012	     13.984	    3.004	    3.768	    4.272	    3.177
