CABra ID  	 69
ANA ID    	 24750000
Longitude 	 -59.96    	 dd
Latitude  	 -15.007   	 dd
Area      	 22580.8038	 km²
Elevation 	 302.5131  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   15.588	     19.473	     25.777	     83.586	      0.967	     13.748	    2.195	    3.476	    4.240	    3.060
 1980	     1	     2	    2.879	     18.236	     27.210	     75.980	      0.677	     20.414	    3.019	    4.915	    6.049	    4.558
 1980	     1	     3	    0.222	     17.054	     28.441	     71.422	      0.801	     20.438	    2.759	    5.069	    6.053	    4.564
 1980	     1	     4	    0.795	     17.549	     30.040	     69.211	      0.764	     23.833	    3.634	    5.891	    7.071	    5.461
 1980	     1	     5	    2.201	     19.116	     31.132	     67.688	      1.424	     26.315	    5.066	    6.691	    7.891	    6.222
 1980	     1	     6	    8.743	     19.370	     27.813	     82.304	      1.175	     19.383	    4.476	    4.817	    5.831	    4.419
 1980	     1	     7	   14.656	     19.779	     28.281	     81.522	      1.042	     16.652	    3.956	    4.284	    5.104	    3.837
 1980	     1	     8	    8.151	     20.180	     25.582	     88.413	      0.824	     13.119	    2.898	    3.298	    4.082	    2.940
 1980	     1	     9	    4.211	     19.978	     28.443	     83.369	      1.037	     18.141	    3.364	    4.592	    5.527	    4.198
 1980	     1	    10	   14.576	     20.384	     27.636	     84.666	      1.408	     15.857	    3.867	    4.090	    4.883	    3.651
 1980	     1	    11	    9.828	     20.429	     26.553	     86.956	      1.498	     13.249	    3.084	    3.464	    4.142	    3.013
 1980	     1	    12	   12.587	     20.144	     25.107	     91.827	      0.945	     10.228	    2.049	    2.699	    3.290	    2.278
 1980	     1	    13	    9.119	     19.653	     28.484	     83.667	      0.938	     17.981	    3.493	    4.556	    5.473	    4.147
 1980	     1	    14	   15.287	     19.521	     28.921	     82.920	      0.834	     18.904	    4.256	    4.762	    5.738	    4.375
 1980	     1	    15	   20.908	     20.451	     28.011	     86.129	      0.772	     14.939	    3.758	    3.836	    4.639	    3.458
