CABra ID  	 700
ANA ID    	 60478600
Longitude 	 -40.49    	 dd
Latitude  	 -20.422   	 dd
Area      	 1651.8431 	 km²
Elevation 	 819.1357  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    8.986	     17.823	     22.475	     92.012	      2.099	      9.730	    1.295	    2.577	    3.117	    2.034
 1980	     1	     2	   14.982	     18.030	     23.588	     88.474	      1.501	     10.854	    1.210	    2.861	    3.435	    2.308
 1980	     1	     3	    6.835	     17.316	     25.099	     82.660	      0.692	     17.553	    3.354	    4.232	    5.232	    3.771
 1980	     1	     4	    0.504	     17.966	     28.057	     72.908	      0.926	     25.437	    4.670	    6.103	    7.519	    5.718
 1980	     1	     5	    0.742	     17.113	     26.837	     75.810	      2.267	     22.994	    3.975	    5.658	    6.753	    5.038
 1980	     1	     6	    0.342	     17.391	     27.123	     78.264	      1.927	     21.117	    3.544	    5.306	    6.268	    4.659
 1980	     1	     7	    2.777	     17.573	     26.133	     82.658	      1.293	     18.111	    3.848	    4.507	    5.425	    3.956
 1980	     1	     8	   17.662	     16.962	     24.675	     85.306	      1.179	     12.901	    2.500	    3.371	    3.973	    2.744
 1980	     1	     9	   13.972	     17.459	     25.924	     82.814	      1.335	     15.356	    2.900	    3.969	    4.672	    3.340
 1980	     1	    10	   19.449	     17.589	     24.462	     84.398	      1.381	     12.779	    2.673	    3.325	    3.952	    2.733
 1980	     1	    11	    6.178	     17.373	     25.621	     83.804	      1.166	     14.520	    2.941	    3.752	    4.437	    3.143
 1980	     1	    12	   10.231	     17.273	     22.496	     88.626	      1.239	     10.740	    2.151	    2.755	    3.370	    2.229
 1980	     1	    13	   41.155	     17.522	     20.305	     95.073	      1.332	      7.204	    0.599	    1.904	    2.430	    1.457
 1980	     1	    14	   38.617	     17.551	     25.093	     90.023	      1.011	     12.768	    2.243	    3.332	    3.961	    2.751
 1980	     1	    15	   19.811	     18.537	     23.527	     92.189	      1.181	     10.822	    2.018	    2.799	    3.434	    2.315
 1980	     1	    16	   17.748	     18.142	     22.781	     91.789	      1.408	      9.795	    1.713	    2.570	    3.144	    2.064
 1980	     1	    17	   17.158	     18.206	     24.522	     87.377	      1.635	     11.807	    2.355	    3.143	    3.708	    2.547
 1980	     1	    18	   10.081	     18.149	     25.771	     84.470	      0.865	     13.901	    2.544	    3.565	    4.294	    3.044
 1980	     1	    19	    4.570	     17.417	     28.102	     78.143	      0.831	     22.711	    4.492	    5.543	    6.743	    5.074
