CABra ID  	 711
ANA ID    	 62676000
Longitude 	 -41.2     	 dd
Latitude  	 -20.606   	 dd
Area      	 995.2054  	 km²
Elevation 	 780.8563  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   24.132	     15.157	     21.199	     89.790	      1.695	     11.644	    2.391	    2.917	    3.515	    2.310
 1980	     1	     2	    0.240	     12.949	     22.554	     73.209	      1.994	     25.173	    4.300	    5.483	    6.858	    4.930
 1980	     1	     3	    0.046	     12.395	     24.055	     72.077	      1.863	     29.073	    4.698	    6.398	    7.894	    5.769
 1980	     1	     4	    0.026	     11.348	     26.023	     69.474	      1.533	     27.402	    4.387	    6.427	    7.530	    5.508
 1980	     1	     5	    0.254	     13.872	     25.703	     74.129	      1.891	     25.146	    4.194	    5.967	    7.081	    5.205
 1980	     1	     6	    0.036	     14.834	     28.017	     66.081	      1.798	     27.635	    4.916	    6.746	    7.922	    5.970
 1980	     1	     7	    0.292	     16.708	     27.110	     74.573	      2.032	     20.664	    4.632	    5.276	    6.099	    4.519
 1980	     1	     8	   11.029	     17.875	     25.447	     78.031	      1.554	     15.593	    3.278	    3.961	    4.722	    3.389
 1980	     1	     9	   10.394	     18.317	     24.571	     85.783	      1.743	     14.245	    3.892	    3.591	    4.350	    3.078
 1980	     1	    10	   15.564	     18.645	     24.337	     85.074	      2.400	     14.899	    3.390	    3.674	    4.529	    3.224
 1980	     1	    11	   14.293	     18.369	     25.244	     85.599	      1.845	     15.723	    3.714	    3.954	    4.766	    3.430
 1980	     1	    12	   13.354	     17.919	     24.155	     84.200	      1.690	     17.084	    3.681	    4.073	    5.081	    3.654
 1980	     1	    13	    2.153	     16.471	     22.592	     83.588	      2.875	     19.263	    4.425	    4.293	    5.540	    3.964
 1980	     1	    14	    1.787	     16.005	     23.231	     78.051	      3.621	     20.746	    4.020	    4.697	    5.931	    4.281
 1980	     1	    15	    1.162	     15.636	     24.518	     77.374	      3.207	     20.948	    3.493	    5.045	    6.019	    4.372
 1980	     1	    16	    1.888	     15.791	     24.654	     82.576	      2.481	     17.305	    3.798	    4.407	    5.081	    3.627
 1980	     1	    17	   14.980	     18.508	     24.596	     89.821	      1.190	     11.704	    2.345	    3.060	    3.676	    2.538
