CABra ID  	 715
ANA ID    	 64370000
Longitude 	 -41.921   	 dd
Latitude  	 -20.695   	 dd
Area      	 483.9817  	 km²
Elevation 	 1065.2186 	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    1.693	     13.452	     24.995	     62.232	      1.648	     26.063	    3.559	    5.952	    7.196	    5.312
 1980	     1	     2	    0.095	     15.142	     26.096	     62.682	      1.251	     26.444	    3.768	    6.095	    7.460	    5.600
 1980	     1	     3	    0.004	     15.962	     28.388	     57.696	      1.080	     27.890	    4.268	    6.631	    8.023	    6.144
 1980	     1	     4	    0.041	     15.236	     29.551	     52.445	      0.997	     30.103	    4.775	    7.195	    8.646	    6.668
 1980	     1	     5	    0.101	     15.607	     29.317	     55.031	      2.179	     28.490	    4.196	    7.162	    8.214	    6.316
 1980	     1	     6	    2.262	     17.037	     29.757	     66.882	      1.693	     24.165	    4.427	    6.237	    7.133	    5.485
 1980	     1	     7	   24.916	     18.049	     26.908	     80.698	      0.764	     17.817	    4.259	    4.389	    5.333	    3.954
 1980	     1	     8	   17.235	     18.834	     25.458	     87.644	      0.723	     13.420	    2.697	    3.380	    4.133	    2.953
 1980	     1	     9	   14.882	     19.459	     26.883	     85.241	      0.893	     15.233	    2.548	    3.859	    4.673	    3.438
 1980	     1	    10	   12.725	     19.456	     27.816	     80.201	      1.335	     19.609	    3.213	    4.885	    5.901	    4.474
 1980	     1	    11	    2.127	     18.350	     28.553	     77.376	      0.755	     24.851	    4.492	    5.955	    7.328	    5.647
 1980	     1	    12	    2.569	     18.495	     27.785	     74.452	      1.427	     24.017	    4.272	    5.789	    7.069	    5.415
 1980	     1	    13	    1.373	     16.965	     26.817	     66.357	      2.994	     25.000	    3.979	    6.037	    7.209	    5.461
 1980	     1	    14	    0.135	     17.332	     27.328	     62.946	      3.535	     26.969	    4.434	    6.490	    7.789	    5.962
 1980	     1	    15	    1.065	     16.841	     26.644	     68.760	      2.963	     20.956	    2.812	    5.347	    6.120	    4.570
 1980	     1	    16	    0.845	     17.655	     27.945	     70.724	      2.086	     24.552	    4.122	    6.041	    7.181	    5.491
 1980	     1	    17	    5.486	     19.012	     28.042	     77.740	      1.251	     18.541	    3.125	    4.709	    5.597	    4.221
 1980	     1	    18	    6.975	     19.268	     26.634	     85.496	      0.822	     15.480	    3.521	    3.882	    4.727	    3.475
 1980	     1	    19	    5.029	     18.885	     27.755	     82.077	      1.447	     19.202	    3.556	    4.841	    5.763	    4.347
 1980	     1	    20	    4.976	     19.620	     28.000	     82.769	      1.193	     17.126	    3.086	    4.388	    5.225	    3.927
 1980	     1	    21	    6.392	     18.186	     28.129	     80.373	      0.791	     21.622	    3.766	    5.261	    6.410	    4.874
 1980	     1	    22	    4.884	     17.973	     28.577	     80.401	      0.910	     23.758	    3.881	    5.761	    7.005	    5.372
 1980	     1	    23	    7.936	     19.413	     27.249	     86.209	      1.325	     17.133	    3.622	    4.339	    5.201	    3.888
 1980	     1	    24	   36.831	     19.724	     26.121	     87.395	      1.338	     11.476	    2.989	    3.107	    3.639	    2.581
 1980	     1	    25	   26.091	     19.585	     24.482	     89.972	      1.592	     10.682	    3.001	    2.809	    3.395	    2.347
 1980	     1	    26	   28.173	     18.812	     25.878	     87.345	      0.829	     12.506	    1.963	    3.243	    3.894	    2.772
 1980	     1	    27	    3.850	     19.412	     28.189	     79.718	      0.457	     19.188	    3.630	    4.688	    5.790	    4.398
 1980	     1	    28	    1.984	     19.374	     27.611	     85.442	      0.538	     19.030	    3.675	    4.631	    5.725	    4.327
 1980	     1	    29	    2.499	     18.981	     27.078	     74.481	      1.888	     22.192	    4.339	    5.349	    6.555	    4.993
 1980	     1	    30	    0.332	     17.128	     27.839	     71.082	      1.405	     23.788	    4.134	    5.793	    6.932	    5.273
 1980	     1	    31	    2.455	     18.582	     27.468	     82.660	      0.661	     17.621	    3.870	    4.361	    5.308	    3.966
 1980	     2	     1	    7.531	     20.165	     28.184	     83.530	      0.760	     18.418	    3.519	    4.572	    5.600	    4.259
 1980	     2	     2	    1.410	     19.022	     28.144	     73.522	      2.271	     23.785	    4.791	    5.855	    7.037	    5.424
 1980	     2	     3	    0.544	     18.425	     27.846	     69.645	      2.206	     23.177	    3.399	    5.728	    6.828	    5.228
 1980	     2	     4	    0.145	     16.774	     28.207	     67.672	      1.793	     27.869	    4.620	    6.692	    8.034	    6.187
 1980	     2	     5	    0.131	     17.853	     29.253	     69.326	      0.878	     25.887	    4.223	    6.253	    7.608	    5.898
 1980	     2	     6	    0.098	     18.890	     30.483	     72.164	      0.863	     25.257	    4.582	    6.240	    7.542	    5.910
 1980	     2	     7	    3.873	     19.927	     28.419	     83.217	      0.803	     17.098	    3.680	    4.327	    5.228	    3.952
 1980	     2	     8	    9.008	     19.484	     29.337	     75.556	      1.140	     22.295	    4.393	    5.557	    6.690	    5.186
 1980	     2	     9	    4.540	     19.624	     29.149	     79.014	      1.981	     20.696	    4.387	    5.373	    6.240	    4.808
 1980	     2	    10	   17.201	     20.449	     27.068	     87.106	      1.322	     12.632	    2.303	    3.374	    3.975	    2.893
 1980	     2	    11	   18.254	     20.761	     27.512	     87.253	      1.079	     14.394	    3.010	    3.714	    4.476	    3.324
 1980	     2	    12	   15.983	     20.675	     26.885	     88.363	      1.383	     13.258	    2.496	    3.468	    4.148	    3.035
 1980	     2	    13	   17.478	     20.116	     28.183	     83.122	      1.069	     17.223	    2.896	    4.371	    5.256	    3.976
 1980	     2	    14	    2.178	     19.584	     28.364	     75.433	      2.263	     23.640	    4.108	    5.819	    7.021	    5.441
 1980	     2	    15	    1.544	     19.862	     27.615	     73.654	      1.910	     23.105	    4.607	    5.542	    6.852	    5.289
 1980	     2	    16	    1.863	     17.845	     27.111	     75.968	      1.545	     22.005	    3.953	    5.335	    6.439	    4.883
 1980	     2	    17	    5.560	     18.113	     25.962	     82.349	      0.930	     16.477	    4.028	    4.055	    4.925	    3.617
 1980	     2	    18	   11.700	     18.061	     25.891	     82.878	      1.066	     15.338	    2.844	    3.849	    4.618	    3.363
 1980	     2	    19	    1.749	     16.494	     25.608	     74.352	      1.628	     21.271	    3.491	    5.057	    6.116	    4.555
 1980	     2	    20	    0.264	     13.762	     26.930	     70.653	      0.754	     25.852	    4.254	    5.964	    7.231	    5.431
 1980	     2	    21	    0.384	     16.412	     27.812	     71.743	      0.642	     22.407	    3.353	    5.351	    6.508	    4.932
 1980	     2	    22	    0.527	     18.245	     29.015	     70.895	      0.634	     21.401	    4.010	    5.234	    6.361	    4.881
 1980	     2	    23	    5.631	     19.191	     28.079	     81.565	      0.596	     18.319	    3.926	    4.511	    5.517	    4.179
 1980	     2	    24	    6.881	     19.470	     25.805	     82.785	      1.230	     12.998	    1.763	    3.350	    4.021	    2.898
 1980	     2	    25	    6.278	     18.364	     24.344	     88.922	      1.340	     11.857	    2.885	    3.054	    3.661	    2.557
 1980	     2	    26	   14.217	     18.611	     21.859	     92.267	      1.508	      8.610	    1.696	    2.199	    2.781	    1.805
 1980	     2	    27	   41.492	     19.368	     22.081	     94.116	      1.967	      6.826	    1.658	    1.848	    2.331	    1.449
 1980	     2	    28	   38.055	     19.117	     23.875	     91.434	      1.808	      8.164	    1.860	    2.321	    2.695	    1.769
 1980	     2	    29	   23.207	     19.803	     26.057	     89.537	      1.754	     12.044	    2.710	    3.240	    3.773	    2.708
 1980	     3	     1	   10.829	     19.385	     29.174	     81.182	      0.866	     21.820	    4.482	    5.371	    6.521	    5.058
 1980	     3	     2	    1.390	     19.234	     30.066	     75.478	      1.054	     24.248	    4.457	    6.007	    7.226	    5.671
 1980	     3	     3	    0.823	     19.698	     30.255	     76.981	      0.714	     21.985	    4.285	    5.463	    6.620	    5.182
 1980	     3	     4	    0.463	     18.516	     29.609	     70.202	      1.067	     25.199	    4.597	    6.160	    7.429	    5.810
 1980	     3	     5	    1.070	     18.960	     29.760	     76.916	      1.070	     22.594	    4.153	    5.644	    6.733	    5.246
 1980	     3	     6	    1.475	     19.122	     29.618	     75.605	      0.801	     22.883	    4.748	    5.617	    6.815	    5.317
 1980	     3	     7	    0.706	     19.056	     29.806	     77.096	      0.764	     22.276	    4.567	    5.499	    6.649	    5.183
 1980	     3	     8	    2.753	     19.303	     30.046	     76.463	      0.602	     21.161	    4.461	    5.237	    6.358	    4.954
 1980	     3	     9	    1.568	     19.142	     30.292	     73.545	      0.468	     21.841	    4.673	    5.356	    6.548	    5.117
 1980	     3	    10	    2.819	     19.191	     30.171	     77.196	      0.546	     21.453	    4.275	    5.289	    6.436	    5.022
 1980	     3	    11	    1.652	     19.558	     30.026	     78.926	      0.568	     18.695	    4.214	    4.701	    5.674	    4.390
 1980	     3	    12	    7.055	     19.920	     29.323	     79.685	      0.763	     17.731	    3.851	    4.498	    5.395	    4.147
 1980	     3	    13	   10.806	     19.345	     26.078	     87.487	      1.037	     13.576	    2.737	    3.452	    4.159	    3.031
 1980	     3	    14	    8.598	     19.319	     25.812	     86.231	      1.032	     12.505	    2.581	    3.218	    3.865	    2.781
 1980	     3	    15	   10.214	     17.812	     22.220	     87.131	      2.217	      9.545	    2.783	    2.472	    2.996	    1.988
 1980	     3	    16	   31.267	     18.521	     26.609	     81.922	      1.403	     14.012	    3.015	    3.688	    4.261	    3.115
 1980	     3	    17	    6.454	     19.206	     27.357	     82.953	      1.072	     16.218	    2.703	    4.098	    4.892	    3.669
 1980	     3	    18	    0.212	     19.160	     29.741	     78.226	      0.694	     21.104	    3.940	    5.216	    6.306	    4.914
 1980	     3	    19	    1.035	     19.892	     29.149	     79.467	      1.269	     20.851	    4.178	    5.218	    6.239	    4.861
 1980	     3	    20	    0.201	     18.566	     29.234	     71.664	      1.100	     23.170	    4.012	    5.692	    6.822	    5.321
 1980	     3	    21	    0.425	     19.134	     29.884	     74.195	      0.412	     20.608	    3.300	    5.030	    6.165	    4.802
 1980	     3	    22	    0.461	     19.169	     30.161	     72.328	      0.512	     21.688	    3.547	    5.307	    6.476	    5.075
 1980	     3	    23	    0.028	     19.284	     31.074	     68.618	      0.576	     20.686	    3.698	    5.185	    6.233	    4.897
 1980	     3	    24	    0.105	     19.166	     30.504	     68.959	      0.499	     21.465	    3.707	    5.277	    6.422	    5.041
 1980	     3	    25	    0.124	     18.582	     30.478	     69.897	      0.760	     20.968	    3.518	    5.264	    6.256	    4.889
 1980	     3	    26	    0.122	     19.320	     30.345	     69.385	      1.099	     20.849	    3.556	    5.326	    6.246	    4.896
 1980	     3	    27	    0.076	     19.203	     30.541	     65.913	      0.639	     20.654	    3.521	    5.156	    6.193	    4.856
 1980	     3	    28	    0.051	     19.466	     30.477	     64.700	      1.275	     19.560	    3.133	    5.131	    5.894	    4.608
 1980	     3	    29	    8.474	     19.673	     26.708	     81.616	      1.156	     14.006	    2.124	    3.582	    4.271	    3.161
 1980	     3	    30	    7.440	     18.222	     27.040	     82.827	      1.681	     16.242	    3.348	    4.212	    4.835	    3.619
 1980	     3	    31	    2.214	     17.393	     25.268	     76.025	      2.492	     14.591	    2.279	    3.845	    4.323	    3.146
 1980	     4	     1	    0.018	     15.228	     26.873	     72.343	      1.846	     20.481	    3.168	    5.162	    5.820	    4.382
 1980	     4	     2	    0.130	     16.308	     26.442	     73.196	      1.650	     16.887	    2.602	    4.352	    4.912	    3.641
 1980	     4	     3	    1.349	     17.381	     22.617	     88.269	      1.139	      8.580	    1.898	    2.297	    2.726	    1.784
 1980	     4	     4	    7.402	     18.136	     24.798	     87.820	      0.521	     11.828	    3.251	    2.951	    3.607	    2.557
 1980	     4	     5	    9.917	     18.411	     25.401	     85.545	      0.599	     11.315	    1.499	    2.892	    3.490	    2.475
 1980	     4	     6	    1.540	     16.027	     26.459	     77.234	      1.260	     19.854	    3.221	    4.804	    5.663	    4.272
 1980	     4	     7	    0.117	     16.814	     26.070	     71.499	      1.885	     19.408	    3.102	    4.749	    5.562	    4.197
 1980	     4	     8	    0.380	     16.358	     26.378	     77.327	      1.272	     14.161	    1.683	    3.744	    4.194	    3.056
 1980	     4	     9	    1.907	     18.259	     27.304	     83.689	      0.446	     14.597	    3.102	    3.612	    4.385	    3.264
 1980	     4	    10	    3.958	     19.948	     28.381	     82.850	      1.497	     15.348	    2.656	    4.058	    4.659	    3.548
 1980	     4	    11	    2.927	     19.993	     28.079	     80.730	      1.832	     16.049	    2.862	    4.212	    4.842	    3.702
