CABra ID  	 723
ANA ID    	 75155000
Longitude 	 -45.144   	 dd
Latitude  	 -23.33    	 dd
Area      	 279.9848  	 km²
Elevation 	 1197.9686 	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.024	     10.656	     22.015	     66.405	      1.870	     30.385	    4.036	    6.225	    7.841	    5.713
 1980	     1	     2	    0.000	     11.000	     24.590	     61.744	      1.516	     31.795	    4.211	    6.880	    8.407	    6.234
 1980	     1	     3	    0.000	     12.978	     27.863	     59.717	      0.721	     31.611	    4.471	    7.164	    8.748	    6.655
 1980	     1	     4	    0.072	     16.667	     28.884	     62.038	      1.660	     27.189	    3.874	    6.658	    7.871	    6.077
 1980	     1	     5	    0.145	     17.607	     29.553	     63.594	      2.386	     25.317	    3.781	    6.539	    7.443	    5.770
 1980	     1	     6	    9.675	     19.133	     28.642	     71.642	      2.841	     20.932	    3.152	    5.506	    6.263	    4.806
 1980	     1	     7	   15.704	     18.722	     27.707	     78.506	      1.687	     21.015	    2.567	    5.217	    6.234	    4.748
 1980	     1	     8	   10.126	     18.884	     26.515	     81.555	      1.192	     16.134	    2.594	    4.057	    4.875	    3.599
 1980	     1	     9	   10.419	     18.038	     25.074	     81.150	      1.682	     18.799	    3.006	    4.463	    5.512	    4.075
 1980	     1	    10	    1.929	     17.696	     25.866	     72.400	      2.175	     23.762	    3.834	    5.512	    6.847	    5.181
 1980	     1	    11	    0.018	     15.500	     28.413	     67.716	      1.105	     29.010	    4.432	    6.837	    8.262	    6.353
 1980	     1	    12	    1.427	     16.472	     29.323	     66.441	      1.491	     29.410	    4.593	    7.115	    8.484	    6.593
 1980	     1	    13	    0.000	     17.626	     29.308	     61.274	      2.368	     29.512	    4.810	    7.233	    8.580	    6.708
 1980	     1	    14	    0.001	     16.771	     28.311	     62.434	      2.896	     30.314	    4.636	    7.276	    8.684	    6.736
 1980	     1	    15	    0.025	     16.517	     27.848	     64.478	      2.863	     29.603	    4.542	    7.062	    8.447	    6.519
 1980	     1	    16	    0.248	     17.609	     28.518	     69.405	      2.264	     26.000	    3.873	    6.426	    7.573	    5.852
 1980	     1	    17	    0.644	     18.678	     30.190	     72.856	      1.908	     27.216	    4.978	    6.835	    8.051	    6.331
 1980	     1	    18	    3.390	     18.013	     30.172	     71.429	      1.029	     28.464	    4.779	    6.907	    8.360	    6.568
 1980	     1	    19	    5.748	     19.394	     29.767	     74.733	      1.462	     24.929	    4.649	    6.199	    7.426	    5.819
 1980	     1	    20	    1.182	     18.426	     29.052	     60.618	      1.919	     29.245	    4.558	    7.022	    8.534	    6.691
 1980	     1	    21	    0.000	     15.214	     28.612	     58.795	      0.979	     28.783	    4.342	    6.785	    8.189	    6.296
 1980	     1	    22	    0.000	     17.358	     30.762	     58.341	      1.765	     27.668	    4.213	    7.058	    8.132	    6.379
 1980	     1	    23	    9.360	     19.962	     28.280	     72.956	      2.609	     17.437	    3.131	    4.683	    5.307	    4.026
 1980	     1	    24	   52.257	     16.048	     22.352	     89.606	      1.357	      8.152	    0.826	    2.327	    2.631	    1.661
 1980	     1	    25	    5.849	     13.476	     24.309	     65.587	      2.941	     28.116	    4.145	    6.230	    7.630	    5.682
 1980	     1	    26	    0.023	     15.126	     28.430	     67.436	      1.278	     27.626	    4.013	    6.618	    7.859	    6.022
 1980	     1	    27	    0.010	     16.836	     29.894	     71.357	      0.687	     27.641	    4.116	    6.613	    8.044	    6.267
 1980	     1	    28	    1.400	     17.837	     28.599	     71.341	      1.677	     27.491	    4.456	    6.608	    7.987	    6.211
 1980	     1	    29	    0.570	     17.727	     29.880	     69.106	      2.034	     27.291	    3.912	    6.869	    7.994	    6.254
 1980	     1	    30	    0.831	     19.958	     28.950	     73.938	      2.073	     21.226	    3.905	    5.418	    6.376	    4.940
 1980	     1	    31	   12.587	     19.856	     26.390	     85.947	      1.268	     15.808	    2.877	    3.937	    4.802	    3.564
 1980	     2	     1	    7.758	     18.992	     26.564	     77.770	      2.938	     23.377	    3.977	    5.482	    6.823	    5.225
 1980	     2	     2	    0.214	     16.358	     28.497	     72.039	      2.831	     26.026	    3.943	    6.615	    7.497	    5.767
 1980	     2	     3	    0.351	     19.097	     29.661	     68.055	      1.714	     26.934	    4.184	    6.621	    7.952	    6.257
 1980	     2	     4	    0.150	     18.917	     29.697	     66.969	      1.890	     24.373	    3.848	    6.181	    7.232	    5.652
 1980	     2	     5	    5.571	     19.983	     28.536	     71.534	      2.296	     18.321	    3.412	    4.836	    5.551	    4.244
 1980	     2	     6	    5.445	     19.720	     27.027	     77.493	      1.964	     21.029	    2.773	    5.059	    6.233	    4.769
 1980	     2	     7	    0.004	     18.367	     28.570	     68.125	      1.283	     27.141	    3.967	    6.457	    7.907	    6.169
 1980	     2	     8	    0.000	     16.347	     29.407	     57.853	      1.407	     29.579	    4.089	    7.126	    8.500	    6.627
 1980	     2	     9	    0.142	     18.562	     30.900	     63.871	      2.564	     27.784	    4.016	    7.218	    8.218	    6.509
 1980	     2	    10	   11.549	     20.436	     26.705	     85.841	      2.863	     11.079	    1.198	    3.234	    3.526	    2.525
 1980	     2	    11	    9.182	     17.148	     26.438	     75.178	      1.184	     21.095	    3.717	    5.041	    6.112	    4.600
 1980	     2	    12	    0.933	     17.053	     29.550	     74.564	      1.006	     23.703	    3.283	    5.870	    6.943	    5.366
 1980	     2	    13	    0.325	     19.455	     31.171	     69.052	      1.690	     25.267	    4.090	    6.515	    7.564	    6.000
 1980	     2	    14	    0.171	     20.011	     31.862	     64.797	      1.827	     26.880	    4.148	    6.952	    8.080	    6.475
 1980	     2	    15	    0.295	     20.207	     31.699	     68.150	      1.844	     26.038	    4.976	    6.749	    7.840	    6.275
 1980	     2	    16	    7.907	     19.914	     29.751	     71.275	      1.926	     22.938	    4.357	    5.847	    6.864	    5.386
 1980	     2	    17	   14.541	     19.150	     25.117	     84.149	      1.225	     13.387	    1.771	    3.361	    4.087	    2.944
 1980	     2	    18	    2.676	     17.255	     24.387	     73.281	      3.509	     19.273	    2.757	    4.528	    5.546	    4.100
 1980	     2	    19	    0.127	     13.762	     25.470	     67.816	      2.791	     25.113	    3.324	    5.975	    6.922	    5.175
 1980	     2	    20	    0.291	     14.922	     27.235	     66.203	      2.144	     23.554	    2.963	    5.884	    6.675	    5.044
 1980	     2	    21	    0.045	     15.022	     28.212	     68.513	      2.215	     26.043	    3.785	    6.510	    7.383	    5.654
 1980	     2	    22	    0.681	     17.675	     29.343	     68.678	      1.858	     21.359	    3.212	    5.613	    6.308	    4.860
 1980	     2	    23	    5.376	     18.722	     28.393	     79.583	      1.674	     19.169	    3.526	    4.942	    5.715	    4.367
 1980	     2	    24	    8.165	     18.794	     27.697	     81.591	      2.193	     14.773	    1.928	    4.129	    4.501	    3.340
 1980	     2	    25	    2.765	     18.957	     25.888	     82.155	      1.953	     14.532	    1.728	    3.745	    4.396	    3.219
 1980	     2	    26	    2.169	     18.629	     28.638	     77.232	      1.306	     19.219	    2.489	    4.903	    5.729	    4.386
