CABra ID  	 724
ANA ID    	 75205000
Longitude 	 -45.9     	 dd
Latitude  	 -23.369   	 dd
Area      	 4994.9582 	 km²
Elevation 	 935.7791  	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    0.000	     10.952	     23.000	     64.496	      1.766	     30.639	    4.010	    6.396	    7.940	    5.869
 1980	     1	     2	    0.000	     11.429	     25.143	     61.363	      1.492	     31.651	    4.310	    6.903	    8.386	    6.291
 1980	     1	     3	    0.000	     13.512	     28.308	     58.135	      0.855	     31.749	    4.532	    7.252	    8.797	    6.769
 1980	     1	     4	    0.065	     16.933	     29.810	     59.744	      1.675	     27.636	    3.949	    6.864	    8.011	    6.267
 1980	     1	     5	    0.339	     17.934	     30.374	     62.103	      2.278	     25.081	    4.172	    6.594	    7.391	    5.796
 1980	     1	     6	    3.248	     19.861	     29.859	     68.364	      2.479	     20.488	    3.228	    5.526	    6.176	    4.814
 1980	     1	     7	    9.960	     19.206	     28.564	     76.081	      1.470	     21.611	    2.861	    5.373	    6.414	    4.962
 1980	     1	     8	    6.355	     19.416	     27.395	     80.696	      1.222	     15.723	    2.628	    4.036	    4.774	    3.569
 1980	     1	     9	    5.241	     18.594	     25.488	     79.705	      2.067	     20.701	    3.447	    4.818	    6.019	    4.543
 1980	     1	    10	    0.938	     17.714	     27.816	     69.181	      2.074	     25.009	    3.875	    6.057	    7.234	    5.588
 1980	     1	    11	    0.060	     17.021	     29.593	     64.706	      0.923	     29.631	    4.498	    7.023	    8.545	    6.709
 1980	     1	    12	    0.938	     17.279	     30.125	     65.660	      1.444	     29.537	    4.477	    7.203	    8.566	    6.752
 1980	     1	    13	    0.008	     18.171	     30.110	     61.916	      2.358	     29.198	    4.501	    7.283	    8.524	    6.745
 1980	     1	    14	    0.000	     17.780	     29.441	     59.496	      2.878	     30.873	    4.446	    7.533	    8.920	    7.042
 1980	     1	    15	    0.034	     17.614	     28.760	     62.404	      2.868	     28.990	    4.197	    7.057	    8.354	    6.545
 1980	     1	    16	    0.250	     18.630	     29.632	     66.153	      2.197	     26.688	    3.801	    6.663	    7.829	    6.164
 1980	     1	    17	    0.333	     19.093	     31.431	     70.277	      1.623	     27.209	    5.097	    6.936	    8.089	    6.454
 1980	     1	    18	    4.204	     18.782	     31.517	     68.116	      0.873	     28.436	    4.862	    6.981	    8.422	    6.727
 1980	     1	    19	    3.459	     19.752	     31.290	     71.013	      1.331	     24.931	    4.597	    6.349	    7.471	    5.949
 1980	     1	    20	    3.304	     18.784	     30.398	     56.303	      1.879	     29.950	    4.431	    7.353	    8.781	    6.993
 1980	     1	    21	    0.000	     15.738	     30.097	     52.949	      0.701	     28.988	    4.044	    6.878	    8.315	    6.501
