CABra ID  	 8
ANA ID    	 14330000
Longitude 	 -67.918   	 dd
Latitude  	 -3.076    	 dd
Area      	 1210246.735	 km²
Elevation 	 1034.6799 	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	   10.133	     21.795	     28.314	     87.615	      0.413	     14.017	    4.466	    3.502	    4.315	    3.307
 1980	     1	     2	    8.025	     21.624	     28.456	     87.866	      0.275	     14.957	    3.188	    3.692	    4.580	    3.535
 1980	     1	     3	    1.767	     21.725	     29.238	     85.408	      0.391	     16.708	    4.312	    4.111	    5.077	    3.977
 1980	     1	     4	    6.112	     21.675	     28.597	     86.653	      0.407	     15.458	    4.147	    3.819	    4.717	    3.655
 1980	     1	     5	    4.765	     21.867	     29.269	     84.517	      0.456	     16.520	    3.894	    4.087	    5.031	    3.942
 1980	     1	     6	    2.058	     21.772	     30.201	     83.560	      0.673	     19.125	    3.963	    4.746	    5.784	    4.610
 1980	     1	     7	    1.767	     21.902	     30.486	     83.455	      0.736	     19.965	    3.990	    4.959	    6.036	    4.838
 1980	     1	     8	    1.743	     21.661	     30.116	     82.880	      0.563	     19.810	    4.194	    4.862	    5.969	    4.764
 1980	     1	     9	    3.929	     21.761	     30.103	     81.492	      0.708	     19.872	    4.618	    4.902	    5.991	    4.786
 1980	     1	    10	    4.108	     22.091	     30.560	     81.726	      0.889	     18.904	    4.151	    4.767	    5.743	    4.592
 1980	     1	    11	    1.945	     22.122	     30.717	     81.186	      0.944	     20.643	    3.858	    5.164	    6.243	    5.028
 1980	     1	    12	    0.202	     21.477	     31.265	     76.401	      1.104	     22.952	    4.078	    5.752	    6.891	    5.583
 1980	     1	    13	    0.230	     21.078	     31.088	     74.988	      1.045	     21.967	    3.925	    5.531	    6.589	    5.308
 1980	     1	    14	    0.321	     21.055	     30.759	     77.006	      0.888	     21.641	    4.214	    5.384	    6.485	    5.209
 1980	     1	    15	    1.605	     21.308	     30.837	     78.468	      0.765	     20.638	    4.488	    5.145	    6.215	    4.984
 1980	     1	    16	    1.367	     21.959	     30.897	     78.145	      0.677	     19.442	    4.675	    4.873	    5.905	    4.734
 1980	     1	    17	    1.747	     22.298	     31.278	     78.767	      0.733	     18.843	    4.408	    4.789	    5.760	    4.629
 1980	     1	    18	    4.531	     22.500	     30.011	     82.943	      0.579	     16.987	    4.984	    4.256	    5.209	    4.125
 1980	     1	    19	   11.848	     22.427	     29.530	     83.851	      0.629	     15.171	    4.014	    3.861	    4.689	    3.667
 1980	     1	    20	    3.008	     22.302	     30.057	     82.370	      0.660	     16.955	    4.836	    4.283	    5.194	    4.109
 1980	     1	    21	    4.995	     22.326	     30.329	     82.871	      0.773	     17.359	    4.699	    4.404	    5.314	    4.219
 1980	     1	    22	    8.354	     21.923	     28.955	     86.101	      0.412	     15.145	    3.920	    3.781	    4.648	    3.603
 1980	     1	    23	    4.937	     21.933	     29.495	     83.995	      0.432	     16.599	    5.076	    4.118	    5.069	    3.978
 1980	     1	    24	    3.716	     22.040	     30.308	     82.972	      0.804	     19.124	    4.802	    4.785	    5.803	    4.632
 1980	     1	    25	    2.515	     22.033	     30.916	     83.153	      0.603	     19.111	    4.496	    4.775	    5.817	    4.659
 1980	     1	    26	    7.508	     22.442	     29.380	     85.130	      0.519	     15.915	    5.099	    3.983	    4.891	    3.832
 1980	     1	    27	    7.401	     22.282	     29.308	     84.969	      0.392	     15.765	    4.386	    3.923	    4.841	    3.784
 1980	     1	    28	    1.636	     22.014	     30.768	     81.254	      0.642	     19.723	    4.210	    4.914	    5.987	    4.800
 1980	     1	    29	    1.342	     22.421	     30.965	     80.540	      0.649	     19.482	    3.738	    4.878	    5.941	    4.775
 1980	     1	    30	    1.719	     22.589	     30.889	     80.282	      0.906	     19.934	    4.086	    5.019	    6.072	    4.888
 1980	     1	    31	    1.562	     22.233	     31.534	     77.245	      0.708	     21.277	    4.220	    5.331	    6.463	    5.233
 1980	     2	     1	    0.518	     22.249	     31.859	     76.182	      0.726	     20.915	    4.446	    5.273	    6.372	    5.163
 1980	     2	     2	    1.170	     22.823	     31.797	     75.857	      0.663	     20.921	    4.920	    5.251	    6.393	    5.197
