CABra ID  	 94
ANA ID    	 32620000
Longitude 	 -62.047   	 dd
Latitude  	 -7.956    	 dd
Area      	 3648.4184 	 km²
Elevation 	 89.3383   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    2.602	     22.453	     31.143	     79.433	      1.450	     18.786	    3.136	    4.931	    5.748	    4.616
 1980	     1	     2	    2.464	     22.426	     31.259	     78.546	      1.435	     18.986	    3.001	    4.992	    5.812	    4.677
 1980	     1	     3	    4.387	     22.596	     30.460	     81.289	      1.201	     16.010	    2.652	    4.217	    4.947	    3.912
 1980	     1	     4	    7.244	     22.817	     30.345	     85.011	      1.370	     15.752	    2.443	    4.174	    4.877	    3.853
 1980	     1	     5	    6.539	     22.728	     29.928	     85.313	      1.213	     14.757	    2.741	    3.907	    4.589	    3.595
 1980	     1	     6	    5.414	     22.342	     30.467	     85.881	      1.132	     14.470	    3.396	    3.899	    4.504	    3.523
 1980	     1	     7	    8.615	     22.516	     30.512	     86.054	      1.033	     15.136	    2.734	    4.010	    4.699	    3.697
 1980	     1	     8	    7.838	     22.561	     31.014	     85.615	      0.990	     16.142	    3.967	    4.253	    4.996	    3.965
 1980	     1	     9	   13.755	     22.605	     28.743	     89.018	      0.798	     11.002	    5.013	    2.950	    3.510	    2.635
 1980	     1	    10	   19.697	     22.245	     27.897	     91.778	      0.800	      9.512	    2.256	    2.599	    3.084	    2.247
 1980	     1	    11	   10.915	     22.070	     27.984	     90.549	      0.648	     10.781	    2.916	    2.848	    3.433	    2.545
 1980	     1	    12	   13.722	     21.850	     28.531	     91.170	      0.648	     11.325	    2.761	    3.000	    3.587	    2.684
 1980	     1	    13	   17.636	     21.938	     27.487	     91.468	      0.710	      9.491	    4.088	    2.563	    3.071	    2.223
 1980	     1	    14	   27.806	     21.967	     26.988	     93.022	      0.827	      9.359	    2.294	    2.522	    3.030	    2.179
 1980	     1	    15	   23.549	     21.400	     28.920	     86.321	      0.755	     13.838	    4.089	    3.582	    4.280	    3.276
 1980	     1	    16	    4.914	     21.666	     30.568	     84.221	      0.824	     17.497	    3.147	    4.482	    5.346	    4.234
 1980	     1	    17	    6.441	     21.952	     30.494	     84.389	      1.178	     16.767	    3.648	    4.404	    5.145	    4.066
 1980	     1	    18	   11.012	     22.242	     29.717	     85.799	      0.854	     14.196	    3.446	    3.715	    4.413	    3.425
 1980	     1	    19	   11.120	     21.749	     29.018	     85.661	      1.048	     13.055	    4.213	    3.482	    4.071	    3.105
 1980	     1	    20	    6.709	     21.841	     29.887	     87.919	      0.892	     15.484	    3.407	    4.016	    4.768	    3.724
 1980	     1	    21	    7.941	     22.385	     30.272	     86.679	      1.118	     16.087	    3.135	    4.206	    4.961	    3.910
 1980	     1	    22	    6.352	     22.564	     30.579	     85.172	      1.442	     17.120	    4.078	    4.512	    5.266	    4.185
 1980	     1	    23	    5.606	     22.372	     30.433	     84.580	      1.324	     16.159	    3.577	    4.288	    4.985	    3.935
 1980	     1	    24	    3.698	     22.453	     30.885	     83.376	      1.654	     19.524	    3.208	    5.084	    5.954	    4.783
 1980	     1	    25	    0.880	     22.508	     31.908	     76.207	      1.795	     21.879	    3.866	    5.742	    6.663	    5.424
 1980	     1	    26	    1.474	     22.674	     31.905	     78.644	      1.586	     22.701	    3.708	    5.844	    6.906	    5.638
 1980	     1	    27	    2.197	     22.864	     31.846	     77.397	      1.614	     20.761	    3.585	    5.440	    6.353	    5.164
 1980	     1	    28	    2.917	     22.899	     30.628	     84.409	      1.349	     16.408	    3.158	    4.334	    5.076	    4.031
 1980	     1	    29	    7.162	     22.758	     29.956	     85.828	      0.800	     14.146	    3.174	    3.697	    4.418	    3.444
 1980	     1	    30	   11.124	     22.616	     30.842	     83.183	      0.763	     17.687	    4.262	    4.505	    5.437	    4.340
 1980	     1	    31	    8.440	     22.750	     30.285	     87.091	      0.755	     15.547	    3.605	    4.012	    4.825	    3.804
 1980	     2	     1	    7.207	     22.752	     30.283	     86.282	      0.933	     16.204	    3.403	    4.180	    5.006	    3.956
 1980	     2	     2	    5.777	     22.276	     29.988	     86.751	      0.660	     14.529	    3.460	    3.757	    4.515	    3.516
