CABra ID  	 95
ANA ID    	 32740000
Longitude 	 -62.66    	 dd
Latitude  	 -7.63     	 dd
Area      	 801.3668  	 km²
Elevation 	 80.4694   	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.139	     23.047	     31.388	     77.486	      1.746	     19.104	    2.675	    5.038	    5.848	    4.737
 1980	     1	     2	    0.382	     22.852	     32.445	     72.202	      2.029	     22.458	    3.072	    5.958	    6.840	    5.622
 1980	     1	     3	    4.910	     23.401	     30.929	     76.776	      1.704	     16.865	    2.315	    4.487	    5.207	    4.177
 1980	     1	     4	    1.355	     23.661	     30.796	     80.735	      1.806	     17.054	    1.705	    4.499	    5.265	    4.230
 1980	     1	     5	    6.648	     23.244	     31.368	     79.402	      1.664	     16.795	    2.083	    4.543	    5.193	    4.173
 1980	     1	     6	    2.238	     23.165	     30.939	     82.707	      1.237	     14.014	    3.035	    3.828	    4.388	    3.462
 1980	     1	     7	    7.966	     23.047	     30.985	     83.037	      1.283	     16.510	    3.225	    4.363	    5.098	    4.075
 1980	     1	     8	    5.009	     23.114	     31.657	     81.485	      1.290	     17.291	    4.003	    4.601	    5.339	    4.304
 1980	     1	     9	   11.964	     23.211	     29.274	     86.361	      1.080	     11.754	    3.935	    3.163	    3.726	    2.851
 1980	     1	    10	   21.963	     22.667	     28.561	     89.825	      0.968	      9.569	    2.044	    2.666	    3.101	    2.288
 1980	     1	    11	    5.070	     22.358	     28.818	     88.237	      0.836	     11.434	    2.983	    3.055	    3.617	    2.733
 1980	     1	    12	   19.369	     22.339	     29.167	     87.551	      0.851	     12.167	    2.371	    3.236	    3.825	    2.919
 1980	     1	    13	   15.475	     22.087	     28.350	     90.183	      0.772	      9.319	    5.099	    2.587	    3.023	    2.208
 1980	     1	    14	   33.611	     22.330	     27.632	     91.594	      0.844	      8.779	    2.834	    2.432	    2.872	    2.068
 1980	     1	    15	   29.575	     21.748	     29.757	     83.267	      0.934	     16.100	    4.805	    4.136	    4.920	    3.862
 1980	     1	    16	    4.211	     22.186	     30.676	     82.931	      1.045	     18.869	    3.821	    4.804	    5.735	    4.597
 1980	     1	    17	    4.512	     22.614	     30.578	     82.137	      1.370	     17.258	    3.565	    4.513	    5.290	    4.220
 1980	     1	    18	    4.686	     22.959	     30.716	     82.506	      1.146	     14.775	    3.148	    3.953	    4.598	    3.633
 1980	     1	    19	   10.118	     22.265	     29.589	     84.277	      1.097	     12.915	    3.525	    3.485	    4.040	    3.111
 1980	     1	    20	    6.752	     22.273	     29.859	     86.602	      1.223	     15.157	    3.216	    3.994	    4.673	    3.662
 1980	     1	    21	   11.576	     23.200	     30.762	     83.251	      1.222	     16.632	    3.571	    4.343	    5.134	    4.102
 1980	     1	    22	    9.053	     23.110	     30.300	     84.689	      1.655	     16.318	    3.468	    4.306	    5.032	    4.000
 1980	     1	    23	    5.999	     22.657	     30.934	     83.070	      1.435	     17.187	    3.185	    4.556	    5.282	    4.222
 1980	     1	    24	    5.366	     23.087	     30.649	     80.459	      2.154	     20.173	    3.308	    5.187	    6.136	    4.963
 1980	     1	    25	    3.127	     23.125	     31.707	     76.751	      2.114	     21.180	    3.881	    5.567	    6.461	    5.275
 1980	     1	    26	    2.691	     23.311	     31.542	     78.296	      1.917	     22.783	    4.024	    5.804	    6.923	    5.675
 1980	     1	    27	    2.563	     23.177	     31.752	     77.410	      1.853	     21.184	    3.705	    5.525	    6.466	    5.282
 1980	     1	    28	    1.689	     23.533	     30.666	     82.311	      1.754	     17.583	    3.245	    4.591	    5.413	    4.348
 1980	     1	    29	    6.470	     23.184	     30.410	     82.995	      1.129	     15.639	    3.060	    4.083	    4.845	    3.842
 1980	     1	    30	    6.051	     22.799	     30.704	     80.710	      1.097	     18.063	    3.677	    4.628	    5.530	    4.432
 1980	     1	    31	    3.486	     23.178	     31.385	     82.763	      1.210	     18.170	    3.740	    4.731	    5.591	    4.512
 1980	     2	     1	    2.945	     23.135	     30.839	     83.456	      1.259	     16.274	    2.391	    4.292	    5.034	    4.014
 1980	     2	     2	    4.667	     22.703	     30.354	     84.080	      0.973	     15.627	    3.965	    4.067	    4.830	    3.816
 1980	     2	     3	   10.470	     22.850	     30.129	     83.969	      1.222	     17.131	    3.370	    4.394	    5.254	    4.179
 1980	     2	     4	    3.023	     23.372	     30.054	     86.383	      1.583	     17.069	    4.423	    4.392	    5.249	    4.185
 1980	     2	     5	   15.461	     22.773	     28.788	     88.628	      0.871	     11.262	    3.886	    3.009	    3.579	    2.703
 1980	     2	     6	   15.910	     22.318	     28.770	     85.044	      0.954	     12.502	    3.733	    3.297	    3.917	    2.985
 1980	     2	     7	   12.397	     22.423	     29.550	     86.463	      1.129	     15.694	    4.050	    4.046	    4.825	    3.785
 1980	     2	     8	   13.299	     22.763	     28.992	     84.939	      1.386	     12.920	    3.421	    3.451	    4.045	    3.108
 1980	     2	     9	   11.289	     22.878	     30.042	     84.629	      1.486	     16.422	    4.028	    4.284	    5.053	    4.003
 1980	     2	    10	   22.374	     22.703	     27.915	     89.236	      1.215	     10.676	    5.853	    2.872	    3.406	    2.535
 1980	     2	    11	   42.996	     22.189	     27.757	     88.774	      1.331	      9.864	    2.463	    2.747	    3.173	    2.324
 1980	     2	    12	   12.877	     22.356	     28.528	     89.027	      1.010	     11.353	    3.135	    3.052	    3.596	    2.704
 1980	     2	    13	   15.645	     22.156	     28.759	     87.467	      1.331	     11.587	    3.560	    3.194	    3.661	    2.761
 1980	     2	    14	   19.246	     22.376	     28.344	     89.945	      1.235	      9.602	    4.884	    2.726	    3.109	    2.283
 1980	     2	    15	  100.849	     22.307	     25.029	     95.991	      0.734	      6.267	    3.227	    1.756	    2.179	    1.431
 1980	     2	    16	   22.501	     22.127	     27.883	     86.973	      0.926	     11.158	    3.245	    2.957	    3.531	    2.631
 1980	     2	    17	   14.878	     22.033	     27.955	     88.952	      0.797	     11.472	    5.102	    3.010	    3.616	    2.704
 1980	     2	    18	   37.687	     22.261	     26.116	     90.433	      0.858	      8.607	    4.423	    2.299	    2.817	    1.991
 1980	     2	    19	   22.461	     22.056	     27.352	     90.453	      0.830	      9.527	    2.247	    2.577	    3.076	    2.230
 1980	     2	    20	   17.823	     22.350	     28.728	     88.292	      0.949	     13.798	    5.168	    3.557	    4.279	    3.294
 1980	     2	    21	   18.711	     22.570	     27.912	     89.900	      1.072	     11.150	    5.486	    2.956	    3.536	    2.643
 1980	     2	    22	   33.957	     22.115	     26.364	     92.596	      0.819	      8.959	    2.788	    2.390	    2.913	    2.074
 1980	     2	    23	   20.182	     22.093	     28.202	     88.577	      0.797	     11.515	    3.842	    3.035	    3.633	    2.725
 1980	     2	    24	   28.725	     21.864	     28.135	     87.227	      0.609	     12.690	    4.277	    3.247	    3.952	    2.992
 1980	     2	    25	   30.438	     22.061	     27.799	     91.723	      0.861	     10.277	    2.125	    2.766	    3.287	    2.419
 1980	     2	    26	   10.907	     22.296	     29.509	     88.060	      0.863	     14.813	    4.087	    3.819	    4.576	    3.566
 1980	     2	    27	   21.058	     22.202	     28.483	     88.865	      0.734	     12.439	    2.793	    3.230	    3.895	    2.956
 1980	     2	    28	   19.092	     22.167	     27.807	     89.494	      0.957	     11.575	    3.496	    3.038	    3.646	    2.728
 1980	     2	    29	   42.541	     22.287	     26.920	     90.765	      0.842	      9.419	    2.065	    2.516	    3.046	    2.200
 1980	     3	     1	   10.556	     21.932	     29.207	     85.389	      0.534	     14.321	    4.536	    3.635	    4.425	    3.421
 1980	     3	     2	   14.975	     21.989	     28.939	     86.230	      0.467	     13.707	    4.754	    3.476	    4.250	    3.267
 1980	     3	     3	   15.797	     21.603	     29.667	     85.060	      1.202	     16.271	    3.637	    4.234	    4.969	    3.893
 1980	     3	     4	   12.525	     22.421	     29.433	     85.823	      1.171	     13.636	    3.090	    3.627	    4.248	    3.284
 1980	     3	     5	   21.349	     22.137	     27.942	     89.468	      0.513	     13.346	    4.357	    3.352	    4.135	    3.149
 1980	     3	     6	   79.960	     22.272	     25.578	     93.787	      0.885	      6.942	    2.309	    1.933	    2.364	    1.595
 1980	     3	     7	   20.421	     21.934	     28.069	     91.011	      0.613	     10.659	    2.769	    2.820	    3.393	    2.513
 1980	     3	     8	   12.818	     21.672	     29.628	     84.353	      0.839	     17.674	    3.980	    4.435	    5.361	    4.230
 1980	     3	     9	    9.746	     22.251	     30.046	     84.385	      0.837	     14.710	    3.446	    3.838	    4.557	    3.561
 1980	     3	    10	   14.799	     22.183	     29.201	     88.364	      1.066	     14.528	    3.151	    3.777	    4.487	    3.480
 1980	     3	    11	    8.365	     21.903	     30.193	     86.005	      1.203	     16.944	    2.881	    4.412	    5.178	    4.092
 1980	     3	    12	    7.156	     22.355	     29.696	     85.831	      1.074	     15.572	    3.215	    4.031	    4.794	    3.759
 1980	     3	    13	   17.672	     22.142	     29.794	     86.408	      1.176	     14.580	    3.323	    3.872	    4.512	    3.515
