CABra ID  	 96
ANA ID    	 32830000
Longitude 	 -61.768   	 dd
Latitude  	 -6.358    	 dd
Area      	 26424.3359	 km²
Elevation 	 81.181    	 m
 
PREC, TMIN, TMAX, RH, WIND and SRAD product are derived from the ENSEMBLE dataset
ET product is derived from the GLEAM dataset
PET PM was estimated by Penman-Monteith method
PET PT was estimated by Priestley & Taylor method
PET HG was estimated by Hargreaves method
 
 Year	 Month	   Day	     PREC	       TMIN	       TMAX	         RH	       WIND	       SRAD	       ET	   PET PM	   PET PT	   PET HG
     	      	      	       mm	         °C	         °C	          %	      m s¯¹	     MJ m¯²	       mm	       mm	       mm	       mm
 1980	     1	     1	    3.240	     22.640	     31.617	     77.203	      1.431	     18.568	    3.215	    4.925	    5.693	    4.595
 1980	     1	     2	    0.722	     22.860	     32.178	     72.608	      1.821	     20.904	    3.059	    5.558	    6.387	    5.218
 1980	     1	     3	    4.474	     22.929	     31.104	     77.128	      1.427	     16.550	    2.248	    4.428	    5.112	    4.085
 1980	     1	     4	    3.532	     23.116	     31.176	     82.621	      1.476	     16.677	    1.879	    4.461	    5.155	    4.129
 1980	     1	     5	    7.008	     22.897	     31.267	     80.310	      1.427	     16.927	    1.908	    4.528	    5.223	    4.185
 1980	     1	     6	    3.575	     22.801	     31.152	     83.395	      1.134	     13.408	    2.360	    3.721	    4.214	    3.307
 1980	     1	     7	    4.467	     22.556	     31.528	     83.036	      1.147	     17.097	    2.576	    4.541	    5.268	    4.223
 1980	     1	     8	    6.791	     22.779	     31.971	     81.649	      1.090	     16.704	    4.185	    4.478	    5.172	    4.156
 1980	     1	     9	   15.873	     22.736	     29.327	     86.260	      0.848	     11.986	    4.276	    3.196	    3.786	    2.894
 1980	     1	    10	   19.279	     22.178	     28.689	     91.001	      0.942	     10.027	    2.127	    2.792	    3.225	    2.388
 1980	     1	    11	    8.159	     22.423	     28.161	     90.608	      0.711	     10.562	    2.924	    2.806	    3.371	    2.507
 1980	     1	    12	   21.895	     21.961	     29.438	     86.253	      0.841	     13.199	    2.832	    3.485	    4.114	    3.164
 1980	     1	    13	   12.896	     21.931	     29.124	     90.061	      0.938	     10.275	    4.372	    2.888	    3.295	    2.453
 1980	     1	    14	   49.379	     22.098	     27.304	     92.720	      0.881	      8.936	    3.214	    2.458	    2.912	    2.092
 1980	     1	    15	   28.868	     21.453	     29.889	     83.609	      0.910	     15.536	    4.816	    4.040	    4.761	    3.720
 1980	     1	    16	   10.366	     21.906	     31.173	     81.395	      0.997	     21.169	    3.558	    5.335	    6.396	    5.170
 1980	     1	    17	    4.713	     22.442	     31.083	     81.194	      1.251	     17.004	    3.342	    4.507	    5.229	    4.174
 1980	     1	    18	    6.996	     22.654	     30.486	     84.431	      1.019	     14.596	    3.504	    3.879	    4.539	    3.567
 1980	     1	    19	   12.120	     21.838	     29.200	     84.449	      1.058	     12.773	    3.736	    3.436	    3.989	    3.048
 1980	     1	    20	    8.886	     21.867	     30.218	     86.415	      1.140	     16.128	    3.414	    4.235	    4.946	    3.895
 1980	     1	    21	    8.418	     22.743	     31.087	     82.283	      1.098	     16.892	    3.640	    4.430	    5.207	    4.161
