CABra ID  	 10
ANA ID    	 14495000
Longitude 	 -61.037   	 dd
Latitude  	 3.446     	 dd
Area      	 36522.16  	 km²
Elevation 	 483.47    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	    643.837	          1
 1980	    10	     2	    599.490	          1
 1980	    10	     3	    609.236	          1
 1980	    10	     4	    609.236	          1
 1980	    10	     5	    589.806	          1
 1980	    10	     6	    580.186	          1
 1980	    10	     7	    561.134	          1
 1980	    10	     8	    561.134	          1
 1980	    10	     9	    669.016	          1
 1980	    10	    10	    663.949	          1
 1980	    10	    11	    638.847	          1
 1980	    10	    12	    658.898	          1
 1980	    10	    13	    648.842	          1
 1980	    10	    14	    643.837	          1
 1980	    10	    15	    684.307	          1
 1980	    10	    16	    704.908	          1
 1980	    10	    17	    699.735	          1
 1980	    10	    18	    704.908	          1
 1980	    10	    19	    768.162	          1
 1980	    10	    20	    822.513	          1
 1980	    10	    21	    817.011	          1
 1980	    10	    22	    762.808	          1
 1980	    10	    23	    694.577	          1
 1980	    10	    24	    619.044	          1
 1980	    10	    25	    575.399	          1
 1980	    10	    26	    561.134	          1
 1980	    10	    27	    669.016	          1
 1980	    10	    28	    736.265	          1
 1980	    10	    29	    674.097	          1
 1980	    10	    30	    704.908	          1
 1980	    10	    31	    699.735	          1
 1980	    11	     1	    658.898	          1
 1980	    11	     2	    638.847	          2
 1980	    11	     3	    619.044	          2
 1980	    11	     4	    599.490	          2
 1980	    11	     5	    575.399	          2
 1980	    11	     6	    533.034	          2
 1980	    11	     7	    496.466	          2
 1980	    11	     8	    487.487	          2
 1980	    11	     9	    483.021	          2
 1980	    11	    10	    478.572	          2
 1980	    11	    11	    474.139	          2
 1980	    11	    12	    491.968	          2
 1980	    11	    13	    496.466	          2
 1980	    11	    14	    491.968	          2
 1980	    11	    15	    496.466	          2
 1980	    11	    16	    533.034	          2
 1980	    11	    17	    614.132	          2
 1980	    11	    18	    746.837	          2
 1980	    11	    19	   1036.229	          2
 1980	    11	    20	   1288.833	          2
 1980	    11	    21	   1210.759	          2
 1980	    11	    22	    929.809	          2
 1980	    11	    23	    906.786	          2
 1980	    11	    24	    855.830	          2
 1980	    11	    25	    811.525	          2
 1980	    11	    26	    757.470	          2
 1980	    11	    27	    725.752	          2
 1980	    11	    28	    736.265	          2
 1980	    11	    29	    784.312	          2
 1980	    11	    30	    850.240	          2
 1980	    12	     1	    918.269	          2
 1980	    12	     2	    906.786	          2
 1980	    12	     3	    867.052	          2
 1980	    12	     4	    839.106	          2
 1980	    12	     5	    762.808	          2
 1980	    12	     6	    710.097	          2
 1980	    12	     7	    679.194	          2
 1980	    12	     8	    643.837	          2
 1980	    12	     9	    658.898	          2
 1980	    12	    10	    699.735	          2
 1980	    12	    11	    674.097	          2
 1980	    12	    12	    648.842	          2
 1980	    12	    13	    619.044	          2
 1980	    12	    14	    604.355	          2
 1980	    12	    15	    575.399	          2
 1980	    12	    16	    556.411	          2
 1980	    12	    17	    510.058	          2
 1980	    12	    18	    478.572	          2
 1980	    12	    19	    447.890	          2
 1980	    12	    20	    393.078	          2
 1980	    12	    21	    360.777	          2
 1980	    12	    22	    345.043	          2
 1980	    12	    23	    380.836	          2
 1980	    12	    24	    556.411	          2
 1980	    12	    25	    684.307	          2
 1980	    12	    26	    689.434	          2
 1980	    12	    27	    694.577	          2
 1980	    12	    28	    715.300	          2
 1980	    12	    29	    752.146	          2
 1980	    12	    30	    784.312	          2
 1980	    12	    31	    811.525	          2
 1981	     1	     1	    833.560	          2
 1981	     1	     2	    817.011	          2
 1981	     1	     3	    795.153	          2
 1981	     1	     4	    762.808	          2
 1981	     1	     5	    736.265	          2
 1981	     1	     6	    741.544	          2
 1981	     1	     7	    768.162	          2
 1981	     1	     8	    762.808	          2
 1981	     1	     9	    704.908	          2
 1981	     1	    10	    599.490	          2
 1981	     1	    11	    528.407	          2
 1981	     1	    12	    496.466	          2
 1981	     1	    13	    491.968	          2
 1981	     1	    14	    505.511	          2
 1981	     1	    15	    542.337	          2
 1981	     1	    16	    575.399	          2
 1981	     1	    17	    556.411	          2
 1981	     1	    18	    528.407	          2
 1981	     1	    19	    496.466	          2
 1981	     1	    20	    469.723	          2
 1981	     1	    21	    447.890	          2
 1981	     1	    22	    422.239	          2
 1981	     1	    23	    393.078	          2
 1981	     1	    24	    372.761	          2
 1981	     1	    25	    356.818	          2
 1981	     1	    26	    345.043	          2
 1981	     1	    27	    337.280	          2
 1981	     1	    28	    329.588	          2
 1981	     1	    29	    321.967	          2
 1981	     1	    30	    314.417	          2
 1981	     1	    31	    348.950	          2
 1981	     2	     1	    372.761	          2
 1981	     2	     2	    397.193	          2
 1981	     2	     3	    483.021	          2
 1981	     2	     4	    519.200	          2
 1981	     2	     5	    547.012	          2
 1981	     2	     6	    570.628	          2
 1981	     2	     7	    594.640	          2
 1981	     2	     8	    575.399	          2
 1981	     2	     9	    519.200	          2
 1981	     2	    10	    447.890	          2
 1981	     2	    11	    483.021	          2
 1981	     2	    12	    542.337	          2
 1981	     2	    13	    589.806	          2
 1981	     2	    14	    580.186	          2
 1981	     2	    15	    594.640	          2
 1981	     2	    16	    623.971	          2
 1981	     2	    17	    648.842	          2
 1981	     2	    18	    679.194	          2
 1981	     2	    19	    715.300	          2
 1981	     2	    20	    778.914	          2
 1981	     2	    21	    850.240	          2
 1981	     2	    22	    878.332	          2
 1981	     2	    23	   1042.275	          2
 1981	     2	    24	   1153.484	          2
 1981	     2	    25	   1362.097	          2
 1981	     2	    26	   1409.555	          2
 1981	     2	    27	    947.226	          2
 1981	     2	    28	    833.560	          2
 1981	     3	     1	    704.908	          2
 1981	     3	     2	    658.898	          2
 1981	     3	     3	    669.016	          2
 1981	     3	     4	    699.735	          2
 1981	     3	     5	    741.544	          2
 1981	     3	     6	    800.595	          2
 1981	     3	     7	    872.685	          2
 1981	     3	     8	    855.830	          2
 1981	     3	     9	    778.914	          2
 1981	     3	    10	    715.300	          2
 1981	     3	    11	    736.265	          2
 1981	     3	    12	    762.808	          2
 1981	     3	    13	    867.052	          2
 1981	     3	    14	    901.067	          2
 1981	     3	    15	    850.240	          2
 1981	     3	    16	    736.265	          2
 1981	     3	    17	    638.847	          2
 1981	     3	    18	    570.628	          2
 1981	     3	    19	    594.640	          2
 1981	     3	    20	    731.001	          2
 1981	     3	    21	    638.847	          2
 1981	     3	    22	    551.704	          2
 1981	     3	    23	    510.058	          2
 1981	     3	    24	    487.487	          2
 1981	     3	    25	    465.324	          2
 1981	     3	    26	    443.573	          2
 1981	     3	    27	    422.239	          2
 1981	     3	    28	    401.325	          2
 1981	     3	    29	    348.950	          2
 1981	     3	    30	    306.939	          2
 1981	     3	    31	    284.935	          2
 1981	     4	     1	    329.588	          2
 1981	     4	     2	    318.183	          2
 1981	     4	     3	    299.532	          2
 1981	     4	     4	    288.557	          2
 1981	     4	     5	    281.332	          2
 1981	     4	     6	    267.100	          2
 1981	     4	     7	    270.630	          2
 1981	     4	     8	    288.557	          2
 1981	     4	     9	    303.226	          2
 1981	     4	    10	    310.669	          2
 1981	     4	    11	    314.417	          2
 1981	     4	    12	    318.183	          2
 1981	     4	    13	    345.043	          2
 1981	     4	    14	    384.900	          2
 1981	     4	    15	    422.239	          2
 1981	     4	    16	    496.466	          2
 1981	     4	    17	    638.847	          2
 1981	     4	    18	    850.240	          2
 1981	     4	    19	   1030.197	          2
 1981	     4	    20	   1128.384	          2
 1981	     4	    21	   1153.484	          2
 1981	     4	    22	   1134.638	          2
 1981	     4	    23	   1109.703	          2
 1981	     4	    24	   1091.147	          2
 1981	     4	    25	   1042.275	          2
 1981	     4	    26	    982.445	          2
 1981	     4	    27	   1024.179	          2
 1981	     4	    28	   1185.167	          2
 1981	     4	    29	   1402.736	          2
 1981	     4	    30	   1541.606	          2
 1981	     5	     1	   1541.606	          2
 1981	     5	     2	   1423.233	          2
