CABra ID  	 122
ANA ID    	 33780000
Longitude 	 -43.902   	 dd
Latitude  	 -3.462    	 dd
Area      	 12824.70  	 km²
Elevation 	 80.65     	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	     12.738	          2
 1980	    10	     2	     12.738	          2
 1980	    10	     3	     12.738	          2
 1980	    10	     4	     12.978	          2
 1980	    10	     5	     12.498	          2
 1980	    10	     6	     12.261	          2
 1980	    10	     7	     12.024	          2
 1980	    10	     8	     12.024	          2
 1980	    10	     9	     11.556	          2
 1980	    10	    10	     11.556	          2
 1980	    10	    11	     11.556	          2
 1980	    10	    12	     11.556	          2
 1980	    10	    13	     11.324	          2
 1980	    10	    14	     11.324	          2
 1980	    10	    15	     11.324	          2
 1980	    10	    16	     11.324	          2
 1980	    10	    17	     11.094	          2
 1980	    10	    18	     10.864	          2
 1980	    10	    19	     10.864	          2
 1980	    10	    20	     10.637	          2
 1980	    10	    21	     10.411	          2
 1980	    10	    22	     10.411	          2
 1980	    10	    23	     10.411	          2
 1980	    10	    24	     10.411	          2
 1980	    10	    25	     10.411	          2
 1980	    10	    26	     10.637	          2
 1980	    10	    27	     10.637	          2
 1980	    10	    28	     10.637	          2
 1980	    10	    29	     10.637	          2
 1980	    10	    30	     10.637	          2
 1980	    10	    31	     10.637	          2
 1980	    11	     1	     10.411	          2
 1980	    11	     2	     10.411	          2
 1980	    11	     3	     10.411	          2
 1980	    11	     4	     10.411	          2
 1980	    11	     5	     10.186	          2
 1980	    11	     6	     10.186	          2
 1980	    11	     7	      9.963	          2
 1980	    11	     8	      9.963	          2
 1980	    11	     9	      9.963	          2
 1980	    11	    10	      9.963	          2
 1980	    11	    11	      9.963	          2
 1980	    11	    12	     10.637	          2
 1980	    11	    13	     10.411	          2
 1980	    11	    14	     11.790	          2
 1980	    11	    15	     12.261	          2
 1980	    11	    16	     12.978	          2
 1980	    11	    17	     12.498	          2
 1980	    11	    18	     13.220	          2
 1980	    11	    19	     14.701	          2
 1980	    11	    20	     27.830	          2
 1980	    11	    21	     19.971	          2
 1980	    11	    22	     15.205	          2
 1980	    11	    23	     14.701	          2
 1980	    11	    24	     14.202	          2
 1980	    11	    25	     13.464	          2
 1980	    11	    26	     12.978	          2
 1980	    11	    27	     12.498	          2
 1980	    11	    28	     12.024	          2
 1980	    11	    29	     11.556	          2
 1980	    11	    30	     11.324	          2
 1980	    12	     1	     10.864	          2
 1980	    12	     2	     10.637	          2
 1980	    12	     3	     10.411	          2
 1980	    12	     4	     10.186	          2
 1980	    12	     5	      9.963	          2
 1980	    12	     6	      9.742	          2
 1980	    12	     7	      9.522	          2
 1980	    12	     8	      9.522	          2
 1980	    12	     9	      9.304	          2
 1980	    12	    10	      9.304	          2
 1980	    12	    11	      9.304	          2
 1980	    12	    12	      9.087	          2
 1980	    12	    13	      9.087	          2
 1980	    12	    14	      8.872	          2
 1980	    12	    15	      8.872	          2
 1980	    12	    16	      8.872	          2
 1980	    12	    17	      8.658	          2
 1980	    12	    18	      8.658	          2
 1980	    12	    19	      8.872	          2
 1980	    12	    20	      8.872	          2
 1980	    12	    21	      8.872	          2
 1980	    12	    22	      9.087	          2
 1980	    12	    23	      9.087	          2
 1980	    12	    24	      9.304	          2
