CABra ID  	 12
ANA ID    	 14550000
Longitude 	 -60.529   	 dd
Latitude  	 4.168     	 dd
Area      	 5872.77   	 km²
Elevation 	 764.63    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	     80.486	          2
 1980	    10	     2	     44.769	          2
 1980	    10	     3	     41.974	          2
 1980	    10	     4	     40.616	          2
 1980	    10	     5	     37.974	          2
 1980	    10	     6	     35.433	          2
 1980	    10	     7	     34.200	          2
 1980	    10	     8	     31.808	          2
 1980	    10	     9	     29.514	          2
 1980	    10	    10	     28.404	          2
 1980	    10	    11	     32.992	          2
 1980	    10	    12	     42.663	          2
 1980	    10	    13	     56.171	          2
 1980	    10	    14	     55.365	          2
 1980	    10	    15	    368.913	          2
 1980	    10	    16	    348.847	          2
 1980	    10	    17	    338.093	          2
 1980	    10	    18	    303.229	          2
 1980	    10	    19	    274.803	          2
 1980	    10	    20	    210.956	          2
 1980	    10	    21	    183.702	          2
 1980	    10	    22	    135.070	          2
 1980	    10	    23	     79.497	          2
 1980	    10	    24	     60.301	          2
 1980	    10	    25	     52.207	          2
 1980	    10	    26	     62.000	          2
 1980	    10	    27	     51.433	          2
 1980	    10	    28	     47.666	          2
 1980	    10	    29	     44.061	          2
 1980	    10	    30	     44.769	          2
 1980	    10	    31	     56.171	          2
 1980	    11	     1	     69.066	          2
 1980	    11	     2	     59.462	          2
 1980	    11	     3	     50.667	          2
 1980	    11	     4	     54.565	          2
 1980	    11	     5	     51.433	          2
 1980	    11	     6	     47.666	          2
 1980	    11	     7	     44.769	          2
 1980	    11	     8	     46.932	          2
 1980	    11	     9	     55.365	          2
 1980	    11	    10	     62.860	          2
 1980	    11	    11	     92.911	          2
 1980	    11	    12	     84.515	          2
 1980	    11	    13	     64.599	          2
 1980	    11	    14	     60.301	          2
 1980	    11	    15	     84.515	          2
 1980	    11	    16	    101.761	          2
 1980	    11	    17	    128.495	          2
 1980	    11	    18	    154.063	          2
 1980	    11	    19	     84.515	          2
 1980	    11	    20	     62.000	          2
 1980	    11	    21	     60.301	          2
 1980	    11	    22	     58.629	          2
 1980	    11	    23	     52.207	          2
 1980	    11	    24	     99.506	          2
 1980	    11	    25	     93.992	          2
 1980	    11	    26	     74.652	          2
 1980	    11	    27	     55.365	          2
 1980	    11	    28	     49.907	          2
 1980	    11	    29	     49.907	          2
 1980	    11	    30	     46.204	          2
 1980	    12	     1	     61.147	          2
 1980	    12	     2	     53.773	          2
 1980	    12	     3	     49.907	          2
 1980	    12	     4	     52.207	          2
 1980	    12	     5	     82.487	          2
 1980	    12	     6	     76.569	          2
 1980	    12	     7	    113.474	          2
 1980	    12	     8	     72.763	          2
 1980	    12	     9	     47.666	          2
 1980	    12	    10	     41.292	          2
 1980	    12	    11	     39.946	          2
 1980	    12	    12	     43.359	          2
 1980	    12	    13	     39.282	          2
 1980	    12	    14	     29.514	          2
 1980	    12	    15	     28.404	          2
 1980	    12	    16	     27.858	          2
 1980	    12	    17	     26.784	          2
 1980	    12	    18	     25.217	          2
 1980	    12	    19	     31.225	          2
 1980	    12	    20	     32.397	          2
 1980	    12	    21	     35.433	          2
 1980	    12	    22	     44.061	          2
 1980	    12	    23	     69.980	          2
 1980	    12	    24	    117.130	          2
 1980	    12	    25	    157.981	          2
 1980	    12	    26	    132.417	          2
 1980	    12	    27	     85.540	          2
 1980	    12	    28	     72.763	          2
 1980	    12	    29	    137.545	          2
 1980	    12	    30	    117.130	          2
 1980	    12	    31	     78.514	          2
 1981	     1	     1	     58.629	          2
 1981	     1	     2	     46.204	          2
 1981	     1	     3	     42.663	          2
 1981	     1	     4	     40.616	          2
 1981	     1	     5	     37.329	          2
 1981	     1	     6	     36.059	          2
 1981	     1	     7	     37.974	          2
 1981	     1	     8	     43.359	          2
 1981	     1	     9	     40.616	          2
 1981	     1	    10	     38.625	          2
 1981	     1	    11	     36.691	          2
 1981	     1	    12	     34.200	          2
 1981	     1	    13	     34.200	          2
 1981	     1	    14	     52.207	          2
 1981	     1	    15	     52.986	          2
 1981	     1	    16	     49.153	          2
 1981	     1	    17	     46.204	          2
 1981	     1	    18	     44.061	          2
 1981	     1	    19	     40.616	          2
 1981	     1	    20	     37.974	          2
 1981	     1	    21	     34.813	          2
 1981	     1	    22	     32.397	          2
 1981	     1	    23	     29.514	          2
 1981	     1	    24	     27.318	          2
 1981	     1	    25	     26.255	          2
 1981	     1	    26	     24.707	          2
 1981	     1	    27	     23.212	          2
 1981	     1	    28	     38.625	          2
 1981	     1	    29	     32.397	          2
 1981	     1	    30	     36.691	          2
 1981	     1	    31	     46.204	          2
 1981	     2	     1	     34.200	          2
 1981	     2	     2	     31.225	          2
 1981	     2	     3	     32.992	          1
 1981	     2	     4	     34.200	          1
 1981	     2	     5	     36.691	          1
 1981	     2	     6	     41.292	          1
 1981	     2	     7	     46.204	          1
 1981	     2	     8	     37.329	          1
 1981	     2	     9	     31.808	          1
 1981	     2	    10	     28.956	          1
 1981	     2	    11	     26.784	          1
 1981	     2	    12	     25.217	          1
 1981	     2	    13	     26.255	          1
 1981	     2	    14	     32.397	          1
 1981	     2	    15	     39.946	          1
 1981	     2	    16	     34.813	          1
 1981	     2	    17	     30.649	          1
 1981	     2	    18	     40.616	          1
 1981	     2	    19	     49.907	          1
 1981	     2	    20	     62.000	          1
 1981	     2	    21	     45.483	          1
 1981	     2	    22	     49.907	          1
 1981	     2	    23	     52.986	          1
 1981	     2	    24	     53.773	          1
 1981	     2	    25	     44.769	          1
 1981	     2	    26	     40.616	          1
 1981	     2	    27	     36.059	          1
 1981	     2	    28	     57.803	          1
 1981	     3	     1	     78.514	          1
 1981	     3	     2	     57.803	          1
 1981	     3	     3	     89.709	          1
 1981	     3	     4	     92.911	          1
 1981	     3	     5	     54.565	          1
 1981	     3	     6	     39.282	          1
 1981	     3	     7	     34.813	          1
 1981	     3	     8	     28.956	          1
