CABra ID  	 179
ANA ID    	 45298000
Longitude 	 -43.762   	 dd
Latitude  	 -14.306   	 dd
Area      	 256283.03 	 km²
Elevation 	 722.49    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	   1621.339	          1
 1980	    10	     2	   1613.251	          1
 1980	    10	     3	   1613.251	          1
 1980	    10	     4	   1605.180	          1
 1980	    10	     5	   1605.180	          1
 1980	    10	     6	   1605.180	          2
 1980	    10	     7	   1597.126	          2
 1980	    10	     8	   1589.091	          2
 1980	    10	     9	   1565.092	          2
 1980	    10	    10	   1541.253	          2
 1980	    10	    11	   1525.450	          2
 1980	    10	    12	   1509.718	          2
 1980	    10	    13	   1509.718	          2
 1980	    10	    14	   1509.718	          2
 1980	    10	    15	   1533.343	          2
 1980	    10	    16	   1573.074	          2
 1980	    10	    17	   1645.712	          2
 1980	    10	    18	   1733.095	          2
 1980	    10	    19	   1804.684	          2
 1980	    10	    20	   1828.884	          2
 1980	    10	    21	   1804.684	          2
 1980	    10	    22	   1748.873	          2
 1980	    10	    23	   1686.207	          2
 1980	    10	    24	   1629.446	          2
 1980	    10	    25	   1541.253	          2
 1980	    10	    26	   1509.718	          2
 1980	    10	    27	   1509.718	          2
 1980	    10	    28	   1486.255	          2
 1980	    10	    29	   1478.470	          2
 1980	    10	    30	   1470.703	          2
 1980	    10	    31	   1447.509	          2
 1980	    11	     1	   1486.255	          2
 1980	    11	     2	   1486.255	          2
 1980	    11	     3	   1455.223	          2
 1980	    11	     4	   1447.509	          2
 1980	    11	     5	   1462.954	          2
 1980	    11	     6	   1494.058	          2
 1980	    11	     7	   1501.879	          2
 1980	    11	     8	   1525.450	          2
 1980	    11	     9	   1573.074	          2
 1980	    11	    10	   1637.570	          2
 1980	    11	    11	   1678.457	          2
 1980	    11	    12	   1717.391	          2
 1980	    11	    13	   1820.799	          2
 1980	    11	    14	   2045.659	          2
 1980	    11	    15	   2339.073	          2
 1980	    11	    16	   2782.387	          2
 1980	    11	    17	   3146.625	          2
 1980	    11	    18	   3103.815	          2
 1980	    11	    19	   2873.819	          2
 1980	    11	    20	   2662.873	          2
 1980	    11	    21	   2450.858	          2
 1980	    11	    22	   2257.017	          2
 1980	    11	    23	   2114.909	          2
 1980	    11	    24	   2071.487	          2
 1980	    11	    25	   2158.800	          2
 1980	    11	    26	   2376.032	          2
 1980	    11	    27	   2633.422	          2
 1980	    11	    28	   2682.602	          2
 1980	    11	    29	   2672.728	          2
 1980	    11	    30	   2682.602	          2
 1980	    12	     1	   2772.323	          2
 1980	    12	     2	   2904.638	          2
 1980	    12	     3	   2894.346	          2
 1980	    12	     4	   2873.819	          2
 1980	    12	     5	   3040.173	          2
 1980	    12	     6	   3276.890	          2
 1980	    12	     7	   3409.912	          2
 1980	    12	     8	   3604.697	          2
 1980	    12	     9	   3873.111	          2
