CABra ID  	 34
ANA ID    	 17050001
Longitude 	 -55.513   	 dd
Latitude  	 -1.921    	 dd
Area      	 4807563.69	 km²
Elevation 	 474.84    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	  94579.891	          2
 1980	    10	     2	  94057.414	          2
 1980	    10	     3	  93189.023	          2
 1980	    10	     4	  92669.445	          2
 1980	    10	     5	  91805.898	          2
 1980	    10	     6	  91805.898	          2
 1980	    10	     7	  91805.898	          2
 1980	    10	     8	  92150.953	          2
 1980	    10	     9	  91461.336	          2
 1980	    10	    10	  91978.367	          2
 1980	    10	    11	  92323.664	          2
 1980	    10	    12	  92496.492	          2
 1980	    10	    13	  91805.898	          2
 1980	    10	    14	  90945.391	          2
 1980	    10	    15	  90430.547	          2
 1980	    10	    16	  90087.930	          2
 1980	    10	    17	  89574.914	          2
 1980	    10	    18	  90087.930	          2
 1980	    10	    19	  90087.930	          2
 1980	    10	    20	  90430.547	          2
 1980	    10	    21	  90945.391	          2
 1980	    10	    22	  91805.898	          2
 1980	    10	    23	  93189.023	          2
 1980	    10	    24	  94405.609	          2
 1980	    10	    25	  95103.453	          2
 1980	    10	    26	  96153.836	          2
 1980	    10	    27	  97384.734	          2
 1980	    10	    28	  97208.531	          2
 1980	    10	    29	  96856.484	          2
 1980	    10	    30	  96153.836	          2
 1980	    10	    31	  95803.227	          2
 1980	    11	     1	  95628.102	          2
 1980	    11	     2	  96153.836	          2
 1980	    11	     3	  96329.313	          2
 1980	    11	     4	  96680.641	          2
 1980	    11	     5	  97914.055	          2
 1980	    11	     6	  98267.539	          2
 1980	    11	     7	  98975.930	          2
 1980	    11	     8	 100042.094	          2
 1980	    11	     9	 101291.352	          2
 1980	    11	    10	 102546.414	          2
 1980	    11	    11	 103266.195	          2
 1980	    11	    12	 103446.438	          2
 1980	    11	    13	 103626.797	          2
 1980	    11	    14	 104349.406	          2
 1980	    11	    15	 104711.414	          2
 1980	    11	    16	 104892.594	          2
 1980	    11	    17	 105255.313	          2
 1980	    11	    18	 105982.148	          2
 1980	    11	    19	 107258.617	          2
 1980	    11	    20	 109092.070	          2
 1980	    11	    21	 110382.414	          2
 1980	    11	    22	 111492.938	          2
 1980	    11	    23	 112049.766	          2
 1980	    11	    24	 113166.531	          2
 1980	    11	    25	 113726.477	          2
 1980	    11	    26	 114474.672	          2
 1980	    11	    27	 114100.344	          2
 1980	    11	    28	 113539.711	          2
 1980	    11	    29	 113166.531	          2
 1980	    11	    30	 112793.820	          2
 1980	    12	     1	 112235.602	          2
 1980	    12	     2	 111864.039	          2
 1980	    12	     3	 111492.938	          2
 1980	    12	     4	 111678.430	          2
 1980	    12	     5	 112235.602	          2
 1980	    12	     6	 112607.633	          2
 1980	    12	     7	 113166.531	          2
 1980	    12	     8	 113539.711	          2
 1980	    12	     9	 113726.477	          2
 1980	    12	    10	 114287.453	          2
 1980	    12	    11	 114662.008	          2
 1980	    12	    12	 115037.031	          2
 1980	    12	    13	 115224.711	          2
 1980	    12	    14	 115976.586	          2
 1980	    12	    15	 115600.422	          2
 1980	    12	    16	 115600.422	          2
 1980	    12	    17	 116164.836	          2
 1980	    12	    18	 116730.289	          2
 1980	    12	    19	 117485.820	          2
 1980	    12	    20	 117674.992	          2
 1980	    12	    21	 118432.813	          2
 1980	    12	    22	 119192.445	          2
 1980	    12	    23	 119953.906	          2
 1980	    12	    24	 120144.555	          2
 1980	    12	    25	 120335.320	          2
 1980	    12	    26	 120717.188	          2
 1980	    12	    27	 120526.195	          2
 1980	    12	    28	 120526.195	          2
 1980	    12	    29	 120526.195	          2
 1980	    12	    30	 120335.320	          2
 1980	    12	    31	 120526.195	          2
 1981	     1	     1	 120335.320	          2
 1981	     1	     2	 120526.195	          2
 1981	     1	     3	 120908.289	          2
 1981	     1	     4	 121673.828	          2
 1981	     1	     5	 121865.500	          2
 1981	     1	     6	 122441.188	          2
 1981	     1	     7	 123017.891	          2
 1981	     1	     8	 123595.602	          2
 1981	     1	     9	 124560.719	          2
 1981	     1	    10	 124947.555	          2
 1981	     1	    11	 125528.648	          2
 1981	     1	    12	 125722.570	          2
 1981	     1	    13	 125722.570	          2
 1981	     1	    14	 125916.609	          2
 1981	     1	    15	 126110.758	          2
 1981	     1	    16	 126888.469	          2
 1981	     1	    17	 127472.922	          2
 1981	     1	    18	 127472.922	          2
 1981	     1	    19	 128840.570	          2
 1981	     1	    20	 129428.383	          2
 1981	     1	    21	 130213.688	          2
 1981	     1	    22	 131394.984	          2
 1981	     1	    23	 132580.266	          2
 1981	     1	    24	 133968.156	          2
 1981	     1	    25	 134763.656	          2
 1981	     1	    26	 135560.922	          2
 1981	     1	    27	 135760.516	          2
 1981	     1	    28	 136160.031	          2
 1981	     1	    29	 136359.953	          2
 1981	     1	    30	 137361.219	          2
 1981	     1	    31	 138767.594	          2
