CABra ID  	 371
ANA ID    	 59135000
Longitude 	 -42.322   	 dd
Latitude  	 -22.402   	 dd
Area      	 80.71     	 km²
Elevation 	 959.37    	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	      1.237	          2
 1980	    10	     2	      1.237	          2
 1980	    10	     3	      1.237	          2
 1980	    10	     4	      1.237	          2
 1980	    10	     5	      1.711	          2
 1980	    10	     6	      1.933	          2
 1980	    10	     7	      1.639	          2
 1980	    10	     8	      1.858	          2
 1980	    10	     9	      1.639	          2
 1980	    10	    10	      1.711	          2
 1980	    10	    11	      2.410	          2
 1980	    10	    12	      3.984	          2
 1980	    10	    13	     15.997	          2
 1980	    10	    14	      8.170	          2
 1980	    10	    15	      6.852	          2
 1980	    10	    16	      5.629	          2
 1980	    10	    17	      5.055	          2
 1980	    10	    18	      4.614	          2
 1980	    10	    19	      3.883	          2
 1980	    10	    20	      2.929	          2
 1980	    10	    21	      2.493	          2
 1980	    10	    22	      2.246	          2
 1980	    10	    23	      2.166	          2
 1980	    10	    24	      2.327	          2
 1980	    10	    25	      2.246	          2
 1980	    10	    26	      2.087	          2
 1980	    10	    27	      2.087	          2
 1980	    10	    28	      2.010	          2
 1980	    10	    29	      1.858	          2
 1980	    10	    30	      1.784	          2
 1980	    10	    31	      2.578	          2
 1980	    11	     1	      3.488	          2
 1980	    11	     2	      3.203	          2
 1980	    11	     3	      2.929	          2
 1980	    11	     4	      2.493	          2
 1980	    11	     5	      2.327	          2
 1980	    11	     6	      2.087	          2
 1980	    11	     7	      2.010	          2
 1980	    11	     8	      1.933	          2
 1980	    11	     9	      2.087	          2
 1980	    11	    10	      2.010	          2
 1980	    11	    11	      2.166	          2
 1980	    11	    12	      8.170	          2
 1980	    11	    13	      7.368	          2
 1980	    11	    14	      5.986	          2
 1980	    11	    15	      4.400	          2
 1980	    11	    16	      3.984	          2
 1980	    11	    17	      3.883	          2
 1980	    11	    18	      3.782	          2
 1980	    11	    19	      3.585	          2
 1980	    11	    20	      4.087	          2
 1980	    11	    21	      3.585	          2
 1980	    11	    22	      3.203	          2
 1980	    11	    23	      3.203	          2
 1980	    11	    24	      3.203	          2
 1980	    11	    25	      4.294	          2
 1980	    11	    26	      3.782	          2
 1980	    11	    27	      3.392	          2
 1980	    11	    28	      3.111	          2
 1980	    11	    29	      3.111	          2
 1980	    11	    30	      3.019	          2
 1980	    12	     1	      4.400	          2
 1980	    12	     2	      5.055	          2
 1980	    12	     3	      7.108	          2
 1980	    12	     4	      4.294	          2
 1980	    12	     5	      3.782	          2
 1980	    12	     6	      3.585	          2
 1980	    12	     7	     11.084	          2
