CABra ID  	 373
ANA ID    	 59355000
Longitude 	 -44.617   	 dd
Latitude  	 -22.736   	 dd
Area      	 21.88     	 km²
Elevation 	 1646.34   	 m
Quality   	 0 = missing	 1 = raw   	 2 = consistent
 
 Year	 Month	   Day	 Streamflow	    Quality
     	      	      	    (m³s¯¹)	           
 1980	    10	     1	      0.330	          1
 1980	    10	     2	      0.330	          1
 1980	    10	     3	      0.330	          1
 1980	    10	     4	      0.330	          1
 1980	    10	     5	      0.310	          1
 1980	    10	     6	      0.330	          1
 1980	    10	     7	      0.330	          1
 1980	    10	     8	      0.394	          1
 1980	    10	     9	      0.394	          2
 1980	    10	    10	      0.440	          2
 1980	    10	    11	      0.515	          2
 1980	    10	    12	      1.087	          2
 1980	    10	    13	      0.623	          2
 1980	    10	    14	      0.623	          2
 1980	    10	    15	      0.595	          2
 1980	    10	    16	      0.464	          2
 1980	    10	    17	      0.440	          2
 1980	    10	    18	      0.394	          2
 1980	    10	    19	      0.394	          2
 1980	    10	    20	      0.372	          2
 1980	    10	    21	      0.394	          2
 1980	    10	    22	      0.372	          2
 1980	    10	    23	      0.595	          2
 1980	    10	    24	      0.464	          2
 1980	    10	    25	      0.417	          2
 1980	    10	    26	      0.394	          2
 1980	    10	    27	      0.394	          2
 1980	    10	    28	      0.372	          2
 1980	    10	    29	      0.394	          2
 1980	    10	    30	      0.440	          2
 1980	    10	    31	      0.372	          2
 1980	    11	     1	      0.394	          2
 1980	    11	     2	      0.372	          2
 1980	    11	     3	      0.372	          2
 1980	    11	     4	      0.351	          2
 1980	    11	     5	      0.351	          2
 1980	    11	     6	      0.330	          2
 1980	    11	     7	      0.330	          2
 1980	    11	     8	      1.165	          2
 1980	    11	     9	      0.515	          2
 1980	    11	    10	      0.623	          2
 1980	    11	    11	      1.641	          2
 1980	    11	    12	      1.594	          2
 1980	    11	    13	      0.838	          2
 1980	    11	    14	      0.681	          2
 1980	    11	    15	      0.595	          2
 1980	    11	    16	      0.567	          2
 1980	    11	    17	      0.489	          2
 1980	    11	    18	      0.464	          2
 1980	    11	    19	      0.464	          2
 1980	    11	    20	      0.489	          2
 1980	    11	    21	      0.464	          2
 1980	    11	    22	      0.440	          2
 1980	    11	    23	      0.976	          2
 1980	    11	    24	      1.328	          2
 1980	    11	    25	      0.742	          2
 1980	    11	    26	      0.595	          2
 1980	    11	    27	      0.540	          2
 1980	    11	    28	      0.515	          2
 1980	    11	    29	      0.489	          2
 1980	    11	    30	      0.489	          2
 1980	    12	     1	      0.742	          2
 1980	    12	     2	      0.805	          2
 1980	    12	     3	      1.050	          2
 1980	    12	     4	      0.941	          2
 1980	    12	     5	      0.742	          2
 1980	    12	     6	      0.651	          2
 1980	    12	     7	      1.050	          2
 1980	    12	     8	      0.906	          2
 1980	    12	     9	      0.773	          2
 1980	    12	    10	      0.651	          2
 1980	    12	    11	      1.458	          2
 1980	    12	    12	      0.906	          2
 1980	    12	    13	      1.087	          2
 1980	    12	    14	      0.805	          2
 1980	    12	    15	      0.838	          2
 1980	    12	    16	      0.742	          2
 1980	    12	    17	      0.681	          2
 1980	    12	    18	      0.623	          2
 1980	    12	    19	      0.595	          2
 1980	    12	    20	      0.567	          2
